Timestamp;Data
2023-11-02_16:02:21.56; Value-01;0x408C835B;1082950491;4,391035; Value-02;0x407A6C71;1081764977;3,912869; Value-03;0x41C6F848;1103558728;24,87123; Value-04;0xC2154D53;-1038791341;-37,32551; Value-05;0xC21652AB;-1038724437;-37,58073; Value-06;0xC141143A;-1052699590;-12,06744; Value-07;0x4208459D;1107838365;34,06798; Value-08;0x42ACA609;1118610953;86,32429; Value-09;0x42C55431;1120228401;98,66444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282FB0E;1115880206;65,49034; Value-0E;0x4311DF08;1125244680;145,8712; Value-0F;0x437F1589;1132402057;255,0841; Value-10;0x43AC3C62;1135361122;344,4717; Value-11;0x43C075C8;1136686536;384,9202; Value-12;0x43C6AF60;1137094496;397,3701; Value-13;0x3FB6C2E9;1068942057;1,427823; Value-14;0x419ED7F8;1100929016;19,85545; Value-15;0x41C6ECA1;1103555745;24,86554; Value-16;0xC2162DD3;-1038733869;-37,54475; Value-17;0xC2196D8C;-1038520948;-38,35698; Value-18;0xC14EF5F2;-1051789838;-12,93505; Value-19;0x420605ED;1107690989;33,50579; Value-1A;0x42ACACCE;1118612686;86,33751; Value-1B;0x42C69FB8;1120313272;99,31195; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4282676A;1115842410;65,20198; Value-22;0x43109F46;1125162822;144,6222; Value-23;0x437F180F;1132402703;255,094; Value-24;0x43AD3564;1135424868;346,4171; Value-25;0x43C24B93;1136806803;388,5904; Value-26;0x43CA3999;1137326489;404,45;
2023-11-02_16:02:21.69; Value-01;0x408C835B;1082950491;4,391035; Value-02;0x407A6C71;1081764977;3,912869; Value-03;0x41C6F848;1103558728;24,87123; Value-04;0xC2154D53;-1038791341;-37,32551; Value-05;0xC21652AB;-1038724437;-37,58073; Value-06;0xC141143A;-1052699590;-12,06744; Value-07;0x4208459D;1107838365;34,06798; Value-08;0x42ACA609;1118610953;86,32429; Value-09;0x42C55431;1120228401;98,66444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282FB0E;1115880206;65,49034; Value-0E;0x4311DF08;1125244680;145,8712; Value-0F;0x437F1589;1132402057;255,0841; Value-10;0x43AC3C62;1135361122;344,4717; Value-11;0x43C075C8;1136686536;384,9202; Value-12;0x43C6AF60;1137094496;397,3701; Value-13;0x3FB6C2E9;1068942057;1,427823; Value-14;0x419ED7F8;1100929016;19,85545; Value-15;0x41C6ECA1;1103555745;24,86554; Value-16;0xC2162DD3;-1038733869;-37,54475; Value-17;0xC2196D8C;-1038520948;-38,35698; Value-18;0xC14EF5F2;-1051789838;-12,93505; Value-19;0x420605ED;1107690989;33,50579; Value-1A;0x42ACACCE;1118612686;86,33751; Value-1B;0x42C69FB8;1120313272;99,31195; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4282676A;1115842410;65,20198; Value-22;0x43109F46;1125162822;144,6222; Value-23;0x437F180F;1132402703;255,094; Value-24;0x43AD3564;1135424868;346,4171; Value-25;0x43C24B93;1136806803;388,5904; Value-26;0x43CA3999;1137326489;404,45;
2023-11-02_16:02:21.69; Value-01;0x408C835B;1082950491;4,391035; Value-02;0x407A6C71;1081764977;3,912869; Value-03;0x41C6F848;1103558728;24,87123; Value-04;0xC2154D53;-1038791341;-37,32551; Value-05;0xC21652AB;-1038724437;-37,58073; Value-06;0xC141143A;-1052699590;-12,06744; Value-07;0x4208459D;1107838365;34,06798; Value-08;0x42ACA609;1118610953;86,32429; Value-09;0x42C55431;1120228401;98,66444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282FB0E;1115880206;65,49034; Value-0E;0x4311DF08;1125244680;145,8712; Value-0F;0x437F1589;1132402057;255,0841; Value-10;0x43AC3C62;1135361122;344,4717; Value-11;0x43C075C8;1136686536;384,9202; Value-12;0x43C6AF60;1137094496;397,3701; Value-13;0x3FB6C2E9;1068942057;1,427823; Value-14;0x419ED7F8;1100929016;19,85545; Value-15;0x41C6ECA1;1103555745;24,86554; Value-16;0xC2162DD3;-1038733869;-37,54475; Value-17;0xC2196D8C;-1038520948;-38,35698; Value-18;0xC14EF5F2;-1051789838;-12,93505; Value-19;0x420605ED;1107690989;33,50579; Value-1A;0x42ACACCE;1118612686;86,33751; Value-1B;0x42C69FB8;1120313272;99,31195; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4282676A;1115842410;65,20198; Value-22;0x43109F46;1125162822;144,6222; Value-23;0x437F180F;1132402703;255,094; Value-24;0x43AD3564;1135424868;346,4171; Value-25;0x43C24B93;1136806803;388,5904; Value-26;0x43CA3999;1137326489;404,45;
2023-11-02_16:02:21.75; Value-01;0x408BE44D;1082909773;4,371619; Value-02;0x3FB6964F;1068930639;1,426462; Value-03;0x41C7A7BF;1103603647;24,95691; Value-04;0xC215281C;-1038800868;-37,28917; Value-05;0xC217FA34;-1038616012;-37,99434; Value-06;0xC141143A;-1052699590;-12,06744; Value-07;0x4208459D;1107838365;34,06798; Value-08;0x42ACA609;1118610953;86,32429; Value-09;0x42C55431;1120228401;98,66444; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282CD73;1115868531;65,40127; Value-0E;0x4310B099;1125167257;144,6898; Value-0F;0x437F1589;1132402057;255,0841; Value-10;0x43AC3C62;1135361122;344,4717; Value-11;0x43C075C8;1136686536;384,9202; Value-12;0x43C6AF60;1137094496;397,3701; Value-13;0x3F291275;1059656309;0,6604379; Value-14;0x41BF06FC;1103038204;23,87841; Value-15;0x41C7897E;1103595902;24,94213; Value-16;0xC21680C7;-1038712633;-37,62576; Value-17;0xC2196AC8;-1038521656;-38,35428; Value-18;0xC14EF5F2;-1051789838;-12,93505; Value-19;0x420605ED;1107690989;33,50579; Value-1A;0x42ACACCE;1118612686;86,33751; Value-1B;0x42C69FB8;1120313272;99,31195; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x42820834;1115818036;65,01602; Value-22;0x4310D33B;1125176123;144,8251; Value-23;0x437F180F;1132402703;255,094; Value-24;0x43AD3564;1135424868;346,4171; Value-25;0x43C24B93;1136806803;388,5904; Value-26;0x43CA3999;1137326489;404,45;
2023-11-02_16:02:21.85; Value-01;0x408C397D;1082931581;4,382018; Value-02;0x40014191;1073824145;2,019627; Value-03;0x41C8A359;1103668057;25,07976; Value-04;0xC21553D8;-1038789672;-37,33188; Value-05;0xC217E088;-1038622584;-37,96927; Value-06;0xC142C5E8;-1052588568;-12,17332; Value-07;0x4207F93C;1107818812;33,99339; Value-08;0x42AC86D1;1118602961;86,26331; Value-09;0x42C4E181;1120199041;98,44044; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282D549;1115870537;65,41657; Value-0E;0x4310A3EA;1125164010;144,6403; Value-0F;0x437F738B;1132426123;255,4513; Value-10;0x43AC2A39;1135356473;344,3299; Value-11;0x43C06581;1136682369;384,793; Value-12;0x43C7533A;1137136442;398,6502; Value-13;0x3FB77DD1;1068989905;1,433527; Value-14;0x41AA8E1C;1101696540;21,31939; Value-15;0x41C7668E;1103586958;24,92508; Value-16;0xC2167DB7;-1038713417;-37,62277; Value-17;0xC219C736;-1038497994;-38,44454; Value-18;0xC14A9BE2;-1052075038;-12,66306; Value-19;0x4205C5DD;1107674589;33,44323; Value-1A;0x42ACBE28;1118617128;86,3714; Value-1B;0x42C6BA7D;1120320125;99,36423; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281CB5D;1115802461;64,89719; Value-22;0x43101765;1125128037;144,0914; Value-23;0x437F8036;1132429366;255,5008; Value-24;0x43AD2794;1135421332;346,3092; Value-25;0x43C24F93;1136807827;388,6217; Value-26;0x43C90023;1137246243;402,0011;
2023-11-02_16:02:21.96; Value-01;0x408C397D;1082931581;4,382018; Value-02;0x40014191;1073824145;2,019627; Value-03;0x41C8A359;1103668057;25,07976; Value-04;0xC21553D8;-1038789672;-37,33188; Value-05;0xC217E088;-1038622584;-37,96927; Value-06;0xC143C8D7;-1052522281;-12,23653; Value-07;0x4207FAE1;1107819233;33,995; Value-08;0x42ACCEBB;1118621371;86,40377; Value-09;0x42C5106E;1120211054;98,53209; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282D549;1115870537;65,41657; Value-0E;0x4310A3EA;1125164010;144,6403; Value-0F;0x437F2D69;1132408169;255,1774; Value-10;0x43AC401E;1135362078;344,5009; Value-11;0x43C07687;1136686727;384,926; Value-12;0x43C72DFD;1137126909;398,3593; Value-13;0x3FB77DD1;1068989905;1,433527; Value-14;0x41AA8E1C;1101696540;21,31939; Value-15;0x41C7668E;1103586958;24,92508; Value-16;0xC2167DB7;-1038713417;-37,62277; Value-17;0xC219C736;-1038497994;-38,44454; Value-18;0xC14A030E;-1052114162;-12,62575; Value-19;0x4205F334;1107686196;33,4875; Value-1A;0x42AC87CA;1118603210;86,26521; Value-1B;0x42C6CB07;1120324359;99,39654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281CB5D;1115802461;64,89719; Value-22;0x43101765;1125128037;144,0914; Value-23;0x437FDDCB;1132453323;255,8664; Value-24;0x43AD4924;1135429924;346,5714; Value-25;0x43C2219B;1136796059;388,2625; Value-26;0x43C8B412;1137226770;401,4068;
2023-11-02_16:02:21.96; Value-01;0x408C397D;1082931581;4,382018; Value-02;0x40014191;1073824145;2,019627; Value-03;0x41C8A359;1103668057;25,07976; Value-04;0xC21553D8;-1038789672;-37,33188; Value-05;0xC217E088;-1038622584;-37,96927; Value-06;0xC143C8D7;-1052522281;-12,23653; Value-07;0x4207FAE1;1107819233;33,995; Value-08;0x42ACCEBB;1118621371;86,40377; Value-09;0x42C5106E;1120211054;98,53209; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282D549;1115870537;65,41657; Value-0E;0x4310A3EA;1125164010;144,6403; Value-0F;0x437F2D69;1132408169;255,1774; Value-10;0x43AC401E;1135362078;344,5009; Value-11;0x43C07687;1136686727;384,926; Value-12;0x43C72DFD;1137126909;398,3593; Value-13;0x3FB77DD1;1068989905;1,433527; Value-14;0x41AA8E1C;1101696540;21,31939; Value-15;0x41C7668E;1103586958;24,92508; Value-16;0xC2167DB7;-1038713417;-37,62277; Value-17;0xC219C736;-1038497994;-38,44454; Value-18;0xC14A030E;-1052114162;-12,62575; Value-19;0x4205F334;1107686196;33,4875; Value-1A;0x42AC87CA;1118603210;86,26521; Value-1B;0x42C6CB07;1120324359;99,39654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281CB5D;1115802461;64,89719; Value-22;0x43101765;1125128037;144,0914; Value-23;0x437FDDCB;1132453323;255,8664; Value-24;0x43AD4924;1135429924;346,5714; Value-25;0x43C2219B;1136796059;388,2625; Value-26;0x43C8B412;1137226770;401,4068;
2023-11-02_16:02:22.08; Value-01;0x4089439A;1082737562;4,289502; Value-02;0x403DA41A;1077781530;2,963141; Value-03;0x41C78187;1103593863;24,93825; Value-04;0xC2154F37;-1038790857;-37,32736; Value-05;0xC217DCA7;-1038623577;-37,96548; Value-06;0xC143E60F;-1052514801;-12,24367; Value-07;0x4207FAE1;1107819233;33,995; Value-08;0x42ACCEBB;1118621371;86,40377; Value-09;0x42C5106E;1120211054;98,53209; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282AE36;1115860534;65,34026; Value-0E;0x4310B072;1125167218;144,6892; Value-0F;0x437EB8AC;1132378284;254,7214; Value-10;0x43AC401E;1135362078;344,5009; Value-11;0x43C07687;1136686727;384,926; Value-12;0x43C72DFD;1137126909;398,3593; Value-13;0x3EDEE8FF;1054796031;0,4353714; Value-14;0x41B54927;1102399783;22,66072; Value-15;0x41C6CFEC;1103548396;24,85152; Value-16;0xC216C648;-1038694840;-37,69363; Value-17;0xC21994E4;-1038510876;-38,3954; Value-18;0xC1496B64;-1052152988;-12,58872; Value-19;0x4205F334;1107686196;33,4875; Value-1A;0x42AC87CA;1118603210;86,26521; Value-1B;0x42C6CB07;1120324359;99,39654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281E6CF;1115809487;64,9508; Value-22;0x43104030;1125138480;144,2507; Value-23;0x437FD6D2;1132451538;255,8391; Value-24;0x43AD8698;1135445656;347,0515; Value-25;0x43C2219B;1136796059;388,2625; Value-26;0x43C8B412;1137226770;401,4068;
2023-11-02_16:02:22.08; Value-01;0x4089439A;1082737562;4,289502; Value-02;0x403DA41A;1077781530;2,963141; Value-03;0x41C78187;1103593863;24,93825; Value-04;0xC2154F37;-1038790857;-37,32736; Value-05;0xC217DCA7;-1038623577;-37,96548; Value-06;0xC143E60F;-1052514801;-12,24367; Value-07;0x4207FAE1;1107819233;33,995; Value-08;0x42ACCEBB;1118621371;86,40377; Value-09;0x42C5106E;1120211054;98,53209; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282AE36;1115860534;65,34026; Value-0E;0x4310B072;1125167218;144,6892; Value-0F;0x437EB8AC;1132378284;254,7214; Value-10;0x43AC401E;1135362078;344,5009; Value-11;0x43C07687;1136686727;384,926; Value-12;0x43C72DFD;1137126909;398,3593; Value-13;0x3EDEE8FF;1054796031;0,4353714; Value-14;0x41B54927;1102399783;22,66072; Value-15;0x41C6CFEC;1103548396;24,85152; Value-16;0xC216C648;-1038694840;-37,69363; Value-17;0xC21994E4;-1038510876;-38,3954; Value-18;0xC1496B64;-1052152988;-12,58872; Value-19;0x4205F334;1107686196;33,4875; Value-1A;0x42AC87CA;1118603210;86,26521; Value-1B;0x42C6CB07;1120324359;99,39654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281E6CF;1115809487;64,9508; Value-22;0x43104030;1125138480;144,2507; Value-23;0x437FD6D2;1132451538;255,8391; Value-24;0x43AD8698;1135445656;347,0515; Value-25;0x43C2219B;1136796059;388,2625; Value-26;0x43C8B412;1137226770;401,4068;
2023-11-02_16:02:22.19; Value-01;0x4089439A;1082737562;4,289502; Value-02;0x403DA41A;1077781530;2,963141; Value-03;0x41C78187;1103593863;24,93825; Value-04;0xC2154F37;-1038790857;-37,32736; Value-05;0xC217DCA7;-1038623577;-37,96548; Value-06;0xC143E60F;-1052514801;-12,24367; Value-07;0x42080F0F;1107824399;34,01471; Value-08;0x42AD55E7;1118655975;86,66778; Value-09;0x42C5141B;1120211995;98,53927; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282AE36;1115860534;65,34026; Value-0E;0x4310B072;1125167218;144,6892; Value-0F;0x437EB8AC;1132378284;254,7214; Value-10;0x43AC059C;1135347100;344,0438; Value-11;0x43C0932D;1136694061;385,1498; Value-12;0x43C6BB22;1137097506;397,462; Value-13;0x3EDEE8FF;1054796031;0,4353714; Value-14;0x41B54927;1102399783;22,66072; Value-15;0x41C6CFEC;1103548396;24,85152; Value-16;0xC216C648;-1038694840;-37,69363; Value-17;0xC21994E4;-1038510876;-38,3954; Value-18;0xC1496B64;-1052152988;-12,58872; Value-19;0x4205F382;1107686274;33,4878; Value-1A;0x42ACD50A;1118622986;86,41609; Value-1B;0x42C6C203;1120322051;99,37893; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281E6CF;1115809487;64,9508; Value-22;0x43104030;1125138480;144,2507; Value-23;0x437FD6D2;1132451538;255,8391; Value-24;0x43AD8698;1135445656;347,0515; Value-25;0x43C2F509;1136850185;389,9143; Value-26;0x43C8D960;1137236320;401,6982;
2023-11-02_16:02:22.19; Value-01;0x4089439A;1082737562;4,289502; Value-02;0x403DA41A;1077781530;2,963141; Value-03;0x41C78187;1103593863;24,93825; Value-04;0xC2154F37;-1038790857;-37,32736; Value-05;0xC217DCA7;-1038623577;-37,96548; Value-06;0xC143E60F;-1052514801;-12,24367; Value-07;0x42080F0F;1107824399;34,01471; Value-08;0x42AD55E7;1118655975;86,66778; Value-09;0x42C5141B;1120211995;98,53927; Value-0A;0x7F800000;2139095040;∞; Value-0B;0x7F800000;2139095040;∞; Value-0C;0x00000000;0;0; Value-0D;0x4282AE36;1115860534;65,34026; Value-0E;0x4310B072;1125167218;144,6892; Value-0F;0x437EB8AC;1132378284;254,7214; Value-10;0x43AC059C;1135347100;344,0438; Value-11;0x43C0932D;1136694061;385,1498; Value-12;0x43C6BB22;1137097506;397,462; Value-13;0x3EDEE8FF;1054796031;0,4353714; Value-14;0x41B54927;1102399783;22,66072; Value-15;0x41C6CFEC;1103548396;24,85152; Value-16;0xC216C648;-1038694840;-37,69363; Value-17;0xC21994E4;-1038510876;-38,3954; Value-18;0xC1496B64;-1052152988;-12,58872; Value-19;0x4205F382;1107686274;33,4878; Value-1A;0x42ACD50A;1118622986;86,41609; Value-1B;0x42C6C203;1120322051;99,37893; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x7F800000;2139095040;∞; Value-1F;0x7F800000;2139095040;∞; Value-20;0x00000000;0;0; Value-21;0x4281E6CF;1115809487;64,9508; Value-22;0x43104030;1125138480;144,2507; Value-23;0x437FD6D2;1132451538;255,8391; Value-24;0x43AD8698;1135445656;347,0515; Value-25;0x43C2F509;1136850185;389,9143; Value-26;0x43C8D960;1137236320;401,6982;
