Timestamp;Data
2023-11-02_11:35:14.29; Value-01;0x427B437A;1115374458;62,8159; Value-02;0x4238ACB3;1111010483;46,16865; Value-03;0x42B5D622;1119213090;90,91823; Value-04;0x433FF522;1128264994;191,9576; Value-05;0x43058909;1124436233;133,5353; Value-06;0x42CE1CEE;1120804078;103,0565; Value-07;0x42B2E9EB;1119021547;89,45687; Value-08;0x42A83F93;1118322579;84,12417; Value-09;0x42B326F6;1119037174;89,5761; Value-0A;0x438DB577;1133360503;283,4177; Value-0B;0x43C0D033;1136709683;385,6266; Value-0C;0x43D4EF0C;1138028300;425,8676; Value-0D;0x43FCA5A5;1140630949;505,2941; Value-0E;0x43C4394F;1136933199;392,4477; Value-0F;0x4374905B;1131712603;244,5639; Value-10;0x43A8DDF8;1135140344;337,7341; Value-11;0x43A838F2;1135098098;336,4449; Value-12;0x439FC5E9;1134544361;319,5462; Value-13;0x4080BB9A;1082178458;4,022901; Value-14;0x426B64ED;1114334445;58,84856; Value-15;0x42B504F1;1119159537;90,50965; Value-16;0x4340852D;1128301869;192,5202; Value-17;0x43067A86;1124498054;134,4786; Value-18;0x42CF67D2;1120888786;103,7028; Value-19;0x42B5C4FA;1119208698;90,88472; Value-1A;0x42AA018E;1118437774;85,00304; Value-1B;0x42B8B731;1119401777;92,3578; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A322F;1133130287;276,3921; Value-1F;0x43C8B148;1137226056;401,385; Value-20;0x43D5F846;1138096198;427,9396; Value-21;0x43FEA3E4;1140761572;509,2804; Value-22;0x43C691AA;1137086890;397,138; Value-23;0x437D60A1;1132290209;253,3775; Value-24;0x43BAAF0F;1136307983;373,3676; Value-25;0x43D896EC;1138267884;433,1791; Value-26;0x43C66102;1137074434;396,7579;
2023-11-02_11:35:14.43; Value-01;0x427B437A;1115374458;62,8159; Value-02;0x4238ACB3;1111010483;46,16865; Value-03;0x42B5D622;1119213090;90,91823; Value-04;0x433FF522;1128264994;191,9576; Value-05;0x43058909;1124436233;133,5353; Value-06;0x42CE1CEE;1120804078;103,0565; Value-07;0x42B2E9EB;1119021547;89,45687; Value-08;0x42A83F93;1118322579;84,12417; Value-09;0x42B326F6;1119037174;89,5761; Value-0A;0x438DB577;1133360503;283,4177; Value-0B;0x43C0D033;1136709683;385,6266; Value-0C;0x43D4EF0C;1138028300;425,8676; Value-0D;0x43FCA5A5;1140630949;505,2941; Value-0E;0x43C4394F;1136933199;392,4477; Value-0F;0x4374905B;1131712603;244,5639; Value-10;0x43A8DDF8;1135140344;337,7341; Value-11;0x43A838F2;1135098098;336,4449; Value-12;0x439FC5E9;1134544361;319,5462; Value-13;0x4080BB9A;1082178458;4,022901; Value-14;0x426B64ED;1114334445;58,84856; Value-15;0x42B504F1;1119159537;90,50965; Value-16;0x4340852D;1128301869;192,5202; Value-17;0x43067A86;1124498054;134,4786; Value-18;0x42CF67D2;1120888786;103,7028; Value-19;0x42B5C4FA;1119208698;90,88472; Value-1A;0x42AA018E;1118437774;85,00304; Value-1B;0x42B8B731;1119401777;92,3578; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A322F;1133130287;276,3921; Value-1F;0x43C8B148;1137226056;401,385; Value-20;0x43D5F846;1138096198;427,9396; Value-21;0x43FEA3E4;1140761572;509,2804; Value-22;0x43C691AA;1137086890;397,138; Value-23;0x437D60A1;1132290209;253,3775; Value-24;0x43BAAF0F;1136307983;373,3676; Value-25;0x43D896EC;1138267884;433,1791; Value-26;0x43C66102;1137074434;396,7579;
2023-11-02_11:35:14.43; Value-01;0x427B437A;1115374458;62,8159; Value-02;0x4238ACB3;1111010483;46,16865; Value-03;0x42B5D622;1119213090;90,91823; Value-04;0x433FF522;1128264994;191,9576; Value-05;0x43058909;1124436233;133,5353; Value-06;0x42CE1CEE;1120804078;103,0565; Value-07;0x42B2E9EB;1119021547;89,45687; Value-08;0x42A83F93;1118322579;84,12417; Value-09;0x42B326F6;1119037174;89,5761; Value-0A;0x438DB577;1133360503;283,4177; Value-0B;0x43C0D033;1136709683;385,6266; Value-0C;0x43D4EF0C;1138028300;425,8676; Value-0D;0x43FCA5A5;1140630949;505,2941; Value-0E;0x43C4394F;1136933199;392,4477; Value-0F;0x4374905B;1131712603;244,5639; Value-10;0x43A8DDF8;1135140344;337,7341; Value-11;0x43A838F2;1135098098;336,4449; Value-12;0x439FC5E9;1134544361;319,5462; Value-13;0x4080BB9A;1082178458;4,022901; Value-14;0x426B64ED;1114334445;58,84856; Value-15;0x42B504F1;1119159537;90,50965; Value-16;0x4340852D;1128301869;192,5202; Value-17;0x43067A86;1124498054;134,4786; Value-18;0x42CF67D2;1120888786;103,7028; Value-19;0x42B5C4FA;1119208698;90,88472; Value-1A;0x42AA018E;1118437774;85,00304; Value-1B;0x42B8B731;1119401777;92,3578; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A322F;1133130287;276,3921; Value-1F;0x43C8B148;1137226056;401,385; Value-20;0x43D5F846;1138096198;427,9396; Value-21;0x43FEA3E4;1140761572;509,2804; Value-22;0x43C691AA;1137086890;397,138; Value-23;0x437D60A1;1132290209;253,3775; Value-24;0x43BAAF0F;1136307983;373,3676; Value-25;0x43D896EC;1138267884;433,1791; Value-26;0x43C66102;1137074434;396,7579;
2023-11-02_11:35:14.48; Value-01;0x426100B5;1113653429;56,25069; Value-02;0x421F79B9;1109359033;39,86887; Value-03;0x42B62163;1119232355;91,06521; Value-04;0x433FECD0;1128262864;191,925; Value-05;0x4305A5D6;1124443606;133,6478; Value-06;0x42CDFA74;1120795252;102,9892; Value-07;0x42B2E9EB;1119021547;89,45687; Value-08;0x42A83F93;1118322579;84,12417; Value-09;0x42B326F6;1119037174;89,5761; Value-0A;0x438D6E00;1133342208;282,8594; Value-0B;0x43BFE838;1136650296;383,8142; Value-0C;0x43D45406;1137988614;424,6564; Value-0D;0x43FCA685;1140631173;505,3009; Value-0E;0x43C45C45;1136942149;392,7209; Value-0F;0x4373FEA1;1131675297;243,9946; Value-10;0x43A9A224;1135190564;339,2667; Value-11;0x43A838F2;1135098098;336,4449; Value-12;0x439FC5E9;1134544361;319,5462; Value-13;0x40722BDD;1081224157;3,783927; Value-14;0x425B724D;1113289293;54,86162; Value-15;0x42B4F57F;1119155583;90,47948; Value-16;0x43408793;1128302483;192,5296; Value-17;0x43068447;1124500551;134,5167; Value-18;0x42CF73AD;1120891821;103,7259; Value-19;0x42B514B9;1119163577;90,54047; Value-1A;0x42AA018E;1118437774;85,00304; Value-1B;0x42B8B731;1119401777;92,3578; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B8335;1133216565;279,0251; Value-1F;0x43C92F47;1137258311;402,3694; Value-20;0x43D5C92E;1138084142;427,5717; Value-21;0x43FED75A;1140774746;509,6824; Value-22;0x43C6A490;1137091728;397,2856; Value-23;0x437CA80C;1132242956;252,6564; Value-24;0x43B423A4;1135879076;360,2784; Value-25;0x43F810F9;1140330745;496,1326; Value-26;0x43C66102;1137074434;396,7579;
2023-11-02_11:35:14.59; Value-01;0x4259DC39;1113185337;54,46506; Value-02;0x424729F2;1111960050;49,79096; Value-03;0x42B5AEDD;1119203037;90,84153; Value-04;0x4340274C;1128277836;192,1535; Value-05;0x4305C3F5;1124451317;133,7655; Value-06;0x42CD9FA1;1120772001;102,8118; Value-07;0x42B4058C;1119094156;90,01083; Value-08;0x42A68512;1118209298;83,2599; Value-09;0x42B2D55A;1119016282;89,4167; Value-0A;0x438D7255;1133343317;282,8932; Value-0B;0x43C005ED;1136657901;384,0463; Value-0C;0x43D45A11;1137990161;424,7036; Value-0D;0x43FD75D8;1140684248;506,9207; Value-0E;0x43C4019F;1136918943;392,0127; Value-0F;0x4372FBF7;1131609079;242,9842; Value-10;0x43B00794;1135609748;352,0592; Value-11;0x43E57B7F;1139112831;458,9648; Value-12;0x43BE7F12;1136557842;380,9927; Value-13;0x4086EB05;1082583813;4,216189; Value-14;0x42709041;1114673217;60,14087; Value-15;0x42B498B0;1119131824;90,29822; Value-16;0x43402449;1128277065;192,1417; Value-17;0x430690ED;1124503789;134,5661; Value-18;0x42CFBB11;1120910097;103,8654; Value-19;0x42B4422F;1119109679;90,12926; Value-1A;0x42A9FF6F;1118437231;84,99889; Value-1B;0x42B3CF70;1119080304;89,90515; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B43F0;1133200368;278,5308; Value-1F;0x43C85C18;1137204248;400,7195; Value-20;0x43D5E551;1138091345;427,7915; Value-21;0x43FF0039;1140785209;510,0017; Value-22;0x43C69937;1137088823;397,197; Value-23;0x4378E09B;1131995291;248,8774; Value-24;0x43B42F9C;1135882140;360,3719; Value-25;0x43C51F59;1136992089;394,2449; Value-26;0x43B7DAAE;1136122542;367,7084;
2023-11-02_11:35:14.59; Value-01;0x4259DC39;1113185337;54,46506; Value-02;0x424729F2;1111960050;49,79096; Value-03;0x42B5AEDD;1119203037;90,84153; Value-04;0x4340274C;1128277836;192,1535; Value-05;0x4305C3F5;1124451317;133,7655; Value-06;0x42CD9FA1;1120772001;102,8118; Value-07;0x42B4058C;1119094156;90,01083; Value-08;0x42A68512;1118209298;83,2599; Value-09;0x42B2D55A;1119016282;89,4167; Value-0A;0x438D7255;1133343317;282,8932; Value-0B;0x43C005ED;1136657901;384,0463; Value-0C;0x43D45A11;1137990161;424,7036; Value-0D;0x43FD75D8;1140684248;506,9207; Value-0E;0x43C4019F;1136918943;392,0127; Value-0F;0x4372FBF7;1131609079;242,9842; Value-10;0x43B00794;1135609748;352,0592; Value-11;0x43E57B7F;1139112831;458,9648; Value-12;0x43BE7F12;1136557842;380,9927; Value-13;0x4086EB05;1082583813;4,216189; Value-14;0x42709041;1114673217;60,14087; Value-15;0x42B498B0;1119131824;90,29822; Value-16;0x43402449;1128277065;192,1417; Value-17;0x430690ED;1124503789;134,5661; Value-18;0x42CFBB11;1120910097;103,8654; Value-19;0x42B4422F;1119109679;90,12926; Value-1A;0x42A9FF6F;1118437231;84,99889; Value-1B;0x42B3CF70;1119080304;89,90515; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B43F0;1133200368;278,5308; Value-1F;0x43C85C18;1137204248;400,7195; Value-20;0x43D5E551;1138091345;427,7915; Value-21;0x43FF0039;1140785209;510,0017; Value-22;0x43C69937;1137088823;397,197; Value-23;0x4378E09B;1131995291;248,8774; Value-24;0x43B42F9C;1135882140;360,3719; Value-25;0x43C51F59;1136992089;394,2449; Value-26;0x43B7DAAE;1136122542;367,7084;
2023-11-02_11:35:14.69; Value-01;0x4259DC39;1113185337;54,46506; Value-02;0x424729F2;1111960050;49,79096; Value-03;0x42B5AEDD;1119203037;90,84153; Value-04;0x4340274C;1128277836;192,1535; Value-05;0x4305C3F5;1124451317;133,7655; Value-06;0x42CD9FA1;1120772001;102,8118; Value-07;0x42B4058C;1119094156;90,01083; Value-08;0x42A68512;1118209298;83,2599; Value-09;0x42B3100F;1119031311;89,53136; Value-0A;0x438D7255;1133343317;282,8932; Value-0B;0x43C005ED;1136657901;384,0463; Value-0C;0x43D45A11;1137990161;424,7036; Value-0D;0x43FD75D8;1140684248;506,9207; Value-0E;0x43C4019F;1136918943;392,0127; Value-0F;0x4372FBF7;1131609079;242,9842; Value-10;0x43B00794;1135609748;352,0592; Value-11;0x43E57B7F;1139112831;458,9648; Value-12;0x00000000;0;0; Value-13;0x4086EB05;1082583813;4,216189; Value-14;0x42709041;1114673217;60,14087; Value-15;0x42B498B0;1119131824;90,29822; Value-16;0x43402449;1128277065;192,1417; Value-17;0x430690ED;1124503789;134,5661; Value-18;0x42CFBB11;1120910097;103,8654; Value-19;0x42B4422F;1119109679;90,12926; Value-1A;0x42A9FF6F;1118437231;84,99889; Value-1B;0x42B6D432;1119278130;91,41444; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B43F0;1133200368;278,5308; Value-1F;0x43C85C18;1137204248;400,7195; Value-20;0x43D5E551;1138091345;427,7915; Value-21;0x43FF0039;1140785209;510,0017; Value-22;0x43C69937;1137088823;397,197; Value-23;0x4378E09B;1131995291;248,8774; Value-24;0x43B42F9C;1135882140;360,3719; Value-25;0x43C51F59;1136992089;394,2449; Value-26;0x43B7DAAE;1136122542;367,7084;
2023-11-02_11:35:14.79; Value-01;0x4260CD62;1113640290;56,20057; Value-02;0x426B7940;1114339648;58,86841; Value-03;0x42B5738C;1119187852;90,72568; Value-04;0x43400C45;1128270917;192,0479; Value-05;0x4305E225;1124459045;133,8834; Value-06;0x42CD9482;1120769154;102,7901; Value-07;0x42B3FB82;1119091586;89,99123; Value-08;0x42A68EE8;1118211816;83,27911; Value-09;0x42B31ED2;1119035090;89,5602; Value-0A;0x438CF43A;1133311034;281,908; Value-0B;0x43C0AF5E;1136701278;385,3701; Value-0C;0x43D4F5A6;1138029990;425,9191; Value-0D;0x43FD0503;1140655363;506,0392; Value-0E;0x43C41DAB;1136926123;392,2318; Value-0F;0x4371A22C;1131520556;241,6335; Value-10;0x43B0ACE4;1135652068;353,3507; Value-11;0x43B6BD50;1136049488;365,479; Value-12;0x43BAD47D;1136317565;373,6601; Value-13;0x40B47E40;1085570624;5,640411; Value-14;0x4270580B;1114658827;60,08598; Value-15;0x42B50449;1119159369;90,50837; Value-16;0x434055CF;1128289743;192,3352; Value-17;0x43067F43;1124499267;134,4971; Value-18;0x42CF8463;1120896099;103,7586; Value-19;0x42B5ECD6;1119218902;90,96257; Value-1A;0x42AA759E;1118467486;85,22972; Value-1B;0x42B2E94A;1119021386;89,45564; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389ECA1;1133112481;275,8487; Value-1F;0x43C8DBB6;1137236918;401,7165; Value-20;0x43D5C9EB;1138084331;427,5775; Value-21;0x43FE5ADD;1140742877;508,7099; Value-22;0x43C76C23;1137142819;398,8448; Value-23;0x43768077;1131839607;246,5018; Value-24;0x43B17D9A;1135705498;354,9813; Value-25;0x43C5494C;1137002828;394,5726; Value-26;0x43836779;1132685177;262,8084;
2023-11-02_11:35:14.79; Value-01;0x4260CD62;1113640290;56,20057; Value-02;0x426B7940;1114339648;58,86841; Value-03;0x42B5738C;1119187852;90,72568; Value-04;0x43400C45;1128270917;192,0479; Value-05;0x4305E225;1124459045;133,8834; Value-06;0x42CD9482;1120769154;102,7901; Value-07;0x42B3FB82;1119091586;89,99123; Value-08;0x42A68EE8;1118211816;83,27911; Value-09;0x42B31ED2;1119035090;89,5602; Value-0A;0x438CF43A;1133311034;281,908; Value-0B;0x43C0AF5E;1136701278;385,3701; Value-0C;0x43D4F5A6;1138029990;425,9191; Value-0D;0x43FD0503;1140655363;506,0392; Value-0E;0x43C41DAB;1136926123;392,2318; Value-0F;0x4371A22C;1131520556;241,6335; Value-10;0x43B0ACE4;1135652068;353,3507; Value-11;0x43B6BD50;1136049488;365,479; Value-12;0x43BAD47D;1136317565;373,6601; Value-13;0x40B47E40;1085570624;5,640411; Value-14;0x4270580B;1114658827;60,08598; Value-15;0x42B50449;1119159369;90,50837; Value-16;0x434055CF;1128289743;192,3352; Value-17;0x43067F43;1124499267;134,4971; Value-18;0x42CF8463;1120896099;103,7586; Value-19;0x42B5ECD6;1119218902;90,96257; Value-1A;0x42AA759E;1118467486;85,22972; Value-1B;0x42B2E94A;1119021386;89,45564; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389ECA1;1133112481;275,8487; Value-1F;0x43C8DBB6;1137236918;401,7165; Value-20;0x43D5C9EB;1138084331;427,5775; Value-21;0x43FE5ADD;1140742877;508,7099; Value-22;0x43C76C23;1137142819;398,8448; Value-23;0x43768077;1131839607;246,5018; Value-24;0x43B17D9A;1135705498;354,9813; Value-25;0x43C5494C;1137002828;394,5726; Value-26;0x43836779;1132685177;262,8084;
2023-11-02_11:35:14.89; Value-01;0x42743ECD;1114914509;61,06133; Value-02;0x42399728;1111070504;46,39761; Value-03;0x42B6059B;1119225243;91,01095; Value-04;0x43400F58;1128271704;192,0599; Value-05;0x4305E225;1124459045;133,8834; Value-06;0x42CD9482;1120769154;102,7901; Value-07;0x42B3FB82;1119091586;89,99123; Value-08;0x42A68EE8;1118211816;83,27911; Value-09;0x42B31ED2;1119035090;89,5602; Value-0A;0x438DAAF4;1133357812;283,3356; Value-0B;0x43C06B03;1136683779;384,836; Value-0C;0x43D4C8D0;1138018512;425,5688; Value-0D;0x43FCC965;1140640101;505,5734; Value-0E;0x43C47FB6;1136951222;392,9977; Value-0F;0x4371A22C;1131520556;241,6335; Value-10;0x43B0ACE4;1135652068;353,3507; Value-11;0x43B6BD50;1136049488;365,479; Value-12;0x43BAD47D;1136317565;373,6601; Value-13;0x3F885FE0;1065902048;1,065426; Value-14;0x428D3393;1116550035;70,60073; Value-15;0x42B4C205;1119142405;90,37894; Value-16;0x43407F4C;1128300364;192,4973; Value-17;0x43067F43;1124499267;134,4971; Value-18;0x42CF8463;1120896099;103,7586; Value-19;0x42B5ECD6;1119218902;90,96257; Value-1A;0x42AA759E;1118467486;85,22972; Value-1B;0x42B2E94A;1119021386;89,45564; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A47FF;1133135871;276,5625; Value-1F;0x43C9149F;1137251487;402,1611; Value-20;0x43D5CF5F;1138085727;427,6201; Value-21;0x43FEA821;1140762657;509,3135; Value-22;0x43C70743;1137116995;398,0567; Value-23;0x43768077;1131839607;246,5018; Value-24;0x43B17D9A;1135705498;354,9813; Value-25;0x43C5494C;1137002828;394,5726; Value-26;0x43836779;1132685177;262,8084;
2023-11-02_11:35:15.01; Value-01;0x42743ECD;1114914509;61,06133; Value-02;0x42399728;1111070504;46,39761; Value-03;0x42B6059B;1119225243;91,01095; Value-04;0x43400F58;1128271704;192,0599; Value-05;0x4305E0F4;1124458740;133,8787; Value-06;0x42CD7C5F;1120762975;102,7429; Value-07;0x42B34E67;1119047271;89,65313; Value-08;0x42A73009;1118253065;83,59382; Value-09;0x42B30002;1119027202;89,50002; Value-0A;0x438DAAF4;1133357812;283,3356; Value-0B;0x43C06B03;1136683779;384,836; Value-0C;0x43D4C8D0;1138018512;425,5688; Value-0D;0x43FCC965;1140640101;505,5734; Value-0E;0x43C47FB6;1136951222;392,9977; Value-0F;0x437895A3;1131976099;248,5845; Value-10;0x43AC5AC5;1135368901;344,7091; Value-11;0x43C5D0EB;1137037547;395,6322; Value-12;0x43933A14;1133722132;294,4537; Value-13;0x3F885FE0;1065902048;1,065426; Value-14;0x428D3393;1116550035;70,60073; Value-15;0x42B4C205;1119142405;90,37894; Value-16;0x43407F4C;1128300364;192,4973; Value-17;0x4306B63F;1124513343;134,7119; Value-18;0x42CF4373;1120879475;103,6317; Value-19;0x42B69E64;1119264356;91,30936; Value-1A;0x42A978D6;1118402774;84,73601; Value-1B;0x42B74AA1;1119308449;91,64576; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A47FF;1133135871;276,5625; Value-1F;0x43C9149F;1137251487;402,1611; Value-20;0x43D5CF5F;1138085727;427,6201; Value-21;0x43FEA821;1140762657;509,3135; Value-22;0x43C70743;1137116995;398,0567; Value-23;0x437689F4;1131842036;246,5389; Value-24;0x43B3DF5D;1135861597;359,745; Value-25;0x43CC7327;1137472295;408,8996; Value-26;0x43A76536;1135043894;334,7907;
