Timestamp;Data
2023-11-02_13:25:12.68; Value-01;0x42889547;1116247367;68,29156; Value-02;0x4245C158;1111867736;49,43881; Value-03;0x42B62614;1119233556;91,07437; Value-04;0x433FF5AA;1128265130;191,9596; Value-05;0x43062EA0;1124478624;134,1821; Value-06;0x42CD6721;1120757537;102,7014; Value-07;0x42B27F81;1118994305;89,24903; Value-08;0x42A90FBA;1118375866;84,53072; Value-09;0x42B5DC74;1119214708;90,93057; Value-0A;0x438D2185;1133322629;282,2619; Value-0B;0x43BFD29C;1136644764;383,6454; Value-0C;0x43D5292F;1138043183;426,3217; Value-0D;0x43FCE27C;1140646524;505,7694; Value-0E;0x43C5B205;1137029637;395,3908; Value-0F;0x4374C841;1131726913;244,7822; Value-10;0x43B322AD;1135813293;358,2709; Value-11;0x43CC669C;1137469084;408,8016; Value-12;0x43C015E2;1136661986;384,171; Value-13;0x404A0C8D;1078594701;3,157016; Value-14;0x426CD86C;1114429548;59,21135; Value-15;0x42B5186B;1119164523;90,54769; Value-16;0x43404AA1;1128286881;192,2915; Value-17;0x4306A211;1124508177;134,6331; Value-18;0x42CF61B7;1120887223;103,6908; Value-19;0x42B3E583;1119085955;89,94827; Value-1A;0x42A94FB6;1118392246;84,65569; Value-1B;0x42C07EFA;1119911674;96,248; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A34D5;1133130965;276,4128; Value-1F;0x43C7D7A9;1137170345;399,6848; Value-20;0x43D60418;1138099224;428,032; Value-21;0x43FEC859;1140770905;509,5652; Value-22;0x43C81479;1137185913;400,1599; Value-23;0x437E17A9;1132337065;254,0924; Value-24;0x43BAA71A;1136305946;373,3055; Value-25;0x43D2E69B;1137895067;421,8016; Value-26;0x4387257F;1132930431;270,2929;
2023-11-02_13:25:12.85; Value-01;0x42889547;1116247367;68,29156; Value-02;0x4245C158;1111867736;49,43881; Value-03;0x42B62614;1119233556;91,07437; Value-04;0x433FF5AA;1128265130;191,9596; Value-05;0x43062EA0;1124478624;134,1821; Value-06;0x42CD6721;1120757537;102,7014; Value-07;0x42B27F81;1118994305;89,24903; Value-08;0x42A90FBA;1118375866;84,53072; Value-09;0x42B5DC74;1119214708;90,93057; Value-0A;0x438D2185;1133322629;282,2619; Value-0B;0x43BFD29C;1136644764;383,6454; Value-0C;0x43D5292F;1138043183;426,3217; Value-0D;0x43FCE27C;1140646524;505,7694; Value-0E;0x43C5B205;1137029637;395,3908; Value-0F;0x4374C841;1131726913;244,7822; Value-10;0x43B322AD;1135813293;358,2709; Value-11;0x43CC669C;1137469084;408,8016; Value-12;0x43C015E2;1136661986;384,171; Value-13;0x404A0C8D;1078594701;3,157016; Value-14;0x426CD86C;1114429548;59,21135; Value-15;0x42B5186B;1119164523;90,54769; Value-16;0x43404AA1;1128286881;192,2915; Value-17;0x4306A211;1124508177;134,6331; Value-18;0x42CF61B7;1120887223;103,6908; Value-19;0x42B3E583;1119085955;89,94827; Value-1A;0x42A94FB6;1118392246;84,65569; Value-1B;0x42C07EFA;1119911674;96,248; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A34D5;1133130965;276,4128; Value-1F;0x43C7D7A9;1137170345;399,6848; Value-20;0x43D60418;1138099224;428,032; Value-21;0x43FEC859;1140770905;509,5652; Value-22;0x43C81479;1137185913;400,1599; Value-23;0x437E17A9;1132337065;254,0924; Value-24;0x43BAA71A;1136305946;373,3055; Value-25;0x43D2E69B;1137895067;421,8016; Value-26;0x4387257F;1132930431;270,2929;
2023-11-02_13:25:12.85; Value-01;0x42889547;1116247367;68,29156; Value-02;0x4245C158;1111867736;49,43881; Value-03;0x42B62614;1119233556;91,07437; Value-04;0x433FF5AA;1128265130;191,9596; Value-05;0x43062EA0;1124478624;134,1821; Value-06;0x42CD6721;1120757537;102,7014; Value-07;0x42B27F81;1118994305;89,24903; Value-08;0x42A90FBA;1118375866;84,53072; Value-09;0x42B5DC74;1119214708;90,93057; Value-0A;0x438D2185;1133322629;282,2619; Value-0B;0x43BFD29C;1136644764;383,6454; Value-0C;0x43D5292F;1138043183;426,3217; Value-0D;0x43FCE27C;1140646524;505,7694; Value-0E;0x43C5B205;1137029637;395,3908; Value-0F;0x4374C841;1131726913;244,7822; Value-10;0x43B322AD;1135813293;358,2709; Value-11;0x43CC669C;1137469084;408,8016; Value-12;0x43C015E2;1136661986;384,171; Value-13;0x404A0C8D;1078594701;3,157016; Value-14;0x426CD86C;1114429548;59,21135; Value-15;0x42B5186B;1119164523;90,54769; Value-16;0x43404AA1;1128286881;192,2915; Value-17;0x4306A211;1124508177;134,6331; Value-18;0x42CF61B7;1120887223;103,6908; Value-19;0x42B3E583;1119085955;89,94827; Value-1A;0x42A94FB6;1118392246;84,65569; Value-1B;0x42C07EFA;1119911674;96,248; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A34D5;1133130965;276,4128; Value-1F;0x43C7D7A9;1137170345;399,6848; Value-20;0x43D60418;1138099224;428,032; Value-21;0x43FEC859;1140770905;509,5652; Value-22;0x43C81479;1137185913;400,1599; Value-23;0x437E17A9;1132337065;254,0924; Value-24;0x43BAA71A;1136305946;373,3055; Value-25;0x43D2E69B;1137895067;421,8016; Value-26;0x4387257F;1132930431;270,2929;
2023-11-02_13:25:12.90; Value-01;0x42461472;1111889010;49,51997; Value-02;0x423C29A8;1111239080;47,04068; Value-03;0x42B60638;1119225400;91,01215; Value-04;0x43404AAE;1128286894;192,2917; Value-05;0x4305AA52;1124444754;133,6653; Value-06;0x42CD6721;1120757537;102,7014; Value-07;0x42B27F81;1118994305;89,24903; Value-08;0x42A90FBA;1118375866;84,53072; Value-09;0x42B5DC74;1119214708;90,93057; Value-0A;0x438D536A;1133335402;282,6517; Value-0B;0x43C08F4F;1136693071;385,1196; Value-0C;0x43D4F1A8;1138028968;425,8879; Value-0D;0x43FD04EB;1140655339;506,0384; Value-0E;0x43C53973;1136998771;394,4488; Value-0F;0x4374C841;1131726913;244,7822; Value-10;0x43B322AD;1135813293;358,2709; Value-11;0x43CC669C;1137469084;408,8016; Value-12;0x43C015E2;1136661986;384,171; Value-13;0x40AE3C4C;1085160524;5,44486; Value-14;0x4258B684;1113110148;54,17824; Value-15;0x42B4F435;1119155253;90,47697; Value-16;0x43403041;1128280129;192,1885; Value-17;0x4306E3F8;1124525048;134,8905; Value-18;0x42CF61B7;1120887223;103,6908; Value-19;0x42B3E583;1119085955;89,94827; Value-1A;0x42A94FB6;1118392246;84,65569; Value-1B;0x42C07EFA;1119911674;96,248; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A0CAE;1133120686;276,0991; Value-1F;0x43C7FD98;1137180056;399,9812; Value-20;0x43D60000;1138098176;428; Value-21;0x43FEBB44;1140767556;509,463; Value-22;0x43C809D3;1137183187;400,0768; Value-23;0x437E17A9;1132337065;254,0924; Value-24;0x43BAA71A;1136305946;373,3055; Value-25;0x43D2E69B;1137895067;421,8016; Value-26;0x4387257F;1132930431;270,2929;
2023-11-02_13:25:13.00; Value-01;0x42419AA9;1111595689;48,40104; Value-02;0x42045461;1107580001;33,0824; Value-03;0x42B5CE07;1119211015;90,9024; Value-04;0x433FDBD7;1128258519;191,8587; Value-05;0x43057F11;1124433681;133,4964; Value-06;0x42CD9D53;1120771411;102,8073; Value-07;0x42B31311;1119032081;89,53724; Value-08;0x42A527F5;1118119925;82,57804; Value-09;0x42B5FCC2;1119222978;90,99367; Value-0A;0x438DCF5E;1133367134;283,6201; Value-0B;0x43BFD116;1136644374;383,6335; Value-0C;0x43D4D459;1138021465;425,659; Value-0D;0x43FCB1C6;1140634054;505,3889; Value-0E;0x43C5605D;1137008733;394,7528; Value-0F;0x43782B83;1131948931;248,17; Value-10;0x43B5B4CC;1135981772;363,4125; Value-11;0x43CE17B1;1137579953;412,1851; Value-12;0x439546FE;1133856510;298,5546; Value-13;0x410189DB;1090619867;8,096156; Value-14;0x42812E86;1115762310;64,59087; Value-15;0x42B4E3E2;1119151074;90,44508; Value-16;0x4340473E;1128286014;192,2783; Value-17;0x4306C05C;1124515932;134,7514; Value-18;0x42CF4B05;1120881413;103,6465; Value-19;0x42B4EEA2;1119153826;90,46608; Value-1A;0x42A8F627;1118369319;84,48077; Value-1B;0x42B9A412;1119462418;92,82045; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A7B13;1133148947;276,9615; Value-1F;0x43C7F8E6;1137178854;399,9445; Value-20;0x43D61EE1;1138106081;428,2412; Value-21;0x43FE7D5E;1140751710;508,9794; Value-22;0x43C7885F;1137150047;399,0654; Value-23;0x437F9343;1132434243;255,5752; Value-24;0x43B99400;1136235520;371,1563; Value-25;0x43D666DD;1138124509;428,8036; Value-26;0x43B82420;1136141344;368,2822;
2023-11-02_13:25:13.00; Value-01;0x42419AA9;1111595689;48,40104; Value-02;0x42045461;1107580001;33,0824; Value-03;0x42B5CE07;1119211015;90,9024; Value-04;0x433FDBD7;1128258519;191,8587; Value-05;0x43057F11;1124433681;133,4964; Value-06;0x42CD9D53;1120771411;102,8073; Value-07;0x42B31311;1119032081;89,53724; Value-08;0x42A527F5;1118119925;82,57804; Value-09;0x42B5FCC2;1119222978;90,99367; Value-0A;0x438DCF5E;1133367134;283,6201; Value-0B;0x43BFD116;1136644374;383,6335; Value-0C;0x43D4D459;1138021465;425,659; Value-0D;0x43FCB1C6;1140634054;505,3889; Value-0E;0x43C5605D;1137008733;394,7528; Value-0F;0x43782B83;1131948931;248,17; Value-10;0x43B5B4CC;1135981772;363,4125; Value-11;0x43CE17B1;1137579953;412,1851; Value-12;0x439546FE;1133856510;298,5546; Value-13;0x410189DB;1090619867;8,096156; Value-14;0x42812E86;1115762310;64,59087; Value-15;0x42B4E3E2;1119151074;90,44508; Value-16;0x4340473E;1128286014;192,2783; Value-17;0x4306C05C;1124515932;134,7514; Value-18;0x42CF4B05;1120881413;103,6465; Value-19;0x42B4EEA2;1119153826;90,46608; Value-1A;0x42A8F627;1118369319;84,48077; Value-1B;0x42B9A412;1119462418;92,82045; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A7B13;1133148947;276,9615; Value-1F;0x43C7F8E6;1137178854;399,9445; Value-20;0x43D61EE1;1138106081;428,2412; Value-21;0x43FE7D5E;1140751710;508,9794; Value-22;0x43C7885F;1137150047;399,0654; Value-23;0x437F9343;1132434243;255,5752; Value-24;0x43B99400;1136235520;371,1563; Value-25;0x43D666DD;1138124509;428,8036; Value-26;0x43B82420;1136141344;368,2822;
2023-11-02_13:25:13.10; Value-01;0x42419AA9;1111595689;48,40104; Value-02;0x42045461;1107580001;33,0824; Value-03;0x42B5CE07;1119211015;90,9024; Value-04;0x433FDBD7;1128258519;191,8587; Value-05;0x43057F11;1124433681;133,4964; Value-06;0x42CD64D1;1120756945;102,6969; Value-07;0x42B1DF6E;1118953326;88,93639; Value-08;0x42A5FE6F;1118174831;82,99694; Value-09;0x42B4ABCB;1119136715;90,33553; Value-0A;0x438DCF5E;1133367134;283,6201; Value-0B;0x43BFD116;1136644374;383,6335; Value-0C;0x43D4D459;1138021465;425,659; Value-0D;0x43FCB1C6;1140634054;505,3889; Value-0E;0x43C5605D;1137008733;394,7528; Value-0F;0x43782B83;1131948931;248,17; Value-10;0x43BB4E15;1136348693;374,61; Value-11;0x43C6CF49;1137102665;397,6194; Value-12;0x43944C72;1133792370;296,5972; Value-13;0x410189DB;1090619867;8,096156; Value-14;0x42812E86;1115762310;64,59087; Value-15;0x42B4E3E2;1119151074;90,44508; Value-16;0x4340473E;1128286014;192,2783; Value-17;0x4306C05C;1124515932;134,7514; Value-18;0x42CEB0E2;1120841954;103,3455; Value-19;0x42B4D736;1119147830;90,42033; Value-1A;0x42AA4414;1118454804;85,13297; Value-1B;0x42B56593;1119184275;90,69839; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A7B13;1133148947;276,9615; Value-1F;0x43C7F8E6;1137178854;399,9445; Value-20;0x43D61EE1;1138106081;428,2412; Value-21;0x43FE7D5E;1140751710;508,9794; Value-22;0x43C7885F;1137150047;399,0654; Value-23;0x4380E9C9;1132521929;257,8264; Value-24;0x43B353BD;1135825853;358,6542; Value-25;0x43D2EB94;1137896340;421,8405; Value-26;0x43D1D244;1137824324;419,6427;
2023-11-02_13:25:13.20; Value-01;0x426A8C57;1114278999;58,63705; Value-02;0x42248B7D;1109691261;41,13622; Value-03;0x42B5CA14;1119210004;90,89468; Value-04;0x433FDD95;1128258965;191,8656; Value-05;0x4305CF46;1124454214;133,8097; Value-06;0x42CD35F4;1120744948;102,6054; Value-07;0x42B296EA;1119000298;89,29475; Value-08;0x42A957E3;1118394339;84,67165; Value-09;0x42BC0C44;1119620164;94,02396; Value-0A;0x438E2245;1133388357;284,2677; Value-0B;0x43C00F71;1136660337;384,1206; Value-0C;0x43D4E19D;1138024861;425,7626; Value-0D;0x43FCB87F;1140635775;505,4414; Value-0E;0x43C5068A;1136985738;394,0511; Value-0F;0x43771A4B;1131878987;247,1027; Value-10;0x43BA4413;1136280595;372,5318; Value-11;0x43EF064A;1139738186;478,0491; Value-12;0x00000000;0;0; Value-13;0x4065CAED;1080412909;3,590511; Value-14;0x4275C6E9;1115014889;61,44425; Value-15;0x42B4D288;1119146632;90,41119; Value-16;0x43401A31;1128274481;192,1023; Value-17;0x430688B0;1124501680;134,5339; Value-18;0x42CEE653;1120855635;103,4499; Value-19;0x42B3CD34;1119079732;89,90079; Value-1A;0x42A94F47;1118392135;84,65484; Value-1B;0x42B5CBAC;1119210412;90,8978; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A231E;1133126430;276,2744; Value-1F;0x43C7D7C9;1137170377;399,6858; Value-20;0x43D5F929;1138096425;427,9466; Value-21;0x43FBAE45;1140567621;503,3615; Value-22;0x43C78D83;1137151363;399,1056; Value-23;0x43810218;1132528152;258,0164; Value-24;0x43A76F21;1135046433;334,8682; Value-25;0x43D24BB8;1137855416;420,5916; Value-26;0x43A2F16A;1134752106;325,886;
2023-11-02_13:25:13.20; Value-01;0x426A8C57;1114278999;58,63705; Value-02;0x42248B7D;1109691261;41,13622; Value-03;0x42B5CA14;1119210004;90,89468; Value-04;0x433FDD95;1128258965;191,8656; Value-05;0x4305CF46;1124454214;133,8097; Value-06;0x42CD35F4;1120744948;102,6054; Value-07;0x42B296EA;1119000298;89,29475; Value-08;0x42A957E3;1118394339;84,67165; Value-09;0x42BC0C44;1119620164;94,02396; Value-0A;0x438E2245;1133388357;284,2677; Value-0B;0x43C00F71;1136660337;384,1206; Value-0C;0x43D4E19D;1138024861;425,7626; Value-0D;0x43FCB87F;1140635775;505,4414; Value-0E;0x43C5068A;1136985738;394,0511; Value-0F;0x43771A4B;1131878987;247,1027; Value-10;0x43BA4413;1136280595;372,5318; Value-11;0x43EF064A;1139738186;478,0491; Value-12;0x00000000;0;0; Value-13;0x4065CAED;1080412909;3,590511; Value-14;0x4275C6E9;1115014889;61,44425; Value-15;0x42B4D288;1119146632;90,41119; Value-16;0x43401A31;1128274481;192,1023; Value-17;0x430688B0;1124501680;134,5339; Value-18;0x42CEE653;1120855635;103,4499; Value-19;0x42B3CD34;1119079732;89,90079; Value-1A;0x42A94F47;1118392135;84,65484; Value-1B;0x42B5CBAC;1119210412;90,8978; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A231E;1133126430;276,2744; Value-1F;0x43C7D7C9;1137170377;399,6858; Value-20;0x43D5F929;1138096425;427,9466; Value-21;0x43FBAE45;1140567621;503,3615; Value-22;0x43C78D83;1137151363;399,1056; Value-23;0x43810218;1132528152;258,0164; Value-24;0x43A76F21;1135046433;334,8682; Value-25;0x43D24BB8;1137855416;420,5916; Value-26;0x43A2F16A;1134752106;325,886;
2023-11-02_13:25:13.30; Value-01;0x42856398;1116038040;66,69452; Value-02;0x42218137;1109492023;40,37619; Value-03;0x42B5B4B2;1119204530;90,85292; Value-04;0x433FBFE7;1128251367;191,7496; Value-05;0x4305B931;1124448561;133,7234; Value-06;0x42CE276D;1120806765;103,077; Value-07;0x42B1DDF0;1118952944;88,93347; Value-08;0x42A957E3;1118394339;84,67165; Value-09;0x42BC0C44;1119620164;94,02396; Value-0A;0x438DEDC0;1133374912;283,8574; Value-0B;0x43BFD69E;1136645790;383,6767; Value-0C;0x43D56CF1;1138060529;426,8511; Value-0D;0x43FD2FF4;1140666356;506,3746; Value-0E;0x43C4DC84;1136974980;393,7228; Value-0F;0x437412A1;1131680417;244,0728; Value-10;0x43C3095F;1136855391;390,0732; Value-11;0x43E6E65D;1139205725;461,7997; Value-12;0x00000000;0;0; Value-13;0x3E626E8D;1046638221;0,2211248; Value-14;0x426F84E9;1114604777;59,8798; Value-15;0x42B4FFFD;1119158269;90,49998; Value-16;0x4340447B;1128285307;192,2675; Value-17;0x43069DD1;1124507089;134,6165; Value-18;0x42CF1BB3;1120869299;103,5541; Value-19;0x42B3CCA8;1119079592;89,89972; Value-1A;0x42A603E3;1118176227;83,00759; Value-1B;0x42B5CBAC;1119210412;90,8978; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A04DB;1133118683;276,0379; Value-1F;0x43C77696;1137145494;398,9265; Value-20;0x43D5930C;1138070284;427,1488; Value-21;0x43FE7DF5;1140751861;508,984; Value-22;0x43C7883F;1137150015;399,0644; Value-23;0x437BABBC;1132178364;251,6708; Value-24;0x43AB910D;1135317261;343,1332; Value-25;0x00000000;0;0; Value-26;0x43A2F16A;1134752106;325,886;
2023-11-02_13:25:13.30; Value-01;0x42856398;1116038040;66,69452; Value-02;0x42218137;1109492023;40,37619; Value-03;0x42B5B4B2;1119204530;90,85292; Value-04;0x433FBFE7;1128251367;191,7496; Value-05;0x4305B931;1124448561;133,7234; Value-06;0x42CE276D;1120806765;103,077; Value-07;0x42B1DDF0;1118952944;88,93347; Value-08;0x42A957E3;1118394339;84,67165; Value-09;0x42BC0C44;1119620164;94,02396; Value-0A;0x438DEDC0;1133374912;283,8574; Value-0B;0x43BFD69E;1136645790;383,6767; Value-0C;0x43D56CF1;1138060529;426,8511; Value-0D;0x43FD2FF4;1140666356;506,3746; Value-0E;0x43C4DC84;1136974980;393,7228; Value-0F;0x437412A1;1131680417;244,0728; Value-10;0x43C3095F;1136855391;390,0732; Value-11;0x43E6E65D;1139205725;461,7997; Value-12;0x00000000;0;0; Value-13;0x3E626E8D;1046638221;0,2211248; Value-14;0x426F84E9;1114604777;59,8798; Value-15;0x42B4FFFD;1119158269;90,49998; Value-16;0x4340447B;1128285307;192,2675; Value-17;0x43069DD1;1124507089;134,6165; Value-18;0x42CF1BB3;1120869299;103,5541; Value-19;0x42B3CCA8;1119079592;89,89972; Value-1A;0x42A603E3;1118176227;83,00759; Value-1B;0x42B5CBAC;1119210412;90,8978; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A04DB;1133118683;276,0379; Value-1F;0x43C77696;1137145494;398,9265; Value-20;0x43D5930C;1138070284;427,1488; Value-21;0x43FE7DF5;1140751861;508,984; Value-22;0x43C7883F;1137150015;399,0644; Value-23;0x437BABBC;1132178364;251,6708; Value-24;0x43AB910D;1135317261;343,1332; Value-25;0x00000000;0;0; Value-26;0x43A2F16A;1134752106;325,886;
