Timestamp;Data
2023-11-03_13:27:10.33; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CBF8ED;1120663789;101,9862; Value-05;0x42C7BCA2;1120386210;99,86842; Value-06;0x42C6A9B1;1120315825;99,33143; Value-07;0x42C50805;1120208901;98,51566; Value-08;0x42C5C67C;1120257660;98,88766; Value-09;0x42C61AA6;1120279206;99,05205; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9C73F;1120519999;100,8892; Value-0F;0x42C9C353;1120518995;100,8815; Value-10;0x42CDC83D;1120782397;102,8911; Value-11;0x42E5FDDF;1122368991;114,9958; Value-12;0x42FDBEC1;1123925697;126,8726; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C94C6E;1120488558;100,6493; Value-18;0x42C85195;1120424341;100,1593; Value-19;0x42C6B6F3;1120319219;99,35732; Value-1A;0x42C7A5F7;1120380407;99,82415; Value-1B;0x42C8AECE;1120448206;100,3414; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CBA258;1120641624;101,8171; Value-23;0x42CB9420;1120637984;101,7893; Value-24;0x42CF3498;1120875672;103,6027; Value-25;0x42E63BE6;1122384870;115,117; Value-26;0x4304332D;1124348717;132,1999;
2023-11-03_13:27:10.56; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CBF8ED;1120663789;101,9862; Value-05;0x42C7BCA2;1120386210;99,86842; Value-06;0x42C6A9B1;1120315825;99,33143; Value-07;0x42C50805;1120208901;98,51566; Value-08;0x42C5C67C;1120257660;98,88766; Value-09;0x42C61AA6;1120279206;99,05205; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9C73F;1120519999;100,8892; Value-0F;0x42C9C353;1120518995;100,8815; Value-10;0x42CDC83D;1120782397;102,8911; Value-11;0x42E5FDDF;1122368991;114,9958; Value-12;0x42FDBEC1;1123925697;126,8726; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C94C6E;1120488558;100,6493; Value-18;0x42C85195;1120424341;100,1593; Value-19;0x42C6B6F3;1120319219;99,35732; Value-1A;0x42C7A5F7;1120380407;99,82415; Value-1B;0x42C8AECE;1120448206;100,3414; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CBA258;1120641624;101,8171; Value-23;0x42CB9420;1120637984;101,7893; Value-24;0x42CF3498;1120875672;103,6027; Value-25;0x42E63BE6;1122384870;115,117; Value-26;0x4304332D;1124348717;132,1999;
2023-11-03_13:27:10.56; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CBF8ED;1120663789;101,9862; Value-05;0x42C7BCA2;1120386210;99,86842; Value-06;0x42C6A9B1;1120315825;99,33143; Value-07;0x42C50805;1120208901;98,51566; Value-08;0x42C5C67C;1120257660;98,88766; Value-09;0x42C61AA6;1120279206;99,05205; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9C73F;1120519999;100,8892; Value-0F;0x42C9C353;1120518995;100,8815; Value-10;0x42CDC83D;1120782397;102,8911; Value-11;0x42E5FDDF;1122368991;114,9958; Value-12;0x42FDBEC1;1123925697;126,8726; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C94C6E;1120488558;100,6493; Value-18;0x42C85195;1120424341;100,1593; Value-19;0x42C6B6F3;1120319219;99,35732; Value-1A;0x42C7A5F7;1120380407;99,82415; Value-1B;0x42C8AECE;1120448206;100,3414; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CBA258;1120641624;101,8171; Value-23;0x42CB9420;1120637984;101,7893; Value-24;0x42CF3498;1120875672;103,6027; Value-25;0x42E63BE6;1122384870;115,117; Value-26;0x4304332D;1124348717;132,1999;
2023-11-03_13:27:10.56; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CBF8ED;1120663789;101,9862; Value-05;0x42C7BCA2;1120386210;99,86842; Value-06;0x42C6A9B1;1120315825;99,33143; Value-07;0x42C50805;1120208901;98,51566; Value-08;0x42C5C67C;1120257660;98,88766; Value-09;0x42C61AA6;1120279206;99,05205; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9C73F;1120519999;100,8892; Value-0F;0x42C9C353;1120518995;100,8815; Value-10;0x42CDC83D;1120782397;102,8911; Value-11;0x42E5FDDF;1122368991;114,9958; Value-12;0x42FDBEC1;1123925697;126,8726; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C94C6E;1120488558;100,6493; Value-18;0x42C85195;1120424341;100,1593; Value-19;0x42C6B6F3;1120319219;99,35732; Value-1A;0x42C7A5F7;1120380407;99,82415; Value-1B;0x42C8AECE;1120448206;100,3414; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CBA258;1120641624;101,8171; Value-23;0x42CB9420;1120637984;101,7893; Value-24;0x42CF3498;1120875672;103,6027; Value-25;0x42E63BE6;1122384870;115,117; Value-26;0x4304332D;1124348717;132,1999;
2023-11-03_13:27:10.56; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CBF8ED;1120663789;101,9862; Value-05;0x42C7BCA2;1120386210;99,86842; Value-06;0x42C6A9B1;1120315825;99,33143; Value-07;0x42C50805;1120208901;98,51566; Value-08;0x42C5C67C;1120257660;98,88766; Value-09;0x42C61AA6;1120279206;99,05205; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9C73F;1120519999;100,8892; Value-0F;0x42C9C353;1120518995;100,8815; Value-10;0x42CDC83D;1120782397;102,8911; Value-11;0x42E5FDDF;1122368991;114,9958; Value-12;0x42FDBEC1;1123925697;126,8726; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C94C6E;1120488558;100,6493; Value-18;0x42C85195;1120424341;100,1593; Value-19;0x42C6B6F3;1120319219;99,35732; Value-1A;0x42C7A5F7;1120380407;99,82415; Value-1B;0x42C8AECE;1120448206;100,3414; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CBA258;1120641624;101,8171; Value-23;0x42CB9420;1120637984;101,7893; Value-24;0x42CF3498;1120875672;103,6027; Value-25;0x42E63BE6;1122384870;115,117; Value-26;0x4304332D;1124348717;132,1999;
2023-11-03_13:27:10.65; Value-01;0x3DECE425;1038935077;0,1156695; Value-02;0x41197D46;1092189510;9,593084; Value-03;0x42D5CF3C;1121308476;106,9048; Value-04;0x42CC01F7;1120666103;102,0038; Value-05;0x42C7CF53;1120390995;99,90493; Value-06;0x42C6B38C;1120318348;99,35068; Value-07;0x42C4D1CB;1120195019;98,40975; Value-08;0x42C5C49C;1120257180;98,884; Value-09;0x42C64AC2;1120291522;99,14601; Value-0A;0x42C21A10;1120016912;97,0509; Value-0B;0x42B80FF5;1119358965;92,03117; Value-0C;0x42CAE7D1;1120593873;101,4528; Value-0D;0x42CA01FE;1120535038;101,0039; Value-0E;0x42C9960F;1120507407;100,7931; Value-0F;0x42C97400;1120498688;100,7266; Value-10;0x42CD583E;1120753726;102,6723; Value-11;0x42E590D8;1122341080;114,7829; Value-12;0x43009A6E;1124113006;128,6032; Value-13;0x3C5411B5;1012142517;0,01294367; Value-14;0x40867110;1082552592;4,201302; Value-15;0x42D4DE88;1121246856;106,4346; Value-16;0x42CD1A08;1120737800;102,5508; Value-17;0x42C95D05;1120492805;100,6817; Value-18;0x42C856E2;1120425698;100,1697; Value-19;0x42C6ABE4;1120316388;99,33572; Value-1A;0x42C7F327;1120400167;99,97491; Value-1B;0x42C80290;1120404112;100,005; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C44172;1120158066;98,12782; Value-1F;0x42CB1FCA;1120608202;101,5621; Value-20;0x42CC8008;1120698376;102,2501; Value-21;0x42CBC48A;1120650378;101,8839; Value-22;0x42CB6B04;1120627460;101,709; Value-23;0x42CB86AA;1120634538;101,763; Value-24;0x42CFEA6F;1120922223;103,9579; Value-25;0x42E87693;1122530963;116,2316; Value-26;0x42F98605;1123649029;124,7618;
2023-11-03_13:27:10.86; Value-01;0x3FBAFAF8;1069218552;1,460784; Value-02;0x41059A51;1090886225;8,350175; Value-03;0x42D63FAA;1121337258;107,1243; Value-04;0x42CC07CD;1120667597;102,0152; Value-05;0x42C7D2FF;1120391935;99,9121; Value-06;0x42C6ACC4;1120316612;99,33743; Value-07;0x42C50105;1120207109;98,50199; Value-08;0x42C5BCC8;1120255176;98,86871; Value-09;0x42C61606;1120278022;99,04301; Value-0A;0x42C1DEC6;1120001734;96,9351; Value-0B;0x42B83DE6;1119370726;92,1209; Value-0C;0x42CAB325;1120580389;101,3499; Value-0D;0x42C9F65F;1120532063;100,9812; Value-0E;0x42C9A9B8;1120512440;100,8315; Value-0F;0x42C98876;1120503926;100,7665; Value-10;0x42CD7562;1120761186;102,7293; Value-11;0x42E6ED56;1122430294;115,4635; Value-12;0x42F7774A;1123514186;123,733; Value-13;0x3DAD8FC5;1034784709;0,08474687; Value-14;0xBF945CAA;-1080795990;-1,159078; Value-15;0x42D49D97;1121230231;106,3078; Value-16;0x42CD243C;1120740412;102,5708; Value-17;0x42C949BF;1120487871;100,644; Value-18;0x42C847AD;1120421805;100,14; Value-19;0x42C6ACF6;1120316662;99,33781; Value-1A;0x42C76719;1120364313;99,70136; Value-1B;0x42C7E956;1120397654;99,95573; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C4F7A9;1120204713;98,48371; Value-1F;0x42CB4383;1120617347;101,6319; Value-20;0x42CC825A;1120698970;102,2546; Value-21;0x42CBBD72;1120648562;101,87; Value-22;0x42CB873C;1120634684;101,7641; Value-23;0x42CB43A8;1120617384;101,6321; Value-24;0x42D051FE;1120948734;104,1601; Value-25;0x42E6F6AE;1122432686;115,4818; Value-26;0x42FD4503;1123894531;126,6348;
2023-11-03_13:27:10.86; Value-01;0x3FBAFAF8;1069218552;1,460784; Value-02;0x41059A51;1090886225;8,350175; Value-03;0x42D63FAA;1121337258;107,1243; Value-04;0x42CC07CD;1120667597;102,0152; Value-05;0x42C7D2FF;1120391935;99,9121; Value-06;0x42C6ACC4;1120316612;99,33743; Value-07;0x42C50105;1120207109;98,50199; Value-08;0x42C5BCC8;1120255176;98,86871; Value-09;0x42C61606;1120278022;99,04301; Value-0A;0x42C1DEC6;1120001734;96,9351; Value-0B;0x42B83DE6;1119370726;92,1209; Value-0C;0x42CAB325;1120580389;101,3499; Value-0D;0x42C9F65F;1120532063;100,9812; Value-0E;0x42C9A9B8;1120512440;100,8315; Value-0F;0x42C98876;1120503926;100,7665; Value-10;0x42CD7562;1120761186;102,7293; Value-11;0x42E6ED56;1122430294;115,4635; Value-12;0x42F7774A;1123514186;123,733; Value-13;0x3DAD8FC5;1034784709;0,08474687; Value-14;0xBF945CAA;-1080795990;-1,159078; Value-15;0x42D49D97;1121230231;106,3078; Value-16;0x42CD243C;1120740412;102,5708; Value-17;0x42C949BF;1120487871;100,644; Value-18;0x42C847AD;1120421805;100,14; Value-19;0x42C6ACF6;1120316662;99,33781; Value-1A;0x42C76719;1120364313;99,70136; Value-1B;0x42C7E956;1120397654;99,95573; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C4F7A9;1120204713;98,48371; Value-1F;0x42CB4383;1120617347;101,6319; Value-20;0x42CC825A;1120698970;102,2546; Value-21;0x42CBBD72;1120648562;101,87; Value-22;0x42CB873C;1120634684;101,7641; Value-23;0x42CB43A8;1120617384;101,6321; Value-24;0x42D051FE;1120948734;104,1601; Value-25;0x42E6F6AE;1122432686;115,4818; Value-26;0x42FD4503;1123894531;126,6348;
2023-11-03_13:27:10.87; Value-01;0x3FBAFAF8;1069218552;1,460784; Value-02;0x41059A51;1090886225;8,350175; Value-03;0x42D63FAA;1121337258;107,1243; Value-04;0x42CC07CD;1120667597;102,0152; Value-05;0x42C7D2FF;1120391935;99,9121; Value-06;0x42C6ACC4;1120316612;99,33743; Value-07;0x42C50105;1120207109;98,50199; Value-08;0x42C5BCC8;1120255176;98,86871; Value-09;0x42C61606;1120278022;99,04301; Value-0A;0x42C1DEC6;1120001734;96,9351; Value-0B;0x42B83DE6;1119370726;92,1209; Value-0C;0x42CAB325;1120580389;101,3499; Value-0D;0x42C9F65F;1120532063;100,9812; Value-0E;0x42C9A9B8;1120512440;100,8315; Value-0F;0x42C98876;1120503926;100,7665; Value-10;0x42CD7562;1120761186;102,7293; Value-11;0x42E6ED56;1122430294;115,4635; Value-12;0x42F7774A;1123514186;123,733; Value-13;0x3DAD8FC5;1034784709;0,08474687; Value-14;0xBF945CAA;-1080795990;-1,159078; Value-15;0x42D49D97;1121230231;106,3078; Value-16;0x42CD243C;1120740412;102,5708; Value-17;0x42C949BF;1120487871;100,644; Value-18;0x42C847AD;1120421805;100,14; Value-19;0x42C6ACF6;1120316662;99,33781; Value-1A;0x42C76719;1120364313;99,70136; Value-1B;0x42C7E956;1120397654;99,95573; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C4F7A9;1120204713;98,48371; Value-1F;0x42CB4383;1120617347;101,6319; Value-20;0x42CC825A;1120698970;102,2546; Value-21;0x42CBBD72;1120648562;101,87; Value-22;0x42CB873C;1120634684;101,7641; Value-23;0x42CB43A8;1120617384;101,6321; Value-24;0x42D051FE;1120948734;104,1601; Value-25;0x42E6F6AE;1122432686;115,4818; Value-26;0x42FD4503;1123894531;126,6348;
2023-11-03_13:27:10.87; Value-01;0x3FBAFAF8;1069218552;1,460784; Value-02;0x41059A51;1090886225;8,350175; Value-03;0x42D63FAA;1121337258;107,1243; Value-04;0x42CC07CD;1120667597;102,0152; Value-05;0x42C7D2FF;1120391935;99,9121; Value-06;0x42C6ACC4;1120316612;99,33743; Value-07;0x42C50105;1120207109;98,50199; Value-08;0x42C5BCC8;1120255176;98,86871; Value-09;0x42C61606;1120278022;99,04301; Value-0A;0x42C1DEC6;1120001734;96,9351; Value-0B;0x42B83DE6;1119370726;92,1209; Value-0C;0x42CAB325;1120580389;101,3499; Value-0D;0x42C9F65F;1120532063;100,9812; Value-0E;0x42C9A9B8;1120512440;100,8315; Value-0F;0x42C98876;1120503926;100,7665; Value-10;0x42CD7562;1120761186;102,7293; Value-11;0x42E6ED56;1122430294;115,4635; Value-12;0x42F7774A;1123514186;123,733; Value-13;0x3DAD8FC5;1034784709;0,08474687; Value-14;0xBF945CAA;-1080795990;-1,159078; Value-15;0x42D49D97;1121230231;106,3078; Value-16;0x42CD243C;1120740412;102,5708; Value-17;0x42C949BF;1120487871;100,644; Value-18;0x42C847AD;1120421805;100,14; Value-19;0x42C6ACF6;1120316662;99,33781; Value-1A;0x42C76719;1120364313;99,70136; Value-1B;0x42C7E956;1120397654;99,95573; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C4F7A9;1120204713;98,48371; Value-1F;0x42CB4383;1120617347;101,6319; Value-20;0x42CC825A;1120698970;102,2546; Value-21;0x42CBBD72;1120648562;101,87; Value-22;0x42CB873C;1120634684;101,7641; Value-23;0x42CB43A8;1120617384;101,6321; Value-24;0x42D051FE;1120948734;104,1601; Value-25;0x42E6F6AE;1122432686;115,4818; Value-26;0x42FD4503;1123894531;126,6348;
2023-11-03_13:27:11.07; Value-01;0x3FBAFAF8;1069218552;1,460784; Value-02;0x41059A51;1090886225;8,350175; Value-03;0x42D63FAA;1121337258;107,1243; Value-04;0x42CC07CD;1120667597;102,0152; Value-05;0x42C7D2FF;1120391935;99,9121; Value-06;0x42C6ACD5;1120316629;99,33756; Value-07;0x42C5184F;1120213071;98,54748; Value-08;0x42C5E6F6;1120265974;98,9511; Value-09;0x42C63642;1120286274;99,10597; Value-0A;0x42C1DEC6;1120001734;96,9351; Value-0B;0x42B83DE6;1119370726;92,1209; Value-0C;0x42CAB325;1120580389;101,3499; Value-0D;0x42C9F65F;1120532063;100,9812; Value-0E;0x42C9A9B8;1120512440;100,8315; Value-0F;0x42C9A3A6;1120510886;100,8196; Value-10;0x42CE0087;1120796807;103,001; Value-11;0x42E6569A;1122391706;115,1691; Value-12;0x42FD518E;1123897742;126,6593; Value-13;0x3DAD8FC5;1034784709;0,08474687; Value-14;0xBF945CAA;-1080795990;-1,159078; Value-15;0x42D49D97;1121230231;106,3078; Value-16;0x42CD243C;1120740412;102,5708; Value-17;0x42C949BF;1120487871;100,644; Value-18;0x42C8553D;1120425277;100,1665; Value-19;0x42C6BC0C;1120320524;99,36728; Value-1A;0x42C7D220;1120391712;99,9104; Value-1B;0x42C783B7;1120371639;99,75726; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C4F7A9;1120204713;98,48371; Value-1F;0x42CB4383;1120617347;101,6319; Value-20;0x42CC825A;1120698970;102,2546; Value-21;0x42CBBD72;1120648562;101,87; Value-22;0x42CB873C;1120634684;101,7641; Value-23;0x42CBA0FF;1120641279;101,8144; Value-24;0x42CFF8D0;1120925904;103,986; Value-25;0x42E442C5;1122255557;114,1304; Value-26;0x43014338;1124156216;129,2626;
