Timestamp;Data
2023-11-03_13:40:18.62; Value-01;0x404AA20E;1078632974;3,166141; Value-02;0x424594F8;1111856376;49,39548; Value-03;0x42C06EAD;1119907501;96,21616; Value-04;0x42BE2FEB;1119760363;95,09359; Value-05;0x42BCCEAB;1119669931;94,40365; Value-06;0x42BE49B3;1119766963;95,14394; Value-07;0x42BA8C42;1119521858;93,27394; Value-08;0x42B9A9EC;1119463916;92,83188; Value-09;0x42BB4AF6;1119570678;93,64641; Value-0A;0x42B1D062;1118949474;88,907; Value-0B;0x42B276AD;1118992045;89,23179; Value-0C;0x42B610A6;1119228070;91,03252; Value-0D;0x42B419B6;1119099318;90,05022; Value-0E;0x42BCE195;1119674773;94,44059; Value-0F;0x42BBAAA9;1119595177;93,83332; Value-10;0x425D4C1B;1113410587;55,32432; Value-11;0x432564B6;1126524086;165,3934; Value-12;0x00000000;0;0; Value-13;0xBF854DCB;-1081782837;-1,041437; Value-14;0xC0975CAE;-1063822162;-4,730063; Value-15;0x42C1B349;1119990601;96,85017; Value-16;0x42BFADBC;1119858108;95,83932; Value-17;0x42BE931A;1119785754;95,28731; Value-18;0x42BFBC1E;1119861790;95,86742; Value-19;0x42BB70FD;1119580413;93,72068; Value-1A;0x42BBC09D;1119600797;93,8762; Value-1B;0x42BE8C0A;1119783946;95,27351; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3FE6D;1119092333;89,99693; Value-1F;0x42B848E7;1119373543;92,14239; Value-20;0x42B86DA8;1119382952;92,21417; Value-21;0x42B649A5;1119242661;91,14384; Value-22;0x42BD2DCD;1119694285;94,58945; Value-23;0x42BAA1CF;1119527375;93,31603; Value-24;0x42A791BA;1118278074;83,78462; Value-25;0x00000000;0;0; Value-26;0x43452542;1128604994;197,1455;
2023-11-03_13:40:18.82; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE2FEB;1119760363;95,09359; Value-05;0x42BCCEAB;1119669931;94,40365; Value-06;0x42BE49B3;1119766963;95,14394; Value-07;0x42BA8C42;1119521858;93,27394; Value-08;0x42B9A9EC;1119463916;92,83188; Value-09;0x42BB4AF6;1119570678;93,64641; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BCE195;1119674773;94,44059; Value-0F;0x42BBAAA9;1119595177;93,83332; Value-10;0x425D4C1B;1113410587;55,32432; Value-11;0x432564B6;1126524086;165,3934; Value-12;0x00000000;0;0; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE931A;1119785754;95,28731; Value-18;0x42BFBC1E;1119861790;95,86742; Value-19;0x42BB70FD;1119580413;93,72068; Value-1A;0x42BBC09D;1119600797;93,8762; Value-1B;0x42BE8C0A;1119783946;95,27351; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BD2DCD;1119694285;94,58945; Value-23;0x42BAA1CF;1119527375;93,31603; Value-24;0x42A791BA;1118278074;83,78462; Value-25;0x00000000;0;0; Value-26;0x43452542;1128604994;197,1455;
2023-11-03_13:40:18.82; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE2FEB;1119760363;95,09359; Value-05;0x42BCCEAB;1119669931;94,40365; Value-06;0x42BE49B3;1119766963;95,14394; Value-07;0x42BA8C42;1119521858;93,27394; Value-08;0x42B9A9EC;1119463916;92,83188; Value-09;0x42BB4AF6;1119570678;93,64641; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BCE195;1119674773;94,44059; Value-0F;0x42BBAAA9;1119595177;93,83332; Value-10;0x425D4C1B;1113410587;55,32432; Value-11;0x432564B6;1126524086;165,3934; Value-12;0x00000000;0;0; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE931A;1119785754;95,28731; Value-18;0x42BFBC1E;1119861790;95,86742; Value-19;0x42BB70FD;1119580413;93,72068; Value-1A;0x42BBC09D;1119600797;93,8762; Value-1B;0x42BE8C0A;1119783946;95,27351; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BD2DCD;1119694285;94,58945; Value-23;0x42BAA1CF;1119527375;93,31603; Value-24;0x42A791BA;1118278074;83,78462; Value-25;0x00000000;0;0; Value-26;0x43452542;1128604994;197,1455;
2023-11-03_13:40:18.82; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE2FEB;1119760363;95,09359; Value-05;0x42BCCEAB;1119669931;94,40365; Value-06;0x42BE49B3;1119766963;95,14394; Value-07;0x42BA8C42;1119521858;93,27394; Value-08;0x42B9A9EC;1119463916;92,83188; Value-09;0x42BB4AF6;1119570678;93,64641; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BCE195;1119674773;94,44059; Value-0F;0x42BBAAA9;1119595177;93,83332; Value-10;0x425D4C1B;1113410587;55,32432; Value-11;0x432564B6;1126524086;165,3934; Value-12;0x00000000;0;0; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE931A;1119785754;95,28731; Value-18;0x42BFBC1E;1119861790;95,86742; Value-19;0x42BB70FD;1119580413;93,72068; Value-1A;0x42BBC09D;1119600797;93,8762; Value-1B;0x42BE8C0A;1119783946;95,27351; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BD2DCD;1119694285;94,58945; Value-23;0x42BAA1CF;1119527375;93,31603; Value-24;0x42A791BA;1118278074;83,78462; Value-25;0x00000000;0;0; Value-26;0x43452542;1128604994;197,1455;
2023-11-03_13:40:19.03; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE5722;1119770402;95,17018; Value-05;0x42BD0D8C;1119686028;94,52646; Value-06;0x42BE88E2;1119783138;95,26735; Value-07;0x42BAEE9A;1119547034;93,46602; Value-08;0x42BAF697;1119549079;93,48162; Value-09;0x42BC0A0C;1119619596;94,01962; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BB2A7A;1119562362;93,58296; Value-0F;0x42B8F738;1119418168;92,48285; Value-10;0x41C85538;1103648056;25,04161; Value-11;0x42FBCCF9;1123798265;125,9003; Value-12;0x43181169;1125650793;152,068; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE9315;1119785749;95,28727; Value-18;0x42C00924;1119881508;96,01785; Value-19;0x42BC6411;1119642641;94,19544; Value-1A;0x42BA9CA7;1119526055;93,30596; Value-1B;0x42BDA43B;1119724603;94,82076; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BC021A;1119617562;94,0041; Value-23;0x42B8E585;1119413637;92,44828; Value-24;0x42555B6B;1112890219;53,33928; Value-25;0x42F62818;1123428376;123,0783; Value-26;0x436E8676;1131316854;238,5252;
2023-11-03_13:40:19.03; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE5722;1119770402;95,17018; Value-05;0x42BD0D8C;1119686028;94,52646; Value-06;0x42BE88E2;1119783138;95,26735; Value-07;0x42BAEE9A;1119547034;93,46602; Value-08;0x42BAF697;1119549079;93,48162; Value-09;0x42BC0A0C;1119619596;94,01962; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BB2A7A;1119562362;93,58296; Value-0F;0x42B8F738;1119418168;92,48285; Value-10;0x41C85538;1103648056;25,04161; Value-11;0x42FBCCF9;1123798265;125,9003; Value-12;0x43181169;1125650793;152,068; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE9315;1119785749;95,28727; Value-18;0x42C00924;1119881508;96,01785; Value-19;0x42BC6411;1119642641;94,19544; Value-1A;0x42BA9CA7;1119526055;93,30596; Value-1B;0x42BDA43B;1119724603;94,82076; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BC021A;1119617562;94,0041; Value-23;0x42B8E585;1119413637;92,44828; Value-24;0x42555B6B;1112890219;53,33928; Value-25;0x42F62818;1123428376;123,0783; Value-26;0x436E8676;1131316854;238,5252;
2023-11-03_13:40:19.03; Value-01;0xBF904E65;-1081061787;-1,127392; Value-02;0xC24E1D2A;-1035068118;-51,52848; Value-03;0x42C05CDA;1119902938;96,18135; Value-04;0x42BE5722;1119770402;95,17018; Value-05;0x42BD0D8C;1119686028;94,52646; Value-06;0x42BE88E2;1119783138;95,26735; Value-07;0x42BAEE9A;1119547034;93,46602; Value-08;0x42BAF697;1119549079;93,48162; Value-09;0x42BC0A0C;1119619596;94,01962; Value-0A;0x42B1C23C;1118945852;88,87936; Value-0B;0x42B27848;1118992456;89,23492; Value-0C;0x42B5F991;1119222161;90,98743; Value-0D;0x42B3D590;1119081872;89,91711; Value-0E;0x42BB2A7A;1119562362;93,58296; Value-0F;0x42B8F738;1119418168;92,48285; Value-10;0x41C85538;1103648056;25,04161; Value-11;0x42FBCCF9;1123798265;125,9003; Value-12;0x43181169;1125650793;152,068; Value-13;0xC0076DE4;-1073254940;-2,116082; Value-14;0xC266183A;-1033496518;-57,52366; Value-15;0x42C1A3AA;1119986602;96,81966; Value-16;0x42BFB1E4;1119859172;95,84744; Value-17;0x42BE9315;1119785749;95,28727; Value-18;0x42C00924;1119881508;96,01785; Value-19;0x42BC6411;1119642641;94,19544; Value-1A;0x42BA9CA7;1119526055;93,30596; Value-1B;0x42BDA43B;1119724603;94,82076; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F5C8;1119090120;89,98004; Value-1F;0x42B84E81;1119374977;92,15333; Value-20;0x42B875C7;1119385031;92,23003; Value-21;0x42B6D3D5;1119278037;91,41373; Value-22;0x42BC021A;1119617562;94,0041; Value-23;0x42B8E585;1119413637;92,44828; Value-24;0x42555B6B;1112890219;53,33928; Value-25;0x42F62818;1123428376;123,0783; Value-26;0x436E8676;1131316854;238,5252;
2023-11-03_13:40:19.24; Value-01;0x4027C298;1076347544;2,621252; Value-02;0x4298863C;1117292092;76,26218; Value-03;0x42C05A07;1119902215;96,17583; Value-04;0x42BE447A;1119765626;95,13374; Value-05;0x42BCC702;1119667970;94,38869; Value-06;0x42BDDF6D;1119739757;94,93638; Value-07;0x42BA4D22;1119505698;93,15065; Value-08;0x42B97174;1119449460;92,72159; Value-09;0x42B9A47F;1119462527;92,82128; Value-0A;0x42B1E1EB;1118953963;88,94125; Value-0B;0x42B28AAF;1118997167;89,27087; Value-0C;0x42B5F505;1119220997;90,97855; Value-0D;0x42B49933;1119131955;90,29922; Value-0E;0x42B9FE0B;1119485451;92,99618; Value-0F;0x42B7BCB0;1119337648;91,86853; Value-10;0x428E24EA;1116611818;71,0721; Value-11;0x42CA7743;1120565059;101,2329; Value-12;0x4399B605;1134147077;307,422; Value-13;0x4125B57B;1092990331;10,35681; Value-14;0x4123E5EF;1092871663;10,24364; Value-15;0x42C19D1C;1119984924;96,80685; Value-16;0x42BFA6AA;1119856298;95,82552; Value-17;0x42BE85A7;1119782311;95,26104; Value-18;0x42BFA0A5;1119854757;95,81376; Value-19;0x42BBA1A4;1119592868;93,8157; Value-1A;0x42BEA4FE;1119790334;95,32225; Value-1B;0x42BB1C11;1119558673;93,55482; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B42250;1119101520;90,06702; Value-1F;0x42B84B2A;1119374122;92,1468; Value-20;0x42B84B3F;1119374143;92,14697; Value-21;0x42B6CD9F;1119276447;91,4016; Value-22;0x42C03747;1119893319;96,10796; Value-23;0x42C972EE;1120498414;100,7245; Value-24;0x4294D672;1117050482;74,41884; Value-25;0x431908D7;1125714135;153,0345; Value-26;0x4325C467;1126548583;165,7672;
2023-11-03_13:40:19.24; Value-01;0x4027C298;1076347544;2,621252; Value-02;0x4298863C;1117292092;76,26218; Value-03;0x42C05A07;1119902215;96,17583; Value-04;0x42BE447A;1119765626;95,13374; Value-05;0x42BCC702;1119667970;94,38869; Value-06;0x42BDDF6D;1119739757;94,93638; Value-07;0x42BA4D22;1119505698;93,15065; Value-08;0x42B97174;1119449460;92,72159; Value-09;0x42B9A47F;1119462527;92,82128; Value-0A;0x42B1E1EB;1118953963;88,94125; Value-0B;0x42B28AAF;1118997167;89,27087; Value-0C;0x42B5F505;1119220997;90,97855; Value-0D;0x42B49933;1119131955;90,29922; Value-0E;0x42B9FE0B;1119485451;92,99618; Value-0F;0x42B7BCB0;1119337648;91,86853; Value-10;0x428E24EA;1116611818;71,0721; Value-11;0x42CA7743;1120565059;101,2329; Value-12;0x4399B605;1134147077;307,422; Value-13;0x4125B57B;1092990331;10,35681; Value-14;0x4123E5EF;1092871663;10,24364; Value-15;0x42C19D1C;1119984924;96,80685; Value-16;0x42BFA6AA;1119856298;95,82552; Value-17;0x42BE85A7;1119782311;95,26104; Value-18;0x42BFA0A5;1119854757;95,81376; Value-19;0x42BBA1A4;1119592868;93,8157; Value-1A;0x42BEA4FE;1119790334;95,32225; Value-1B;0x42BB1C11;1119558673;93,55482; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B42250;1119101520;90,06702; Value-1F;0x42B84B2A;1119374122;92,1468; Value-20;0x42B84B3F;1119374143;92,14697; Value-21;0x42B6CD9F;1119276447;91,4016; Value-22;0x42C03747;1119893319;96,10796; Value-23;0x42C972EE;1120498414;100,7245; Value-24;0x4294D672;1117050482;74,41884; Value-25;0x431908D7;1125714135;153,0345; Value-26;0x4325C467;1126548583;165,7672;
2023-11-03_13:40:19.24; Value-01;0x4027C298;1076347544;2,621252; Value-02;0x4298863C;1117292092;76,26218; Value-03;0x42C05A07;1119902215;96,17583; Value-04;0x42BE447A;1119765626;95,13374; Value-05;0x42BCC702;1119667970;94,38869; Value-06;0x42BDDF6D;1119739757;94,93638; Value-07;0x42BA4D22;1119505698;93,15065; Value-08;0x42B97174;1119449460;92,72159; Value-09;0x42B9A47F;1119462527;92,82128; Value-0A;0x42B1E1EB;1118953963;88,94125; Value-0B;0x42B28AAF;1118997167;89,27087; Value-0C;0x42B5F505;1119220997;90,97855; Value-0D;0x42B49933;1119131955;90,29922; Value-0E;0x42B9FE0B;1119485451;92,99618; Value-0F;0x42B7BCB0;1119337648;91,86853; Value-10;0x428E24EA;1116611818;71,0721; Value-11;0x42CA7743;1120565059;101,2329; Value-12;0x4399B605;1134147077;307,422; Value-13;0x4125B57B;1092990331;10,35681; Value-14;0x4123E5EF;1092871663;10,24364; Value-15;0x42C19D1C;1119984924;96,80685; Value-16;0x42BFA6AA;1119856298;95,82552; Value-17;0x42BE85A7;1119782311;95,26104; Value-18;0x42BFA0A5;1119854757;95,81376; Value-19;0x42BBA1A4;1119592868;93,8157; Value-1A;0x42BEA4FE;1119790334;95,32225; Value-1B;0x42BB1C11;1119558673;93,55482; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B42250;1119101520;90,06702; Value-1F;0x42B84B2A;1119374122;92,1468; Value-20;0x42B84B3F;1119374143;92,14697; Value-21;0x42B6CD9F;1119276447;91,4016; Value-22;0x42C03747;1119893319;96,10796; Value-23;0x42C972EE;1120498414;100,7245; Value-24;0x4294D672;1117050482;74,41884; Value-25;0x431908D7;1125714135;153,0345; Value-26;0x4325C467;1126548583;165,7672;
2023-11-03_13:40:19.24; Value-01;0x4027C298;1076347544;2,621252; Value-02;0x4298863C;1117292092;76,26218; Value-03;0x42C05A07;1119902215;96,17583; Value-04;0x42BE447A;1119765626;95,13374; Value-05;0x42BCC702;1119667970;94,38869; Value-06;0x42BDDF6D;1119739757;94,93638; Value-07;0x42BA4D22;1119505698;93,15065; Value-08;0x42B97174;1119449460;92,72159; Value-09;0x42B9A47F;1119462527;92,82128; Value-0A;0x42B1E1EB;1118953963;88,94125; Value-0B;0x42B28AAF;1118997167;89,27087; Value-0C;0x42B5F505;1119220997;90,97855; Value-0D;0x42B49933;1119131955;90,29922; Value-0E;0x42B9FE0B;1119485451;92,99618; Value-0F;0x42B7BCB0;1119337648;91,86853; Value-10;0x428E24EA;1116611818;71,0721; Value-11;0x42CA7743;1120565059;101,2329; Value-12;0x4399B605;1134147077;307,422; Value-13;0x4125B57B;1092990331;10,35681; Value-14;0x4123E5EF;1092871663;10,24364; Value-15;0x42C19D1C;1119984924;96,80685; Value-16;0x42BFA6AA;1119856298;95,82552; Value-17;0x42BE85A7;1119782311;95,26104; Value-18;0x42BFA0A5;1119854757;95,81376; Value-19;0x42BBA1A4;1119592868;93,8157; Value-1A;0x42BEA4FE;1119790334;95,32225; Value-1B;0x42BB1C11;1119558673;93,55482; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B42250;1119101520;90,06702; Value-1F;0x42B84B2A;1119374122;92,1468; Value-20;0x42B84B3F;1119374143;92,14697; Value-21;0x42B6CD9F;1119276447;91,4016; Value-22;0x42C03747;1119893319;96,10796; Value-23;0x42C972EE;1120498414;100,7245; Value-24;0x4294D672;1117050482;74,41884; Value-25;0x431908D7;1125714135;153,0345; Value-26;0x4325C467;1126548583;165,7672;
