Timestamp;Data
2023-11-03_14:07:01.40; Value-01;0x40B62379;1085678457;5,69183; Value-02;0x4249DA0E;1112136206;50,46294; Value-03;0x42C1050E;1119945998;96,50987; Value-04;0x42BE2A4B;1119758923;95,0826; Value-05;0x42BD5358;1119703896;94,66278; Value-06;0x42BE61DA;1119773146;95,19112; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260845B;1113621595;56,12925; Value-0B;0x42BC499E;1119635870;94,14378; Value-0C;0x42B63658;1119237720;91,10614; Value-0D;0x42B75706;1119311622;91,66997; Value-0E;0x42B906B3;1119422131;92,51308; Value-0F;0x42CFC58C;1120912780;103,8858; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x41A6E715;1101457173;20,86283; Value-14;0xC150ED8B;-1051660917;-13,05799; Value-15;0x42C255D1;1120032209;97,16761; Value-16;0x42BFA38D;1119855501;95,81944; Value-17;0x42BF5228;1119834664;95,66046; Value-18;0x42C01C2E;1119886382;96,05504; Value-19;0x42BD4315;1119699733;94,63102; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426568AD;1113942189;57,35222; Value-1F;0x42C1BDA6;1119993254;96,87041; Value-20;0x42B8C51B;1119405339;92,38497; Value-21;0x42B9A8F2;1119463666;92,82997; Value-22;0x42BC566F;1119639151;94,16882; Value-23;0x42C835B0;1120417200;100,1049; Value-24;0x00000000;0;0; Value-25;0x42BC1C98;1119624344;94,05585; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.62; Value-01;0x40B62379;1085678457;5,69183; Value-02;0x4249DA0E;1112136206;50,46294; Value-03;0x42C1050E;1119945998;96,50987; Value-04;0x42BE2A4B;1119758923;95,0826; Value-05;0x42BD5358;1119703896;94,66278; Value-06;0x42BE61DA;1119773146;95,19112; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260845B;1113621595;56,12925; Value-0B;0x42BC499E;1119635870;94,14378; Value-0C;0x42B63658;1119237720;91,10614; Value-0D;0x42B75706;1119311622;91,66997; Value-0E;0x42B906B3;1119422131;92,51308; Value-0F;0x42CFC58C;1120912780;103,8858; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x41A6E715;1101457173;20,86283; Value-14;0xC150ED8B;-1051660917;-13,05799; Value-15;0x42C255D1;1120032209;97,16761; Value-16;0x42BFA38D;1119855501;95,81944; Value-17;0x42BF5228;1119834664;95,66046; Value-18;0x42C01C2E;1119886382;96,05504; Value-19;0x42BD4315;1119699733;94,63102; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426568AD;1113942189;57,35222; Value-1F;0x42C1BDA6;1119993254;96,87041; Value-20;0x42B8C51B;1119405339;92,38497; Value-21;0x42B9A8F2;1119463666;92,82997; Value-22;0x42BC566F;1119639151;94,16882; Value-23;0x42C835B0;1120417200;100,1049; Value-24;0x00000000;0;0; Value-25;0x42BC1C98;1119624344;94,05585; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.62; Value-01;0x40B62379;1085678457;5,69183; Value-02;0x4249DA0E;1112136206;50,46294; Value-03;0x42C1050E;1119945998;96,50987; Value-04;0x42BE2A4B;1119758923;95,0826; Value-05;0x42BD5358;1119703896;94,66278; Value-06;0x42BE61DA;1119773146;95,19112; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260845B;1113621595;56,12925; Value-0B;0x42BC499E;1119635870;94,14378; Value-0C;0x42B63658;1119237720;91,10614; Value-0D;0x42B75706;1119311622;91,66997; Value-0E;0x42B906B3;1119422131;92,51308; Value-0F;0x42CFC58C;1120912780;103,8858; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x41A6E715;1101457173;20,86283; Value-14;0xC150ED8B;-1051660917;-13,05799; Value-15;0x42C255D1;1120032209;97,16761; Value-16;0x42BFA38D;1119855501;95,81944; Value-17;0x42BF5228;1119834664;95,66046; Value-18;0x42C01C2E;1119886382;96,05504; Value-19;0x42BD4315;1119699733;94,63102; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426568AD;1113942189;57,35222; Value-1F;0x42C1BDA6;1119993254;96,87041; Value-20;0x42B8C51B;1119405339;92,38497; Value-21;0x42B9A8F2;1119463666;92,82997; Value-22;0x42BC566F;1119639151;94,16882; Value-23;0x42C835B0;1120417200;100,1049; Value-24;0x00000000;0;0; Value-25;0x42BC1C98;1119624344;94,05585; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.62; Value-01;0x40B62379;1085678457;5,69183; Value-02;0x4249DA0E;1112136206;50,46294; Value-03;0x42C1050E;1119945998;96,50987; Value-04;0x42BE2A4B;1119758923;95,0826; Value-05;0x42BD5358;1119703896;94,66278; Value-06;0x42BE61DA;1119773146;95,19112; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260845B;1113621595;56,12925; Value-0B;0x42BC499E;1119635870;94,14378; Value-0C;0x42B63658;1119237720;91,10614; Value-0D;0x42B75706;1119311622;91,66997; Value-0E;0x42B906B3;1119422131;92,51308; Value-0F;0x42CFC58C;1120912780;103,8858; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x41A6E715;1101457173;20,86283; Value-14;0xC150ED8B;-1051660917;-13,05799; Value-15;0x42C255D1;1120032209;97,16761; Value-16;0x42BFA38D;1119855501;95,81944; Value-17;0x42BF5228;1119834664;95,66046; Value-18;0x42C01C2E;1119886382;96,05504; Value-19;0x42BD4315;1119699733;94,63102; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426568AD;1113942189;57,35222; Value-1F;0x42C1BDA6;1119993254;96,87041; Value-20;0x42B8C51B;1119405339;92,38497; Value-21;0x42B9A8F2;1119463666;92,82997; Value-22;0x42BC566F;1119639151;94,16882; Value-23;0x42C835B0;1120417200;100,1049; Value-24;0x00000000;0;0; Value-25;0x42BC1C98;1119624344;94,05585; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.71; Value-01;0x40A6D33A;1084674874;5,213284; Value-02;0xC20A5169;-1039511191;-34,5795; Value-03;0x42C10F50;1119948624;96,52991; Value-04;0x42BE4D0E;1119767822;95,1505; Value-05;0x42BD9FB6;1119723446;94,81194; Value-06;0x42BEBE4A;1119796810;95,37166; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260A8D1;1113630929;56,16486; Value-0B;0x42BC3827;1119631399;94,10967; Value-0C;0x42B65159;1119244633;91,15888; Value-0D;0x42B64E98;1119243928;91,1535; Value-0E;0x42B70541;1119290689;91,51026; Value-0F;0x42C2C4D7;1120060631;97,38445; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x413F471F;1094666015;11,95486; Value-14;0x42628A5F;1113754207;56,63513; Value-15;0x42C24C9E;1120029854;97,14964; Value-16;0x42BF81F8;1119846904;95,75385; Value-17;0x42BF2A64;1119824484;95,58279; Value-18;0x42BF8CE2;1119849698;95,77516; Value-19;0x42BE3DCA;1119763914;95,12068; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657BCE;1113947086;57,3709; Value-1F;0x42C1DC96;1120001174;96,93083; Value-20;0x42B8B49A;1119401114;92,35274; Value-21;0x42B98283;1119453827;92,75491; Value-22;0x42BD70A8;1119711400;94,72003; Value-23;0x42D05564;1120949604;104,1668; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.71; Value-01;0x40A6D33A;1084674874;5,213284; Value-02;0xC20A5169;-1039511191;-34,5795; Value-03;0x42C10F50;1119948624;96,52991; Value-04;0x42BE4D0E;1119767822;95,1505; Value-05;0x42BD9FB6;1119723446;94,81194; Value-06;0x42BEBE4A;1119796810;95,37166; Value-07;0x42BB9BE8;1119591400;93,8045; Value-08;0x42B801DC;1119355356;92,00363; Value-09;0x42B9E2FC;1119478524;92,94333; Value-0A;0x4260A8D1;1113630929;56,16486; Value-0B;0x42BC3827;1119631399;94,10967; Value-0C;0x42B65159;1119244633;91,15888; Value-0D;0x42B64E98;1119243928;91,1535; Value-0E;0x42B70541;1119290689;91,51026; Value-0F;0x42C2C4D7;1120060631;97,38445; Value-10;0x00000000;0;0; Value-11;0x4343D6DE;1128519390;195,8393; Value-12;0x43883167;1132999015;272,386; Value-13;0x413F471F;1094666015;11,95486; Value-14;0x42628A5F;1113754207;56,63513; Value-15;0x42C24C9E;1120029854;97,14964; Value-16;0x42BF81F8;1119846904;95,75385; Value-17;0x42BF2A64;1119824484;95,58279; Value-18;0x42BF8CE2;1119849698;95,77516; Value-19;0x42BE3DCA;1119763914;95,12068; Value-1A;0x42BA9CBC;1119526076;93,30612; Value-1B;0x42BB2B96;1119562646;93,58513; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657BCE;1113947086;57,3709; Value-1F;0x42C1DC96;1120001174;96,93083; Value-20;0x42B8B49A;1119401114;92,35274; Value-21;0x42B98283;1119453827;92,75491; Value-22;0x42BD70A8;1119711400;94,72003; Value-23;0x42D05564;1120949604;104,1668; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43C46C8D;1136946317;392,8481;
2023-11-03_14:07:01.92; Value-01;0x3F9BA880;1067165824;1,21608; Value-02;0x4258BC9A;1113111706;54,18418; Value-03;0x42C111C6;1119949254;96,53471; Value-04;0x42BE2866;1119758438;95,0789; Value-05;0x42BD8265;1119715941;94,75468; Value-06;0x42BE2971;1119758705;95,08094; Value-07;0x42BB9AB1;1119591089;93,80213; Value-08;0x42B92299;1119429273;92,56757; Value-09;0x42BC0476;1119618166;94,00871; Value-0A;0x426072AA;1113617066;56,11198; Value-0B;0x42BC40F5;1119633653;94,12687; Value-0C;0x42B62EFD;1119235837;91,09177; Value-0D;0x42B6F999;1119287705;91,4875; Value-0E;0x42BC0969;1119619433;94,01838; Value-0F;0x42D05DCF;1120951759;104,1832; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43D01AF5;1137711861;416,2106; Value-13;0xC1962555;-1047124651;-18,76823; Value-14;0xC19C9A19;-1046701543;-19,57524; Value-15;0x42C25876;1120032886;97,17278; Value-16;0x42BF997E;1119852926;95,79979; Value-17;0x42BF4172;1119830386;95,62782; Value-18;0x42BFEF91;1119874961;95,9679; Value-19;0x42BCF7AC;1119680428;94,48373; Value-1A;0x42B9F6F5;1119483637;92,98234; Value-1B;0x42BC1865;1119623269;94,04765; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657B0A;1113946890;57,37016; Value-1F;0x42C1F0FC;1120006396;96,97067; Value-20;0x42B87939;1119385913;92,23676; Value-21;0x42B95CA3;1119444131;92,68093; Value-22;0x42B9A9E7;1119463911;92,83184; Value-23;0x42D2D411;1121113105;105,4142; Value-24;0x00000000;0;0; Value-25;0x42B09CE6;1118870758;88,30644; Value-26;0x43B20F68;1135742824;356,1204;
2023-11-03_14:07:01.92; Value-01;0x3F9BA880;1067165824;1,21608; Value-02;0x4258BC9A;1113111706;54,18418; Value-03;0x42C111C6;1119949254;96,53471; Value-04;0x42BE2866;1119758438;95,0789; Value-05;0x42BD8265;1119715941;94,75468; Value-06;0x42BE2971;1119758705;95,08094; Value-07;0x42BB9AB1;1119591089;93,80213; Value-08;0x42B92299;1119429273;92,56757; Value-09;0x42BC0476;1119618166;94,00871; Value-0A;0x426072AA;1113617066;56,11198; Value-0B;0x42BC40F5;1119633653;94,12687; Value-0C;0x42B62EFD;1119235837;91,09177; Value-0D;0x42B6F999;1119287705;91,4875; Value-0E;0x42BC0969;1119619433;94,01838; Value-0F;0x42D05DCF;1120951759;104,1832; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43D01AF5;1137711861;416,2106; Value-13;0xC1962555;-1047124651;-18,76823; Value-14;0xC19C9A19;-1046701543;-19,57524; Value-15;0x42C25876;1120032886;97,17278; Value-16;0x42BF997E;1119852926;95,79979; Value-17;0x42BF4172;1119830386;95,62782; Value-18;0x42BFEF91;1119874961;95,9679; Value-19;0x42BCF7AC;1119680428;94,48373; Value-1A;0x42B9F6F5;1119483637;92,98234; Value-1B;0x42BC1865;1119623269;94,04765; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657B0A;1113946890;57,37016; Value-1F;0x42C1F0FC;1120006396;96,97067; Value-20;0x42B87939;1119385913;92,23676; Value-21;0x42B95CA3;1119444131;92,68093; Value-22;0x42B9A9E7;1119463911;92,83184; Value-23;0x42D2D411;1121113105;105,4142; Value-24;0x00000000;0;0; Value-25;0x42B09CE6;1118870758;88,30644; Value-26;0x43B20F68;1135742824;356,1204;
2023-11-03_14:07:01.92; Value-01;0x3F9BA880;1067165824;1,21608; Value-02;0x4258BC9A;1113111706;54,18418; Value-03;0x42C111C6;1119949254;96,53471; Value-04;0x42BE2866;1119758438;95,0789; Value-05;0x42BD8265;1119715941;94,75468; Value-06;0x42BE2971;1119758705;95,08094; Value-07;0x42BB9AB1;1119591089;93,80213; Value-08;0x42B92299;1119429273;92,56757; Value-09;0x42BC0476;1119618166;94,00871; Value-0A;0x426072AA;1113617066;56,11198; Value-0B;0x42BC40F5;1119633653;94,12687; Value-0C;0x42B62EFD;1119235837;91,09177; Value-0D;0x42B6F999;1119287705;91,4875; Value-0E;0x42BC0969;1119619433;94,01838; Value-0F;0x42D05DCF;1120951759;104,1832; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43D01AF5;1137711861;416,2106; Value-13;0xC1962555;-1047124651;-18,76823; Value-14;0xC19C9A19;-1046701543;-19,57524; Value-15;0x42C25876;1120032886;97,17278; Value-16;0x42BF997E;1119852926;95,79979; Value-17;0x42BF4172;1119830386;95,62782; Value-18;0x42BFEF91;1119874961;95,9679; Value-19;0x42BCF7AC;1119680428;94,48373; Value-1A;0x42B9F6F5;1119483637;92,98234; Value-1B;0x42BC1865;1119623269;94,04765; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657B0A;1113946890;57,37016; Value-1F;0x42C1F0FC;1120006396;96,97067; Value-20;0x42B87939;1119385913;92,23676; Value-21;0x42B95CA3;1119444131;92,68093; Value-22;0x42B9A9E7;1119463911;92,83184; Value-23;0x42D2D411;1121113105;105,4142; Value-24;0x00000000;0;0; Value-25;0x42B09CE6;1118870758;88,30644; Value-26;0x43B20F68;1135742824;356,1204;
2023-11-03_14:07:02.14; Value-01;0x3F9BA880;1067165824;1,21608; Value-02;0x4258BC9A;1113111706;54,18418; Value-03;0x42C111C6;1119949254;96,53471; Value-04;0x42BE3B67;1119763303;95,11602; Value-05;0x42BD71AD;1119711661;94,72202; Value-06;0x42BEBC4A;1119796298;95,36775; Value-07;0x42BB56C0;1119573696;93,66943; Value-08;0x42B87FA9;1119387561;92,24934; Value-09;0x42BDB6A6;1119729318;94,85674; Value-0A;0x426072AA;1113617066;56,11198; Value-0B;0x42BC40F5;1119633653;94,12687; Value-0C;0x42B62EFD;1119235837;91,09177; Value-0D;0x42B6F999;1119287705;91,4875; Value-0E;0x42B5DFF3;1119215603;90,9374; Value-0F;0x42D2A195;1121100181;105,3156; Value-10;0x00000000;0;0; Value-11;0x42D07472;1120957554;104,2274; Value-12;0x43894FA4;1133072292;274,6222; Value-13;0xC1962555;-1047124651;-18,76823; Value-14;0xC19C9A19;-1046701543;-19,57524; Value-15;0x42C25876;1120032886;97,17278; Value-16;0x42BF997E;1119852926;95,79979; Value-17;0x42BF36A1;1119827617;95,6067; Value-18;0x42BFA324;1119855396;95,81863; Value-19;0x42BD9EA7;1119723175;94,80987; Value-1A;0x42BA4A16;1119504918;93,1447; Value-1B;0x42BC9E4B;1119657547;94,30917; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657B0A;1113946890;57,37016; Value-1F;0x42C1F0FC;1120006396;96,97067; Value-20;0x42B87939;1119385913;92,23676; Value-21;0x42B95CA3;1119444131;92,68093; Value-22;0x42BC929C;1119654556;94,28635; Value-23;0x42CE6427;1120822311;103,1956; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43C923D2;1137255378;402,2798;
2023-11-03_14:07:02.14; Value-01;0x3F9BA880;1067165824;1,21608; Value-02;0x4258BC9A;1113111706;54,18418; Value-03;0x42C111C6;1119949254;96,53471; Value-04;0x42BE3B67;1119763303;95,11602; Value-05;0x42BD71AD;1119711661;94,72202; Value-06;0x42BEBC4A;1119796298;95,36775; Value-07;0x42BB56C0;1119573696;93,66943; Value-08;0x42B87FA9;1119387561;92,24934; Value-09;0x42BDB6A6;1119729318;94,85674; Value-0A;0x426072AA;1113617066;56,11198; Value-0B;0x42BC40F5;1119633653;94,12687; Value-0C;0x42B62EFD;1119235837;91,09177; Value-0D;0x42B6F999;1119287705;91,4875; Value-0E;0x42B5DFF3;1119215603;90,9374; Value-0F;0x42D2A195;1121100181;105,3156; Value-10;0x00000000;0;0; Value-11;0x42D07472;1120957554;104,2274; Value-12;0x43894FA4;1133072292;274,6222; Value-13;0xC1962555;-1047124651;-18,76823; Value-14;0xC19C9A19;-1046701543;-19,57524; Value-15;0x42C25876;1120032886;97,17278; Value-16;0x42BF997E;1119852926;95,79979; Value-17;0x42BF36A1;1119827617;95,6067; Value-18;0x42BFA324;1119855396;95,81863; Value-19;0x42BD9EA7;1119723175;94,80987; Value-1A;0x42BA4A16;1119504918;93,1447; Value-1B;0x42BC9E4B;1119657547;94,30917; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42657B0A;1113946890;57,37016; Value-1F;0x42C1F0FC;1120006396;96,97067; Value-20;0x42B87939;1119385913;92,23676; Value-21;0x42B95CA3;1119444131;92,68093; Value-22;0x42BC929C;1119654556;94,28635; Value-23;0x42CE6427;1120822311;103,1956; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43C923D2;1137255378;402,2798;
