Timestamp;Data
2023-11-03_11:40:39.40; Value-01;0x401A448F;1075463311;2,410434; Value-02;0x4085AFC7;1082503111;4,177707; Value-03;0x42B7CB65;1119341413;91,89725; Value-04;0x42B81EC9;1119362761;92,06013; Value-05;0x42C6CBB4;1120324532;99,39786; Value-06;0x42C6B951;1120319825;99,36195; Value-07;0x42C3906D;1120112749;97,78208; Value-08;0x42C1EE65;1120005733;96,96561; Value-09;0x42C2A783;1120053123;97,32717; Value-0A;0x42625DF1;1113742833;56,59174; Value-0B;0x42B91C6E;1119427694;92,55553; Value-0C;0x42D04EF5;1120947957;104,1542; Value-0D;0x42D1F10E;1121054990;104,9708; Value-0E;0x42CE5D55;1120820565;103,1823; Value-0F;0x42CF7093;1120891027;103,7199; Value-10;0x42D9C261;1121567329;108,8796; Value-11;0x42ED3FC3;1122844611;118,6245; Value-12;0x4315E36B;1125507947;149,8884; Value-13;0xBE931521;-1097657055;-0,2872706; Value-14;0x4057C57E;1079494014;3,371429; Value-15;0x42B730CA;1119301834;91,59529; Value-16;0x42B8C326;1119404838;92,38115; Value-17;0x42C85D40;1120427328;100,1821; Value-18;0x42C8702E;1120432174;100,2191; Value-19;0x42C53ABB;1120221883;98,61471; Value-1A;0x42C3AED4;1120120532;97,84146; Value-1B;0x42C4562E;1120163374;98,16832; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42751321;1114968865;61,26868; Value-1F;0x42DE7984;1121876356;111,2373; Value-20;0x42D2300A;1121071114;105,0938; Value-21;0x42D3C545;1121174853;105,8853; Value-22;0x42D03FA8;1120944040;104,1243; Value-23;0x42D19181;1121030529;104,7842; Value-24;0x42DAE79C;1121642396;109,4524; Value-25;0x42EDA0AB;1122869419;118,8138; Value-26;0x43197F9D;1125744541;153,4985;
2023-11-03_11:40:39.55; Value-01;0x401A448F;1075463311;2,410434; Value-02;0x4085AFC7;1082503111;4,177707; Value-03;0x42B7CB65;1119341413;91,89725; Value-04;0x42B81EC9;1119362761;92,06013; Value-05;0x42C6CBB4;1120324532;99,39786; Value-06;0x42C6B951;1120319825;99,36195; Value-07;0x42C3906D;1120112749;97,78208; Value-08;0x42C200FA;1120010490;97,00191; Value-09;0x42C2A5A9;1120052649;97,32355; Value-0A;0x42625DF1;1113742833;56,59174; Value-0B;0x42B91C6E;1119427694;92,55553; Value-0C;0x42D04EF5;1120947957;104,1542; Value-0D;0x42D1F10E;1121054990;104,9708; Value-0E;0x42CE5D55;1120820565;103,1823; Value-0F;0x42CF7093;1120891027;103,7199; Value-10;0x42D9C261;1121567329;108,8796; Value-11;0x42ED3FC3;1122844611;118,6245; Value-12;0x43184E7B;1125666427;152,3066; Value-13;0xBE931521;-1097657055;-0,2872706; Value-14;0x4057C57E;1079494014;3,371429; Value-15;0x42B730CA;1119301834;91,59529; Value-16;0x42B8C326;1119404838;92,38115; Value-17;0x42C85D40;1120427328;100,1821; Value-18;0x42C8702E;1120432174;100,2191; Value-19;0x42C53ABB;1120221883;98,61471; Value-1A;0x42C3AED4;1120120532;97,84146; Value-1B;0x42C44518;1120159000;98,13495; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42751321;1114968865;61,26868; Value-1F;0x42DE7984;1121876356;111,2373; Value-20;0x42D2300A;1121071114;105,0938; Value-21;0x42D3C545;1121174853;105,8853; Value-22;0x42D03FA8;1120944040;104,1243; Value-23;0x42D19181;1121030529;104,7842; Value-24;0x42DAE79C;1121642396;109,4524; Value-25;0x42EDA0AB;1122869419;118,8138; Value-26;0x43182EE1;1125658337;152,1831;
2023-11-03_11:40:39.55; Value-01;0x401A448F;1075463311;2,410434; Value-02;0x4085AFC7;1082503111;4,177707; Value-03;0x42B7CB65;1119341413;91,89725; Value-04;0x42B81EC9;1119362761;92,06013; Value-05;0x42C6CBB4;1120324532;99,39786; Value-06;0x42C6B951;1120319825;99,36195; Value-07;0x42C3906D;1120112749;97,78208; Value-08;0x42C200FA;1120010490;97,00191; Value-09;0x42C2A5A9;1120052649;97,32355; Value-0A;0x42625DF1;1113742833;56,59174; Value-0B;0x42B91C6E;1119427694;92,55553; Value-0C;0x42D04EF5;1120947957;104,1542; Value-0D;0x42D1F10E;1121054990;104,9708; Value-0E;0x42CE5D55;1120820565;103,1823; Value-0F;0x42CF7093;1120891027;103,7199; Value-10;0x42D9C261;1121567329;108,8796; Value-11;0x42ED3FC3;1122844611;118,6245; Value-12;0x43184E7B;1125666427;152,3066; Value-13;0xBE931521;-1097657055;-0,2872706; Value-14;0x4057C57E;1079494014;3,371429; Value-15;0x42B730CA;1119301834;91,59529; Value-16;0x42B8C326;1119404838;92,38115; Value-17;0x42C85D40;1120427328;100,1821; Value-18;0x42C8702E;1120432174;100,2191; Value-19;0x42C53ABB;1120221883;98,61471; Value-1A;0x42C3AED4;1120120532;97,84146; Value-1B;0x42C44518;1120159000;98,13495; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42751321;1114968865;61,26868; Value-1F;0x42DE7984;1121876356;111,2373; Value-20;0x42D2300A;1121071114;105,0938; Value-21;0x42D3C545;1121174853;105,8853; Value-22;0x42D03FA8;1120944040;104,1243; Value-23;0x42D19181;1121030529;104,7842; Value-24;0x42DAE79C;1121642396;109,4524; Value-25;0x42EDA0AB;1122869419;118,8138; Value-26;0x43182EE1;1125658337;152,1831;
2023-11-03_11:40:39.67; Value-01;0x40007BA9;1073773481;2,007548; Value-02;0x408B031E;1082852126;4,344131; Value-03;0x42B7CB65;1119341413;91,89725; Value-04;0x42B81EC9;1119362761;92,06013; Value-05;0x42C6CBB4;1120324532;99,39786; Value-06;0x42C6B951;1120319825;99,36195; Value-07;0x42C3906D;1120112749;97,78208; Value-08;0x42C200FA;1120010490;97,00191; Value-09;0x42C2A5A9;1120052649;97,32355; Value-0A;0x4262D784;1113773956;56,71046; Value-0B;0x42B92F6C;1119432556;92,59262; Value-0C;0x42D048B8;1120946360;104,142; Value-0D;0x42D1F10E;1121054990;104,9708; Value-0E;0x42CE5D55;1120820565;103,1823; Value-0F;0x42CF7093;1120891027;103,7199; Value-10;0x42D9C261;1121567329;108,8796; Value-11;0x42ED3FC3;1122844611;118,6245; Value-12;0x43184E7B;1125666427;152,3066; Value-13;0x3FE92C6D;1072245869;1,821668; Value-14;0x400BCE07;1074515463;2,18445; Value-15;0x42B6CBB0;1119275952;91,39783; Value-16;0x42B8C326;1119404838;92,38115; Value-17;0x42C85D40;1120427328;100,1821; Value-18;0x42C8702E;1120432174;100,2191; Value-19;0x42C53ABB;1120221883;98,61471; Value-1A;0x42C3AED4;1120120532;97,84146; Value-1B;0x42C44518;1120159000;98,13495; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42769012;1115066386;61,64069; Value-1F;0x42DE90F5;1121882357;111,2831; Value-20;0x42D233A6;1121072038;105,1009; Value-21;0x42D3B1C2;1121169858;105,8472; Value-22;0x42D03FA8;1120944040;104,1243; Value-23;0x42D19181;1121030529;104,7842; Value-24;0x42DAE79C;1121642396;109,4524; Value-25;0x42EDA0AB;1122869419;118,8138; Value-26;0x43182EE1;1125658337;152,1831;
2023-11-03_11:40:39.67; Value-01;0x40007BA9;1073773481;2,007548; Value-02;0x408B031E;1082852126;4,344131; Value-03;0x42B7CB65;1119341413;91,89725; Value-04;0x42B81EC9;1119362761;92,06013; Value-05;0x42C6CBB4;1120324532;99,39786; Value-06;0x42C6B951;1120319825;99,36195; Value-07;0x42C3906D;1120112749;97,78208; Value-08;0x42C200FA;1120010490;97,00191; Value-09;0x42C2A5A9;1120052649;97,32355; Value-0A;0x4262D784;1113773956;56,71046; Value-0B;0x42B92F6C;1119432556;92,59262; Value-0C;0x42D048B8;1120946360;104,142; Value-0D;0x42D1F10E;1121054990;104,9708; Value-0E;0x42CE5D55;1120820565;103,1823; Value-0F;0x42CF7093;1120891027;103,7199; Value-10;0x42D9C261;1121567329;108,8796; Value-11;0x42ED3FC3;1122844611;118,6245; Value-12;0x43184E7B;1125666427;152,3066; Value-13;0x3FE92C6D;1072245869;1,821668; Value-14;0x400BCE07;1074515463;2,18445; Value-15;0x42B6CBB0;1119275952;91,39783; Value-16;0x42B8C326;1119404838;92,38115; Value-17;0x42C85D40;1120427328;100,1821; Value-18;0x42C8702E;1120432174;100,2191; Value-19;0x42C53ABB;1120221883;98,61471; Value-1A;0x42C3AED4;1120120532;97,84146; Value-1B;0x42C44518;1120159000;98,13495; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42769012;1115066386;61,64069; Value-1F;0x42DE90F5;1121882357;111,2831; Value-20;0x42D233A6;1121072038;105,1009; Value-21;0x42D3B1C2;1121169858;105,8472; Value-22;0x42D03FA8;1120944040;104,1243; Value-23;0x42D19181;1121030529;104,7842; Value-24;0x42DAE79C;1121642396;109,4524; Value-25;0x42EDA0AB;1122869419;118,8138; Value-26;0x43182EE1;1125658337;152,1831;
2023-11-03_11:40:39.78; Value-01;0xBDFDE162;-1107435166;-0,123965; Value-02;0x4096DB94;1083628436;4,714304; Value-03;0x42B6B14D;1119269197;91,34629; Value-04;0x42B82DD4;1119366612;92,08951; Value-05;0x42C6E4E5;1120330981;99,44706; Value-06;0x42C6D44B;1120326731;99,41463; Value-07;0x42C396C4;1120114372;97,79446; Value-08;0x42C1F4D0;1120007376;96,97815; Value-09;0x42C2C6C0;1120061120;97,38818; Value-0A;0x426352B9;1113805497;56,83078; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42D02A30;1120938544;104,0824; Value-0D;0x42D1E18F;1121051023;104,9405; Value-0E;0x42CE6D71;1120824689;103,2138; Value-0F;0x42CFC3B0;1120912304;103,8822; Value-10;0x42D88456;1121485910;108,2585; Value-11;0x42EF6D6A;1122987370;119,7137; Value-12;0x43180BAC;1125649324;152,0456; Value-13;0x3FA6EFE2;1067904994;1,304196; Value-14;0x40494950;1078544720;3,1451; Value-15;0x42B6B641;1119270465;91,35596; Value-16;0x42B8DDB5;1119411637;92,43302; Value-17;0x42C855A8;1120425384;100,1673; Value-18;0x42C881EE;1120436718;100,2538; Value-19;0x42C52660;1120216672;98,57495; Value-1A;0x42C396CA;1120114378;97,79451; Value-1B;0x42C409EC;1120143852;98,01938; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42749A62;1114937954;61,15076; Value-1F;0x42DE7D4E;1121877326;111,2447; Value-20;0x42D1EAB3;1121053363;104,9584; Value-21;0x42D3B2B9;1121170105;105,8491; Value-22;0x42D04F5F;1120948063;104,155; Value-23;0x42D18A40;1121028672;104,77; Value-24;0x42DAC88D;1121634445;109,3917; Value-25;0x42EFA977;1123002743;119,831; Value-26;0x431763DB;1125606363;151,3901;
2023-11-03_11:40:39.78; Value-01;0xBDFDE162;-1107435166;-0,123965; Value-02;0x4096DB94;1083628436;4,714304; Value-03;0x42B6B14D;1119269197;91,34629; Value-04;0x42B82DD4;1119366612;92,08951; Value-05;0x42C6E4E5;1120330981;99,44706; Value-06;0x42C6D44B;1120326731;99,41463; Value-07;0x42C396C4;1120114372;97,79446; Value-08;0x42C1F4D0;1120007376;96,97815; Value-09;0x42C2C6C0;1120061120;97,38818; Value-0A;0x426352B9;1113805497;56,83078; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42D02A30;1120938544;104,0824; Value-0D;0x42D1E18F;1121051023;104,9405; Value-0E;0x42CE6D71;1120824689;103,2138; Value-0F;0x42CFC3B0;1120912304;103,8822; Value-10;0x42D88456;1121485910;108,2585; Value-11;0x42EF6D6A;1122987370;119,7137; Value-12;0x43180BAC;1125649324;152,0456; Value-13;0x3FA6EFE2;1067904994;1,304196; Value-14;0x40494950;1078544720;3,1451; Value-15;0x42B6B641;1119270465;91,35596; Value-16;0x42B8DDB5;1119411637;92,43302; Value-17;0x42C855A8;1120425384;100,1673; Value-18;0x42C881EE;1120436718;100,2538; Value-19;0x42C52660;1120216672;98,57495; Value-1A;0x42C396CA;1120114378;97,79451; Value-1B;0x42C409EC;1120143852;98,01938; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42749A62;1114937954;61,15076; Value-1F;0x42DE7D4E;1121877326;111,2447; Value-20;0x42D1EAB3;1121053363;104,9584; Value-21;0x42D3B2B9;1121170105;105,8491; Value-22;0x42D04F5F;1120948063;104,155; Value-23;0x42D18A40;1121028672;104,77; Value-24;0x42DAC88D;1121634445;109,3917; Value-25;0x42EFA977;1123002743;119,831; Value-26;0x431763DB;1125606363;151,3901;
2023-11-03_11:40:39.90; Value-01;0xBDFDE162;-1107435166;-0,123965; Value-02;0x4096DB94;1083628436;4,714304; Value-03;0x42B6B14D;1119269197;91,34629; Value-04;0x42B82DD4;1119366612;92,08951; Value-05;0x42C6E4E5;1120330981;99,44706; Value-06;0x42C6D44B;1120326731;99,41463; Value-07;0x42C396C4;1120114372;97,79446; Value-08;0x42C1F4D0;1120007376;96,97815; Value-09;0x42C2C6C0;1120061120;97,38818; Value-0A;0x426352B9;1113805497;56,83078; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42D02A30;1120938544;104,0824; Value-0D;0x42D1E18F;1121051023;104,9405; Value-0E;0x42CE6D71;1120824689;103,2138; Value-0F;0x42CFC3B0;1120912304;103,8822; Value-10;0x42D88456;1121485910;108,2585; Value-11;0x42EF6D6A;1122987370;119,7137; Value-12;0x43180BAC;1125649324;152,0456; Value-13;0x3FA6EFE2;1067904994;1,304196; Value-14;0x40494950;1078544720;3,1451; Value-15;0x42B6B641;1119270465;91,35596; Value-16;0x42B8DDB5;1119411637;92,43302; Value-17;0x42C855A8;1120425384;100,1673; Value-18;0x42C881EE;1120436718;100,2538; Value-19;0x42C52660;1120216672;98,57495; Value-1A;0x42C396CA;1120114378;97,79451; Value-1B;0x42C409EC;1120143852;98,01938; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42749A62;1114937954;61,15076; Value-1F;0x42DE7D4E;1121877326;111,2447; Value-20;0x42D1EAB3;1121053363;104,9584; Value-21;0x42D3B2B9;1121170105;105,8491; Value-22;0x42D04F5F;1120948063;104,155; Value-23;0x42D18A40;1121028672;104,77; Value-24;0x42DAC88D;1121634445;109,3917; Value-25;0x42EFA977;1123002743;119,831; Value-26;0x431763DB;1125606363;151,3901;
2023-11-03_11:40:39.90; Value-01;0xBDFDE162;-1107435166;-0,123965; Value-02;0x4096DB94;1083628436;4,714304; Value-03;0x42B6B14D;1119269197;91,34629; Value-04;0x42B82DD4;1119366612;92,08951; Value-05;0x42C6E4E5;1120330981;99,44706; Value-06;0x42C6D44B;1120326731;99,41463; Value-07;0x42C396C4;1120114372;97,79446; Value-08;0x42C1F4D0;1120007376;96,97815; Value-09;0x42C2C6C0;1120061120;97,38818; Value-0A;0x426352B9;1113805497;56,83078; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42D02A30;1120938544;104,0824; Value-0D;0x42D1E18F;1121051023;104,9405; Value-0E;0x42CE6D71;1120824689;103,2138; Value-0F;0x42CFC3B0;1120912304;103,8822; Value-10;0x42D88456;1121485910;108,2585; Value-11;0x42EF6D6A;1122987370;119,7137; Value-12;0x43180BAC;1125649324;152,0456; Value-13;0x3FA6EFE2;1067904994;1,304196; Value-14;0x40494950;1078544720;3,1451; Value-15;0x42B6B641;1119270465;91,35596; Value-16;0x42B8DDB5;1119411637;92,43302; Value-17;0x42C855A8;1120425384;100,1673; Value-18;0x42C881EE;1120436718;100,2538; Value-19;0x42C52660;1120216672;98,57495; Value-1A;0x42C396CA;1120114378;97,79451; Value-1B;0x42C409EC;1120143852;98,01938; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42749A62;1114937954;61,15076; Value-1F;0x42DE7D4E;1121877326;111,2447; Value-20;0x42D1EAB3;1121053363;104,9584; Value-21;0x42D3B2B9;1121170105;105,8491; Value-22;0x42D04F5F;1120948063;104,155; Value-23;0x42D18A40;1121028672;104,77; Value-24;0x42DAC88D;1121634445;109,3917; Value-25;0x42EFA977;1123002743;119,831; Value-26;0x431763DB;1125606363;151,3901;
2023-11-03_11:40:39.97; Value-01;0x3F7F9E21;1065328161;0,9985066; Value-02;0x4085040C;1082459148;4,156744; Value-03;0x42B794FA;1119327482;91,79097; Value-04;0x42B80338;1119355704;92,00629; Value-05;0x42C6E43E;1120330814;99,44579; Value-06;0x42C6BB01;1120320257;99,36524; Value-07;0x42C35761;1120098145;97,67066; Value-08;0x42C224EA;1120019690;97,0721; Value-09;0x42C293BA;1120048058;97,28853; Value-0A;0x4262A0F3;1113759987;56,65718; Value-0B;0x42B9A6E1;1119463137;92,82594; Value-0C;0x42D064CE;1120953550;104,1969; Value-0D;0x42D1EEF8;1121054456;104,9667; Value-0E;0x42CE4DC5;1120816581;103,1519; Value-0F;0x42CF8DD7;1120898519;103,777; Value-10;0x42DA08A6;1121585318;109,0169; Value-11;0x42ECEA17;1122822679;118,4572; Value-12;0x4317F034;1125642292;151,9383; Value-13;0x3E9691BB;1050055099;0,2940806; Value-14;0x40479FD2;1078435794;3,11913; Value-15;0x42B6A358;1119265624;91,31903; Value-16;0x42B8C92E;1119406382;92,39293; Value-17;0x42C8682D;1120430125;100,2035; Value-18;0x42C86FAF;1120432047;100,2181; Value-19;0x42C54041;1120223297;98,6255; Value-1A;0x42C3DCEA;1120132330;97,93147; Value-1B;0x42C44546;1120159046;98,1353; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x427645A1;1115047329;61,568; Value-1F;0x42DED410;1121899536;111,4142; Value-20;0x42D2440E;1121076238;105,1329; Value-21;0x42D3BF93;1121173395;105,8742; Value-22;0x42D04094;1120944276;104,1261; Value-23;0x42D1B5B3;1121039795;104,8549; Value-24;0x42DA8740;1121617728;109,2642; Value-25;0x42F08AB1;1123060401;120,2709; Value-26;0x4317CC31;1125633073;151,7976;
2023-11-03_11:40:40.08; Value-01;0x3F7F9E21;1065328161;0,9985066; Value-02;0x4085040C;1082459148;4,156744; Value-03;0x42B794FA;1119327482;91,79097; Value-04;0x42B80338;1119355704;92,00629; Value-05;0x42C6E43E;1120330814;99,44579; Value-06;0x42C6BB01;1120320257;99,36524; Value-07;0x42C35761;1120098145;97,67066; Value-08;0x42C224EA;1120019690;97,0721; Value-09;0x42C293BA;1120048058;97,28853; Value-0A;0x4262A0F3;1113759987;56,65718; Value-0B;0x42B9A6E1;1119463137;92,82594; Value-0C;0x42D064CE;1120953550;104,1969; Value-0D;0x42D1EEF8;1121054456;104,9667; Value-0E;0x42CE4DC5;1120816581;103,1519; Value-0F;0x42CF8DD7;1120898519;103,777; Value-10;0x42DA08A6;1121585318;109,0169; Value-11;0x42ECEA17;1122822679;118,4572; Value-12;0x4317F034;1125642292;151,9383; Value-13;0x3E9691BB;1050055099;0,2940806; Value-14;0x40479FD2;1078435794;3,11913; Value-15;0x42B6A358;1119265624;91,31903; Value-16;0x42B8C92E;1119406382;92,39293; Value-17;0x42C8682D;1120430125;100,2035; Value-18;0x42C86FAF;1120432047;100,2181; Value-19;0x42C54041;1120223297;98,6255; Value-1A;0x42C3DCEA;1120132330;97,93147; Value-1B;0x42C44546;1120159046;98,1353; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x427645A1;1115047329;61,568; Value-1F;0x42DED410;1121899536;111,4142; Value-20;0x42D2440E;1121076238;105,1329; Value-21;0x42D3BF93;1121173395;105,8742; Value-22;0x42D04094;1120944276;104,1261; Value-23;0x42D1B5B3;1121039795;104,8549; Value-24;0x42DA8740;1121617728;109,2642; Value-25;0x42F08AB1;1123060401;120,2709; Value-26;0x4317CC31;1125633073;151,7976;
