Timestamp;Data
2023-11-03_12:39:40.15; Value-01;0x3F4D6214;1062035988;0,8022778; Value-02;0x41882667;1099441767;17,01875; Value-03;0x42B86E17;1119383063;92,21502; Value-04;0x42A57C0F;1118141455;82,7423; Value-05;0x42B4C777;1119143799;90,38958; Value-06;0x42B05834;1118853172;88,17227; Value-07;0x42A981EA;1118405098;84,75374; Value-08;0x42ACE285;1118626437;86,44242; Value-09;0x42A93494;1118385300;84,60269; Value-0A;0x41F8627D;1106797181;31,04809; Value-0B;0x42CAC715;1120585493;101,3888; Value-0C;0x42C12B13;1119955731;96,58413; Value-0D;0x42D0A1CB;1120969163;104,316; Value-0E;0x42E32B1B;1122183963;113,5842; Value-0F;0x43200E24;1126174244;160,0552; Value-10;0x4364A76D;1130669933;228,654; Value-11;0x438FD7F8;1133500408;287,6873; Value-12;0x43AAFD1D;1135279389;341,9774; Value-13;0x40BD1AE1;1086135009;5,909531; Value-14;0x3F27F66A;1059583594;0,6561037; Value-15;0x42B998F8;1119459576;92,79877; Value-16;0x42A6FF30;1118240560;83,49841; Value-17;0x42B68D91;1119260049;91,2765; Value-18;0x42B18E88;1118932616;88,77838; Value-19;0x42ABA0AF;1118544047;85,81384; Value-1A;0x42AB908B;1118539915;85,78231; Value-1B;0x42AA8832;1118472242;85,26601; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42748E1E;1114934814;61,13879; Value-1F;0x42D1AA5C;1121036892;104,8327; Value-20;0x42C3AD12;1120120082;97,83803; Value-21;0x42D38717;1121158935;105,7638; Value-22;0x42E64DC2;1122389442;115,1519; Value-23;0x431DDD03;1126030595;157,8633; Value-24;0x43699F8E;1130995598;233,6233; Value-25;0x438FFFA0;1133510560;287,9971; Value-26;0x43AC5DFA;1135369722;344,7342;
2023-11-03_12:39:40.28; Value-01;0x3F4D6214;1062035988;0,8022778; Value-02;0x41882667;1099441767;17,01875; Value-03;0x42B86E17;1119383063;92,21502; Value-04;0x42A57C0F;1118141455;82,7423; Value-05;0x42B4C777;1119143799;90,38958; Value-06;0x42B05834;1118853172;88,17227; Value-07;0x42A981EA;1118405098;84,75374; Value-08;0x42ACE285;1118626437;86,44242; Value-09;0x42A93494;1118385300;84,60269; Value-0A;0x41F8627D;1106797181;31,04809; Value-0B;0x42CAC715;1120585493;101,3888; Value-0C;0x42C12B13;1119955731;96,58413; Value-0D;0x42D0A1CB;1120969163;104,316; Value-0E;0x42E32B1B;1122183963;113,5842; Value-0F;0x43200E24;1126174244;160,0552; Value-10;0x4364A76D;1130669933;228,654; Value-11;0x438FD7F8;1133500408;287,6873; Value-12;0x43AAFD1D;1135279389;341,9774; Value-13;0x40BD1AE1;1086135009;5,909531; Value-14;0x3F27F66A;1059583594;0,6561037; Value-15;0x42B998F8;1119459576;92,79877; Value-16;0x42A6FF30;1118240560;83,49841; Value-17;0x42B68D91;1119260049;91,2765; Value-18;0x42B18E88;1118932616;88,77838; Value-19;0x42ABA0AF;1118544047;85,81384; Value-1A;0x42AB908B;1118539915;85,78231; Value-1B;0x42AA8832;1118472242;85,26601; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42748E1E;1114934814;61,13879; Value-1F;0x42D1AA5C;1121036892;104,8327; Value-20;0x42C3AD12;1120120082;97,83803; Value-21;0x42D38717;1121158935;105,7638; Value-22;0x42E64DC2;1122389442;115,1519; Value-23;0x431DDD03;1126030595;157,8633; Value-24;0x43699F8E;1130995598;233,6233; Value-25;0x438FFFA0;1133510560;287,9971; Value-26;0x43AC5DFA;1135369722;344,7342;
2023-11-03_12:39:40.28; Value-01;0x3F4D6214;1062035988;0,8022778; Value-02;0x41882667;1099441767;17,01875; Value-03;0x42B86E17;1119383063;92,21502; Value-04;0x42A57C0F;1118141455;82,7423; Value-05;0x42B4C777;1119143799;90,38958; Value-06;0x42B05834;1118853172;88,17227; Value-07;0x42A981EA;1118405098;84,75374; Value-08;0x42ACE285;1118626437;86,44242; Value-09;0x42A93494;1118385300;84,60269; Value-0A;0x41F8627D;1106797181;31,04809; Value-0B;0x42CAC715;1120585493;101,3888; Value-0C;0x42C12B13;1119955731;96,58413; Value-0D;0x42D0A1CB;1120969163;104,316; Value-0E;0x42E32B1B;1122183963;113,5842; Value-0F;0x43200E24;1126174244;160,0552; Value-10;0x4364A76D;1130669933;228,654; Value-11;0x438FD7F8;1133500408;287,6873; Value-12;0x43AAFD1D;1135279389;341,9774; Value-13;0x40BD1AE1;1086135009;5,909531; Value-14;0x3F27F66A;1059583594;0,6561037; Value-15;0x42B998F8;1119459576;92,79877; Value-16;0x42A6FF30;1118240560;83,49841; Value-17;0x42B68D91;1119260049;91,2765; Value-18;0x42B18E88;1118932616;88,77838; Value-19;0x42ABA0AF;1118544047;85,81384; Value-1A;0x42AB908B;1118539915;85,78231; Value-1B;0x42AA8832;1118472242;85,26601; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42748E1E;1114934814;61,13879; Value-1F;0x42D1AA5C;1121036892;104,8327; Value-20;0x42C3AD12;1120120082;97,83803; Value-21;0x42D38717;1121158935;105,7638; Value-22;0x42E64DC2;1122389442;115,1519; Value-23;0x431DDD03;1126030595;157,8633; Value-24;0x43699F8E;1130995598;233,6233; Value-25;0x438FFFA0;1133510560;287,9971; Value-26;0x43AC5DFA;1135369722;344,7342;
2023-11-03_12:39:40.35; Value-01;0xC0A93DDC;-1062650404;-5,288801; Value-02;0x41D96913;1104767251;27,17631; Value-03;0x42B82EB4;1119366836;92,09122; Value-04;0x42A554DB;1118131419;82,66573; Value-05;0x42B4A212;1119134226;90,31654; Value-06;0x42B09886;1118869638;88,2979; Value-07;0x42A981EA;1118405098;84,75374; Value-08;0x42ACE285;1118626437;86,44242; Value-09;0x42A93494;1118385300;84,60269; Value-0A;0x41F8900A;1106808842;31,07033; Value-0B;0x42CA9838;1120573496;101,2973; Value-0C;0x42C0B961;1119926625;96,36207; Value-0D;0x42D00186;1120928134;104,003; Value-0E;0x42E3BB47;1122220871;113,8658; Value-0F;0x43202D5A;1126182234;160,1772; Value-10;0x4364A76D;1130669933;228,654; Value-11;0x438FD7F8;1133500408;287,6873; Value-12;0x43AAFD1D;1135279389;341,9774; Value-13;0xC01DFC7C;-1071776644;-2,468535; Value-14;0xBF7675C2;-1082755646;-0,9627343; Value-15;0x42B99C11;1119460369;92,80482; Value-16;0x42A6CF33;1118228275;83,40469; Value-17;0x42B6D15E;1119277406;91,40892; Value-18;0x42B22EE9;1118973673;89,09162; Value-19;0x42AB94C1;1118540993;85,79053; Value-1A;0x42AB908B;1118539915;85,78231; Value-1B;0x42AA8832;1118472242;85,26601; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274ECB0;1114959024;61,23114; Value-1F;0x42D1AB06;1121037062;104,834; Value-20;0x42C37377;1120105335;97,72552; Value-21;0x42D32F85;1121136517;105,5928; Value-22;0x42E33B50;1122188112;113,6158; Value-23;0x431E7FF8;1126072312;158,4999; Value-24;0x4360C730;1130415920;224,7781; Value-25;0x4389C486;1133102214;275,5353; Value-26;0x43AC5DFA;1135369722;344,7342;
2023-11-03_12:39:40.47; Value-01;0x40E9D8E5;1089067237;7,307726; Value-02;0x41622052;1096949842;14,13289; Value-03;0x42B83700;1119368960;92,10742; Value-04;0x42A584FF;1118143743;82,75976; Value-05;0x42B506FA;1119160058;90,51363; Value-06;0x42B00762;1118832482;88,01442; Value-07;0x42AAAA30;1118480944;85,3324; Value-08;0x42AB6E1C;1118531100;85,71506; Value-09;0x42A8F5A4;1118369188;84,47977; Value-0A;0x41F7AAFF;1106750207;30,95849; Value-0B;0x42CAEAD6;1120594646;101,4587; Value-0C;0x42C10FAD;1119948717;96,53062; Value-0D;0x42D185F5;1121027573;104,7616; Value-0E;0x42E592CA;1122341578;114,7867; Value-0F;0x431F276A;1126115178;159,154; Value-10;0x43678413;1130857491;231,5159; Value-11;0x4390E716;1133569814;289,8054; Value-12;0x43DAD2F6;1138414326;437,6481; Value-13;0x4103CA91;1090767505;8,236955; Value-14;0x40D0D2E3;1087427299;6,525743; Value-15;0x42B9D84F;1119475791;92,92248; Value-16;0x42A6F725;1118238501;83,4827; Value-17;0x42B6AE01;1119268353;91,33985; Value-18;0x42B20DAB;1118965163;89,0267; Value-19;0x42AAC2D4;1118487252;85,38052; Value-1A;0x42AAD021;1118490657;85,4065; Value-1B;0x42AC1DA0;1118576032;86,05786; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274D80A;1114953738;61,21098; Value-1F;0x42D1A3A0;1121035168;104,8196; Value-20;0x42C374D8;1120105688;97,72821; Value-21;0x42D38060;1121157216;105,7507; Value-22;0x42E52FA9;1122316201;114,5931; Value-23;0x431F5B5A;1126128474;159,3568; Value-24;0x4358AAD4;1129884372;216,6673; Value-25;0x43880409;1132987401;272,0315; Value-26;0x4400878F;1140885391;514,1181;
2023-11-03_12:39:40.47; Value-01;0x40E9D8E5;1089067237;7,307726; Value-02;0x41622052;1096949842;14,13289; Value-03;0x42B83700;1119368960;92,10742; Value-04;0x42A584FF;1118143743;82,75976; Value-05;0x42B506FA;1119160058;90,51363; Value-06;0x42B00762;1118832482;88,01442; Value-07;0x42AAAA30;1118480944;85,3324; Value-08;0x42AB6E1C;1118531100;85,71506; Value-09;0x42A8F5A4;1118369188;84,47977; Value-0A;0x41F7AAFF;1106750207;30,95849; Value-0B;0x42CAEAD6;1120594646;101,4587; Value-0C;0x42C10FAD;1119948717;96,53062; Value-0D;0x42D185F5;1121027573;104,7616; Value-0E;0x42E592CA;1122341578;114,7867; Value-0F;0x431F276A;1126115178;159,154; Value-10;0x43678413;1130857491;231,5159; Value-11;0x4390E716;1133569814;289,8054; Value-12;0x43DAD2F6;1138414326;437,6481; Value-13;0x4103CA91;1090767505;8,236955; Value-14;0x40D0D2E3;1087427299;6,525743; Value-15;0x42B9D84F;1119475791;92,92248; Value-16;0x42A6F725;1118238501;83,4827; Value-17;0x42B6AE01;1119268353;91,33985; Value-18;0x42B20DAB;1118965163;89,0267; Value-19;0x42AAC2D4;1118487252;85,38052; Value-1A;0x42AAD021;1118490657;85,4065; Value-1B;0x42AC1DA0;1118576032;86,05786; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274D80A;1114953738;61,21098; Value-1F;0x42D1A3A0;1121035168;104,8196; Value-20;0x42C374D8;1120105688;97,72821; Value-21;0x42D38060;1121157216;105,7507; Value-22;0x42E52FA9;1122316201;114,5931; Value-23;0x431F5B5A;1126128474;159,3568; Value-24;0x4358AAD4;1129884372;216,6673; Value-25;0x43880409;1132987401;272,0315; Value-26;0x4400878F;1140885391;514,1181;
2023-11-03_12:39:40.60; Value-01;0x40E9D8E5;1089067237;7,307726; Value-02;0x41622052;1096949842;14,13289; Value-03;0x42B83700;1119368960;92,10742; Value-04;0x42A584FF;1118143743;82,75976; Value-05;0x42B506FA;1119160058;90,51363; Value-06;0x42B00762;1118832482;88,01442; Value-07;0x42AAAA30;1118480944;85,3324; Value-08;0x42AB6E1C;1118531100;85,71506; Value-09;0x42AC1E8A;1118576266;86,05965; Value-0A;0x41F7AAFF;1106750207;30,95849; Value-0B;0x42CAEAD6;1120594646;101,4587; Value-0C;0x42C10FAD;1119948717;96,53062; Value-0D;0x42D185F5;1121027573;104,7616; Value-0E;0x42E592CA;1122341578;114,7867; Value-0F;0x431F276A;1126115178;159,154; Value-10;0x43678413;1130857491;231,5159; Value-11;0x4390E716;1133569814;289,8054; Value-12;0x43B42F1E;1135882014;360,3681; Value-13;0x4103CA91;1090767505;8,236955; Value-14;0x40D0D2E3;1087427299;6,525743; Value-15;0x42B9D84F;1119475791;92,92248; Value-16;0x42A6F725;1118238501;83,4827; Value-17;0x42B6AE01;1119268353;91,33985; Value-18;0x42B20DAB;1118965163;89,0267; Value-19;0x42AAC2D4;1118487252;85,38052; Value-1A;0x42AAD021;1118490657;85,4065; Value-1B;0x42A8667B;1118332539;84,20016; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274D80A;1114953738;61,21098; Value-1F;0x42D1A3A0;1121035168;104,8196; Value-20;0x42C374D8;1120105688;97,72821; Value-21;0x42D38060;1121157216;105,7507; Value-22;0x42E52FA9;1122316201;114,5931; Value-23;0x431F5B5A;1126128474;159,3568; Value-24;0x4358AAD4;1129884372;216,6673; Value-25;0x43880409;1132987401;272,0315; Value-26;0x43F18931;1139902769;483,0718;
2023-11-03_12:39:40.60; Value-01;0x40E9D8E5;1089067237;7,307726; Value-02;0x41622052;1096949842;14,13289; Value-03;0x42B83700;1119368960;92,10742; Value-04;0x42A584FF;1118143743;82,75976; Value-05;0x42B506FA;1119160058;90,51363; Value-06;0x42B00762;1118832482;88,01442; Value-07;0x42AAAA30;1118480944;85,3324; Value-08;0x42AB6E1C;1118531100;85,71506; Value-09;0x42AC1E8A;1118576266;86,05965; Value-0A;0x41F7AAFF;1106750207;30,95849; Value-0B;0x42CAEAD6;1120594646;101,4587; Value-0C;0x42C10FAD;1119948717;96,53062; Value-0D;0x42D185F5;1121027573;104,7616; Value-0E;0x42E592CA;1122341578;114,7867; Value-0F;0x431F276A;1126115178;159,154; Value-10;0x43678413;1130857491;231,5159; Value-11;0x4390E716;1133569814;289,8054; Value-12;0x43B42F1E;1135882014;360,3681; Value-13;0x4103CA91;1090767505;8,236955; Value-14;0x40D0D2E3;1087427299;6,525743; Value-15;0x42B9D84F;1119475791;92,92248; Value-16;0x42A6F725;1118238501;83,4827; Value-17;0x42B6AE01;1119268353;91,33985; Value-18;0x42B20DAB;1118965163;89,0267; Value-19;0x42AAC2D4;1118487252;85,38052; Value-1A;0x42AAD021;1118490657;85,4065; Value-1B;0x42A8667B;1118332539;84,20016; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274D80A;1114953738;61,21098; Value-1F;0x42D1A3A0;1121035168;104,8196; Value-20;0x42C374D8;1120105688;97,72821; Value-21;0x42D38060;1121157216;105,7507; Value-22;0x42E52FA9;1122316201;114,5931; Value-23;0x431F5B5A;1126128474;159,3568; Value-24;0x4358AAD4;1129884372;216,6673; Value-25;0x43880409;1132987401;272,0315; Value-26;0x43F18931;1139902769;483,0718;
2023-11-03_12:39:40.72; Value-01;0xBFDAA708;-1076189432;-1,708222; Value-02;0x419A6919;1100638489;19,30132; Value-03;0x42B8574C;1119377228;92,1705; Value-04;0x42A5D2AB;1118163627;82,91146; Value-05;0x42B4BE3E;1119141438;90,37157; Value-06;0x42AFF8D7;1118828759;87,98602; Value-07;0x42AA9792;1118476178;85,29604; Value-08;0x42AAA133;1118478643;85,31484; Value-09;0x42AB0D99;1118506393;85,52656; Value-0A;0x41F825D4;1106781652;31,01847; Value-0B;0x42CAA17C;1120575868;101,3154; Value-0C;0x42C0AE98;1119923864;96,341; Value-0D;0x42CFF069;1120923753;103,9696; Value-0E;0x42E3BB88;1122220936;113,8663; Value-0F;0x431CF847;1125972039;156,9698; Value-10;0x435C6E0C;1130130956;220,4299; Value-11;0x43823350;1132606288;260,4009; Value-12;0x438D2E35;1133325877;282,361; Value-13;0xC12DDF73;-1053958285;-10,86705; Value-14;0x412D1AA3;1093474979;10,819; Value-15;0x42B98AA1;1119455905;92,77076; Value-16;0x42A71E14;1118248468;83,55875; Value-17;0x42B6A01C;1119264796;91,31271; Value-18;0x42B19A5C;1118935644;88,80148; Value-19;0x42AB7142;1118531906;85,72121; Value-1A;0x42ACD3D9;1118622681;86,41376; Value-1B;0x42A8A515;1118348565;84,32243; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274BC13;1114946579;61,18367; Value-1F;0x42D1BD84;1121041796;104,8701; Value-20;0x42C30B9F;1120078751;97,5227; Value-21;0x42D38D63;1121160547;105,7761; Value-22;0x42E84EBD;1122520765;116,1538; Value-23;0x43202C71;1126182001;160,1736; Value-24;0x435E00E8;1130234088;222,0035; Value-25;0x439179ED;1133607405;290,9525; Value-26;0x43E92542;1139352898;466,2911;
2023-11-03_12:39:40.72; Value-01;0xBFDAA708;-1076189432;-1,708222; Value-02;0x419A6919;1100638489;19,30132; Value-03;0x42B8574C;1119377228;92,1705; Value-04;0x42A5D2AB;1118163627;82,91146; Value-05;0x42B4BE3E;1119141438;90,37157; Value-06;0x42AFF8D7;1118828759;87,98602; Value-07;0x42AA9792;1118476178;85,29604; Value-08;0x42AAA133;1118478643;85,31484; Value-09;0x42AB0D99;1118506393;85,52656; Value-0A;0x41F825D4;1106781652;31,01847; Value-0B;0x42CAA17C;1120575868;101,3154; Value-0C;0x42C0AE98;1119923864;96,341; Value-0D;0x42CFF069;1120923753;103,9696; Value-0E;0x42E3BB88;1122220936;113,8663; Value-0F;0x431CF847;1125972039;156,9698; Value-10;0x435C6E0C;1130130956;220,4299; Value-11;0x43823350;1132606288;260,4009; Value-12;0x438D2E35;1133325877;282,361; Value-13;0xC12DDF73;-1053958285;-10,86705; Value-14;0x412D1AA3;1093474979;10,819; Value-15;0x42B98AA1;1119455905;92,77076; Value-16;0x42A71E14;1118248468;83,55875; Value-17;0x42B6A01C;1119264796;91,31271; Value-18;0x42B19A5C;1118935644;88,80148; Value-19;0x42AB7142;1118531906;85,72121; Value-1A;0x42ACD3D9;1118622681;86,41376; Value-1B;0x42A8A515;1118348565;84,32243; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274BC13;1114946579;61,18367; Value-1F;0x42D1BD84;1121041796;104,8701; Value-20;0x42C30B9F;1120078751;97,5227; Value-21;0x42D38D63;1121160547;105,7761; Value-22;0x42E84EBD;1122520765;116,1538; Value-23;0x43202C71;1126182001;160,1736; Value-24;0x435E00E8;1130234088;222,0035; Value-25;0x439179ED;1133607405;290,9525; Value-26;0x43E92542;1139352898;466,2911;
2023-11-03_12:39:40.85; Value-01;0x4145A414;1095083028;12,35256; Value-02;0x41A3B4A7;1101247655;20,46321; Value-03;0x42B85A8D;1119378061;92,17686; Value-04;0x42A5B1C0;1118155200;82,84717; Value-05;0x42B4FDE4;1119157732;90,49588; Value-06;0x42B04542;1118848322;88,13527; Value-07;0x42AA2BDB;1118448603;85,08566; Value-08;0x42AAE665;1118496357;85,44999; Value-09;0x42A6A785;1118218117;83,32719; Value-0A;0x41F8672B;1106798379;31,05037; Value-0B;0x42CAD6AC;1120589484;101,4193; Value-0C;0x42C12AD5;1119955669;96,58366; Value-0D;0x42D08C04;1120963588;104,2735; Value-0E;0x42E52C7A;1122315386;114,5869; Value-0F;0x4321EF8F;1126297487;161,9358; Value-10;0x436A3A6E;1131035246;234,2282; Value-11;0x43700FD4;1131417556;240,0618; Value-12;0x43C9F887;1137309831;403,9416; Value-13;0xC12B94BF;-1054108481;-10,72381; Value-14;0x401C81EE;1075610094;2,44543; Value-15;0x42B9AC3C;1119464508;92,8364; Value-16;0x42A6F34A;1118237514;83,47517; Value-17;0x42B6A458;1119265880;91,32098; Value-18;0x42B1DD6C;1118952812;88,93246; Value-19;0x42AB834A;1118536522;85,75642; Value-1A;0x42AD8B4C;1118669644;86,77206; Value-1B;0x42A7E04E;1118298190;83,9381; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274CE55;1114951253;61,2015; Value-1F;0x42D1D561;1121047905;104,9168; Value-20;0x42C38AC1;1120111297;97,771; Value-21;0x42D2AE16;1121103382;105,34; Value-22;0x42E5F92F;1122367791;114,9867; Value-23;0x431D93D0;1126011856;157,5774; Value-24;0x43611D29;1130437929;225,1139; Value-25;0x4371C6E5;1131529957;241,7769; Value-26;0x43C12C15;1136733205;386,3444;
