Timestamp;Data
2023-11-03_11:11:13.98; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C75BF5;1120361461;99,6796; Value-07;0x42C3CF6F;1120128879;97,90514; Value-08;0x42C338BE;1120090302;97,61082; Value-09;0x42C1C5ED;1119995373;96,88657; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CEBEF4;1120845556;103,373; Value-10;0x42D92DDD;1121529309;108,5896; Value-11;0x42F56DC2;1123380674;122,7144; Value-12;0x4318BE37;1125695031;152,743; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C8F036;1120464950;100,4692; Value-19;0x42C5A98B;1120250251;98,83114; Value-1A;0x42C4EF92;1120202642;98,46791; Value-1B;0x42C33DF7;1120091639;97,62103; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D0AFDA;1120972762;104,3435; Value-24;0x42DC2CC4;1121725636;110,0874; Value-25;0x42F84215;1123566101;124,1291; Value-26;0x431BA4B0;1125885104;155,6433;
2023-11-03_11:11:14.09; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.09; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.21; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.21; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.26; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.31; Value-01;0x3F3DA290;1061003920;0,7407618; Value-02;0x40A0796D;1084258669;5,014822; Value-03;0x42B7F4AB;1119351979;91,97787; Value-04;0x42B69B4A;1119263562;91,3033; Value-05;0x42C581CF;1120240079;98,75353; Value-06;0x42C7581B;1120360475;99,67208; Value-07;0x42C3F2B0;1120137904;97,974; Value-08;0x42C34AF6;1120094966;97,64641; Value-09;0x42C23967;1120024935;97,11211; Value-0A;0x426201B5;1113719221;56,50167; Value-0B;0x42BB0831;1119553585;93,516; Value-0C;0x42D00A3E;1120930366;104,02; Value-0D;0x42D115C3;1120998851;104,5425; Value-0E;0x42CF4D5E;1120882014;103,6511; Value-0F;0x42CE7B68;1120828264;103,241; Value-10;0x42D965EB;1121543659;108,6991; Value-11;0x42F74F91;1123504017;123,6554; Value-12;0x431690FA;1125552378;150,5663; Value-13;0x3F6B2E29;1063988777;0,9186731; Value-14;0x400544FE;1074087166;2,082336; Value-15;0x42B70B27;1119292199;91,52178; Value-16;0x42B6E090;1119281296;91,4386; Value-17;0x42C714E4;1120343268;99,5408; Value-18;0x42C913FB;1120474107;100,539; Value-19;0x42C5A39F;1120248735;98,81957; Value-1A;0x42C4F7BA;1120204730;98,48384; Value-1B;0x42C4379E;1120155550;98,10863; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42746C88;1114926216;61,10599; Value-1F;0x42E039E9;1121991145;112,1131; Value-20;0x42D1CBB6;1121045430;104,8979; Value-21;0x42D30D94;1121127828;105,5265; Value-22;0x42D13698;1121007256;104,6066; Value-23;0x42D08DDE;1120964062;104,2771; Value-24;0x42DB8AB2;1121684146;109,7709; Value-25;0x42F6B82C;1123465260;123,3597; Value-26;0x431D6747;1126000455;157,4034;
2023-11-03_11:11:14.38; Value-01;0x3FA5CCFC;1067830524;1,295318; Value-02;0x40932102;1083384066;4,597779; Value-03;0x42B66037;1119248439;91,18792; Value-04;0x42B6419F;1119240607;91,12817; Value-05;0x42C5905F;1120243807;98,78197; Value-06;0x42C742A9;1120354985;99,6302; Value-07;0x42C3E8BC;1120135356;97,95456; Value-08;0x42C34C5A;1120095322;97,64912; Value-09;0x42C246D6;1120028374;97,13835; Value-0A;0x4262275C;1113728860;56,53844; Value-0B;0x42BB68BE;1119578302;93,70457; Value-0C;0x42CFD764;1120917348;103,9207; Value-0D;0x42D1247F;1121002623;104,5713; Value-0E;0x42CF5C5B;1120885851;103,6804; Value-0F;0x42CEC8A9;1120848041;103,3919; Value-10;0x42D96244;1121542724;108,6919; Value-11;0x42F67CA4;1123450020;123,2434; Value-12;0x4319BF93;1125760915;153,7483; Value-13;0xBF8826CB;-1081596213;-1,063684; Value-14;0x40344DF1;1077169649;2,817257; Value-15;0x42B776AA;1119319722;91,73177; Value-16;0x42B745B9;1119307193;91,63618; Value-17;0x42C704C1;1120339137;99,50928; Value-18;0x42C91253;1120473683;100,5358; Value-19;0x42C57108;1120235784;98,72076; Value-1A;0x42C504F4;1120208116;98,50967; Value-1B;0x42C40B18;1120144152;98,02167; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274731F;1114927903;61,11242; Value-1F;0x42E0F2D6;1122038486;112,4743; Value-20;0x42D1CA65;1121045093;104,8953; Value-21;0x42D2E744;1121118020;105,4517; Value-22;0x42D12556;1121002838;104,5729; Value-23;0x42D0AE40;1120972352;104,3403; Value-24;0x42DAD6FF;1121638143;109,4199; Value-25;0x42F6F623;1123481123;123,4807; Value-26;0x43192555;1125721429;153,1458;
2023-11-03_11:11:14.48; Value-01;0x3FA5CCFC;1067830524;1,295318; Value-02;0x40932102;1083384066;4,597779; Value-03;0x42B66037;1119248439;91,18792; Value-04;0x42B6419F;1119240607;91,12817; Value-05;0x42C5905F;1120243807;98,78197; Value-06;0x42C742A9;1120354985;99,6302; Value-07;0x42C3E8BC;1120135356;97,95456; Value-08;0x42C34C5A;1120095322;97,64912; Value-09;0x42C246D6;1120028374;97,13835; Value-0A;0x4262275C;1113728860;56,53844; Value-0B;0x42BB68BE;1119578302;93,70457; Value-0C;0x42CFD764;1120917348;103,9207; Value-0D;0x42D1247F;1121002623;104,5713; Value-0E;0x42CF5C5B;1120885851;103,6804; Value-0F;0x42CEC8A9;1120848041;103,3919; Value-10;0x42D96244;1121542724;108,6919; Value-11;0x42F67CA4;1123450020;123,2434; Value-12;0x4319BF93;1125760915;153,7483; Value-13;0xBF8826CB;-1081596213;-1,063684; Value-14;0x40344DF1;1077169649;2,817257; Value-15;0x42B776AA;1119319722;91,73177; Value-16;0x42B745B9;1119307193;91,63618; Value-17;0x42C704C1;1120339137;99,50928; Value-18;0x42C91253;1120473683;100,5358; Value-19;0x42C57108;1120235784;98,72076; Value-1A;0x42C504F4;1120208116;98,50967; Value-1B;0x42C40B18;1120144152;98,02167; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274731F;1114927903;61,11242; Value-1F;0x42E0F2D6;1122038486;112,4743; Value-20;0x42D1CA65;1121045093;104,8953; Value-21;0x42D2E744;1121118020;105,4517; Value-22;0x42D12556;1121002838;104,5729; Value-23;0x42D0AE40;1120972352;104,3403; Value-24;0x42DAD6FF;1121638143;109,4199; Value-25;0x42F6F623;1123481123;123,4807; Value-26;0x43192555;1125721429;153,1458;
2023-11-03_11:11:14.53; Value-01;0x3FA5CCFC;1067830524;1,295318; Value-02;0x409DF5B7;1084093879;4,936244; Value-03;0x42B849E9;1119373801;92,14436; Value-04;0x42B63CD4;1119239380;91,1188; Value-05;0x42C584C1;1120240833;98,75928; Value-06;0x42C762A7;1120363175;99,69268; Value-07;0x42C3D033;1120129075;97,90664; Value-08;0x42C3166B;1120081515;97,54379; Value-09;0x42C213F8;1120015352;97,039; Value-0A;0x4262275C;1113728860;56,53844; Value-0B;0x42BB68BE;1119578302;93,70457; Value-0C;0x42D04193;1120944531;104,1281; Value-0D;0x42D11A35;1120999989;104,5512; Value-0E;0x42CF5381;1120883585;103,6631; Value-0F;0x42CE9DD7;1120837079;103,3083; Value-10;0x42D97FBF;1121550271;108,7495; Value-11;0x42F6DC68;1123474536;123,4305; Value-12;0x431A31CB;1125790155;154,1945; Value-13;0xBF8826CB;-1081596213;-1,063684; Value-14;0x40344DF1;1077169649;2,817257; Value-15;0x42B776AA;1119319722;91,73177; Value-16;0x42B6C6FA;1119274746;91,38863; Value-17;0x42C6F68C;1120335500;99,48154; Value-18;0x42C902D7;1120469719;100,5055; Value-19;0x42C58F6A;1120243562;98,78011; Value-1A;0x42C526B0;1120216752;98,57556; Value-1B;0x42C41289;1120146057;98,0362; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274731F;1114927903;61,11242; Value-1F;0x42E0F2D6;1122038486;112,4743; Value-20;0x42D1CA65;1121045093;104,8953; Value-21;0x42D2F113;1121120531;105,4708; Value-22;0x42D13C97;1121008791;104,6183; Value-23;0x42D0D595;1120982421;104,4172; Value-24;0x42DB897B;1121683835;109,7685; Value-25;0x42F87658;1123579480;124,2311; Value-26;0x43175577;1125602679;151,3338;
2023-11-03_11:11:14.65; Value-01;0x3FA25172;1067602290;1,268111; Value-02;0x4070CA44;1081133636;3,762345; Value-03;0x42B71EAA;1119297194;91,55989; Value-04;0x42B62DE1;1119235553;91,08961; Value-05;0x42C585B8;1120241080;98,76117; Value-06;0x42C758C0;1120360640;99,67334; Value-07;0x42C3F74A;1120139082;97,98299; Value-08;0x42C3434D;1120093005;97,63145; Value-09;0x42C210BF;1120014527;97,03271; Value-0A;0x4261CF7E;1113706366;56,45263; Value-0B;0x42BB581A;1119574042;93,67207; Value-0C;0x42CFE52C;1120920876;103,9476; Value-0D;0x42D10FFF;1120997375;104,5312; Value-0E;0x42CF4FE6;1120882662;103,6561; Value-0F;0x42CEB613;1120843283;103,3556; Value-10;0x42D9CBFD;1121569789;108,8984; Value-11;0x42F5A3A3;1123394467;122,8196; Value-12;0x431C1C7F;1125915775;156,1113; Value-13;0xBE893A32;-1098302926;-0,2680221; Value-14;0x401705E4;1075250660;2,359735; Value-15;0x42B6ECE6;1119284454;91,46269; Value-16;0x42B75631;1119311409;91,66834; Value-17;0x42C6F9F8;1120336376;99,48822; Value-18;0x42C90237;1120469559;100,5043; Value-19;0x42C592BF;1120244415;98,78661; Value-1A;0x42C5259A;1120216474;98,57344; Value-1B;0x42C3B04E;1120120910;97,84435; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42750BB7;1114966967;61,26144; Value-1F;0x42E0C7FE;1122027518;112,3906; Value-20;0x42D1D91F;1121048863;104,9241; Value-21;0x42D2F73F;1121122111;105,4829; Value-22;0x42D14656;1121011286;104,6374; Value-23;0x42D087E6;1120962534;104,2654; Value-24;0x42DB035D;1121649501;109,5066; Value-25;0x42F78B17;1123519255;123,7717; Value-26;0x431A22EE;1125786350;154,1364;
