Timestamp;Data
2023-11-03_11:57:35.45; Value-01;0x3FBBA28A;1069261450;1,465898; Value-02;0x409A932A;1083872042;4,830464; Value-03;0x42B7F4FC;1119352060;91,97849; Value-04;0x42B7DF2E;1119346478;91,9359; Value-05;0x42C656BC;1120294588;99,1694; Value-06;0x42C658C4;1120295108;99,17337; Value-07;0x42C2EF85;1120071557;97,46781; Value-08;0x42C174F0;1119974640;96,72839; Value-09;0x42C21ABB;1120017083;97,05221; Value-0A;0x4261A646;1113695814;56,41238; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42CFBBF8;1120910328;103,8671; Value-0D;0x42D17926;1121024294;104,7366; Value-0E;0x42CE15EE;1120802286;103,0428; Value-0F;0x42CF429F;1120879263;103,6301; Value-10;0x42D91A66;1121524326;108,5516; Value-11;0x42ED73C5;1122857925;118,7261; Value-12;0x43194D2C;1125731628;153,3015; Value-13;0x3F44D661;1061475937;0,7688962; Value-14;0x403158C6;1076975814;2,771043; Value-15;0x42B61B37;1119230775;91,05315; Value-16;0x42B881AA;1119388074;92,25325; Value-17;0x42C80B32;1120406322;100,0219; Value-18;0x42C810AA;1120407722;100,0325; Value-19;0x42C4A7A8;1120184232;98,32745; Value-1A;0x42C33D2B;1120091435;97,61947; Value-1B;0x42C3B41C;1120121884;97,85178; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274E214;1114956308;61,22078; Value-1F;0x42DF8091;1121943697;111,7511; Value-20;0x42D1884C;1121028172;104,7662; Value-21;0x42D357E8;1121146856;105,6717; Value-22;0x42CFE5C8;1120921032;103,9488; Value-23;0x42D10E68;1120996968;104,5281; Value-24;0x42DAED1C;1121643804;109,4631; Value-25;0x42EFB6B9;1123006137;119,8569; Value-26;0x431B2478;1125852280;155,1425;
2023-11-03_11:57:35.58; Value-01;0x3FBBA28A;1069261450;1,465898; Value-02;0x409A932A;1083872042;4,830464; Value-03;0x42B7F4FC;1119352060;91,97849; Value-04;0x42B7DF2E;1119346478;91,9359; Value-05;0x42C656BC;1120294588;99,1694; Value-06;0x42C658C4;1120295108;99,17337; Value-07;0x42C2EF85;1120071557;97,46781; Value-08;0x42C174F0;1119974640;96,72839; Value-09;0x42C21ABB;1120017083;97,05221; Value-0A;0x4261A646;1113695814;56,41238; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42CFBBF8;1120910328;103,8671; Value-0D;0x42D17926;1121024294;104,7366; Value-0E;0x42CE15EE;1120802286;103,0428; Value-0F;0x42CF429F;1120879263;103,6301; Value-10;0x42D91A66;1121524326;108,5516; Value-11;0x42ED73C5;1122857925;118,7261; Value-12;0x43194D2C;1125731628;153,3015; Value-13;0x3F44D661;1061475937;0,7688962; Value-14;0x403158C6;1076975814;2,771043; Value-15;0x42B61B37;1119230775;91,05315; Value-16;0x42B881AA;1119388074;92,25325; Value-17;0x42C80B32;1120406322;100,0219; Value-18;0x42C810AA;1120407722;100,0325; Value-19;0x42C4A7A8;1120184232;98,32745; Value-1A;0x42C33D2B;1120091435;97,61947; Value-1B;0x42C3B41C;1120121884;97,85178; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274E214;1114956308;61,22078; Value-1F;0x42DF8091;1121943697;111,7511; Value-20;0x42D1884C;1121028172;104,7662; Value-21;0x42D357E8;1121146856;105,6717; Value-22;0x42CFE5C8;1120921032;103,9488; Value-23;0x42D10E68;1120996968;104,5281; Value-24;0x42DAED1C;1121643804;109,4631; Value-25;0x42EFB6B9;1123006137;119,8569; Value-26;0x431B2478;1125852280;155,1425;
2023-11-03_11:57:35.58; Value-01;0x3FBBA28A;1069261450;1,465898; Value-02;0x409A932A;1083872042;4,830464; Value-03;0x42B7F4FC;1119352060;91,97849; Value-04;0x42B7DF2E;1119346478;91,9359; Value-05;0x42C656BC;1120294588;99,1694; Value-06;0x42C658C4;1120295108;99,17337; Value-07;0x42C2EF85;1120071557;97,46781; Value-08;0x42C174F0;1119974640;96,72839; Value-09;0x42C21ABB;1120017083;97,05221; Value-0A;0x4261A646;1113695814;56,41238; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42CFBBF8;1120910328;103,8671; Value-0D;0x42D17926;1121024294;104,7366; Value-0E;0x42CE15EE;1120802286;103,0428; Value-0F;0x42CF429F;1120879263;103,6301; Value-10;0x42D91A66;1121524326;108,5516; Value-11;0x42ED73C5;1122857925;118,7261; Value-12;0x43194D2C;1125731628;153,3015; Value-13;0x3F44D661;1061475937;0,7688962; Value-14;0x403158C6;1076975814;2,771043; Value-15;0x42B61B37;1119230775;91,05315; Value-16;0x42B881AA;1119388074;92,25325; Value-17;0x42C80B32;1120406322;100,0219; Value-18;0x42C810AA;1120407722;100,0325; Value-19;0x42C4A7A8;1120184232;98,32745; Value-1A;0x42C33D2B;1120091435;97,61947; Value-1B;0x42C3B41C;1120121884;97,85178; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274E214;1114956308;61,22078; Value-1F;0x42DF8091;1121943697;111,7511; Value-20;0x42D1884C;1121028172;104,7662; Value-21;0x42D357E8;1121146856;105,6717; Value-22;0x42CFE5C8;1120921032;103,9488; Value-23;0x42D10E68;1120996968;104,5281; Value-24;0x42DAED1C;1121643804;109,4631; Value-25;0x42EFB6B9;1123006137;119,8569; Value-26;0x431B2478;1125852280;155,1425;
2023-11-03_11:57:35.64; Value-01;0x3FBBA28A;1069261450;1,465898; Value-02;0x409A932A;1083872042;4,830464; Value-03;0x42B7F4FC;1119352060;91,97849; Value-04;0x42B7DF2E;1119346478;91,9359; Value-05;0x42C656BC;1120294588;99,1694; Value-06;0x42C658C4;1120295108;99,17337; Value-07;0x42C30082;1120075906;97,50099; Value-08;0x42C1AE64;1119989348;96,84061; Value-09;0x42C1C91E;1119996190;96,89281; Value-0A;0x4261A646;1113695814;56,41238; Value-0B;0x42B9C1CE;1119470030;92,87852; Value-0C;0x42CFBBF8;1120910328;103,8671; Value-0D;0x42D17926;1121024294;104,7366; Value-0E;0x42CE15EE;1120802286;103,0428; Value-0F;0x42CF429F;1120879263;103,6301; Value-10;0x42D929A8;1121528232;108,5814; Value-11;0x42EEE3A3;1122952099;119,4446; Value-12;0x43171FE5;1125588965;151,1246; Value-13;0x3F44D661;1061475937;0,7688962; Value-14;0x403158C6;1076975814;2,771043; Value-15;0x42B61B37;1119230775;91,05315; Value-16;0x42B881AA;1119388074;92,25325; Value-17;0x42C80B32;1120406322;100,0219; Value-18;0x42C7FC06;1120402438;99,99223; Value-19;0x42C4AC1C;1120185372;98,33615; Value-1A;0x42C2EF0F;1120071439;97,46691; Value-1B;0x42C394FB;1120113915;97,79098; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274E214;1114956308;61,22078; Value-1F;0x42DF8091;1121943697;111,7511; Value-20;0x42D1884C;1121028172;104,7662; Value-21;0x42D357E8;1121146856;105,6717; Value-22;0x42CFE5C8;1120921032;103,9488; Value-23;0x42D10E68;1120996968;104,5281; Value-24;0x42DA848E;1121617038;109,2589; Value-25;0x42EEAF8F;1122938767;119,3429; Value-26;0x431AFD3F;1125842239;154,9892;
2023-11-03_11:57:35.77; Value-01;0x3FE95EDC;1072258780;1,823207; Value-02;0x409D7443;1084060739;4,920442; Value-03;0x42B794F4;1119327476;91,79092; Value-04;0x42B79ACC;1119328972;91,80234; Value-05;0x42C666D2;1120298706;99,20082; Value-06;0x42C64B5F;1120291679;99,14721; Value-07;0x42C306C8;1120077512;97,51324; Value-08;0x42C18C4B;1119980619;96,77401; Value-09;0x42C1D9A2;1120000418;96,92506; Value-0A;0x42637D87;1113816455;56,87259; Value-0B;0x42B96879;1119447161;92,70405; Value-0C;0x42CF771D;1120892701;103,7326; Value-0D;0x42D18897;1121028247;104,7668; Value-0E;0x42CDEE89;1120792201;102,9659; Value-0F;0x42CF4453;1120879699;103,6334; Value-10;0x42D81FB6;1121460150;108,0619; Value-11;0x42EDFB21;1122892577;118,9905; Value-12;0x431A9B9D;1125817245;154,6079; Value-13;0x3FB25B21;1068653345;1,393406; Value-14;0x3FDFEC76;1071639670;1,749404; Value-15;0x42B7E303;1119347459;91,94338; Value-16;0x42B89202;1119392258;92,28517; Value-17;0x42C7E5D6;1120396758;99,9489; Value-18;0x42C80034;1120403508;100,0004; Value-19;0x42C49D98;1120181656;98,3078; Value-1A;0x42C346F6;1120093942;97,6386; Value-1B;0x42C3785A;1120106586;97,73506; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274B7B3;1114945459;61,17939; Value-1F;0x42DEE421;1121903649;111,4456; Value-20;0x42D15C66;1121016934;104,6805; Value-21;0x42D3460C;1121142284;105,6368; Value-22;0x42CFEA32;1120922162;103,9574; Value-23;0x42D114CC;1120998604;104,5406; Value-24;0x42DAD187;1121636743;109,4092; Value-25;0x42EF3B28;1122974504;119,6155; Value-26;0x4318906D;1125683309;152,5642;
2023-11-03_11:57:35.77; Value-01;0x3FE95EDC;1072258780;1,823207; Value-02;0x409D7443;1084060739;4,920442; Value-03;0x42B794F4;1119327476;91,79092; Value-04;0x42B79ACC;1119328972;91,80234; Value-05;0x42C666D2;1120298706;99,20082; Value-06;0x42C64B5F;1120291679;99,14721; Value-07;0x42C306C8;1120077512;97,51324; Value-08;0x42C18C4B;1119980619;96,77401; Value-09;0x42C1D9A2;1120000418;96,92506; Value-0A;0x42637D87;1113816455;56,87259; Value-0B;0x42B96879;1119447161;92,70405; Value-0C;0x42CF771D;1120892701;103,7326; Value-0D;0x42D18897;1121028247;104,7668; Value-0E;0x42CDEE89;1120792201;102,9659; Value-0F;0x42CF4453;1120879699;103,6334; Value-10;0x42D81FB6;1121460150;108,0619; Value-11;0x42EDFB21;1122892577;118,9905; Value-12;0x431A9B9D;1125817245;154,6079; Value-13;0x3FB25B21;1068653345;1,393406; Value-14;0x3FDFEC76;1071639670;1,749404; Value-15;0x42B7E303;1119347459;91,94338; Value-16;0x42B89202;1119392258;92,28517; Value-17;0x42C7E5D6;1120396758;99,9489; Value-18;0x42C80034;1120403508;100,0004; Value-19;0x42C49D98;1120181656;98,3078; Value-1A;0x42C346F6;1120093942;97,6386; Value-1B;0x42C3785A;1120106586;97,73506; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274B7B3;1114945459;61,17939; Value-1F;0x42DEE421;1121903649;111,4456; Value-20;0x42D15C66;1121016934;104,6805; Value-21;0x42D3460C;1121142284;105,6368; Value-22;0x42CFEA32;1120922162;103,9574; Value-23;0x42D114CC;1120998604;104,5406; Value-24;0x42DAD187;1121636743;109,4092; Value-25;0x42EF3B28;1122974504;119,6155; Value-26;0x4318906D;1125683309;152,5642;
2023-11-03_11:57:35.90; Value-01;0x3FE95EDC;1072258780;1,823207; Value-02;0x409D7443;1084060739;4,920442; Value-03;0x42B794F4;1119327476;91,79092; Value-04;0x42B79ACC;1119328972;91,80234; Value-05;0x42C666D2;1120298706;99,20082; Value-06;0x42C64B5F;1120291679;99,14721; Value-07;0x42C306C8;1120077512;97,51324; Value-08;0x42C18C4B;1119980619;96,77401; Value-09;0x42C1D9A2;1120000418;96,92506; Value-0A;0x4262BF80;1113767808;56,68701; Value-0B;0x42B96879;1119447161;92,70405; Value-0C;0x42CF771D;1120892701;103,7326; Value-0D;0x42D18897;1121028247;104,7668; Value-0E;0x42CDEE89;1120792201;102,9659; Value-0F;0x42CF4453;1120879699;103,6334; Value-10;0x42D81FB6;1121460150;108,0619; Value-11;0x42EDFB21;1122892577;118,9905; Value-12;0x431A9B9D;1125817245;154,6079; Value-13;0xBE44DD62;-1102783134;-0,1922508; Value-14;0x3FF97BDB;1073314779;1,949092; Value-15;0x42B7E303;1119347459;91,94338; Value-16;0x42B89202;1119392258;92,28517; Value-17;0x42C7E5D6;1120396758;99,9489; Value-18;0x42C80034;1120403508;100,0004; Value-19;0x42C49D98;1120181656;98,3078; Value-1A;0x42C346F6;1120093942;97,6386; Value-1B;0x42C3785A;1120106586;97,73506; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274CB5B;1114950491;61,19859; Value-1F;0x42DFD4F1;1121965297;111,9159; Value-20;0x42D1D385;1121047429;104,9131; Value-21;0x42D3460C;1121142284;105,6368; Value-22;0x42CFEA32;1120922162;103,9574; Value-23;0x42D114CC;1120998604;104,5406; Value-24;0x42DAD187;1121636743;109,4092; Value-25;0x42EF3B28;1122974504;119,6155; Value-26;0x4318906D;1125683309;152,5642;
2023-11-03_11:57:35.90; Value-01;0x3FE95EDC;1072258780;1,823207; Value-02;0x409D7443;1084060739;4,920442; Value-03;0x42B794F4;1119327476;91,79092; Value-04;0x42B79ACC;1119328972;91,80234; Value-05;0x42C666D2;1120298706;99,20082; Value-06;0x42C64B5F;1120291679;99,14721; Value-07;0x42C306C8;1120077512;97,51324; Value-08;0x42C18C4B;1119980619;96,77401; Value-09;0x42C1D9A2;1120000418;96,92506; Value-0A;0x4262BF80;1113767808;56,68701; Value-0B;0x42B96879;1119447161;92,70405; Value-0C;0x42CF771D;1120892701;103,7326; Value-0D;0x42D18897;1121028247;104,7668; Value-0E;0x42CDEE89;1120792201;102,9659; Value-0F;0x42CF4453;1120879699;103,6334; Value-10;0x42D81FB6;1121460150;108,0619; Value-11;0x42EDFB21;1122892577;118,9905; Value-12;0x431A9B9D;1125817245;154,6079; Value-13;0xBE44DD62;-1102783134;-0,1922508; Value-14;0x3FF97BDB;1073314779;1,949092; Value-15;0x42B7E303;1119347459;91,94338; Value-16;0x42B89202;1119392258;92,28517; Value-17;0x42C7E5D6;1120396758;99,9489; Value-18;0x42C80034;1120403508;100,0004; Value-19;0x42C49D98;1120181656;98,3078; Value-1A;0x42C346F6;1120093942;97,6386; Value-1B;0x42C3785A;1120106586;97,73506; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274CB5B;1114950491;61,19859; Value-1F;0x42DFD4F1;1121965297;111,9159; Value-20;0x42D1D385;1121047429;104,9131; Value-21;0x42D3460C;1121142284;105,6368; Value-22;0x42CFEA32;1120922162;103,9574; Value-23;0x42D114CC;1120998604;104,5406; Value-24;0x42DAD187;1121636743;109,4092; Value-25;0x42EF3B28;1122974504;119,6155; Value-26;0x4318906D;1125683309;152,5642;
2023-11-03_11:57:36.02; Value-01;0xBEAEAF11;-1095848175;-0,3411794; Value-02;0x4061E729;1080157993;3,529734; Value-03;0x42B6EE72;1119284850;91,46571; Value-04;0x42B75C23;1119312931;91,67995; Value-05;0x42C66F55;1120300885;99,21745; Value-06;0x42C64D33;1120292147;99,15078; Value-07;0x42C3023B;1120076347;97,50436; Value-08;0x42C1A074;1119985780;96,81339; Value-09;0x42C1E4C2;1120003266;96,94679; Value-0A;0x4262BF80;1113767808;56,68701; Value-0B;0x42B98169;1119453545;92,75275; Value-0C;0x42CF9FE6;1120903142;103,8123; Value-0D;0x42D1818A;1121026442;104,753; Value-0E;0x42CDEE00;1120792064;102,9648; Value-0F;0x42CF0CA2;1120865442;103,5247; Value-10;0x42D91141;1121521985;108,5337; Value-11;0x42EF5C11;1122982929;119,6798; Value-12;0x4318EAC2;1125706434;152,917; Value-13;0xBE44DD62;-1102783134;-0,1922508; Value-14;0x3FF97BDB;1073314779;1,949092; Value-15;0x42B7368F;1119303311;91,60656; Value-16;0x42B8601E;1119379486;92,18773; Value-17;0x42C7EA23;1120397859;99,9573; Value-18;0x42C80963;1120405859;100,0183; Value-19;0x42C4A0C7;1120182471;98,31402; Value-1A;0x42C340DD;1120092381;97,62669; Value-1B;0x42C3B89A;1120123034;97,86055; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274CB5B;1114950491;61,19859; Value-1F;0x42DFD4F1;1121965297;111,9159; Value-20;0x42D1D385;1121047429;104,9131; Value-21;0x42D35EE4;1121148644;105,6853; Value-22;0x42CFCAC8;1120914120;103,8961; Value-23;0x42D0FAA1;1120991905;104,4895; Value-24;0x42DAC785;1121634181;109,3897; Value-25;0x42EF521C;1122980380;119,6604; Value-26;0x4319CE09;1125764617;153,8048;
2023-11-03_11:57:36.02; Value-01;0xBEAEAF11;-1095848175;-0,3411794; Value-02;0x4061E729;1080157993;3,529734; Value-03;0x42B6EE72;1119284850;91,46571; Value-04;0x42B75C23;1119312931;91,67995; Value-05;0x42C66F55;1120300885;99,21745; Value-06;0x42C64D33;1120292147;99,15078; Value-07;0x42C3023B;1120076347;97,50436; Value-08;0x42C1A074;1119985780;96,81339; Value-09;0x42C1E4C2;1120003266;96,94679; Value-0A;0x4262BF80;1113767808;56,68701; Value-0B;0x42B98169;1119453545;92,75275; Value-0C;0x42CF9FE6;1120903142;103,8123; Value-0D;0x42D1818A;1121026442;104,753; Value-0E;0x42CDEE00;1120792064;102,9648; Value-0F;0x42CF0CA2;1120865442;103,5247; Value-10;0x42D91141;1121521985;108,5337; Value-11;0x42EF5C11;1122982929;119,6798; Value-12;0x4318EAC2;1125706434;152,917; Value-13;0xBE44DD62;-1102783134;-0,1922508; Value-14;0x3FF97BDB;1073314779;1,949092; Value-15;0x42B7368F;1119303311;91,60656; Value-16;0x42B8601E;1119379486;92,18773; Value-17;0x42C7EA23;1120397859;99,9573; Value-18;0x42C80963;1120405859;100,0183; Value-19;0x42C4A0C7;1120182471;98,31402; Value-1A;0x42C340DD;1120092381;97,62669; Value-1B;0x42C3B89A;1120123034;97,86055; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4274CB5B;1114950491;61,19859; Value-1F;0x42DFD4F1;1121965297;111,9159; Value-20;0x42D1D385;1121047429;104,9131; Value-21;0x42D35EE4;1121148644;105,6853; Value-22;0x42CFCAC8;1120914120;103,8961; Value-23;0x42D0FAA1;1120991905;104,4895; Value-24;0x42DAC785;1121634181;109,3897; Value-25;0x42EF521C;1122980380;119,6604; Value-26;0x4319CE09;1125764617;153,8048;
2023-11-03_11:57:36.14; Value-01;0x3FAE3429;1068381225;1,360967; Value-02;0x40ADF23B;1085141563;5,435819; Value-03;0x42B744F6;1119306998;91,63469; Value-04;0x42B78BEC;1119325164;91,77328; Value-05;0x42C665DB;1120298459;99,19894; Value-06;0x42C65BDC;1120295900;99,17941; Value-07;0x42C2F7EC;1120073708;97,48422; Value-08;0x42C195FA;1119983098;96,79292; Value-09;0x42C24E25;1120030245;97,15263; Value-0A;0x42631AFE;1113791230;56,77636; Value-0B;0x42BA202B;1119494187;93,06283; Value-0C;0x42D00613;1120929299;104,0119; Value-0D;0x42D14F8A;1121013642;104,6553; Value-0E;0x42CE16D0;1120802512;103,0446; Value-0F;0x42CF58E4;1120884964;103,6736; Value-10;0x42D9048C;1121518732;108,5089; Value-11;0x42ED49CD;1122847181;118,6441; Value-12;0x4318AC61;1125690465;152,6734; Value-13;0x3CC79D06;1019714822;0,02436687; Value-14;0x40233FFD;1076051965;2,550781; Value-15;0x42B82D9A;1119366554;92,08907; Value-16;0x42B845B2;1119372722;92,13612; Value-17;0x42C7E61C;1120396828;99,94943; Value-18;0x42C80C8D;1120406669;100,0245; Value-19;0x42C4B8EA;1120188650;98,36116; Value-1A;0x42C34C43;1120095299;97,64895; Value-1B;0x42C3D251;1120129617;97,91077; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4273ED16;1114893590;60,98153; Value-1F;0x42DF918A;1121948042;111,7843; Value-20;0x42D16896;1121020054;104,7043; Value-21;0x42D34331;1121141553;105,6312; Value-22;0x42CFC054;1120911444;103,8756; Value-23;0x42D1680F;1121019919;104,7032; Value-24;0x42DA6704;1121609476;109,2012; Value-25;0x42EE6281;1122919041;119,1924; Value-26;0x4318A7A0;1125689248;152,6548;
