Timestamp;Data
2023-11-03_10:03:30.33; Value-01;0x3FC723FE;1070015486;1,555786; Value-02;0x408979E9;1082751465;4,296132; Value-03;0x42B76D22;1119317282;91,71315; Value-04;0x42B733A4;1119302564;91,60086; Value-05;0x42C5AF7E;1120251774;98,84276; Value-06;0x42C77495;1120367765;99,7277; Value-07;0x42C423BB;1120150459;98,06979; Value-08;0x42C2FE2C;1120075308;97,49643; Value-09;0x42C244B8;1120027832;97,13422; Value-0A;0x42658974;1113950580;57,38423; Value-0B;0x42BAD46A;1119540330;93,41487; Value-0C;0x42D0B71F;1120974623;104,3577; Value-0D;0x42D10CF3;1120996595;104,5253; Value-0E;0x42CF742A;1120891946;103,7269; Value-0F;0x42CE3962;1120811362;103,1121; Value-10;0x42D8A7FC;1121495036;108,3281; Value-11;0x42F2D20E;1123209742;121,4103; Value-12;0x431D0E3A;1125977658;157,0556; Value-13;0x3FEFCC3A;1072679994;1,87342; Value-14;0x3FE4432F;1071924015;1,7833; Value-15;0x42B6A155;1119265109;91,3151; Value-16;0x42B7FDB6;1119354294;91,99553; Value-17;0x42C731D2;1120350674;99,59731; Value-18;0x42C92BE0;1120480224;100,5857; Value-19;0x42C59A0A;1120246282;98,80086; Value-1A;0x42C4CA00;1120193024;98,39453; Value-1B;0x42C40F36;1120145206;98,02971; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4276E894;1115089044;61,72713; Value-1F;0x42E05F68;1122000744;112,1863; Value-20;0x42D262CA;1121084106;105,1929; Value-21;0x42D2F9DF;1121122783;105,488; Value-22;0x42D11CB5;1121000629;104,5561; Value-23;0x42CFE3BD;1120920509;103,9448; Value-24;0x42D9B7F5;1121564661;108,8593; Value-25;0x42F2E3A1;1123214241;121,4446; Value-26;0x431D34CA;1125987530;157,2062;
2023-11-03_10:03:30.45; Value-01;0x3FC723FE;1070015486;1,555786; Value-02;0x408979E9;1082751465;4,296132; Value-03;0x42B76D22;1119317282;91,71315; Value-04;0x42B733A4;1119302564;91,60086; Value-05;0x42C5AF7E;1120251774;98,84276; Value-06;0x42C77495;1120367765;99,7277; Value-07;0x42C423BB;1120150459;98,06979; Value-08;0x42C2FE2C;1120075308;97,49643; Value-09;0x42C244B8;1120027832;97,13422; Value-0A;0x42658974;1113950580;57,38423; Value-0B;0x42BAD46A;1119540330;93,41487; Value-0C;0x42D0B71F;1120974623;104,3577; Value-0D;0x42D10CF3;1120996595;104,5253; Value-0E;0x42CF742A;1120891946;103,7269; Value-0F;0x42CE3962;1120811362;103,1121; Value-10;0x42D8A7FC;1121495036;108,3281; Value-11;0x42F2D20E;1123209742;121,4103; Value-12;0x431D0E3A;1125977658;157,0556; Value-13;0x3FEFCC3A;1072679994;1,87342; Value-14;0x3FE4432F;1071924015;1,7833; Value-15;0x42B6A155;1119265109;91,3151; Value-16;0x42B7FDB6;1119354294;91,99553; Value-17;0x42C731D2;1120350674;99,59731; Value-18;0x42C92BE0;1120480224;100,5857; Value-19;0x42C59A0A;1120246282;98,80086; Value-1A;0x42C4CA00;1120193024;98,39453; Value-1B;0x42C40F36;1120145206;98,02971; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4276E894;1115089044;61,72713; Value-1F;0x42E05F68;1122000744;112,1863; Value-20;0x42D262CA;1121084106;105,1929; Value-21;0x42D2F9DF;1121122783;105,488; Value-22;0x42D11CB5;1121000629;104,5561; Value-23;0x42CFE3BD;1120920509;103,9448; Value-24;0x42D9B7F5;1121564661;108,8593; Value-25;0x42F2E3A1;1123214241;121,4446; Value-26;0x431D34CA;1125987530;157,2062;
2023-11-03_10:03:30.45; Value-01;0x3FC723FE;1070015486;1,555786; Value-02;0x408979E9;1082751465;4,296132; Value-03;0x42B76D22;1119317282;91,71315; Value-04;0x42B733A4;1119302564;91,60086; Value-05;0x42C5AF7E;1120251774;98,84276; Value-06;0x42C77495;1120367765;99,7277; Value-07;0x42C423BB;1120150459;98,06979; Value-08;0x42C2FE2C;1120075308;97,49643; Value-09;0x42C244B8;1120027832;97,13422; Value-0A;0x42658974;1113950580;57,38423; Value-0B;0x42BAD46A;1119540330;93,41487; Value-0C;0x42D0B71F;1120974623;104,3577; Value-0D;0x42D10CF3;1120996595;104,5253; Value-0E;0x42CF742A;1120891946;103,7269; Value-0F;0x42CE3962;1120811362;103,1121; Value-10;0x42D8A7FC;1121495036;108,3281; Value-11;0x42F2D20E;1123209742;121,4103; Value-12;0x431D0E3A;1125977658;157,0556; Value-13;0x3FEFCC3A;1072679994;1,87342; Value-14;0x3FE4432F;1071924015;1,7833; Value-15;0x42B6A155;1119265109;91,3151; Value-16;0x42B7FDB6;1119354294;91,99553; Value-17;0x42C731D2;1120350674;99,59731; Value-18;0x42C92BE0;1120480224;100,5857; Value-19;0x42C59A0A;1120246282;98,80086; Value-1A;0x42C4CA00;1120193024;98,39453; Value-1B;0x42C40F36;1120145206;98,02971; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4276E894;1115089044;61,72713; Value-1F;0x42E05F68;1122000744;112,1863; Value-20;0x42D262CA;1121084106;105,1929; Value-21;0x42D2F9DF;1121122783;105,488; Value-22;0x42D11CB5;1121000629;104,5561; Value-23;0x42CFE3BD;1120920509;103,9448; Value-24;0x42D9B7F5;1121564661;108,8593; Value-25;0x42F2E3A1;1123214241;121,4446; Value-26;0x431D34CA;1125987530;157,2062;
2023-11-03_10:03:30.51; Value-01;0x4034B4F8;1077196024;2,823545; Value-02;0x4085207F;1082466431;4,160217; Value-03;0x42B74BDB;1119308763;91,64816; Value-04;0x42B7A4BB;1119331515;91,82174; Value-05;0x42C5A96C;1120250220;98,8309; Value-06;0x42C77D3C;1120369980;99,7446; Value-07;0x42C41BCF;1120148431;98,05431; Value-08;0x42C32390;1120084880;97,56946; Value-09;0x42C1E605;1120003589;96,94926; Value-0A;0x4264CE28;1113902632;57,20132; Value-0B;0x42BB5ED8;1119575768;93,68524; Value-0C;0x42D040A4;1120944292;104,1263; Value-0D;0x42D0E002;1120985090;104,4375; Value-0E;0x42CF959D;1120900509;103,7922; Value-0F;0x42CE0266;1120797286;103,0047; Value-10;0x42D7FEFE;1121451774;107,998; Value-11;0x42F4F350;1123349328;122,4752; Value-12;0x4322D3A1;1126355873;162,8267; Value-13;0x3D8BCDC2;1032572354;0,06826355; Value-14;0x401712E6;1075253990;2,360528; Value-15;0x42B6C969;1119275369;91,39338; Value-16;0x42B7C512;1119339794;91,8849; Value-17;0x42C73DAF;1120353711;99,62048; Value-18;0x42C91076;1120473206;100,5322; Value-19;0x42C5AF99;1120251801;98,84296; Value-1A;0x42C4D20F;1120195087;98,41027; Value-1B;0x42C45D35;1120165173;98,18204; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42783F4A;1115176778;62,06181; Value-1F;0x42E1A77C;1122084732;112,8271; Value-20;0x42D2BDC3;1121107395;105,3706; Value-21;0x42D33193;1121137043;105,5968; Value-22;0x42D13209;1121006089;104,5977; Value-23;0x42D04B47;1120947015;104,147; Value-24;0x42D982E1;1121551073;108,7556; Value-25;0x42F83A38;1123564088;124,1137; Value-26;0x431744F6;1125598454;151,2694;
2023-11-03_10:03:30.61; Value-01;0x4034B4F8;1077196024;2,823545; Value-02;0x4085207F;1082466431;4,160217; Value-03;0x42B74BDB;1119308763;91,64816; Value-04;0x42B7A4BB;1119331515;91,82174; Value-05;0x42C5A96C;1120250220;98,8309; Value-06;0x42C77D3C;1120369980;99,7446; Value-07;0x42C41BCF;1120148431;98,05431; Value-08;0x42C32390;1120084880;97,56946; Value-09;0x42C1E605;1120003589;96,94926; Value-0A;0x4264CE28;1113902632;57,20132; Value-0B;0x42BB5ED8;1119575768;93,68524; Value-0C;0x42D040A4;1120944292;104,1263; Value-0D;0x42D0E002;1120985090;104,4375; Value-0E;0x42CF959D;1120900509;103,7922; Value-0F;0x42CE0266;1120797286;103,0047; Value-10;0x42D7FEFE;1121451774;107,998; Value-11;0x42F4F350;1123349328;122,4752; Value-12;0x4322D3A1;1126355873;162,8267; Value-13;0x3D8BCDC2;1032572354;0,06826355; Value-14;0x401712E6;1075253990;2,360528; Value-15;0x42B6C969;1119275369;91,39338; Value-16;0x42B7C512;1119339794;91,8849; Value-17;0x42C73DAF;1120353711;99,62048; Value-18;0x42C91076;1120473206;100,5322; Value-19;0x42C5AF99;1120251801;98,84296; Value-1A;0x42C4D20F;1120195087;98,41027; Value-1B;0x42C45D35;1120165173;98,18204; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42783F4A;1115176778;62,06181; Value-1F;0x42E1A77C;1122084732;112,8271; Value-20;0x42D2BDC3;1121107395;105,3706; Value-21;0x42D33193;1121137043;105,5968; Value-22;0x42D13209;1121006089;104,5977; Value-23;0x42D04B47;1120947015;104,147; Value-24;0x42D982E1;1121551073;108,7556; Value-25;0x42F83A38;1123564088;124,1137; Value-26;0x431744F6;1125598454;151,2694;
2023-11-03_10:03:30.66; Value-01;0x4034B4F8;1077196024;2,823545; Value-02;0x4085207F;1082466431;4,160217; Value-03;0x42B74BDB;1119308763;91,64816; Value-04;0x42B7A4BB;1119331515;91,82174; Value-05;0x42C5A96C;1120250220;98,8309; Value-06;0x42C77D3C;1120369980;99,7446; Value-07;0x42C41BCF;1120148431;98,05431; Value-08;0x42C32390;1120084880;97,56946; Value-09;0x42C222DE;1120019166;97,0681; Value-0A;0x4264CE28;1113902632;57,20132; Value-0B;0x42BB5ED8;1119575768;93,68524; Value-0C;0x42D040A4;1120944292;104,1263; Value-0D;0x42D0E002;1120985090;104,4375; Value-0E;0x42CF959D;1120900509;103,7922; Value-0F;0x42CE0266;1120797286;103,0047; Value-10;0x42D7FEFE;1121451774;107,998; Value-11;0x42F4F350;1123349328;122,4752; Value-12;0x4322D3A1;1126355873;162,8267; Value-13;0x3D8BCDC2;1032572354;0,06826355; Value-14;0x401712E6;1075253990;2,360528; Value-15;0x42B6C969;1119275369;91,39338; Value-16;0x42B7C512;1119339794;91,8849; Value-17;0x42C73DAF;1120353711;99,62048; Value-18;0x42C91076;1120473206;100,5322; Value-19;0x42C5AF99;1120251801;98,84296; Value-1A;0x42C4D20F;1120195087;98,41027; Value-1B;0x42C403C3;1120142275;98,00735; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42783F4A;1115176778;62,06181; Value-1F;0x42E1A77C;1122084732;112,8271; Value-20;0x42D2BDC3;1121107395;105,3706; Value-21;0x42D33193;1121137043;105,5968; Value-22;0x42D13209;1121006089;104,5977; Value-23;0x42D04B47;1120947015;104,147; Value-24;0x42D982E1;1121551073;108,7556; Value-25;0x42F83A38;1123564088;124,1137; Value-26;0x431744F6;1125598454;151,2694;
2023-11-03_10:03:30.76; Value-01;0x402A24F2;1076503794;2,658505; Value-02;0x4090460E;1083196942;4,508552; Value-03;0x42B71E23;1119297059;91,55886; Value-04;0x42B78E5E;1119325790;91,77806; Value-05;0x42C5A7D3;1120249811;98,82778; Value-06;0x42C79555;1120376149;99,79166; Value-07;0x42C41C6B;1120148587;98,0555; Value-08;0x42C30BB6;1120078774;97,52287; Value-09;0x42C22DA6;1120021926;97,08916; Value-0A;0x4264EAD8;1113909976;57,22934; Value-0B;0x42BB1FA4;1119559588;93,5618; Value-0C;0x42D0425F;1120944735;104,1296; Value-0D;0x42D0CB95;1120979861;104,3976; Value-0E;0x42CFA568;1120904552;103,8231; Value-0F;0x42CE039E;1120797598;103,0071; Value-10;0x42D8E168;1121509736;108,4402; Value-11;0x42F1B24E;1123136078;120,8483; Value-12;0x43206D3D;1126198589;160,4267; Value-13;0xBEAF6E6E;-1095799186;-0,3426394; Value-14;0x400E8CC6;1074695366;2,227342; Value-15;0x42B730F1;1119301873;91,59559; Value-16;0x42B7DDCF;1119346127;91,93322; Value-17;0x42C76194;1120362900;99,69058; Value-18;0x42C920C2;1120477378;100,564; Value-19;0x42C5A7D9;1120249817;98,82783; Value-1A;0x42C4EAC9;1120201417;98,45856; Value-1B;0x42C3BAA2;1120123554;97,86452; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4277F839;1115158585;61,9924; Value-1F;0x42E093EF;1122014191;112,2889; Value-20;0x42D2449B;1121076379;105,134; Value-21;0x42D31E62;1121132130;105,5593; Value-22;0x42D0E121;1120985377;104,4397; Value-23;0x42D05A0E;1120950798;104,1759; Value-24;0x42DA9A39;1121622585;109,3012; Value-25;0x42F693D4;1123455956;123,2887; Value-26;0x431DDFE8;1126031336;157,8746;
2023-11-03_10:03:30.76; Value-01;0x402A24F2;1076503794;2,658505; Value-02;0x4090460E;1083196942;4,508552; Value-03;0x42B71E23;1119297059;91,55886; Value-04;0x42B78E5E;1119325790;91,77806; Value-05;0x42C5A7D3;1120249811;98,82778; Value-06;0x42C79555;1120376149;99,79166; Value-07;0x42C41C6B;1120148587;98,0555; Value-08;0x42C30BB6;1120078774;97,52287; Value-09;0x42C22DA6;1120021926;97,08916; Value-0A;0x4264EAD8;1113909976;57,22934; Value-0B;0x42BB1FA4;1119559588;93,5618; Value-0C;0x42D0425F;1120944735;104,1296; Value-0D;0x42D0CB95;1120979861;104,3976; Value-0E;0x42CFA568;1120904552;103,8231; Value-0F;0x42CE039E;1120797598;103,0071; Value-10;0x42D8E168;1121509736;108,4402; Value-11;0x42F1B24E;1123136078;120,8483; Value-12;0x43206D3D;1126198589;160,4267; Value-13;0xBEAF6E6E;-1095799186;-0,3426394; Value-14;0x400E8CC6;1074695366;2,227342; Value-15;0x42B730F1;1119301873;91,59559; Value-16;0x42B7DDCF;1119346127;91,93322; Value-17;0x42C76194;1120362900;99,69058; Value-18;0x42C920C2;1120477378;100,564; Value-19;0x42C5A7D9;1120249817;98,82783; Value-1A;0x42C4EAC9;1120201417;98,45856; Value-1B;0x42C3BAA2;1120123554;97,86452; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4277F839;1115158585;61,9924; Value-1F;0x42E093EF;1122014191;112,2889; Value-20;0x42D2449B;1121076379;105,134; Value-21;0x42D31E62;1121132130;105,5593; Value-22;0x42D0E121;1120985377;104,4397; Value-23;0x42D05A0E;1120950798;104,1759; Value-24;0x42DA9A39;1121622585;109,3012; Value-25;0x42F693D4;1123455956;123,2887; Value-26;0x431DDFE8;1126031336;157,8746;
2023-11-03_10:03:30.86; Value-01;0x402A24F2;1076503794;2,658505; Value-02;0x4090460E;1083196942;4,508552; Value-03;0x42B71E23;1119297059;91,55886; Value-04;0x42B78E5E;1119325790;91,77806; Value-05;0x42C5A7D3;1120249811;98,82778; Value-06;0x42C79555;1120376149;99,79166; Value-07;0x42C41C6B;1120148587;98,0555; Value-08;0x42C30BB6;1120078774;97,52287; Value-09;0x42C22DA6;1120021926;97,08916; Value-0A;0x4264EAD8;1113909976;57,22934; Value-0B;0x42BB1FA4;1119559588;93,5618; Value-0C;0x42D0425F;1120944735;104,1296; Value-0D;0x42D0CB95;1120979861;104,3976; Value-0E;0x42CFA568;1120904552;103,8231; Value-0F;0x42CE039E;1120797598;103,0071; Value-10;0x42D8E168;1121509736;108,4402; Value-11;0x42F1B24E;1123136078;120,8483; Value-12;0x43206D3D;1126198589;160,4267; Value-13;0xBEAF6E6E;-1095799186;-0,3426394; Value-14;0x400E8CC6;1074695366;2,227342; Value-15;0x42B730F1;1119301873;91,59559; Value-16;0x42B7DDCF;1119346127;91,93322; Value-17;0x42C76194;1120362900;99,69058; Value-18;0x42C920C2;1120477378;100,564; Value-19;0x42C5A7D9;1120249817;98,82783; Value-1A;0x42C4EAC9;1120201417;98,45856; Value-1B;0x42C3BAA2;1120123554;97,86452; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4277F839;1115158585;61,9924; Value-1F;0x42E093EF;1122014191;112,2889; Value-20;0x42D2449B;1121076379;105,134; Value-21;0x42D31E62;1121132130;105,5593; Value-22;0x42D0E121;1120985377;104,4397; Value-23;0x42D05A0E;1120950798;104,1759; Value-24;0x42DA9A39;1121622585;109,3012; Value-25;0x42F693D4;1123455956;123,2887; Value-26;0x431DDFE8;1126031336;157,8746;
2023-11-03_10:03:30.86; Value-01;0x402A24F2;1076503794;2,658505; Value-02;0x4090460E;1083196942;4,508552; Value-03;0x42B71E23;1119297059;91,55886; Value-04;0x42B78E5E;1119325790;91,77806; Value-05;0x42C5A7D3;1120249811;98,82778; Value-06;0x42C79555;1120376149;99,79166; Value-07;0x42C41C6B;1120148587;98,0555; Value-08;0x42C30BB6;1120078774;97,52287; Value-09;0x42C22DA6;1120021926;97,08916; Value-0A;0x4264EAD8;1113909976;57,22934; Value-0B;0x42BB1FA4;1119559588;93,5618; Value-0C;0x42D0425F;1120944735;104,1296; Value-0D;0x42D0CB95;1120979861;104,3976; Value-0E;0x42CFA568;1120904552;103,8231; Value-0F;0x42CE039E;1120797598;103,0071; Value-10;0x42D8E168;1121509736;108,4402; Value-11;0x42F1B24E;1123136078;120,8483; Value-12;0x43206D3D;1126198589;160,4267; Value-13;0xBEAF6E6E;-1095799186;-0,3426394; Value-14;0x400E8CC6;1074695366;2,227342; Value-15;0x42B730F1;1119301873;91,59559; Value-16;0x42B7DDCF;1119346127;91,93322; Value-17;0x42C76194;1120362900;99,69058; Value-18;0x42C920C2;1120477378;100,564; Value-19;0x42C5A7D9;1120249817;98,82783; Value-1A;0x42C4EAC9;1120201417;98,45856; Value-1B;0x42C3BAA2;1120123554;97,86452; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4277F839;1115158585;61,9924; Value-1F;0x42E093EF;1122014191;112,2889; Value-20;0x42D2449B;1121076379;105,134; Value-21;0x42D31E62;1121132130;105,5593; Value-22;0x42D0E121;1120985377;104,4397; Value-23;0x42D05A0E;1120950798;104,1759; Value-24;0x42DA9A39;1121622585;109,3012; Value-25;0x42F693D4;1123455956;123,2887; Value-26;0x431DDFE8;1126031336;157,8746;
2023-11-03_10:03:30.93; Value-01;0x4025FDF9;1076231673;2,593626; Value-02;0x40792B45;1081682757;3,893266; Value-03;0x42B68B5C;1119259484;91,27219; Value-04;0x42B76D66;1119317350;91,71367; Value-05;0x42C5DC4A;1120263242;98,93025; Value-06;0x42C78C62;1120373858;99,77419; Value-07;0x42C41B0A;1120148234;98,05281; Value-08;0x42C345A3;1120093603;97,63601; Value-09;0x42C222BD;1120019133;97,06785; Value-0A;0x426562D8;1113940696;57,34653; Value-0B;0x42BB112C;1119555884;93,53354; Value-0C;0x42D05982;1120950658;104,1748; Value-0D;0x42D111D6;1120997846;104,5348; Value-0E;0x42CF4B37;1120881463;103,6469; Value-0F;0x42CE1EA2;1120804514;103,0598; Value-10;0x42D920D4;1121525972;108,5641; Value-11;0x42F2BA82;1123203714;121,3643; Value-12;0x431CF4CA;1125971146;156,9562; Value-13;0xBD83615F;-1115463329;-0,06415056; Value-14;0x403D982E;1077778478;2,962413; Value-15;0x42B76522;1119315234;91,69753; Value-16;0x42B80649;1119356489;92,01228; Value-17;0x42C73B95;1120353173;99,61637; Value-18;0x42C910F2;1120473330;100,5331; Value-19;0x42C59F52;1120247634;98,81117; Value-1A;0x42C4F789;1120204681;98,48347; Value-1B;0x42C42C36;1120152630;98,08635; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42778CA3;1115131043;61,88734; Value-1F;0x42E0A3B8;1122018232;112,3198; Value-20;0x42D21489;1121064073;105,0401; Value-21;0x42D2CDEC;1121111532;105,4022; Value-22;0x42D13788;1121007496;104,6085; Value-23;0x42D05219;1120948761;104,1603; Value-24;0x42DA17D0;1121589200;109,0465; Value-25;0x42F4FDC7;1123352007;122,4957; Value-26;0x431E5F7D;1126063997;158,373;
