Timestamp;Data
2023-11-07_10:45:15.06; Value-01;0x4208BB5D;1107868509;34,18297; Value-02;0x3E37725F;1043821151;0,1791472; Value-03;0x42D07B3E;1120959294;104,2407; Value-04;0x42CA33A2;1120547746;101,1008; Value-05;0x42C72ACB;1120348875;99,58358; Value-06;0x42C656CD;1120294605;99,16953; Value-07;0x42C45347;1120162631;98,16265; Value-08;0x42C5819F;1120240031;98,75317; Value-09;0x42C2E084;1120067716;97,43851; Value-0A;0x42B4646F;1119118447;90,19616; Value-0B;0x42C52AAE;1120217774;98,58336; Value-0C;0x42CB498A;1120618890;101,6436; Value-0D;0x42CA2517;1120544023;101,0724; Value-0E;0x42C91B5D;1120475997;100,5534; Value-0F;0x42CB1055;1120604245;101,5319; Value-10;0x42CB91F6;1120637430;101,7851; Value-11;0x42ECCCC7;1122815175;118,4; Value-12;0x430C6CE8;1124887784;140,4254; Value-13;0xC0EF73B1;-1058049103;-7,482872; Value-14;0x3FC44844;1069828164;1,533455; Value-15;0x42CFE45D;1120920669;103,946; Value-16;0x42CAEBCA;1120594890;101,4605; Value-17;0x42C88B5B;1120439131;100,2722; Value-18;0x42C7FDB8;1120402872;99,99554; Value-19;0x42C5E4F9;1120265465;98,94721; Value-1A;0x42C6FD44;1120337220;99,49466; Value-1B;0x42C46987;1120168327;98,20611; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6CDB7;1119276471;91,40179; Value-1F;0x42D11A26;1120999974;104,5511; Value-20;0x42CD04F8;1120732408;102,5097; Value-21;0x42CBED41;1120660801;101,9634; Value-22;0x42CAF386;1120596870;101,4756; Value-23;0x42CCC30E;1120715534;102,381; Value-24;0x42CEB407;1120842759;103,3516; Value-25;0x42EB7D35;1122729269;117,7445; Value-26;0x430FACE3;1125100771;143,6753;
2023-11-07_10:45:15.20; Value-01;0x4208BB5D;1107868509;34,18297; Value-02;0x3E37725F;1043821151;0,1791472; Value-03;0x42D07B3E;1120959294;104,2407; Value-04;0x42CA33A2;1120547746;101,1008; Value-05;0x42C72ACB;1120348875;99,58358; Value-06;0x42C656CD;1120294605;99,16953; Value-07;0x42C45347;1120162631;98,16265; Value-08;0x42C5819F;1120240031;98,75317; Value-09;0x42C2E084;1120067716;97,43851; Value-0A;0x42B4646F;1119118447;90,19616; Value-0B;0x42C52AAE;1120217774;98,58336; Value-0C;0x42CB498A;1120618890;101,6436; Value-0D;0x42CA2517;1120544023;101,0724; Value-0E;0x42C91B5D;1120475997;100,5534; Value-0F;0x42CB1055;1120604245;101,5319; Value-10;0x42CB91F6;1120637430;101,7851; Value-11;0x42ECCCC7;1122815175;118,4; Value-12;0x430C6CE8;1124887784;140,4254; Value-13;0xC0EF73B1;-1058049103;-7,482872; Value-14;0x3FC44844;1069828164;1,533455; Value-15;0x42CFE45D;1120920669;103,946; Value-16;0x42CAEBCA;1120594890;101,4605; Value-17;0x42C88B5B;1120439131;100,2722; Value-18;0x42C7FDB8;1120402872;99,99554; Value-19;0x42C5E4F9;1120265465;98,94721; Value-1A;0x42C6FD44;1120337220;99,49466; Value-1B;0x42C46987;1120168327;98,20611; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6CDB7;1119276471;91,40179; Value-1F;0x42D11A26;1120999974;104,5511; Value-20;0x42CD04F8;1120732408;102,5097; Value-21;0x42CBED41;1120660801;101,9634; Value-22;0x42CAF386;1120596870;101,4756; Value-23;0x42CCC30E;1120715534;102,381; Value-24;0x42CEB407;1120842759;103,3516; Value-25;0x42EB7D35;1122729269;117,7445; Value-26;0x430FACE3;1125100771;143,6753;
2023-11-07_10:45:15.20; Value-01;0x4208BB5D;1107868509;34,18297; Value-02;0x3E37725F;1043821151;0,1791472; Value-03;0x42D07B3E;1120959294;104,2407; Value-04;0x42CA33A2;1120547746;101,1008; Value-05;0x42C72ACB;1120348875;99,58358; Value-06;0x42C656CD;1120294605;99,16953; Value-07;0x42C45347;1120162631;98,16265; Value-08;0x42C5819F;1120240031;98,75317; Value-09;0x42C2E084;1120067716;97,43851; Value-0A;0x42B4646F;1119118447;90,19616; Value-0B;0x42C52AAE;1120217774;98,58336; Value-0C;0x42CB498A;1120618890;101,6436; Value-0D;0x42CA2517;1120544023;101,0724; Value-0E;0x42C91B5D;1120475997;100,5534; Value-0F;0x42CB1055;1120604245;101,5319; Value-10;0x42CB91F6;1120637430;101,7851; Value-11;0x42ECCCC7;1122815175;118,4; Value-12;0x430C6CE8;1124887784;140,4254; Value-13;0xC0EF73B1;-1058049103;-7,482872; Value-14;0x3FC44844;1069828164;1,533455; Value-15;0x42CFE45D;1120920669;103,946; Value-16;0x42CAEBCA;1120594890;101,4605; Value-17;0x42C88B5B;1120439131;100,2722; Value-18;0x42C7FDB8;1120402872;99,99554; Value-19;0x42C5E4F9;1120265465;98,94721; Value-1A;0x42C6FD44;1120337220;99,49466; Value-1B;0x42C46987;1120168327;98,20611; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6CDB7;1119276471;91,40179; Value-1F;0x42D11A26;1120999974;104,5511; Value-20;0x42CD04F8;1120732408;102,5097; Value-21;0x42CBED41;1120660801;101,9634; Value-22;0x42CAF386;1120596870;101,4756; Value-23;0x42CCC30E;1120715534;102,381; Value-24;0x42CEB407;1120842759;103,3516; Value-25;0x42EB7D35;1122729269;117,7445; Value-26;0x430FACE3;1125100771;143,6753;
2023-11-07_10:45:15.26; Value-01;0x4208BB5D;1107868509;34,18297; Value-02;0x3E37725F;1043821151;0,1791472; Value-03;0x42D07B3E;1120959294;104,2407; Value-04;0x42CA33A2;1120547746;101,1008; Value-05;0x42C72ACB;1120348875;99,58358; Value-06;0x42C66754;1120298836;99,20181; Value-07;0x42C460F9;1120166137;98,1894; Value-08;0x42C53A94;1120221844;98,61441; Value-09;0x42C289B7;1120045495;97,26897; Value-0A;0x42B4646F;1119118447;90,19616; Value-0B;0x42C52AAE;1120217774;98,58336; Value-0C;0x42CB498A;1120618890;101,6436; Value-0D;0x42CA2517;1120544023;101,0724; Value-0E;0x42C91B5D;1120475997;100,5534; Value-0F;0x42CB1734;1120606004;101,5453; Value-10;0x42CCBB3A;1120713530;102,3657; Value-11;0x42E958EA;1122588906;116,6737; Value-12;0x430DD5B9;1124980153;141,8349; Value-13;0xC0EF73B1;-1058049103;-7,482872; Value-14;0x3FC44844;1069828164;1,533455; Value-15;0x42CFE45D;1120920669;103,946; Value-16;0x42CAEBCA;1120594890;101,4605; Value-17;0x42C88B5B;1120439131;100,2722; Value-18;0x42C8128B;1120408203;100,0362; Value-19;0x42C60972;1120274802;99,01845; Value-1A;0x42C70BBD;1120340925;99,52293; Value-1B;0x42C45276;1120162422;98,16106; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6CDB7;1119276471;91,40179; Value-1F;0x42D11A26;1120999974;104,5511; Value-20;0x42CD04F8;1120732408;102,5097; Value-21;0x42CBED41;1120660801;101,9634; Value-22;0x42CAF386;1120596870;101,4756; Value-23;0x42CCA1F6;1120707062;102,3163; Value-24;0x42CE6FAD;1120825261;103,2181; Value-25;0x42EB5800;1122719744;117,6719; Value-26;0x430BDD49;1124851017;139,8644;
2023-11-07_10:45:15.38; Value-01;0xBF1BCA88;-1088697720;-0,6085591; Value-02;0x42B05611;1118852625;88,1681; Value-03;0x42D0579C;1120950172;104,1711; Value-04;0x42C9F90B;1120532747;100,9864; Value-05;0x42C7221F;1120346655;99,56664; Value-06;0x42C6703F;1120301119;99,21923; Value-07;0x42C44085;1120157829;98,12601; Value-08;0x42C53554;1120220500;98,60416; Value-09;0x42C24FE0;1120030688;97,15601; Value-0A;0x42B42110;1119101200;90,06458; Value-0B;0x42C4E4B1;1120199857;98,44666; Value-0C;0x42CB77A7;1120630695;101,7337; Value-0D;0x42CA421C;1120551452;101,1291; Value-0E;0x42C92561;1120478561;100,573; Value-0F;0x42CB098D;1120602509;101,5187; Value-10;0x42CD04F7;1120732407;102,5097; Value-11;0x42EAC47B;1122681979;117,3838; Value-12;0x43097A68;1124694632;137,4781; Value-13;0xBF749F91;-1082876015;-0,9555598; Value-14;0x404DB9D5;1078835669;3,214467; Value-15;0x42CF5431;1120883761;103,6644; Value-16;0x42CAEF0C;1120595724;101,4669; Value-17;0x42C89257;1120440919;100,2858; Value-18;0x42C80FFA;1120407546;100,0312; Value-19;0x42C60A26;1120274982;99,01982; Value-1A;0x42C74F17;1120358167;99,65447; Value-1B;0x42C46047;1120165959;98,18804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6B156;1119269206;91,34636; Value-1F;0x42D0ED6D;1120988525;104,4637; Value-20;0x42CCF6B7;1120728759;102,4819; Value-21;0x42CBFEB6;1120665270;101,9975; Value-22;0x42CAE30E;1120592654;101,4435; Value-23;0x42CC7A9A;1120696986;102,2395; Value-24;0x42CEC761;1120847713;103,3894; Value-25;0x42EBB80D;1122744333;117,8595; Value-26;0x430DB045;1124970565;141,6886;
2023-11-07_10:45:15.38; Value-01;0xBF1BCA88;-1088697720;-0,6085591; Value-02;0x42B05611;1118852625;88,1681; Value-03;0x42D0579C;1120950172;104,1711; Value-04;0x42C9F90B;1120532747;100,9864; Value-05;0x42C7221F;1120346655;99,56664; Value-06;0x42C6703F;1120301119;99,21923; Value-07;0x42C44085;1120157829;98,12601; Value-08;0x42C53554;1120220500;98,60416; Value-09;0x42C24FE0;1120030688;97,15601; Value-0A;0x42B42110;1119101200;90,06458; Value-0B;0x42C4E4B1;1120199857;98,44666; Value-0C;0x42CB77A7;1120630695;101,7337; Value-0D;0x42CA421C;1120551452;101,1291; Value-0E;0x42C92561;1120478561;100,573; Value-0F;0x42CB098D;1120602509;101,5187; Value-10;0x42CD04F7;1120732407;102,5097; Value-11;0x42EAC47B;1122681979;117,3838; Value-12;0x43097A68;1124694632;137,4781; Value-13;0xBF749F91;-1082876015;-0,9555598; Value-14;0x404DB9D5;1078835669;3,214467; Value-15;0x42CF5431;1120883761;103,6644; Value-16;0x42CAEF0C;1120595724;101,4669; Value-17;0x42C89257;1120440919;100,2858; Value-18;0x42C80FFA;1120407546;100,0312; Value-19;0x42C60A26;1120274982;99,01982; Value-1A;0x42C74F17;1120358167;99,65447; Value-1B;0x42C46047;1120165959;98,18804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6B156;1119269206;91,34636; Value-1F;0x42D0ED6D;1120988525;104,4637; Value-20;0x42CCF6B7;1120728759;102,4819; Value-21;0x42CBFEB6;1120665270;101,9975; Value-22;0x42CAE30E;1120592654;101,4435; Value-23;0x42CC7A9A;1120696986;102,2395; Value-24;0x42CEC761;1120847713;103,3894; Value-25;0x42EBB80D;1122744333;117,8595; Value-26;0x430DB045;1124970565;141,6886;
2023-11-07_10:45:15.50; Value-01;0xBF1BCA88;-1088697720;-0,6085591; Value-02;0x42B05611;1118852625;88,1681; Value-03;0x42D0579C;1120950172;104,1711; Value-04;0x42C9F90B;1120532747;100,9864; Value-05;0x42C7221F;1120346655;99,56664; Value-06;0x42C6703F;1120301119;99,21923; Value-07;0x42C44085;1120157829;98,12601; Value-08;0x42C53554;1120220500;98,60416; Value-09;0x42C24FE0;1120030688;97,15601; Value-0A;0x42B42110;1119101200;90,06458; Value-0B;0x42C4E4B1;1120199857;98,44666; Value-0C;0x42CB77A7;1120630695;101,7337; Value-0D;0x42CA421C;1120551452;101,1291; Value-0E;0x42C92561;1120478561;100,573; Value-0F;0x42CB098D;1120602509;101,5187; Value-10;0x42CD04F7;1120732407;102,5097; Value-11;0x42EAC47B;1122681979;117,3838; Value-12;0x43097A68;1124694632;137,4781; Value-13;0xBF749F91;-1082876015;-0,9555598; Value-14;0x404DB9D5;1078835669;3,214467; Value-15;0x42CF5431;1120883761;103,6644; Value-16;0x42CAEF0C;1120595724;101,4669; Value-17;0x42C89257;1120440919;100,2858; Value-18;0x42C80FFA;1120407546;100,0312; Value-19;0x42C60A26;1120274982;99,01982; Value-1A;0x42C74F17;1120358167;99,65447; Value-1B;0x42C46047;1120165959;98,18804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6B156;1119269206;91,34636; Value-1F;0x42D0ED6D;1120988525;104,4637; Value-20;0x42CCF6B7;1120728759;102,4819; Value-21;0x42CBFEB6;1120665270;101,9975; Value-22;0x42CAE30E;1120592654;101,4435; Value-23;0x42CC7A9A;1120696986;102,2395; Value-24;0x42CEC761;1120847713;103,3894; Value-25;0x42EBB80D;1122744333;117,8595; Value-26;0x430DB045;1124970565;141,6886;
2023-11-07_10:45:15.50; Value-01;0xBF1BCA88;-1088697720;-0,6085591; Value-02;0x42B05611;1118852625;88,1681; Value-03;0x42D0579C;1120950172;104,1711; Value-04;0x42C9F90B;1120532747;100,9864; Value-05;0x42C7221F;1120346655;99,56664; Value-06;0x42C6703F;1120301119;99,21923; Value-07;0x42C44085;1120157829;98,12601; Value-08;0x42C53554;1120220500;98,60416; Value-09;0x42C24FE0;1120030688;97,15601; Value-0A;0x42B42110;1119101200;90,06458; Value-0B;0x42C4E4B1;1120199857;98,44666; Value-0C;0x42CB77A7;1120630695;101,7337; Value-0D;0x42CA421C;1120551452;101,1291; Value-0E;0x42C92561;1120478561;100,573; Value-0F;0x42CB098D;1120602509;101,5187; Value-10;0x42CD04F7;1120732407;102,5097; Value-11;0x42EAC47B;1122681979;117,3838; Value-12;0x43097A68;1124694632;137,4781; Value-13;0xBF749F91;-1082876015;-0,9555598; Value-14;0x404DB9D5;1078835669;3,214467; Value-15;0x42CF5431;1120883761;103,6644; Value-16;0x42CAEF0C;1120595724;101,4669; Value-17;0x42C89257;1120440919;100,2858; Value-18;0x42C80FFA;1120407546;100,0312; Value-19;0x42C60A26;1120274982;99,01982; Value-1A;0x42C74F17;1120358167;99,65447; Value-1B;0x42C46047;1120165959;98,18804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6B156;1119269206;91,34636; Value-1F;0x42D0ED6D;1120988525;104,4637; Value-20;0x42CCF6B7;1120728759;102,4819; Value-21;0x42CBFEB6;1120665270;101,9975; Value-22;0x42CAE30E;1120592654;101,4435; Value-23;0x42CC7A9A;1120696986;102,2395; Value-24;0x42CEC761;1120847713;103,3894; Value-25;0x42EBB80D;1122744333;117,8595; Value-26;0x430DB045;1124970565;141,6886;
2023-11-07_10:45:15.56; Value-01;0xBF6663D0;-1083808816;-0,8999605; Value-02;0x405BBC61;1079753825;3,433373; Value-03;0x42D01299;1120932505;104,0363; Value-04;0x42CA3186;1120547206;101,0967; Value-05;0x42C723FB;1120347131;99,57027; Value-06;0x42C65CCD;1120296141;99,18125; Value-07;0x42C4528B;1120162443;98,16122; Value-08;0x42C58C59;1120242777;98,77412; Value-09;0x42C206CC;1120011980;97,01328; Value-0A;0x42B48915;1119127829;90,26774; Value-0B;0x42C5040D;1120207885;98,50791; Value-0C;0x42CB56A6;1120622246;101,6692; Value-0D;0x42CA1DEC;1120542188;101,0584; Value-0E;0x42C8F695;1120466581;100,4816; Value-0F;0x42CAE61F;1120593439;101,4495; Value-10;0x42CC2684;1120675460;102,0752; Value-11;0x42ED5D1F;1122852127;118,6819; Value-12;0x430F16DA;1125062362;143,0893; Value-13;0x3F26FB82;1059519362;0,6522752; Value-14;0xBFFB77EB;-1074038805;-1,964597; Value-15;0x42CF4F85;1120882565;103,6553; Value-16;0x42CAE93D;1120594237;101,4555; Value-17;0x42C89C2B;1120443435;100,305; Value-18;0x42C7FC9E;1120402590;99,99339; Value-19;0x42C60C6D;1120275565;99,02427; Value-1A;0x42C6A92F;1120315695;99,33044; Value-1B;0x42C41DE3;1120148963;98,05837; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B6C1C4;1119273412;91,37845; Value-1F;0x42D0F02E;1120989230;104,4691; Value-20;0x42CD108F;1120735375;102,5323; Value-21;0x42CBEEBF;1120661183;101,9663; Value-22;0x42CAD5F6;1120589302;101,4179; Value-23;0x42CCC994;1120717204;102,3937; Value-24;0x42CE06A5;1120798373;103,013; Value-25;0x42EB89D4;1122732500;117,7692; Value-26;0x430DAC1B;1124969499;141,6723;
2023-11-07_10:45:15.68; Value-01;0x40A21C1A;1084365850;5,06593; Value-02;0x41326714;1093822228;11,15017; Value-03;0x42CFEA81;1120922241;103,958; Value-04;0x42CA3F44;1120550724;101,1236; Value-05;0x42C72EFE;1120349950;99,59178; Value-06;0x42C66557;1120298327;99,19793; Value-07;0x42C46871;1120168049;98,20399; Value-08;0x42C571F6;1120236022;98,72258; Value-09;0x42C24225;1120027173;97,12919; Value-0A;0x42B455DD;1119114717;90,1677; Value-0B;0x42C4E119;1120198937;98,43964; Value-0C;0x42CB56A0;1120622240;101,6692; Value-0D;0x42CA22E5;1120543461;101,0682; Value-0E;0x42C900BA;1120469178;100,5014; Value-0F;0x42CAD0FA;1120588026;101,4082; Value-10;0x42CC8D18;1120701720;102,2756; Value-11;0x42EBF918;1122760984;117,9865; Value-12;0x430EDBCF;1125047247;142,8586; Value-13;0xC16E7184;-1049726588;-14,90271; Value-14;0x40C65086;1086738566;6,19733; Value-15;0x42CF5E95;1120886421;103,6847; Value-16;0x42CAD23F;1120588351;101,4106; Value-17;0x42C8A64F;1120446031;100,3248; Value-18;0x42C7F92B;1120401707;99,98666; Value-19;0x42C60098;1120272536;99,00116; Value-1A;0x42C71C59;1120345177;99,55537; Value-1B;0x42C4722E;1120170542;98,22301; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B68296;1119257238;91,25505; Value-1F;0x42D0FBB9;1120992185;104,4916; Value-20;0x42CCF2CC;1120727756;102,4742; Value-21;0x42CBF3F2;1120662514;101,9765; Value-22;0x42CAC928;1120586024;101,3929; Value-23;0x42CCAF86;1120710534;102,3428; Value-24;0x42CE609B;1120821403;103,1887; Value-25;0x42EB7063;1122725987;117,7195; Value-26;0x430E2764;1125001060;142,1539;
2023-11-07_10:45:15.68; Value-01;0x40A21C1A;1084365850;5,06593; Value-02;0x41326714;1093822228;11,15017; Value-03;0x42CFEA81;1120922241;103,958; Value-04;0x42CA3F44;1120550724;101,1236; Value-05;0x42C72EFE;1120349950;99,59178; Value-06;0x42C66557;1120298327;99,19793; Value-07;0x42C46871;1120168049;98,20399; Value-08;0x42C571F6;1120236022;98,72258; Value-09;0x42C24225;1120027173;97,12919; Value-0A;0x42B455DD;1119114717;90,1677; Value-0B;0x42C4E119;1120198937;98,43964; Value-0C;0x42CB56A0;1120622240;101,6692; Value-0D;0x42CA22E5;1120543461;101,0682; Value-0E;0x42C900BA;1120469178;100,5014; Value-0F;0x42CAD0FA;1120588026;101,4082; Value-10;0x42CC8D18;1120701720;102,2756; Value-11;0x42EBF918;1122760984;117,9865; Value-12;0x430EDBCF;1125047247;142,8586; Value-13;0xC16E7184;-1049726588;-14,90271; Value-14;0x40C65086;1086738566;6,19733; Value-15;0x42CF5E95;1120886421;103,6847; Value-16;0x42CAD23F;1120588351;101,4106; Value-17;0x42C8A64F;1120446031;100,3248; Value-18;0x42C7F92B;1120401707;99,98666; Value-19;0x42C60098;1120272536;99,00116; Value-1A;0x42C71C59;1120345177;99,55537; Value-1B;0x42C4722E;1120170542;98,22301; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B68296;1119257238;91,25505; Value-1F;0x42D0FBB9;1120992185;104,4916; Value-20;0x42CCF2CC;1120727756;102,4742; Value-21;0x42CBF3F2;1120662514;101,9765; Value-22;0x42CAC928;1120586024;101,3929; Value-23;0x42CCAF86;1120710534;102,3428; Value-24;0x42CE609B;1120821403;103,1887; Value-25;0x42EB7063;1122725987;117,7195; Value-26;0x430E2764;1125001060;142,1539;
