Timestamp;Data
2023-11-07_10:09:26.91; Value-01;0xC03F3080;-1069600640;-2,987335; Value-02;0x41BC851C;1102873884;23,56499; Value-03;0x42CF7524;1120892196;103,7288; Value-04;0x42C92C08;1120480264;100,586; Value-05;0x42C71378;1120342904;99,53802; Value-06;0x42C68BD1;1120308177;99,27308; Value-07;0x42C6EA8E;1120332430;99,45811; Value-08;0x42C48FCF;1120178127;98,28088; Value-09;0x42C724D9;1120347353;99,57197; Value-0A;0x42C6D31D;1120326429;99,41233; Value-0B;0x42D26A11;1121085969;105,2072; Value-0C;0x42CC1BDD;1120672733;102,0544; Value-0D;0x42CBC001;1120649217;101,875; Value-0E;0x42C7972A;1120376618;99,79524; Value-0F;0x42CA33A6;1120547750;101,1009; Value-10;0x42CE3FEB;1120813035;103,1248; Value-11;0x42CDAE82;1120775810;102,8408; Value-12;0x42EA336B;1122644843;117,1004; Value-13;0xBF5316B5;-1085073739;-0,8245652; Value-14;0x44E696E1;1155962593;1844,715; Value-15;0x42CECD4A;1120849226;103,401; Value-16;0x42C9DF0A;1120526090;100,9356; Value-17;0x42C881F2;1120436722;100,2538; Value-18;0x42C83481;1120416897;100,1025; Value-19;0x42C8B72F;1120450351;100,3578; Value-1A;0x42C612DA;1120277210;99,03682; Value-1B;0x42C8DAB1;1120459441;100,4271; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C35888;1120098440;97,67291; Value-1F;0x42D3DA96;1121180310;105,9269; Value-20;0x42CDC365;1120781157;102,8816; Value-21;0x42CD6DFB;1120759291;102,7148; Value-22;0x42C966F3;1120495347;100,7011; Value-23;0x42CC1232;1120670258;102,0355; Value-24;0x42CEEDCC;1120857548;103,4644; Value-25;0x42CEAE13;1120841235;103,34; Value-26;0x42F544B0;1123370160;122,6342;
2023-11-07_10:09:27.06; Value-01;0xC03F3080;-1069600640;-2,987335; Value-02;0x41BC851C;1102873884;23,56499; Value-03;0x42CF7524;1120892196;103,7288; Value-04;0x42C92C08;1120480264;100,586; Value-05;0x42C71378;1120342904;99,53802; Value-06;0x42C68BD1;1120308177;99,27308; Value-07;0x42C6EA8E;1120332430;99,45811; Value-08;0x42C48FCF;1120178127;98,28088; Value-09;0x42C724D9;1120347353;99,57197; Value-0A;0x42C6D31D;1120326429;99,41233; Value-0B;0x42D26A11;1121085969;105,2072; Value-0C;0x42CC1BDD;1120672733;102,0544; Value-0D;0x42CBC001;1120649217;101,875; Value-0E;0x42C7972A;1120376618;99,79524; Value-0F;0x42CA33A6;1120547750;101,1009; Value-10;0x42CE3FEB;1120813035;103,1248; Value-11;0x42CDAE82;1120775810;102,8408; Value-12;0x42EA336B;1122644843;117,1004; Value-13;0xBF5316B5;-1085073739;-0,8245652; Value-14;0x44E696E1;1155962593;1844,715; Value-15;0x42CECD4A;1120849226;103,401; Value-16;0x42C9DF0A;1120526090;100,9356; Value-17;0x42C881F2;1120436722;100,2538; Value-18;0x42C83481;1120416897;100,1025; Value-19;0x42C8B72F;1120450351;100,3578; Value-1A;0x42C612DA;1120277210;99,03682; Value-1B;0x42C8DAB1;1120459441;100,4271; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C35888;1120098440;97,67291; Value-1F;0x42D3DA96;1121180310;105,9269; Value-20;0x42CDC365;1120781157;102,8816; Value-21;0x42CD6DFB;1120759291;102,7148; Value-22;0x42C966F3;1120495347;100,7011; Value-23;0x42CC1232;1120670258;102,0355; Value-24;0x42CEEDCC;1120857548;103,4644; Value-25;0x42CEAE13;1120841235;103,34; Value-26;0x42F544B0;1123370160;122,6342;
2023-11-07_10:09:27.06; Value-01;0xC03F3080;-1069600640;-2,987335; Value-02;0x41BC851C;1102873884;23,56499; Value-03;0x42CF7524;1120892196;103,7288; Value-04;0x42C92C08;1120480264;100,586; Value-05;0x42C71378;1120342904;99,53802; Value-06;0x42C68BD1;1120308177;99,27308; Value-07;0x42C6EA8E;1120332430;99,45811; Value-08;0x42C48FCF;1120178127;98,28088; Value-09;0x42C724D9;1120347353;99,57197; Value-0A;0x42C6D31D;1120326429;99,41233; Value-0B;0x42D26A11;1121085969;105,2072; Value-0C;0x42CC1BDD;1120672733;102,0544; Value-0D;0x42CBC001;1120649217;101,875; Value-0E;0x42C7972A;1120376618;99,79524; Value-0F;0x42CA33A6;1120547750;101,1009; Value-10;0x42CE3FEB;1120813035;103,1248; Value-11;0x42CDAE82;1120775810;102,8408; Value-12;0x42EA336B;1122644843;117,1004; Value-13;0xBF5316B5;-1085073739;-0,8245652; Value-14;0x44E696E1;1155962593;1844,715; Value-15;0x42CECD4A;1120849226;103,401; Value-16;0x42C9DF0A;1120526090;100,9356; Value-17;0x42C881F2;1120436722;100,2538; Value-18;0x42C83481;1120416897;100,1025; Value-19;0x42C8B72F;1120450351;100,3578; Value-1A;0x42C612DA;1120277210;99,03682; Value-1B;0x42C8DAB1;1120459441;100,4271; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C35888;1120098440;97,67291; Value-1F;0x42D3DA96;1121180310;105,9269; Value-20;0x42CDC365;1120781157;102,8816; Value-21;0x42CD6DFB;1120759291;102,7148; Value-22;0x42C966F3;1120495347;100,7011; Value-23;0x42CC1232;1120670258;102,0355; Value-24;0x42CEEDCC;1120857548;103,4644; Value-25;0x42CEAE13;1120841235;103,34; Value-26;0x42F544B0;1123370160;122,6342;
2023-11-07_10:09:27.13; Value-01;0x400CDFDB;1074585563;2,201163; Value-02;0xC0DB10AE;-1059385170;-6,845786; Value-03;0x42D0F9F9;1120991737;104,4882; Value-04;0x42C92EE6;1120480998;100,5916; Value-05;0x42C6F4A8;1120335016;99,47784; Value-06;0x42C674F4;1120302324;99,22842; Value-07;0x42C6EA8E;1120332430;99,45811; Value-08;0x42C48FCF;1120178127;98,28088; Value-09;0x42C724D9;1120347353;99,57197; Value-0A;0x42C6C625;1120323109;99,387; Value-0B;0x42D27AAE;1121090222;105,2396; Value-0C;0x42CC1523;1120671011;102,0413; Value-0D;0x42CBB36F;1120645999;101,8505; Value-0E;0x42C7746C;1120367724;99,72739; Value-0F;0x42CA4948;1120553288;101,1431; Value-10;0x42CE3FEB;1120813035;103,1248; Value-11;0x42CDAE82;1120775810;102,8408; Value-12;0x42EA336B;1122644843;117,1004; Value-13;0xC0B102AA;-1062141270;-5,531575; Value-14;0x408CF8BA;1082980538;4,405362; Value-15;0x42CE30AC;1120809132;103,0951; Value-16;0x42CA1E68;1120542312;101,0594; Value-17;0x42C89A51;1120442961;100,3014; Value-18;0x42C83481;1120416897;100,1025; Value-19;0x42C8B72F;1120450351;100,3578; Value-1A;0x42C612DA;1120277210;99,03682; Value-1B;0x42C8DAB1;1120459441;100,4271; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C2AFD6;1120055254;97,34343; Value-1F;0x42D3E84D;1121183821;105,9537; Value-20;0x42CDBD40;1120779584;102,8696; Value-21;0x42CD8727;1120765735;102,764; Value-22;0x42C96EDA;1120497370;100,7165; Value-23;0x42CC29D9;1120676313;102,0817; Value-24;0x42CF17FB;1120868347;103,5468; Value-25;0x42CEAE13;1120841235;103,34; Value-26;0x42F544B0;1123370160;122,6342;
2023-11-07_10:09:27.26; Value-01;0x40D59E9B;1087741595;6,675611; Value-02;0xC2199BC7;-1038509113;-38,40213; Value-03;0x42CFB757;1120909143;103,8581; Value-04;0x42C93235;1120481845;100,5981; Value-05;0x42C70CD3;1120341203;99,52505; Value-06;0x42C699DF;1120311775;99,30053; Value-07;0x42C6D0FA;1120325882;99,40816; Value-08;0x42C44F97;1120161687;98,15545; Value-09;0x42C77B88;1120369544;99,74127; Value-0A;0x42C6B9B8;1120319928;99,36273; Value-0B;0x42D27880;1121089664;105,2354; Value-0C;0x42CC183B;1120671803;102,0473; Value-0D;0x42CBA024;1120641060;101,8128; Value-0E;0x42C79711;1120376593;99,79505; Value-0F;0x42CA3E68;1120550504;101,1219; Value-10;0x42CE12B3;1120801459;103,0365; Value-11;0x42CCB890;1120712848;102,3605; Value-12;0x42ED252A;1122837802;118,5726; Value-13;0xC0A9DE87;-1062609273;-5,308414; Value-14;0xC2118C51;-1039037359;-36,38703; Value-15;0x42CDF757;1120794455;102,9831; Value-16;0x42CA0498;1120535704;101,009; Value-17;0x42C89CF6;1120443638;100,3066; Value-18;0x42C83DBA;1120419258;100,1206; Value-19;0x42C898AF;1120442543;100,2982; Value-1A;0x42C63EA5;1120288421;99,12235; Value-1B;0x42C89614;1120441876;100,2931; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C36627;1120101927;97,69952; Value-1F;0x42D3EEFC;1121185532;105,9668; Value-20;0x42CD9E2B;1120771627;102,8089; Value-21;0x42CD7F81;1120763777;102,749; Value-22;0x42C96C8B;1120496779;100,712; Value-23;0x42CC1FF0;1120673776;102,0624; Value-24;0x42CFCDBA;1120914874;103,9018; Value-25;0x42CD85E4;1120765412;102,7615; Value-26;0x42EEC85F;1122945119;119,3913;
2023-11-07_10:09:27.26; Value-01;0x40D59E9B;1087741595;6,675611; Value-02;0xC2199BC7;-1038509113;-38,40213; Value-03;0x42CFB757;1120909143;103,8581; Value-04;0x42C93235;1120481845;100,5981; Value-05;0x42C70CD3;1120341203;99,52505; Value-06;0x42C699DF;1120311775;99,30053; Value-07;0x42C6D0FA;1120325882;99,40816; Value-08;0x42C44F97;1120161687;98,15545; Value-09;0x42C77B88;1120369544;99,74127; Value-0A;0x42C6B9B8;1120319928;99,36273; Value-0B;0x42D27880;1121089664;105,2354; Value-0C;0x42CC183B;1120671803;102,0473; Value-0D;0x42CBA024;1120641060;101,8128; Value-0E;0x42C79711;1120376593;99,79505; Value-0F;0x42CA3E68;1120550504;101,1219; Value-10;0x42CE12B3;1120801459;103,0365; Value-11;0x42CCB890;1120712848;102,3605; Value-12;0x42ED252A;1122837802;118,5726; Value-13;0xC0A9DE87;-1062609273;-5,308414; Value-14;0xC2118C51;-1039037359;-36,38703; Value-15;0x42CDF757;1120794455;102,9831; Value-16;0x42CA0498;1120535704;101,009; Value-17;0x42C89CF6;1120443638;100,3066; Value-18;0x42C83DBA;1120419258;100,1206; Value-19;0x42C898AF;1120442543;100,2982; Value-1A;0x42C63EA5;1120288421;99,12235; Value-1B;0x42C89614;1120441876;100,2931; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C36627;1120101927;97,69952; Value-1F;0x42D3EEFC;1121185532;105,9668; Value-20;0x42CD9E2B;1120771627;102,8089; Value-21;0x42CD7F81;1120763777;102,749; Value-22;0x42C96C8B;1120496779;100,712; Value-23;0x42CC1FF0;1120673776;102,0624; Value-24;0x42CFCDBA;1120914874;103,9018; Value-25;0x42CD85E4;1120765412;102,7615; Value-26;0x42EEC85F;1122945119;119,3913;
2023-11-07_10:09:27.38; Value-01;0x4066B027;1080471591;3,604501; Value-02;0xC2199BC7;-1038509113;-38,40213; Value-03;0x42CFB757;1120909143;103,8581; Value-04;0x42C93235;1120481845;100,5981; Value-05;0x42C70CD3;1120341203;99,52505; Value-06;0x42C699DF;1120311775;99,30053; Value-07;0x42C6C9F8;1120324088;99,39447; Value-08;0x42C46387;1120166791;98,19439; Value-09;0x42C7221D;1120346653;99,56663; Value-0A;0x42C702EF;1120338671;99,50573; Value-0B;0x42D2851A;1121092890;105,26; Value-0C;0x42CC183B;1120671803;102,0473; Value-0D;0x42CBA024;1120641060;101,8128; Value-0E;0x42C79711;1120376593;99,79505; Value-0F;0x42CA3E68;1120550504;101,1219; Value-10;0x42CE12B3;1120801459;103,0365; Value-11;0x42CD21A8;1120739752;102,5657; Value-12;0x42F5BD39;1123401017;122,8696; Value-13;0xC0C316C7;-1060956473;-6,09653; Value-14;0xC181449C;-1048492900;-16,1585; Value-15;0x42CE0E2B;1120800299;103,0277; Value-16;0x42CA0498;1120535704;101,009; Value-17;0x42C89CF6;1120443638;100,3066; Value-18;0x42C83DBA;1120419258;100,1206; Value-19;0x42C898AF;1120442543;100,2982; Value-1A;0x42C63EA5;1120288421;99,12235; Value-1B;0x42C8DDE3;1120460259;100,4334; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C33297;1120088727;97,59881; Value-1F;0x42D3C7E9;1121175529;105,8904; Value-20;0x42CDC48F;1120781455;102,8839; Value-21;0x42CD7F81;1120763777;102,749; Value-22;0x42C96C8B;1120496779;100,712; Value-23;0x42CC1FF0;1120673776;102,0624; Value-24;0x42CFCDBA;1120914874;103,9018; Value-25;0x42CD85E4;1120765412;102,7615; Value-26;0x42EF55FE;1122981374;119,668;
2023-11-07_10:09:27.38; Value-01;0x4066B027;1080471591;3,604501; Value-02;0xC2199BC7;-1038509113;-38,40213; Value-03;0x42CFB757;1120909143;103,8581; Value-04;0x42C93235;1120481845;100,5981; Value-05;0x42C70CD3;1120341203;99,52505; Value-06;0x42C699DF;1120311775;99,30053; Value-07;0x42C6C9F8;1120324088;99,39447; Value-08;0x42C46387;1120166791;98,19439; Value-09;0x42C7221D;1120346653;99,56663; Value-0A;0x42C702EF;1120338671;99,50573; Value-0B;0x42D2851A;1121092890;105,26; Value-0C;0x42CC183B;1120671803;102,0473; Value-0D;0x42CBA024;1120641060;101,8128; Value-0E;0x42C79711;1120376593;99,79505; Value-0F;0x42CA3E68;1120550504;101,1219; Value-10;0x42CE12B3;1120801459;103,0365; Value-11;0x42CD21A8;1120739752;102,5657; Value-12;0x42F5BD39;1123401017;122,8696; Value-13;0xC0C316C7;-1060956473;-6,09653; Value-14;0xC181449C;-1048492900;-16,1585; Value-15;0x42CE0E2B;1120800299;103,0277; Value-16;0x42CA0498;1120535704;101,009; Value-17;0x42C89CF6;1120443638;100,3066; Value-18;0x42C83DBA;1120419258;100,1206; Value-19;0x42C898AF;1120442543;100,2982; Value-1A;0x42C63EA5;1120288421;99,12235; Value-1B;0x42C8DDE3;1120460259;100,4334; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C33297;1120088727;97,59881; Value-1F;0x42D3C7E9;1121175529;105,8904; Value-20;0x42CDC48F;1120781455;102,8839; Value-21;0x42CD7F81;1120763777;102,749; Value-22;0x42C96C8B;1120496779;100,712; Value-23;0x42CC1FF0;1120673776;102,0624; Value-24;0x42CFCDBA;1120914874;103,9018; Value-25;0x42CD85E4;1120765412;102,7615; Value-26;0x42EF55FE;1122981374;119,668;
2023-11-07_10:09:27.50; Value-01;0x4066B027;1080471591;3,604501; Value-02;0x41275686;1093097094;10,45862; Value-03;0x42CF7F9C;1120894876;103,7492; Value-04;0x42C8EA7B;1120463483;100,458; Value-05;0x42C71F61;1120345953;99,56129; Value-06;0x42C69686;1120310918;99,29399; Value-07;0x42C6D8BB;1120327867;99,4233; Value-08;0x42C465D5;1120167381;98,19889; Value-09;0x42C6C3B6;1120322486;99,38225; Value-0A;0x42C702EF;1120338671;99,50573; Value-0B;0x42D2851A;1121092890;105,26; Value-0C;0x42CC0A79;1120668281;102,0205; Value-0D;0x42CBB294;1120645780;101,8488; Value-0E;0x42C77D76;1120370038;99,74504; Value-0F;0x42CA6A07;1120561671;101,2071; Value-10;0x42CD2DEE;1120742894;102,5897; Value-11;0x42CED1BD;1120850365;103,4096; Value-12;0x42F122F6;1123099382;120,5683; Value-13;0xC0C316C7;-1060956473;-6,09653; Value-14;0xC181449C;-1048492900;-16,1585; Value-15;0x42CE0E2B;1120800299;103,0277; Value-16;0x42CA0CEF;1120537839;101,0253; Value-17;0x42C8948B;1120441483;100,2901; Value-18;0x42C83AF3;1120418547;100,1151; Value-19;0x42C88D40;1120439616;100,2759; Value-1A;0x42C61B5E;1120279390;99,05345; Value-1B;0x42C92C6F;1120480367;100,5868; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C33297;1120088727;97,59881; Value-1F;0x42D3C7E9;1121175529;105,8904; Value-20;0x42CDC48F;1120781455;102,8839; Value-21;0x42CD7BE3;1120762851;102,742; Value-22;0x42C957D9;1120491481;100,6716; Value-23;0x42CBFF13;1120665363;101,9982; Value-24;0x42CFE66C;1120921196;103,95; Value-25;0x42CDA78F;1120774031;102,8273; Value-26;0x42F42F9E;1123299230;122,093;
2023-11-07_10:09:27.50; Value-01;0x4066B027;1080471591;3,604501; Value-02;0x41275686;1093097094;10,45862; Value-03;0x42CF7F9C;1120894876;103,7492; Value-04;0x42C8EA7B;1120463483;100,458; Value-05;0x42C71F61;1120345953;99,56129; Value-06;0x42C69686;1120310918;99,29399; Value-07;0x42C6D8BB;1120327867;99,4233; Value-08;0x42C465D5;1120167381;98,19889; Value-09;0x42C6C3B6;1120322486;99,38225; Value-0A;0x42C702EF;1120338671;99,50573; Value-0B;0x42D2851A;1121092890;105,26; Value-0C;0x42CC0A79;1120668281;102,0205; Value-0D;0x42CBB294;1120645780;101,8488; Value-0E;0x42C77D76;1120370038;99,74504; Value-0F;0x42CA6A07;1120561671;101,2071; Value-10;0x42CD2DEE;1120742894;102,5897; Value-11;0x42CED1BD;1120850365;103,4096; Value-12;0x42F122F6;1123099382;120,5683; Value-13;0xC0C316C7;-1060956473;-6,09653; Value-14;0xC181449C;-1048492900;-16,1585; Value-15;0x42CE0E2B;1120800299;103,0277; Value-16;0x42CA0CEF;1120537839;101,0253; Value-17;0x42C8948B;1120441483;100,2901; Value-18;0x42C83AF3;1120418547;100,1151; Value-19;0x42C88D40;1120439616;100,2759; Value-1A;0x42C61B5E;1120279390;99,05345; Value-1B;0x42C92C6F;1120480367;100,5868; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C33297;1120088727;97,59881; Value-1F;0x42D3C7E9;1121175529;105,8904; Value-20;0x42CDC48F;1120781455;102,8839; Value-21;0x42CD7BE3;1120762851;102,742; Value-22;0x42C957D9;1120491481;100,6716; Value-23;0x42CBFF13;1120665363;101,9982; Value-24;0x42CFE66C;1120921196;103,95; Value-25;0x42CDA78F;1120774031;102,8273; Value-26;0x42F42F9E;1123299230;122,093;
2023-11-07_10:09:27.63; Value-01;0xC0CC0124;-1060372188;-6,375139; Value-02;0x415728B9;1096231097;13,44744; Value-03;0x42CF613E;1120887102;103,6899; Value-04;0x42C92279;1120477817;100,5673; Value-05;0x42C7231A;1120346906;99,56856; Value-06;0x42C699DB;1120311771;99,3005; Value-07;0x42C6C043;1120321603;99,37551; Value-08;0x42C45BC3;1120164803;98,17922; Value-09;0x42C6E051;1120329809;99,43812; Value-0A;0x42C6FC9E;1120337054;99,49339; Value-0B;0x42D28D8C;1121095052;105,2765; Value-0C;0x42CC0D8B;1120669067;102,0265; Value-0D;0x42CBCEC0;1120652992;101,9038; Value-0E;0x42C7ABA6;1120381862;99,83525; Value-0F;0x42CA8180;1120567680;101,2529; Value-10;0x42CDA18B;1120772491;102,8155; Value-11;0x42CC65CE;1120691662;102,1988; Value-12;0x42F330D7;1123234007;121,5954; Value-13;0x3E89F066;1049227366;0,2694122; Value-14;0x40AD12DF;1085084383;5,408554; Value-15;0x42CE5A28;1120819752;103,1761; Value-16;0x42CA0A2A;1120537130;101,0199; Value-17;0x42C873AD;1120433069;100,2259; Value-18;0x42C828DE;1120413918;100,0798; Value-19;0x42C8AD83;1120447875;100,3389; Value-1A;0x42C5FE7D;1120271997;98,99705; Value-1B;0x42C8EA63;1120463459;100,4578; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C31CCE;1120083150;97,55626; Value-1F;0x42D3E535;1121183029;105,9477; Value-20;0x42CDBBA9;1120779177;102,8665; Value-21;0x42CD8994;1120766356;102,7687; Value-22;0x42C94D38;1120488760;100,6508; Value-23;0x42CBF606;1120663046;101,9805; Value-24;0x42CF8E67;1120898663;103,7781; Value-25;0x42CCFAEB;1120729835;102,4901; Value-26;0x42F6E4C3;1123476675;123,4468;
