Timestamp;Data
2023-10-17_17:27:37.02; Value-01;0x3E0E2657;1041114711;0,1388181; Value-02;0x3D88A02E;1032364078;0,06671177; Value-03;0x3D00F878;1023473784;0,03148696; Value-04;0x3E875A23;1049057827;0,2643596; Value-05;0x3F0F1D48;1057955144;0,5590405; Value-06;0x401E187A;1075714170;2,470244; Value-07;0x40C24EE5;1086476005;6,072131; Value-08;0x418097CE;1098946510;16,07412; Value-09;0x41C433DB;1103377371;24,52532; Value-0A;0x3FF995C3;1073321411;1,949883; Value-0B;0x40DD7D3F;1088257343;6,921539; Value-0C;0x413EDC23;1094638627;11,92874; Value-0D;0x4112429D;1091715741;9,141263; Value-0E;0x41A850E9;1101549801;21,03951; Value-0F;0x41ED915B;1106088283;29,69597; Value-10;0x4242638C;1111647116;48,59721; Value-11;0x427E47F1;1115572209;63,57026; Value-12;0x428851FC;1116230140;68,16013; Value-13;0x3E16C71E;1041680158;0,1472439; Value-14;0x3D1475BB;1024751035;0,03624509; Value-15;0x3D011DF4;1023483380;0,03152271; Value-16;0x3E875B62;1049058146;0,2643691; Value-17;0x3F10D4BE;1058067646;0,5657462; Value-18;0x401E9F7B;1075748731;2,478484; Value-19;0x40C31FF6;1086529526;6,097651; Value-1A;0x41802DB7;1098919351;16,02232; Value-1B;0x41C4E347;1103422279;24,61098; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFDE0A1;1073602721;1,983418; Value-1F;0x40DD7EC8;1088257736;6,921726; Value-20;0x413F3C7A;1094663290;11,95226; Value-21;0x411293AE;1091736494;9,161055; Value-22;0x41A85E19;1101553177;21,04595; Value-23;0x41ED16E8;1106056936;29,63618; Value-24;0x4241F199;1111617945;48,48594; Value-25;0x427EADDD;1115598301;63,66979; Value-26;0x42884260;1116226144;68,12964;
2023-10-17_17:27:37.14; Value-01;0x3E0E2657;1041114711;0,1388181; Value-02;0x3D88A02E;1032364078;0,06671177; Value-03;0x3D00F878;1023473784;0,03148696; Value-04;0x3E875A23;1049057827;0,2643596; Value-05;0x3F0F1D48;1057955144;0,5590405; Value-06;0x401E187A;1075714170;2,470244; Value-07;0x40C24EE5;1086476005;6,072131; Value-08;0x418097CE;1098946510;16,07412; Value-09;0x41C433DB;1103377371;24,52532; Value-0A;0x3FF995C3;1073321411;1,949883; Value-0B;0x40DD7D3F;1088257343;6,921539; Value-0C;0x413EDC23;1094638627;11,92874; Value-0D;0x4112429D;1091715741;9,141263; Value-0E;0x41A850E9;1101549801;21,03951; Value-0F;0x41ED915B;1106088283;29,69597; Value-10;0x4242638C;1111647116;48,59721; Value-11;0x427E47F1;1115572209;63,57026; Value-12;0x428851FC;1116230140;68,16013; Value-13;0x3E16C71E;1041680158;0,1472439; Value-14;0x3D1475BB;1024751035;0,03624509; Value-15;0x3D011DF4;1023483380;0,03152271; Value-16;0x3E875B62;1049058146;0,2643691; Value-17;0x3F10D4BE;1058067646;0,5657462; Value-18;0x401E9F7B;1075748731;2,478484; Value-19;0x40C31FF6;1086529526;6,097651; Value-1A;0x41802DB7;1098919351;16,02232; Value-1B;0x41C4E347;1103422279;24,61098; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFDE0A1;1073602721;1,983418; Value-1F;0x40DD7EC8;1088257736;6,921726; Value-20;0x413F3C7A;1094663290;11,95226; Value-21;0x411293AE;1091736494;9,161055; Value-22;0x41A85E19;1101553177;21,04595; Value-23;0x41ED16E8;1106056936;29,63618; Value-24;0x4241F199;1111617945;48,48594; Value-25;0x427EADDD;1115598301;63,66979; Value-26;0x42884260;1116226144;68,12964;
2023-10-17_17:27:37.14; Value-01;0x3E0E2657;1041114711;0,1388181; Value-02;0x3D88A02E;1032364078;0,06671177; Value-03;0x3D00F878;1023473784;0,03148696; Value-04;0x3E875A23;1049057827;0,2643596; Value-05;0x3F0F1D48;1057955144;0,5590405; Value-06;0x401E187A;1075714170;2,470244; Value-07;0x40C24EE5;1086476005;6,072131; Value-08;0x418097CE;1098946510;16,07412; Value-09;0x41C433DB;1103377371;24,52532; Value-0A;0x3FF995C3;1073321411;1,949883; Value-0B;0x40DD7D3F;1088257343;6,921539; Value-0C;0x413EDC23;1094638627;11,92874; Value-0D;0x4112429D;1091715741;9,141263; Value-0E;0x41A850E9;1101549801;21,03951; Value-0F;0x41ED915B;1106088283;29,69597; Value-10;0x4242638C;1111647116;48,59721; Value-11;0x427E47F1;1115572209;63,57026; Value-12;0x428851FC;1116230140;68,16013; Value-13;0x3E16C71E;1041680158;0,1472439; Value-14;0x3D1475BB;1024751035;0,03624509; Value-15;0x3D011DF4;1023483380;0,03152271; Value-16;0x3E875B62;1049058146;0,2643691; Value-17;0x3F10D4BE;1058067646;0,5657462; Value-18;0x401E9F7B;1075748731;2,478484; Value-19;0x40C31FF6;1086529526;6,097651; Value-1A;0x41802DB7;1098919351;16,02232; Value-1B;0x41C4E347;1103422279;24,61098; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFDE0A1;1073602721;1,983418; Value-1F;0x40DD7EC8;1088257736;6,921726; Value-20;0x413F3C7A;1094663290;11,95226; Value-21;0x411293AE;1091736494;9,161055; Value-22;0x41A85E19;1101553177;21,04595; Value-23;0x41ED16E8;1106056936;29,63618; Value-24;0x4241F199;1111617945;48,48594; Value-25;0x427EADDD;1115598301;63,66979; Value-26;0x42884260;1116226144;68,12964;
2023-10-17_17:27:37.22; Value-01;0x3DE22311;1038230289;0,1104184; Value-02;0x3D88A02E;1032364078;0,06671177; Value-03;0x3CFE767B;1023309435;0,03106236; Value-04;0x3E875A23;1049057827;0,2643596; Value-05;0x3F1274C4;1058174148;0,5720942; Value-06;0x401E187A;1075714170;2,470244; Value-07;0x40C18176;1086423414;6,047053; Value-08;0x41806AA8;1098934952;16,05208; Value-09;0x41C4378A;1103378314;24,52712; Value-0A;0x3FFD02E7;1073545959;1,976651; Value-0B;0x40DE84EC;1088324844;6,953726; Value-0C;0x413FC647;1094698567;11,98591; Value-0D;0x4112429D;1091715741;9,141263; Value-0E;0x41A83913;1101543699;21,02787; Value-0F;0x41ED915B;1106088283;29,69597; Value-10;0x42421B9D;1111628701;48,52697; Value-11;0x427E47F1;1115572209;63,57026; Value-12;0x428855F1;1116231153;68,16785; Value-13;0x3DF7756F;1039627631;0,1208295; Value-14;0xBD3D5F5E;-1120051362;-0,04623353; Value-15;0x3CFD265E;1023223390;0,03090208; Value-16;0x3E870C26;1049037862;0,2637646; Value-17;0x3F10D4BE;1058067646;0,5657462; Value-18;0x401D21EF;1075651055;2,455196; Value-19;0x40C31FF6;1086529526;6,097651; Value-1A;0x41805886;1098930310;16,04322; Value-1B;0x41C4FB29;1103428393;24,62264; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FF890AC;1073254572;1,941915; Value-1F;0x40DBD977;1088149879;6,870296; Value-20;0x41403EDF;1094729439;12,01535; Value-21;0x41124C1E;1091718174;9,143583; Value-22;0x41A8C859;1101580377;21,09783; Value-23;0x41ED1B80;1106058112;29,63843; Value-24;0x4241F199;1111617945;48,48594; Value-25;0x427E97C9;1115592649;63,64823; Value-26;0x42884260;1116226144;68,12964;
2023-10-17_17:27:37.33; Value-01;0x3DE22311;1038230289;0,1104184; Value-02;0x3D88A02E;1032364078;0,06671177; Value-03;0x3CFE767B;1023309435;0,03106236; Value-04;0x3E875A23;1049057827;0,2643596; Value-05;0x3F1274C4;1058174148;0,5720942; Value-06;0x401E187A;1075714170;2,470244; Value-07;0x40C18176;1086423414;6,047053; Value-08;0x41806AA8;1098934952;16,05208; Value-09;0x41C4378A;1103378314;24,52712; Value-0A;0x3FFD02E7;1073545959;1,976651; Value-0B;0x40DE84EC;1088324844;6,953726; Value-0C;0x413FC647;1094698567;11,98591; Value-0D;0x4112429D;1091715741;9,141263; Value-0E;0x41A83913;1101543699;21,02787; Value-0F;0x41ED915B;1106088283;29,69597; Value-10;0x42421B9D;1111628701;48,52697; Value-11;0x427E47F1;1115572209;63,57026; Value-12;0x428855F1;1116231153;68,16785; Value-13;0x3DF7756F;1039627631;0,1208295; Value-14;0xBD3D5F5E;-1120051362;-0,04623353; Value-15;0x3CFD265E;1023223390;0,03090208; Value-16;0x3E870C26;1049037862;0,2637646; Value-17;0x3F10D4BE;1058067646;0,5657462; Value-18;0x401D21EF;1075651055;2,455196; Value-19;0x40C31FF6;1086529526;6,097651; Value-1A;0x41805886;1098930310;16,04322; Value-1B;0x41C4FB29;1103428393;24,62264; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FF890AC;1073254572;1,941915; Value-1F;0x40DBD977;1088149879;6,870296; Value-20;0x41403EDF;1094729439;12,01535; Value-21;0x41124C1E;1091718174;9,143583; Value-22;0x41A8C859;1101580377;21,09783; Value-23;0x41ED1B80;1106058112;29,63843; Value-24;0x4241F199;1111617945;48,48594; Value-25;0x427E97C9;1115592649;63,64823; Value-26;0x42884260;1116226144;68,12964;
2023-10-17_17:27:37.36; Value-01;0x3DE50994;1038420372;0,1118347; Value-02;0xBF49442B;-1085717461;-0,7861964; Value-03;0x3CFF4BB0;1023364016;0,03116402; Value-04;0x3E889EC0;1049140928;0,2668362; Value-05;0x3F1021FB;1058021883;0,5630185; Value-06;0x401D6B08;1075669768;2,459658; Value-07;0x40C0F324;1086386980;6,02968; Value-08;0x41802B18;1098918680;16,02104; Value-09;0x41C43CC0;1103379648;24,52966; Value-0A;0x3FFCEDC5;1073540549;1,976006; Value-0B;0x40DE84EC;1088324844;6,953726; Value-0C;0x413EFCF5;1094647029;11,93676; Value-0D;0x411277A0;1091729312;9,154205; Value-0E;0x41A87C7B;1101560955;21,06078; Value-0F;0x41EDC95C;1106102620;29,72332; Value-10;0x4241BB4A;1111604042;48,4329; Value-11;0x427E84F0;1115587824;63,62982; Value-12;0x42886333;1116234547;68,19375; Value-13;0x3DF7756F;1039627631;0,1208295; Value-14;0x3E0C4939;1040992569;0,1369981; Value-15;0x3CFD265E;1023223390;0,03090208; Value-16;0x3E87279C;1049044892;0,2639741; Value-17;0x3F10BB65;1058061157;0,5653594; Value-18;0x401DA2DB;1075684059;2,463065; Value-19;0x40C09E32;1086365234;6,019311; Value-1A;0x418021C2;1098916290;16,01648; Value-1B;0x41C49B43;1103403843;24,57581; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FF890AC;1073254572;1,941915; Value-1F;0x40DB1157;1088098647;6,845867; Value-20;0x41403EDF;1094729439;12,01535; Value-21;0x41128AC1;1091734209;9,158875; Value-22;0x41A8C859;1101580377;21,09783; Value-23;0x41EDB032;1106096178;29,71103; Value-24;0x42420D5F;1111625055;48,51306; Value-25;0x427E6517;1115579671;63,59872; Value-26;0x428845EB;1116227051;68,13656;
2023-10-17_17:27:37.44; Value-01;0x3DE50994;1038420372;0,1118347; Value-02;0xBF49442B;-1085717461;-0,7861964; Value-03;0x3CFF4BB0;1023364016;0,03116402; Value-04;0x3E889EC0;1049140928;0,2668362; Value-05;0x3F1021FB;1058021883;0,5630185; Value-06;0x401D6B08;1075669768;2,459658; Value-07;0x40C0F324;1086386980;6,02968; Value-08;0x41802B18;1098918680;16,02104; Value-09;0x41C43CC0;1103379648;24,52966; Value-0A;0x3FFCEDC5;1073540549;1,976006; Value-0B;0x40DE84EC;1088324844;6,953726; Value-0C;0x413EFCF5;1094647029;11,93676; Value-0D;0x411277A0;1091729312;9,154205; Value-0E;0x41A87C7B;1101560955;21,06078; Value-0F;0x41EDC95C;1106102620;29,72332; Value-10;0x4241BB4A;1111604042;48,4329; Value-11;0x427E84F0;1115587824;63,62982; Value-12;0x42886333;1116234547;68,19375; Value-13;0x3DF7756F;1039627631;0,1208295; Value-14;0x3E0C4939;1040992569;0,1369981; Value-15;0x3CFD265E;1023223390;0,03090208; Value-16;0x3E87279C;1049044892;0,2639741; Value-17;0x3F10BB65;1058061157;0,5653594; Value-18;0x401DA2DB;1075684059;2,463065; Value-19;0x40C09E32;1086365234;6,019311; Value-1A;0x418021C2;1098916290;16,01648; Value-1B;0x41C49B43;1103403843;24,57581; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FF890AC;1073254572;1,941915; Value-1F;0x40DB1157;1088098647;6,845867; Value-20;0x41403EDF;1094729439;12,01535; Value-21;0x41128AC1;1091734209;9,158875; Value-22;0x41A8C859;1101580377;21,09783; Value-23;0x41EDB032;1106096178;29,71103; Value-24;0x42420D5F;1111625055;48,51306; Value-25;0x427E6517;1115579671;63,59872; Value-26;0x428845EB;1116227051;68,13656;
2023-10-17_17:27:37.50; Value-01;0x3DE50994;1038420372;0,1118347; Value-02;0xBF49442B;-1085717461;-0,7861964; Value-03;0x3CFF4BB0;1023364016;0,03116402; Value-04;0x3E889EC0;1049140928;0,2668362; Value-05;0x3F1021FB;1058021883;0,5630185; Value-06;0x401D6B08;1075669768;2,459658; Value-07;0x40C0F324;1086386980;6,02968; Value-08;0x41802B18;1098918680;16,02104; Value-09;0x41C43CC0;1103379648;24,52966; Value-0A;0x3FFCEDC5;1073540549;1,976006; Value-0B;0x40DE84EC;1088324844;6,953726; Value-0C;0x413EFCF5;1094647029;11,93676; Value-0D;0x411277A0;1091729312;9,154205; Value-0E;0x41A87C7B;1101560955;21,06078; Value-0F;0x41EDC95C;1106102620;29,72332; Value-10;0x4241BB4A;1111604042;48,4329; Value-11;0x427E84F0;1115587824;63,62982; Value-12;0x42886333;1116234547;68,19375; Value-13;0x3DF7756F;1039627631;0,1208295; Value-14;0x3E0C4939;1040992569;0,1369981; Value-15;0x3CFD265E;1023223390;0,03090208; Value-16;0x3E87279C;1049044892;0,2639741; Value-17;0x3F10BB65;1058061157;0,5653594; Value-18;0x401DA2DB;1075684059;2,463065; Value-19;0x40C09E32;1086365234;6,019311; Value-1A;0x418021C2;1098916290;16,01648; Value-1B;0x41C49B43;1103403843;24,57581; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FF890AC;1073254572;1,941915; Value-1F;0x40DB1157;1088098647;6,845867; Value-20;0x41403EDF;1094729439;12,01535; Value-21;0x41128AC1;1091734209;9,158875; Value-22;0x41A8C859;1101580377;21,09783; Value-23;0x41EDB032;1106096178;29,71103; Value-24;0x42420D5F;1111625055;48,51306; Value-25;0x427E6517;1115579671;63,59872; Value-26;0x428845EB;1116227051;68,13656;
2023-10-17_17:27:37.54; Value-01;0x3DD95E8D;1037655693;0,1061374; Value-02;0x3DB3EA7D;1035201149;0,08784959; Value-03;0x3CFB1C9D;1023089821;0,03065329; Value-04;0x3E87642C;1049060396;0,2644361; Value-05;0x3F114528;1058096424;0,5674615; Value-06;0x401D382F;1075656751;2,456554; Value-07;0x40C15BDB;1086413787;6,042463; Value-08;0x41802947;1098918215;16,02015; Value-09;0x41C4771B;1103394587;24,55816; Value-0A;0x3FFDFAF0;1073609456;1,984221; Value-0B;0x40DD3396;1088238486;6,912547; Value-0C;0x413EAD6C;1094626668;11,91734; Value-0D;0x4112F808;1091762184;9,185555; Value-0E;0x41A8C491;1101579409;21,09598; Value-0F;0x41ED2B86;1106062214;29,64625; Value-10;0x424257F2;1111644146;48,58588; Value-11;0x427E2C18;1115565080;63,54306; Value-12;0x42885CE3;1116232931;68,18142; Value-13;0x3DDF3DDA;1038040538;0,1090047; Value-14;0xBCB38553;-1129085613;-0,02191416; Value-15;0x3D0043D8;1023427544;0,0313147; Value-16;0x3E871F94;1049042836;0,2639128; Value-17;0x3F109C65;1058053221;0,5648864; Value-18;0x401F3632;1075787314;2,487683; Value-19;0x40C11A35;1086396981;6,034449; Value-1A;0x41800B40;1098910528;16,00549; Value-1B;0x41C469CC;1103391180;24,55166; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFD7484;1073575044;1,980118; Value-1F;0x40DB19BB;1088100795;6,846891; Value-20;0x413E8FA9;1094619049;11,91007; Value-21;0x41121B96;1091705750;9,131735; Value-22;0x41A90A81;1101597313;21,13013; Value-23;0x41ED7B2B;1106082603;29,68514; Value-24;0x42424D5C;1111641436;48,57555; Value-25;0x427E58F0;1115576560;63,58685; Value-26;0x42885311;1116230417;68,16224;
2023-10-17_17:27:37.63; Value-01;0x3DD95E8D;1037655693;0,1061374; Value-02;0x3DB3EA7D;1035201149;0,08784959; Value-03;0x3CFB1C9D;1023089821;0,03065329; Value-04;0x3E87642C;1049060396;0,2644361; Value-05;0x3F114528;1058096424;0,5674615; Value-06;0x401D382F;1075656751;2,456554; Value-07;0x40C15BDB;1086413787;6,042463; Value-08;0x41802947;1098918215;16,02015; Value-09;0x41C4771B;1103394587;24,55816; Value-0A;0x3FFDFAF0;1073609456;1,984221; Value-0B;0x40DD3396;1088238486;6,912547; Value-0C;0x413EAD6C;1094626668;11,91734; Value-0D;0x4112F808;1091762184;9,185555; Value-0E;0x41A8C491;1101579409;21,09598; Value-0F;0x41ED2B86;1106062214;29,64625; Value-10;0x424257F2;1111644146;48,58588; Value-11;0x427E2C18;1115565080;63,54306; Value-12;0x42885CE3;1116232931;68,18142; Value-13;0x3DDF3DDA;1038040538;0,1090047; Value-14;0xBCB38553;-1129085613;-0,02191416; Value-15;0x3D0043D8;1023427544;0,0313147; Value-16;0x3E871F94;1049042836;0,2639128; Value-17;0x3F109C65;1058053221;0,5648864; Value-18;0x401F3632;1075787314;2,487683; Value-19;0x40C11A35;1086396981;6,034449; Value-1A;0x41800B40;1098910528;16,00549; Value-1B;0x41C469CC;1103391180;24,55166; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFD7484;1073575044;1,980118; Value-1F;0x40DB19BB;1088100795;6,846891; Value-20;0x413E8FA9;1094619049;11,91007; Value-21;0x41121B96;1091705750;9,131735; Value-22;0x41A90A81;1101597313;21,13013; Value-23;0x41ED7B2B;1106082603;29,68514; Value-24;0x42424D5C;1111641436;48,57555; Value-25;0x427E58F0;1115576560;63,58685; Value-26;0x42885311;1116230417;68,16224;
2023-10-17_17:27:37.69; Value-01;0x3DD95E8D;1037655693;0,1061374; Value-02;0x3DB3EA7D;1035201149;0,08784959; Value-03;0x3CFB1C9D;1023089821;0,03065329; Value-04;0x3E87642C;1049060396;0,2644361; Value-05;0x3F114528;1058096424;0,5674615; Value-06;0x401D382F;1075656751;2,456554; Value-07;0x40C15BDB;1086413787;6,042463; Value-08;0x41802947;1098918215;16,02015; Value-09;0x41C4771B;1103394587;24,55816; Value-0A;0x3FFDFAF0;1073609456;1,984221; Value-0B;0x40DD3396;1088238486;6,912547; Value-0C;0x413EAD6C;1094626668;11,91734; Value-0D;0x4112F808;1091762184;9,185555; Value-0E;0x41A8C491;1101579409;21,09598; Value-0F;0x41ED2B86;1106062214;29,64625; Value-10;0x424257F2;1111644146;48,58588; Value-11;0x427E2C18;1115565080;63,54306; Value-12;0x42885CE3;1116232931;68,18142; Value-13;0x3DDF3DDA;1038040538;0,1090047; Value-14;0xBCB38553;-1129085613;-0,02191416; Value-15;0x3D0043D8;1023427544;0,0313147; Value-16;0x3E871F94;1049042836;0,2639128; Value-17;0x3F109C65;1058053221;0,5648864; Value-18;0x401F3632;1075787314;2,487683; Value-19;0x40C11A35;1086396981;6,034449; Value-1A;0x41800B40;1098910528;16,00549; Value-1B;0x41C469CC;1103391180;24,55166; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x3FFD7484;1073575044;1,980118; Value-1F;0x40DB19BB;1088100795;6,846891; Value-20;0x413E8FA9;1094619049;11,91007; Value-21;0x41121B96;1091705750;9,131735; Value-22;0x41A90A81;1101597313;21,13013; Value-23;0x41ED7B2B;1106082603;29,68514; Value-24;0x42424D5C;1111641436;48,57555; Value-25;0x427E58F0;1115576560;63,58685; Value-26;0x42885311;1116230417;68,16224;
