Timestamp;Data
2023-10-17_10:14:47.38; Value-01;0x4114F984;1091893636;9,310917; Value-02;0xC241078F;-1035925617;-48,25738; Value-03;0x4258F7CC;1113126860;54,24199; Value-04;0x427D7595;1115518357;63,36483; Value-05;0x4276504A;1115050058;61,57841; Value-06;0x428EBFE9;1116651497;71,37482; Value-07;0x423B7E6B;1111195243;46,87346; Value-08;0xC1E7F1E5;-1041763867;-28,99311; Value-09;0xC0C28FD7;-1060991017;-6,080059; Value-0A;0x42566E6F;1112960623;53,60785; Value-0B;0x425F583B;1113544763;55,83616; Value-0C;0x426231C4;1113731524;56,5486; Value-0D;0x42B4A726;1119135526;90,32646; Value-0E;0x42CE4B83;1120816003;103,1475; Value-0F;0x432D467F;1127040639;173,2754; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43F26A81;1139960449;484,8321; Value-13;0x41A8F9B7;1101593015;21,12193; Value-14;0xC288C996;-1031222890;-68,39372; Value-15;0x425924B4;1113138356;54,28584; Value-16;0x427D8A56;1115523670;63,38509; Value-17;0x42763397;1115042711;61,55038; Value-18;0x428E2094;1116610708;71,06363; Value-19;0x423CBAD8;1111276248;47,18246; Value-1A;0xC1DF3739;-1042335943;-27,90196; Value-1B;0xC0EE1F29;-1058136279;-7,441304; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42561688;1112938120;53,522; Value-1F;0x425FCF4E;1113575246;55,95245; Value-20;0x426209F1;1113721329;56,50971; Value-21;0x42B4921C;1119130140;90,28537; Value-22;0x42CFE2F0;1120920304;103,9432; Value-23;0x432FCD81;1127206273;175,8027; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x4401D706;1140971270;519,3597;
2023-10-17_10:14:47.53; Value-01;0x4114F984;1091893636;9,310917; Value-02;0xC241078F;-1035925617;-48,25738; Value-03;0x4258F7CC;1113126860;54,24199; Value-04;0x427D7595;1115518357;63,36483; Value-05;0x4276504A;1115050058;61,57841; Value-06;0x428EBFE9;1116651497;71,37482; Value-07;0x423B7E6B;1111195243;46,87346; Value-08;0xC1E7F1E5;-1041763867;-28,99311; Value-09;0xC0C28FD7;-1060991017;-6,080059; Value-0A;0x42566E6F;1112960623;53,60785; Value-0B;0x425F583B;1113544763;55,83616; Value-0C;0x426231C4;1113731524;56,5486; Value-0D;0x42B4A726;1119135526;90,32646; Value-0E;0x42CE4B83;1120816003;103,1475; Value-0F;0x432D467F;1127040639;173,2754; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43F26A81;1139960449;484,8321; Value-13;0x41A8F9B7;1101593015;21,12193; Value-14;0xC288C996;-1031222890;-68,39372; Value-15;0x425924B4;1113138356;54,28584; Value-16;0x427D8A56;1115523670;63,38509; Value-17;0x42763397;1115042711;61,55038; Value-18;0x428E2094;1116610708;71,06363; Value-19;0x423CBAD8;1111276248;47,18246; Value-1A;0xC1DF3739;-1042335943;-27,90196; Value-1B;0xC0EE1F29;-1058136279;-7,441304; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42561688;1112938120;53,522; Value-1F;0x425FCF4E;1113575246;55,95245; Value-20;0x426209F1;1113721329;56,50971; Value-21;0x42B4921C;1119130140;90,28537; Value-22;0x42CFE2F0;1120920304;103,9432; Value-23;0x432FCD81;1127206273;175,8027; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x4401D706;1140971270;519,3597;
2023-10-17_10:14:47.53; Value-01;0x4114F984;1091893636;9,310917; Value-02;0xC241078F;-1035925617;-48,25738; Value-03;0x4258F7CC;1113126860;54,24199; Value-04;0x427D7595;1115518357;63,36483; Value-05;0x4276504A;1115050058;61,57841; Value-06;0x428EBFE9;1116651497;71,37482; Value-07;0x423B7E6B;1111195243;46,87346; Value-08;0xC1E7F1E5;-1041763867;-28,99311; Value-09;0xC0C28FD7;-1060991017;-6,080059; Value-0A;0x42566E6F;1112960623;53,60785; Value-0B;0x425F583B;1113544763;55,83616; Value-0C;0x426231C4;1113731524;56,5486; Value-0D;0x42B4A726;1119135526;90,32646; Value-0E;0x42CE4B83;1120816003;103,1475; Value-0F;0x432D467F;1127040639;173,2754; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43F26A81;1139960449;484,8321; Value-13;0x41A8F9B7;1101593015;21,12193; Value-14;0xC288C996;-1031222890;-68,39372; Value-15;0x425924B4;1113138356;54,28584; Value-16;0x427D8A56;1115523670;63,38509; Value-17;0x42763397;1115042711;61,55038; Value-18;0x428E2094;1116610708;71,06363; Value-19;0x423CBAD8;1111276248;47,18246; Value-1A;0xC1DF3739;-1042335943;-27,90196; Value-1B;0xC0EE1F29;-1058136279;-7,441304; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42561688;1112938120;53,522; Value-1F;0x425FCF4E;1113575246;55,95245; Value-20;0x426209F1;1113721329;56,50971; Value-21;0x42B4921C;1119130140;90,28537; Value-22;0x42CFE2F0;1120920304;103,9432; Value-23;0x432FCD81;1127206273;175,8027; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x4401D706;1140971270;519,3597;
2023-10-17_10:14:47.59; Value-01;0x4114F984;1091893636;9,310917; Value-02;0xC241078F;-1035925617;-48,25738; Value-03;0x4258F7CC;1113126860;54,24199; Value-04;0x427D7595;1115518357;63,36483; Value-05;0x4276504A;1115050058;61,57841; Value-06;0x428EBFE9;1116651497;71,37482; Value-07;0x423B7E6B;1111195243;46,87346; Value-08;0xC1E7F1E5;-1041763867;-28,99311; Value-09;0xC0C28FD7;-1060991017;-6,080059; Value-0A;0x42566E6F;1112960623;53,60785; Value-0B;0x425F583B;1113544763;55,83616; Value-0C;0x426231C4;1113731524;56,5486; Value-0D;0x42B4A726;1119135526;90,32646; Value-0E;0x42CE4B83;1120816003;103,1475; Value-0F;0x432D467F;1127040639;173,2754; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43F26A81;1139960449;484,8321; Value-13;0x41A8F9B7;1101593015;21,12193; Value-14;0xC288C996;-1031222890;-68,39372; Value-15;0x425924B4;1113138356;54,28584; Value-16;0x427D8A56;1115523670;63,38509; Value-17;0x42763397;1115042711;61,55038; Value-18;0x428E2094;1116610708;71,06363; Value-19;0x423CBAD8;1111276248;47,18246; Value-1A;0xC1DF3739;-1042335943;-27,90196; Value-1B;0xC0EE1F29;-1058136279;-7,441304; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42561688;1112938120;53,522; Value-1F;0x425FCF4E;1113575246;55,95245; Value-20;0x426209F1;1113721329;56,50971; Value-21;0x42B4921C;1119130140;90,28537; Value-22;0x42CFE2F0;1120920304;103,9432; Value-23;0x432FCD81;1127206273;175,8027; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x4401D706;1140971270;519,3597;
2023-10-17_10:14:47.66; Value-01;0x4136BC8B;1094106251;11,42103; Value-02;0xC2A4D483;-1029385085;-82,41506; Value-03;0x42590D8B;1113132427;54,26323; Value-04;0x427D7280;1115517568;63,36182; Value-05;0x4275EC66;1115024486;61,48086; Value-06;0x428E4436;1116619830;71,13322; Value-07;0x423B7E6B;1111195243;46,87346; Value-08;0xC1F1D5B6;-1041115722;-30,22935; Value-09;0xC0C28FD7;-1060991017;-6,080059; Value-0A;0x42564DB2;1112952242;53,57587; Value-0B;0x425F8D57;1113558359;55,88803; Value-0C;0x425FEEE6;1113583334;55,9833; Value-0D;0x42B4A85B;1119135835;90,32882; Value-0E;0x42D020C2;1120936130;104,064; Value-0F;0x432E86D1;1127122641;174,5266; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x43F26A81;1139960449;484,8321; Value-13;0x41824CC5;1099058373;16,28749; Value-14;0xC27D0E6A;-1031991702;-63,26408; Value-15;0x42592AFA;1113139962;54,29197; Value-16;0x427D8F02;1115524866;63,38966; Value-17;0x427625B8;1115039160;61,53683; Value-18;0x428DCB6C;1116588908;70,89731; Value-19;0x423E0D57;1111362903;47,51303; Value-1A;0xC1DF3739;-1042335943;-27,90196; Value-1B;0xC1076200;-1056480768;-8,461426; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256330B;1112945419;53,54985; Value-1F;0x425F9681;1113560705;55,89698; Value-20;0x4260E49A;1113646234;56,22324; Value-21;0x42B4D54A;1119147338;90,41658; Value-22;0x42D2CA15;1121110549;105,3947; Value-23;0x432DFBF2;1127087090;173,9842; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x44124E55;1142050389;585,2239;
2023-10-17_10:14:47.77; Value-01;0x4136BC8B;1094106251;11,42103; Value-02;0xC2A4D483;-1029385085;-82,41506; Value-03;0x42590D8B;1113132427;54,26323; Value-04;0x427D7280;1115517568;63,36182; Value-05;0x4275EC66;1115024486;61,48086; Value-06;0x428E4436;1116619830;71,13322; Value-07;0x423BA90C;1111206156;46,91508; Value-08;0xC1F1D5B6;-1041115722;-30,22935; Value-09;0xC0C176D4;-1061062956;-6,045755; Value-0A;0x42564DB2;1112952242;53,57587; Value-0B;0x425F8D57;1113558359;55,88803; Value-0C;0x425FEEE6;1113583334;55,9833; Value-0D;0x42B4A85B;1119135835;90,32882; Value-0E;0x42D020C2;1120936130;104,064; Value-0F;0x432E86D1;1127122641;174,5266; Value-10;0x4225A2A7;1109762727;41,40884; Value-11;0x00000000;0;0; Value-12;0x4403C0E5;1141096677;527,014; Value-13;0x41824CC5;1099058373;16,28749; Value-14;0xC27D0E6A;-1031991702;-63,26408; Value-15;0x42592AFA;1113139962;54,29197; Value-16;0x427D8F02;1115524866;63,38966; Value-17;0x427625B8;1115039160;61,53683; Value-18;0x428DCB6C;1116588908;70,89731; Value-19;0x423E0D57;1111362903;47,51303; Value-1A;0xC1F10C30;-1041167312;-30,13095; Value-1B;0xC1076200;-1056480768;-8,461426; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256330B;1112945419;53,54985; Value-1F;0x425F9681;1113560705;55,89698; Value-20;0x4260E49A;1113646234;56,22324; Value-21;0x42B4D54A;1119147338;90,41658; Value-22;0x42D2CA15;1121110549;105,3947; Value-23;0x432DFBF2;1127087090;173,9842; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x44124E55;1142050389;585,2239;
2023-10-17_10:14:47.77; Value-01;0x4136BC8B;1094106251;11,42103; Value-02;0xC2A4D483;-1029385085;-82,41506; Value-03;0x42590D8B;1113132427;54,26323; Value-04;0x427D7280;1115517568;63,36182; Value-05;0x4275EC66;1115024486;61,48086; Value-06;0x428E4436;1116619830;71,13322; Value-07;0x423BA90C;1111206156;46,91508; Value-08;0xC1F1D5B6;-1041115722;-30,22935; Value-09;0xC0C176D4;-1061062956;-6,045755; Value-0A;0x42564DB2;1112952242;53,57587; Value-0B;0x425F8D57;1113558359;55,88803; Value-0C;0x425FEEE6;1113583334;55,9833; Value-0D;0x42B4A85B;1119135835;90,32882; Value-0E;0x42D020C2;1120936130;104,064; Value-0F;0x432E86D1;1127122641;174,5266; Value-10;0x4225A2A7;1109762727;41,40884; Value-11;0x00000000;0;0; Value-12;0x4403C0E5;1141096677;527,014; Value-13;0x41824CC5;1099058373;16,28749; Value-14;0xC27D0E6A;-1031991702;-63,26408; Value-15;0x42592AFA;1113139962;54,29197; Value-16;0x427D8F02;1115524866;63,38966; Value-17;0x427625B8;1115039160;61,53683; Value-18;0x428DCB6C;1116588908;70,89731; Value-19;0x423E0D57;1111362903;47,51303; Value-1A;0xC1F10C30;-1041167312;-30,13095; Value-1B;0xC1076200;-1056480768;-8,461426; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256330B;1112945419;53,54985; Value-1F;0x425F9681;1113560705;55,89698; Value-20;0x4260E49A;1113646234;56,22324; Value-21;0x42B4D54A;1119147338;90,41658; Value-22;0x42D2CA15;1121110549;105,3947; Value-23;0x432DFBF2;1127087090;173,9842; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x44124E55;1142050389;585,2239;
2023-10-17_10:14:47.88; Value-01;0x4136BC8B;1094106251;11,42103; Value-02;0xC2BB3FD3;-1027915821;-93,62466; Value-03;0x42590D8B;1113132427;54,26323; Value-04;0x427D7280;1115517568;63,36182; Value-05;0x4275EC66;1115024486;61,48086; Value-06;0x428E4436;1116619830;71,13322; Value-07;0x423BA90C;1111206156;46,91508; Value-08;0xC1F1D5B6;-1041115722;-30,22935; Value-09;0xC0C176D4;-1061062956;-6,045755; Value-0A;0x42564DB2;1112952242;53,57587; Value-0B;0x425F7AD1;1113553617;55,86994; Value-0C;0x425FEEE6;1113583334;55,9833; Value-0D;0x42B4C787;1119143815;90,3897; Value-0E;0x42D020C2;1120936130;104,064; Value-0F;0x432E86D1;1127122641;174,5266; Value-10;0x4225A2A7;1109762727;41,40884; Value-11;0x00000000;0;0; Value-12;0x4403C0E5;1141096677;527,014; Value-13;0x41D39015;1104384021;26,44535; Value-14;0xC27D0E6A;-1031991702;-63,26408; Value-15;0x42591C11;1113136145;54,27741; Value-16;0x427D8F02;1115524866;63,38966; Value-17;0x427625B8;1115039160;61,53683; Value-18;0x428DCB6C;1116588908;70,89731; Value-19;0x423E0D57;1111362903;47,51303; Value-1A;0xC1F10C30;-1041167312;-30,13095; Value-1B;0xC1076200;-1056480768;-8,461426; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256416F;1112949103;53,5639; Value-1F;0x425F9681;1113560705;55,89698; Value-20;0x4260D61C;1113642524;56,20909; Value-21;0x42B4D54A;1119147338;90,41658; Value-22;0x42CDEDED;1120792045;102,9647; Value-23;0x432DFBF2;1127087090;173,9842; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x44124E55;1142050389;585,2239;
2023-10-17_10:14:47.88; Value-01;0x4136BC8B;1094106251;11,42103; Value-02;0xC2BB3FD3;-1027915821;-93,62466; Value-03;0x42590D8B;1113132427;54,26323; Value-04;0x427D7280;1115517568;63,36182; Value-05;0x4275EC66;1115024486;61,48086; Value-06;0x428E4436;1116619830;71,13322; Value-07;0x423BA90C;1111206156;46,91508; Value-08;0xC1F1D5B6;-1041115722;-30,22935; Value-09;0xC0C176D4;-1061062956;-6,045755; Value-0A;0x42564DB2;1112952242;53,57587; Value-0B;0x425F7AD1;1113553617;55,86994; Value-0C;0x425FEEE6;1113583334;55,9833; Value-0D;0x42B4C787;1119143815;90,3897; Value-0E;0x42D020C2;1120936130;104,064; Value-0F;0x432E86D1;1127122641;174,5266; Value-10;0x4225A2A7;1109762727;41,40884; Value-11;0x00000000;0;0; Value-12;0x4403C0E5;1141096677;527,014; Value-13;0x41D39015;1104384021;26,44535; Value-14;0xC27D0E6A;-1031991702;-63,26408; Value-15;0x42591C11;1113136145;54,27741; Value-16;0x427D8F02;1115524866;63,38966; Value-17;0x427625B8;1115039160;61,53683; Value-18;0x428DCB6C;1116588908;70,89731; Value-19;0x423E0D57;1111362903;47,51303; Value-1A;0xC1F10C30;-1041167312;-30,13095; Value-1B;0xC1076200;-1056480768;-8,461426; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256416F;1112949103;53,5639; Value-1F;0x425F9681;1113560705;55,89698; Value-20;0x4260D61C;1113642524;56,20909; Value-21;0x42B4D54A;1119147338;90,41658; Value-22;0x42CDEDED;1120792045;102,9647; Value-23;0x432DFBF2;1127087090;173,9842; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x44124E55;1142050389;585,2239;
2023-10-17_10:14:48.02; Value-01;0x416C0878;1097599096;14,75207; Value-02;0xC2BB3FD3;-1027915821;-93,62466; Value-03;0x425902D4;1113129684;54,25276; Value-04;0x427D64CF;1115514063;63,34845; Value-05;0x4276ACF1;1115073777;61,66889; Value-06;0x428E4575;1116620149;71,13566; Value-07;0x42388092;1110999186;46,12556; Value-08;0xC1EC2C51;-1041486767;-29,52164; Value-09;0xC0ADD1B1;-1062350415;-5,431847; Value-0A;0x425630D2;1112944850;53,54768; Value-0B;0x425F7AD1;1113553617;55,86994; Value-0C;0x42601F7D;1113595773;56,03075; Value-0D;0x42B4C787;1119143815;90,3897; Value-0E;0x42CF0DF2;1120865778;103,5272; Value-0F;0x432FA199;1127195033;175,6312; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x440724A3;1141318819;540,5724; Value-13;0x41D39015;1104384021;26,44535; Value-14;0x41867609;1099331081;16,80763; Value-15;0x42591C11;1113136145;54,27741; Value-16;0x427D8170;1115521392;63,3764; Value-17;0x427681BF;1115062719;61,62671; Value-18;0x428E7EFF;1116634879;71,24804; Value-19;0x423D1952;1111300434;47,27473; Value-1A;0xC1F315EB;-1041033749;-30,3857; Value-1B;0xC0DD6054;-1059233708;-6,918009; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256416F;1112949103;53,5639; Value-1F;0x425F4C58;1113541720;55,82455; Value-20;0x4260D61C;1113642524;56,20909; Value-21;0x42B51390;1119163280;90,53821; Value-22;0x42CDEDED;1120792045;102,9647; Value-23;0x432E67D5;1127114709;174,4056; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43F866DB;1140352731;496,8036;
2023-10-17_10:14:48.03; Value-01;0x416C0878;1097599096;14,75207; Value-02;0xC2BB3FD3;-1027915821;-93,62466; Value-03;0x425902D4;1113129684;54,25276; Value-04;0x427D64CF;1115514063;63,34845; Value-05;0x4276ACF1;1115073777;61,66889; Value-06;0x428E4575;1116620149;71,13566; Value-07;0x42388092;1110999186;46,12556; Value-08;0xC1EC2C51;-1041486767;-29,52164; Value-09;0xC0ADD1B1;-1062350415;-5,431847; Value-0A;0x425630D2;1112944850;53,54768; Value-0B;0x425F7AD1;1113553617;55,86994; Value-0C;0x42601F7D;1113595773;56,03075; Value-0D;0x42B4C787;1119143815;90,3897; Value-0E;0x42CF0DF2;1120865778;103,5272; Value-0F;0x432FA199;1127195033;175,6312; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x440724A3;1141318819;540,5724; Value-13;0x41D39015;1104384021;26,44535; Value-14;0x41867609;1099331081;16,80763; Value-15;0x42591C11;1113136145;54,27741; Value-16;0x427D8170;1115521392;63,3764; Value-17;0x427681BF;1115062719;61,62671; Value-18;0x428E7EFF;1116634879;71,24804; Value-19;0x423D1952;1111300434;47,27473; Value-1A;0xC1F315EB;-1041033749;-30,3857; Value-1B;0xC0DD6054;-1059233708;-6,918009; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4256416F;1112949103;53,5639; Value-1F;0x425F4C58;1113541720;55,82455; Value-20;0x4260D61C;1113642524;56,20909; Value-21;0x42B51390;1119163280;90,53821; Value-22;0x42CDEDED;1120792045;102,9647; Value-23;0x432E67D5;1127114709;174,4056; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x43F866DB;1140352731;496,8036;
