Timestamp;Data
2023-10-18_11:19:54.11; Value-01;0x41C23DD5;1103248853;24,28019; Value-02;0x40FB28F7;1090201847;7,848751; Value-03;0x4304FDF9;1124400633;132,9921; Value-04;0x4310F9E3;1125186019;144,9761; Value-05;0x431961B2;1125736882;153,3816; Value-06;0x4348BA17;1128839703;200,7269; Value-07;0x42DE0A29;1121847849;111,0198; Value-08;0x4393EF1F;1133768479;295,8681; Value-09;0x43A5CB8D;1134939021;331,5902; Value-0A;0x43063F2A;1124482858;134,2467; Value-0B;0x430DCBB0;1124977584;141,7957; Value-0C;0x430A8027;1124761639;138,5006; Value-0D;0x432FA7C7;1127196615;175,6554; Value-0E;0x436D3D58;1131232600;237,2396; Value-0F;0x43AC6439;1135371321;344,783; Value-10;0x42D3B2FA;1121170170;105,8496; Value-11;0x441447FD;1142179837;593,1248; Value-12;0x4450B81E;1146140702;834,8768; Value-13;0x4186C5C3;1099351491;16,84656; Value-14;0xC1613922;-1050592990;-14,07645; Value-15;0x43050933;1124403507;133,0359; Value-16;0x4310E4C2;1125180610;144,8936; Value-17;0x43195B04;1125735172;153,3555; Value-18;0x4348C36F;1128842095;200,7634; Value-19;0x42DB0AD5;1121651413;109,5212; Value-1A;0x439319CC;1133713868;294,2015; Value-1B;0x43A6AD26;1134996774;333,3527; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x430649DC;1124485596;134,2885; Value-1F;0x430DBD7D;1124973949;141,7402; Value-20;0x430AE331;1124786993;138,8875; Value-21;0x432FF0F4;1127215348;175,9412; Value-22;0x436D136A;1131221866;237,0758; Value-23;0x43AE43E2;1135494114;348,5303; Value-24;0x42D6EA44;1121380932;107,4576; Value-25;0x441313D6;1142100950;588,3099; Value-26;0x445BCCE1;1146866913;879,2012;
2023-10-18_11:19:54.27; Value-01;0x418B22E0;1099637472;17,39203; Value-02;0x416F64F3;1097819379;14,96215; Value-03;0x43050437;1124402231;133,0165; Value-04;0x4310D83B;1125177403;144,8447; Value-05;0x431942C5;1125728965;153,2608; Value-06;0x43491311;1128862481;201,0745; Value-07;0x42DBEC95;1121709205;109,9621; Value-08;0x439325E5;1133716965;294,2961; Value-09;0x43A687CC;1134987212;333,0609; Value-0A;0x43066382;1124492162;134,3887; Value-0B;0x430DB8BD;1124972733;141,7216; Value-0C;0x430AE9B9;1124788665;138,913; Value-0D;0x432FEFCA;1127215050;175,9367; Value-0E;0x436DED82;1131277698;237,9278; Value-0F;0x43AC045D;1135346781;344,0341; Value-10;0x4271C948;1114753352;60,44656; Value-11;0x441540DE;1142243550;597,0135; Value-12;0x445CB681;1146926721;882,8516; Value-13;0x419C9638;1100781112;19,57335; Value-14;0xC21C5472;-1038330766;-39,08247; Value-15;0x430510F7;1124405495;133,0663; Value-16;0x4310EF6B;1125183339;144,9352; Value-17;0x43195D44;1125735748;153,3643; Value-18;0x4348BD30;1128840496;200,739; Value-19;0x42D7578B;1121408907;107,671; Value-1A;0x4393AC13;1133751315;295,3443; Value-1B;0x43A489E8;1134856680;329,0774; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43064A13;1124485651;134,2894; Value-1F;0x430DCB3A;1124977466;141,7939; Value-20;0x430AA8F9;1124772089;138,66; Value-21;0x432FAC13;1127197715;175,6722; Value-22;0x436C4919;1131170073;236,2855; Value-23;0x43ACDFD2;1135402962;345,7486; Value-24;0x41B79B61;1102551905;22,95087; Value-25;0x440E8D4C;1141804364;570,2078; Value-26;0x445B18F5;1146820853;876,39;
2023-10-18_11:19:54.27; Value-01;0x418B22E0;1099637472;17,39203; Value-02;0x416F64F3;1097819379;14,96215; Value-03;0x43050437;1124402231;133,0165; Value-04;0x4310D83B;1125177403;144,8447; Value-05;0x431942C5;1125728965;153,2608; Value-06;0x43491311;1128862481;201,0745; Value-07;0x42DBEC95;1121709205;109,9621; Value-08;0x439325E5;1133716965;294,2961; Value-09;0x43A687CC;1134987212;333,0609; Value-0A;0x43066382;1124492162;134,3887; Value-0B;0x430DB8BD;1124972733;141,7216; Value-0C;0x430AE9B9;1124788665;138,913; Value-0D;0x432FEFCA;1127215050;175,9367; Value-0E;0x436DED82;1131277698;237,9278; Value-0F;0x43AC045D;1135346781;344,0341; Value-10;0x4271C948;1114753352;60,44656; Value-11;0x441540DE;1142243550;597,0135; Value-12;0x445CB681;1146926721;882,8516; Value-13;0x419C9638;1100781112;19,57335; Value-14;0xC21C5472;-1038330766;-39,08247; Value-15;0x430510F7;1124405495;133,0663; Value-16;0x4310EF6B;1125183339;144,9352; Value-17;0x43195D44;1125735748;153,3643; Value-18;0x4348BD30;1128840496;200,739; Value-19;0x42D7578B;1121408907;107,671; Value-1A;0x4393AC13;1133751315;295,3443; Value-1B;0x43A489E8;1134856680;329,0774; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43064A13;1124485651;134,2894; Value-1F;0x430DCB3A;1124977466;141,7939; Value-20;0x430AA8F9;1124772089;138,66; Value-21;0x432FAC13;1127197715;175,6722; Value-22;0x436C4919;1131170073;236,2855; Value-23;0x43ACDFD2;1135402962;345,7486; Value-24;0x41B79B61;1102551905;22,95087; Value-25;0x440E8D4C;1141804364;570,2078; Value-26;0x445B18F5;1146820853;876,39;
2023-10-18_11:19:54.41; Value-01;0x418B22E0;1099637472;17,39203; Value-02;0x416F64F3;1097819379;14,96215; Value-03;0x43050437;1124402231;133,0165; Value-04;0x4310D83B;1125177403;144,8447; Value-05;0x431942C5;1125728965;153,2608; Value-06;0x43491311;1128862481;201,0745; Value-07;0x42DBEC95;1121709205;109,9621; Value-08;0x439325E5;1133716965;294,2961; Value-09;0x43A687CC;1134987212;333,0609; Value-0A;0x43066382;1124492162;134,3887; Value-0B;0x430DB8BD;1124972733;141,7216; Value-0C;0x430AE9B9;1124788665;138,913; Value-0D;0x432FEFCA;1127215050;175,9367; Value-0E;0x436DED82;1131277698;237,9278; Value-0F;0x43AC045D;1135346781;344,0341; Value-10;0x4271C948;1114753352;60,44656; Value-11;0x441540DE;1142243550;597,0135; Value-12;0x445CB681;1146926721;882,8516; Value-13;0x419C9638;1100781112;19,57335; Value-14;0xC21C5472;-1038330766;-39,08247; Value-15;0x430510F7;1124405495;133,0663; Value-16;0x4310EF6B;1125183339;144,9352; Value-17;0x43195D44;1125735748;153,3643; Value-18;0x4348BD30;1128840496;200,739; Value-19;0x42D7578B;1121408907;107,671; Value-1A;0x4393AC13;1133751315;295,3443; Value-1B;0x43A489E8;1134856680;329,0774; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43064A13;1124485651;134,2894; Value-1F;0x430DCB3A;1124977466;141,7939; Value-20;0x430AA8F9;1124772089;138,66; Value-21;0x432FAC13;1127197715;175,6722; Value-22;0x436C4919;1131170073;236,2855; Value-23;0x43ACDFD2;1135402962;345,7486; Value-24;0x41B79B61;1102551905;22,95087; Value-25;0x440E8D4C;1141804364;570,2078; Value-26;0x445B18F5;1146820853;876,39;
2023-10-18_11:19:54.41; Value-01;0x418B22E0;1099637472;17,39203; Value-02;0x416F64F3;1097819379;14,96215; Value-03;0x43050437;1124402231;133,0165; Value-04;0x4310D83B;1125177403;144,8447; Value-05;0x431942C5;1125728965;153,2608; Value-06;0x43491311;1128862481;201,0745; Value-07;0x42DBEC95;1121709205;109,9621; Value-08;0x439325E5;1133716965;294,2961; Value-09;0x43A687CC;1134987212;333,0609; Value-0A;0x43066382;1124492162;134,3887; Value-0B;0x430DB8BD;1124972733;141,7216; Value-0C;0x430AE9B9;1124788665;138,913; Value-0D;0x432FEFCA;1127215050;175,9367; Value-0E;0x436DED82;1131277698;237,9278; Value-0F;0x43AC045D;1135346781;344,0341; Value-10;0x4271C948;1114753352;60,44656; Value-11;0x441540DE;1142243550;597,0135; Value-12;0x445CB681;1146926721;882,8516; Value-13;0x419C9638;1100781112;19,57335; Value-14;0xC21C5472;-1038330766;-39,08247; Value-15;0x430510F7;1124405495;133,0663; Value-16;0x4310EF6B;1125183339;144,9352; Value-17;0x43195D44;1125735748;153,3643; Value-18;0x4348BD30;1128840496;200,739; Value-19;0x42D7578B;1121408907;107,671; Value-1A;0x4393AC13;1133751315;295,3443; Value-1B;0x43A489E8;1134856680;329,0774; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43064A13;1124485651;134,2894; Value-1F;0x430DCB3A;1124977466;141,7939; Value-20;0x430AA8F9;1124772089;138,66; Value-21;0x432FAC13;1127197715;175,6722; Value-22;0x436C4919;1131170073;236,2855; Value-23;0x43ACDFD2;1135402962;345,7486; Value-24;0x41B79B61;1102551905;22,95087; Value-25;0x440E8D4C;1141804364;570,2078; Value-26;0x445B18F5;1146820853;876,39;
2023-10-18_11:19:54.51; Value-01;0x417022BE;1097867966;15,00848; Value-02;0xC11D4E94;-1055043948;-9,831684; Value-03;0x43053678;1124415096;133,2128; Value-04;0x4310DE49;1125178953;144,8683; Value-05;0x431950F1;1125732593;153,3162; Value-06;0x4348CEC0;1128844992;200,8076; Value-07;0x42D896AA;1121490602;108,2943; Value-08;0x4393A4F0;1133749488;295,2886; Value-09;0x43A467F5;1134847989;328,8122; Value-0A;0x430683B1;1124500401;134,5144; Value-0B;0x430DB73F;1124972351;141,7158; Value-0C;0x430A1FEF;1124737007;138,1247; Value-0D;0x432FC46C;1127203948;175,7673; Value-0E;0x436AACAD;1131064493;234,6745; Value-0F;0x43AD5F57;1135435607;346,7448; Value-10;0x00000000;0;0; Value-11;0x440C2976;1141647734;560,6478; Value-12;0x4438FE60;1144585824;739,9746; Value-13;0x41CADB87;1103813511;25,35719; Value-14;0xC13A8771;-1053128847;-11,65807; Value-15;0x4304FF27;1124400935;132,9967; Value-16;0x4310D341;1125176129;144,8252; Value-17;0x43195820;1125734432;153,3442; Value-18;0x4348C4DC;1128842460;200,769; Value-19;0x42D6771E;1121351454;107,2327; Value-1A;0x43912697;1133586071;290,3015; Value-1B;0x43A629A6;1134963110;332,3254; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306323D;1124479549;134,1962; Value-1F;0x430DC561;1124975969;141,771; Value-20;0x430A83FF;1124762623;138,5156; Value-21;0x432FA028;1127194664;175,6256; Value-22;0x436D316F;1131229551;237,1931; Value-23;0x43A96A51;1135176273;338,8306; Value-24;0x42AEA79E;1118742430;87,32738; Value-25;0x43BE6E50;1136553552;380,8618; Value-26;0x44557F9A;1146453914;853,9938;
2023-10-18_11:19:54.51; Value-01;0x417022BE;1097867966;15,00848; Value-02;0xC11D4E94;-1055043948;-9,831684; Value-03;0x43053678;1124415096;133,2128; Value-04;0x4310DE49;1125178953;144,8683; Value-05;0x431950F1;1125732593;153,3162; Value-06;0x4348CEC0;1128844992;200,8076; Value-07;0x42D896AA;1121490602;108,2943; Value-08;0x4393A4F0;1133749488;295,2886; Value-09;0x43A467F5;1134847989;328,8122; Value-0A;0x430683B1;1124500401;134,5144; Value-0B;0x430DB73F;1124972351;141,7158; Value-0C;0x430A1FEF;1124737007;138,1247; Value-0D;0x432FC46C;1127203948;175,7673; Value-0E;0x436AACAD;1131064493;234,6745; Value-0F;0x43AD5F57;1135435607;346,7448; Value-10;0x00000000;0;0; Value-11;0x440C2976;1141647734;560,6478; Value-12;0x4438FE60;1144585824;739,9746; Value-13;0x41CADB87;1103813511;25,35719; Value-14;0xC13A8771;-1053128847;-11,65807; Value-15;0x4304FF27;1124400935;132,9967; Value-16;0x4310D341;1125176129;144,8252; Value-17;0x43195820;1125734432;153,3442; Value-18;0x4348C4DC;1128842460;200,769; Value-19;0x42D6771E;1121351454;107,2327; Value-1A;0x43912697;1133586071;290,3015; Value-1B;0x43A629A6;1134963110;332,3254; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306323D;1124479549;134,1962; Value-1F;0x430DC561;1124975969;141,771; Value-20;0x430A83FF;1124762623;138,5156; Value-21;0x432FA028;1127194664;175,6256; Value-22;0x436D316F;1131229551;237,1931; Value-23;0x43A96A51;1135176273;338,8306; Value-24;0x42AEA79E;1118742430;87,32738; Value-25;0x43BE6E50;1136553552;380,8618; Value-26;0x44557F9A;1146453914;853,9938;
2023-10-18_11:19:54.71; Value-01;0x417022BE;1097867966;15,00848; Value-02;0xC11D4E94;-1055043948;-9,831684; Value-03;0x43053678;1124415096;133,2128; Value-04;0x4310DE49;1125178953;144,8683; Value-05;0x431950F1;1125732593;153,3162; Value-06;0x4348CEC0;1128844992;200,8076; Value-07;0x42D896AA;1121490602;108,2943; Value-08;0x4393A4F0;1133749488;295,2886; Value-09;0x43A467F5;1134847989;328,8122; Value-0A;0x430683B1;1124500401;134,5144; Value-0B;0x430DB73F;1124972351;141,7158; Value-0C;0x430A1FEF;1124737007;138,1247; Value-0D;0x432FC46C;1127203948;175,7673; Value-0E;0x436AACAD;1131064493;234,6745; Value-0F;0x43AD5F57;1135435607;346,7448; Value-10;0x00000000;0;0; Value-11;0x440C2976;1141647734;560,6478; Value-12;0x4438FE60;1144585824;739,9746; Value-13;0x41CADB87;1103813511;25,35719; Value-14;0xC13A8771;-1053128847;-11,65807; Value-15;0x4304FF27;1124400935;132,9967; Value-16;0x4310D341;1125176129;144,8252; Value-17;0x43195820;1125734432;153,3442; Value-18;0x4348C4DC;1128842460;200,769; Value-19;0x42D6771E;1121351454;107,2327; Value-1A;0x43912697;1133586071;290,3015; Value-1B;0x43A629A6;1134963110;332,3254; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306323D;1124479549;134,1962; Value-1F;0x430DC561;1124975969;141,771; Value-20;0x430A83FF;1124762623;138,5156; Value-21;0x432FA028;1127194664;175,6256; Value-22;0x436D316F;1131229551;237,1931; Value-23;0x43A96A51;1135176273;338,8306; Value-24;0x42AEA79E;1118742430;87,32738; Value-25;0x43BE6E50;1136553552;380,8618; Value-26;0x44557F9A;1146453914;853,9938;
2023-10-18_11:19:54.71; Value-01;0x417022BE;1097867966;15,00848; Value-02;0xC11D4E94;-1055043948;-9,831684; Value-03;0x43053678;1124415096;133,2128; Value-04;0x4310DE49;1125178953;144,8683; Value-05;0x431950F1;1125732593;153,3162; Value-06;0x4348CEC0;1128844992;200,8076; Value-07;0x42D896AA;1121490602;108,2943; Value-08;0x4393A4F0;1133749488;295,2886; Value-09;0x43A467F5;1134847989;328,8122; Value-0A;0x430683B1;1124500401;134,5144; Value-0B;0x430DB73F;1124972351;141,7158; Value-0C;0x430A1FEF;1124737007;138,1247; Value-0D;0x432FC46C;1127203948;175,7673; Value-0E;0x436AACAD;1131064493;234,6745; Value-0F;0x43AD5F57;1135435607;346,7448; Value-10;0x00000000;0;0; Value-11;0x440C2976;1141647734;560,6478; Value-12;0x4438FE60;1144585824;739,9746; Value-13;0x41CADB87;1103813511;25,35719; Value-14;0xC13A8771;-1053128847;-11,65807; Value-15;0x4304FF27;1124400935;132,9967; Value-16;0x4310D341;1125176129;144,8252; Value-17;0x43195820;1125734432;153,3442; Value-18;0x4348C4DC;1128842460;200,769; Value-19;0x42D6771E;1121351454;107,2327; Value-1A;0x43912697;1133586071;290,3015; Value-1B;0x43A629A6;1134963110;332,3254; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306323D;1124479549;134,1962; Value-1F;0x430DC561;1124975969;141,771; Value-20;0x430A83FF;1124762623;138,5156; Value-21;0x432FA028;1127194664;175,6256; Value-22;0x436D316F;1131229551;237,1931; Value-23;0x43A96A51;1135176273;338,8306; Value-24;0x42AEA79E;1118742430;87,32738; Value-25;0x43BE6E50;1136553552;380,8618; Value-26;0x44557F9A;1146453914;853,9938;
2023-10-18_11:19:54.72; Value-01;0x417022BE;1097867966;15,00848; Value-02;0xC11D4E94;-1055043948;-9,831684; Value-03;0x43053678;1124415096;133,2128; Value-04;0x4310DE49;1125178953;144,8683; Value-05;0x431950F1;1125732593;153,3162; Value-06;0x4348CEC0;1128844992;200,8076; Value-07;0x42D896AA;1121490602;108,2943; Value-08;0x4393A4F0;1133749488;295,2886; Value-09;0x43A467F5;1134847989;328,8122; Value-0A;0x430683B1;1124500401;134,5144; Value-0B;0x430DB73F;1124972351;141,7158; Value-0C;0x430A1FEF;1124737007;138,1247; Value-0D;0x432FC46C;1127203948;175,7673; Value-0E;0x436AACAD;1131064493;234,6745; Value-0F;0x43AD5F57;1135435607;346,7448; Value-10;0x00000000;0;0; Value-11;0x440C2976;1141647734;560,6478; Value-12;0x4438FE60;1144585824;739,9746; Value-13;0x41CADB87;1103813511;25,35719; Value-14;0xC13A8771;-1053128847;-11,65807; Value-15;0x4304FF27;1124400935;132,9967; Value-16;0x4310D341;1125176129;144,8252; Value-17;0x43195820;1125734432;153,3442; Value-18;0x4348C4DC;1128842460;200,769; Value-19;0x42D6771E;1121351454;107,2327; Value-1A;0x43912697;1133586071;290,3015; Value-1B;0x43A629A6;1134963110;332,3254; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306323D;1124479549;134,1962; Value-1F;0x430DC561;1124975969;141,771; Value-20;0x430A83FF;1124762623;138,5156; Value-21;0x432FA028;1127194664;175,6256; Value-22;0x436D316F;1131229551;237,1931; Value-23;0x43A96A51;1135176273;338,8306; Value-24;0x42AEA79E;1118742430;87,32738; Value-25;0x43BE6E50;1136553552;380,8618; Value-26;0x44557F9A;1146453914;853,9938;
2023-10-18_11:19:54.72; Value-01;0x41230133;1092813107;10,18779; Value-02;0x40303ED3;1076903635;2,753834; Value-03;0x430509CF;1124403663;133,0383; Value-04;0x4310D521;1125176609;144,8325; Value-05;0x43194118;1125728536;153,2543; Value-06;0x43491360;1128862560;201,0757; Value-07;0x42DCD092;1121767570;110,4074; Value-08;0x43938190;1133740432;295,0122; Value-09;0x43A75B33;1135041331;334,7125; Value-0A;0x43067502;1124496642;134,4571; Value-0B;0x430DB82E;1124972590;141,7195; Value-0C;0x430AC992;1124780434;138,7874; Value-0D;0x432F8515;1127187733;175,5199; Value-0E;0x436CD679;1131206265;236,8378; Value-0F;0x43AC523E;1135366718;344,6425; Value-10;0x42BCBA35;1119664693;94,36369; Value-11;0x44152882;1142237314;596,6329; Value-12;0x444B8429;1145799721;814,065; Value-13;0x41B46518;1102341400;22,54936; Value-14;0x44A2D425;1151521829;1302,63; Value-15;0x430507C4;1124403140;133,0303; Value-16;0x4310E6F2;1125181170;144,9021; Value-17;0x431937F5;1125726197;153,2186; Value-18;0x43489FD5;1128832981;200,6243; Value-19;0x42DD196F;1121786223;110,5497; Value-1A;0x43936738;1133733688;294,8064; Value-1B;0x43A5A64B;1134929483;331,2992; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4306304C;1124479052;134,1887; Value-1F;0x430DD1B2;1124979122;141,8191; Value-20;0x430AC3E1;1124778977;138,7652; Value-21;0x432F92D0;1127191248;175,5735; Value-22;0x436DB6B4;1131263668;237,7137; Value-23;0x43ADC996;1135462806;347,5749; Value-24;0x429E3535;1117664565;79,10392; Value-25;0x440DE5AD;1141761453;567,5887; Value-26;0x44583244;1146630724;864,7854;
