Timestamp;Data
2023-10-18_17:05:06.58; Value-01;0x4235B4C8;1110815944;45,42654; Value-02;0x3F85B8D3;1065728211;1,044703; Value-03;0x3F2BA5A8;1059825064;0,6704965; Value-04;0x3D96BFCE;1033289678;0,07360803; Value-05;0x3E9D95E2;1050514914;0,3077841; Value-06;0xBF0C649F;-1089706849;-0,5484104; Value-07;0xBE140C55;-1105982379;-0,1445783; Value-08;0xC10A6C8A;-1056281462;-8,651499; Value-09;0xC0AF3041;-1062260671;-5,47464; Value-0A;0x42619E92;1113693842;56,40485; Value-0B;0x42EE5F5D;1122918237;119,1863; Value-0C;0x432D017A;1127022970;173,0058; Value-0D;0x43BA5B4C;1136286540;372,7133; Value-0E;0x44366CA5;1144417445;729,6976; Value-0F;0x44AB9669;1152095849;1372,7; Value-10;0x4520E27E;1159783038;2574,156; Value-11;0x458359A1;1166236065;4203,204; Value-12;0x4616625A;1175872090;9624,588; Value-13;0xBF690F20;-1083633888;-0,910387; Value-14;0xBF69EFA0;-1083576416;-0,9138126; Value-15;0x3F030DB1;1057164721;0,5119277; Value-16;0x3EFF60D4;1056923860;0,4987856; Value-17;0xBD33979B;-1120692325;-0,04384575; Value-18;0x3D55234B;1028989771;0,05203561; Value-19;0x3FEB3B51;1072380753;1,837748; Value-1A;0xC10471E9;-1056673303;-8,27781; Value-1B;0xC1CEBE23;-1043415517;-25,84284; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425CAD6C;1113369964;55,16936; Value-1F;0x42FBF232;1123807794;125,973; Value-20;0x43212741;1126246209;161,1533; Value-21;0x43D812C0;1138234048;432,1465; Value-22;0x443AE662;1144710754;747,5997; Value-23;0x44B97B39;1153006393;1483,851; Value-24;0x4543AA9B;1162062491;3130,663; Value-25;0x45A4D8C2;1168431298;5275,095; Value-26;0x461E1180;1176375680;10116,38;
2023-10-18_17:05:06.78; Value-01;0x4235B4C8;1110815944;45,42654; Value-02;0x3F85B8D3;1065728211;1,044703; Value-03;0x3F2BA5A8;1059825064;0,6704965; Value-04;0x3D96BFCE;1033289678;0,07360803; Value-05;0x3E9D95E2;1050514914;0,3077841; Value-06;0xBF0C649F;-1089706849;-0,5484104; Value-07;0xBE140C55;-1105982379;-0,1445783; Value-08;0xC10A6C8A;-1056281462;-8,651499; Value-09;0xC0AF3041;-1062260671;-5,47464; Value-0A;0x42619E92;1113693842;56,40485; Value-0B;0x42EE5F5D;1122918237;119,1863; Value-0C;0x432D017A;1127022970;173,0058; Value-0D;0x43BA5B4C;1136286540;372,7133; Value-0E;0x44366CA5;1144417445;729,6976; Value-0F;0x44AB9669;1152095849;1372,7; Value-10;0x4520E27E;1159783038;2574,156; Value-11;0x458359A1;1166236065;4203,204; Value-12;0x4616625A;1175872090;9624,588; Value-13;0xBF690F20;-1083633888;-0,910387; Value-14;0xBF69EFA0;-1083576416;-0,9138126; Value-15;0x3F030DB1;1057164721;0,5119277; Value-16;0x3EFF60D4;1056923860;0,4987856; Value-17;0xBD33979B;-1120692325;-0,04384575; Value-18;0x3D55234B;1028989771;0,05203561; Value-19;0x3FEB3B51;1072380753;1,837748; Value-1A;0xC10471E9;-1056673303;-8,27781; Value-1B;0xC1CEBE23;-1043415517;-25,84284; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425CAD6C;1113369964;55,16936; Value-1F;0x42FBF232;1123807794;125,973; Value-20;0x43212741;1126246209;161,1533; Value-21;0x43D812C0;1138234048;432,1465; Value-22;0x443AE662;1144710754;747,5997; Value-23;0x44B97B39;1153006393;1483,851; Value-24;0x4543AA9B;1162062491;3130,663; Value-25;0x45A4D8C2;1168431298;5275,095; Value-26;0x461E1180;1176375680;10116,38;
2023-10-18_17:05:06.78; Value-01;0x4235B4C8;1110815944;45,42654; Value-02;0x3F85B8D3;1065728211;1,044703; Value-03;0x3F2BA5A8;1059825064;0,6704965; Value-04;0x3D96BFCE;1033289678;0,07360803; Value-05;0x3E9D95E2;1050514914;0,3077841; Value-06;0xBF0C649F;-1089706849;-0,5484104; Value-07;0xBE140C55;-1105982379;-0,1445783; Value-08;0xC10A6C8A;-1056281462;-8,651499; Value-09;0xC0AF3041;-1062260671;-5,47464; Value-0A;0x42619E92;1113693842;56,40485; Value-0B;0x42EE5F5D;1122918237;119,1863; Value-0C;0x432D017A;1127022970;173,0058; Value-0D;0x43BA5B4C;1136286540;372,7133; Value-0E;0x44366CA5;1144417445;729,6976; Value-0F;0x44AB9669;1152095849;1372,7; Value-10;0x4520E27E;1159783038;2574,156; Value-11;0x458359A1;1166236065;4203,204; Value-12;0x4616625A;1175872090;9624,588; Value-13;0xBF690F20;-1083633888;-0,910387; Value-14;0xBF69EFA0;-1083576416;-0,9138126; Value-15;0x3F030DB1;1057164721;0,5119277; Value-16;0x3EFF60D4;1056923860;0,4987856; Value-17;0xBD33979B;-1120692325;-0,04384575; Value-18;0x3D55234B;1028989771;0,05203561; Value-19;0x3FEB3B51;1072380753;1,837748; Value-1A;0xC10471E9;-1056673303;-8,27781; Value-1B;0xC1CEBE23;-1043415517;-25,84284; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425CAD6C;1113369964;55,16936; Value-1F;0x42FBF232;1123807794;125,973; Value-20;0x43212741;1126246209;161,1533; Value-21;0x43D812C0;1138234048;432,1465; Value-22;0x443AE662;1144710754;747,5997; Value-23;0x44B97B39;1153006393;1483,851; Value-24;0x4543AA9B;1162062491;3130,663; Value-25;0x45A4D8C2;1168431298;5275,095; Value-26;0x461E1180;1176375680;10116,38;
2023-10-18_17:05:06.78; Value-01;0x4235B4C8;1110815944;45,42654; Value-02;0x3F85B8D3;1065728211;1,044703; Value-03;0x3F2BA5A8;1059825064;0,6704965; Value-04;0x3D96BFCE;1033289678;0,07360803; Value-05;0x3E9D95E2;1050514914;0,3077841; Value-06;0xBF0C649F;-1089706849;-0,5484104; Value-07;0xBE140C55;-1105982379;-0,1445783; Value-08;0xC10A6C8A;-1056281462;-8,651499; Value-09;0xC0AF3041;-1062260671;-5,47464; Value-0A;0x42619E92;1113693842;56,40485; Value-0B;0x42EE5F5D;1122918237;119,1863; Value-0C;0x432D017A;1127022970;173,0058; Value-0D;0x43BA5B4C;1136286540;372,7133; Value-0E;0x44366CA5;1144417445;729,6976; Value-0F;0x44AB9669;1152095849;1372,7; Value-10;0x4520E27E;1159783038;2574,156; Value-11;0x458359A1;1166236065;4203,204; Value-12;0x4616625A;1175872090;9624,588; Value-13;0xBF690F20;-1083633888;-0,910387; Value-14;0xBF69EFA0;-1083576416;-0,9138126; Value-15;0x3F030DB1;1057164721;0,5119277; Value-16;0x3EFF60D4;1056923860;0,4987856; Value-17;0xBD33979B;-1120692325;-0,04384575; Value-18;0x3D55234B;1028989771;0,05203561; Value-19;0x3FEB3B51;1072380753;1,837748; Value-1A;0xC10471E9;-1056673303;-8,27781; Value-1B;0xC1CEBE23;-1043415517;-25,84284; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425CAD6C;1113369964;55,16936; Value-1F;0x42FBF232;1123807794;125,973; Value-20;0x43212741;1126246209;161,1533; Value-21;0x43D812C0;1138234048;432,1465; Value-22;0x443AE662;1144710754;747,5997; Value-23;0x44B97B39;1153006393;1483,851; Value-24;0x4543AA9B;1162062491;3130,663; Value-25;0x45A4D8C2;1168431298;5275,095; Value-26;0x461E1180;1176375680;10116,38;
2023-10-18_17:05:06.87; Value-01;0xC0A0BA2A;-1063208406;-5,022725; Value-02;0x3BEAA3B4;1005233076;0,007160628; Value-03;0x3F6FA940;1064282432;0,9361763; Value-04;0x3EB13BFA;1051802618;0,3461607; Value-05;0x3EB3D521;1051972897;0,3512354; Value-06;0xBE33306E;-1103941522;-0,1749894; Value-07;0xBE1EECD7;-1105269545;-0,1552003; Value-08;0xC0EAFC3C;-1058341828;-7,34329; Value-09;0xC1F02A97;-1041225065;-30,0208; Value-0A;0x4261C3D9;1113703385;56,44126; Value-0B;0x42F96F2F;1123643183;124,7172; Value-0C;0x43243048;1126445128;164,1886; Value-0D;0x43CE005B;1137573979;412,0028; Value-0E;0x442E5062;1143885922;697,256; Value-0F;0x44AAFA2B;1152055851;1367,818; Value-10;0x451E3CD6;1159609558;2531,802; Value-11;0x458E1675;1166939765;4546,807; Value-12;0x4613B219;1175695897;9452,524; Value-13;0x40306FF4;1076916212;2,756833; Value-14;0xBFA3FEB1;-1079771471;-1,28121; Value-15;0x3F25175A;1059395418;0,6448876; Value-16;0x3B33DF0B;993255179;0,002744618; Value-17;0xBE970AF5;-1097397515;-0,2950055; Value-18;0xBEC86F14;-1094160620;-0,3914725; Value-19;0xBFB1E044;-1078861756;-1,389657; Value-1A;0xC129742D;-1054247891;-10,59086; Value-1B;0xC1DA0A3E;-1042675138;-27,255; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4265C68F;1113966223;57,4439; Value-1F;0x43001B4E;1124080462;128,1067; Value-20;0x432E7401;1127117825;174,4531; Value-21;0x43CD7743;1137538883;410,9317; Value-22;0x4438A50C;1144562956;738,5789; Value-23;0x44B88073;1152942195;1476,014; Value-24;0x455854CC;1163416780;3461,3; Value-25;0x4562B2C8;1164096200;3627,174; Value-26;0x46240349;1176765257;10496,82;
2023-10-18_17:05:06.87; Value-01;0xC0A0BA2A;-1063208406;-5,022725; Value-02;0x3BEAA3B4;1005233076;0,007160628; Value-03;0x3F6FA940;1064282432;0,9361763; Value-04;0x3EB13BFA;1051802618;0,3461607; Value-05;0x3EB3D521;1051972897;0,3512354; Value-06;0xBE33306E;-1103941522;-0,1749894; Value-07;0xBE1EECD7;-1105269545;-0,1552003; Value-08;0xC0EAFC3C;-1058341828;-7,34329; Value-09;0xC1F02A97;-1041225065;-30,0208; Value-0A;0x4261C3D9;1113703385;56,44126; Value-0B;0x42F96F2F;1123643183;124,7172; Value-0C;0x43243048;1126445128;164,1886; Value-0D;0x43CE005B;1137573979;412,0028; Value-0E;0x442E5062;1143885922;697,256; Value-0F;0x44AAFA2B;1152055851;1367,818; Value-10;0x451E3CD6;1159609558;2531,802; Value-11;0x458E1675;1166939765;4546,807; Value-12;0x4613B219;1175695897;9452,524; Value-13;0x40306FF4;1076916212;2,756833; Value-14;0xBFA3FEB1;-1079771471;-1,28121; Value-15;0x3F25175A;1059395418;0,6448876; Value-16;0x3B33DF0B;993255179;0,002744618; Value-17;0xBE970AF5;-1097397515;-0,2950055; Value-18;0xBEC86F14;-1094160620;-0,3914725; Value-19;0xBFB1E044;-1078861756;-1,389657; Value-1A;0xC129742D;-1054247891;-10,59086; Value-1B;0xC1DA0A3E;-1042675138;-27,255; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4265C68F;1113966223;57,4439; Value-1F;0x43001B4E;1124080462;128,1067; Value-20;0x432E7401;1127117825;174,4531; Value-21;0x43CD7743;1137538883;410,9317; Value-22;0x4438A50C;1144562956;738,5789; Value-23;0x44B88073;1152942195;1476,014; Value-24;0x455854CC;1163416780;3461,3; Value-25;0x4562B2C8;1164096200;3627,174; Value-26;0x46240349;1176765257;10496,82;
2023-10-18_17:05:07.07; Value-01;0xC0A0BA2A;-1063208406;-5,022725; Value-02;0x3BEAA3B4;1005233076;0,007160628; Value-03;0x3F6FA940;1064282432;0,9361763; Value-04;0x3EB13BFA;1051802618;0,3461607; Value-05;0x3EB3D521;1051972897;0,3512354; Value-06;0xBE33306E;-1103941522;-0,1749894; Value-07;0xBE1EECD7;-1105269545;-0,1552003; Value-08;0xC0EAFC3C;-1058341828;-7,34329; Value-09;0xC1F02A97;-1041225065;-30,0208; Value-0A;0x4261C3D9;1113703385;56,44126; Value-0B;0x42F96F2F;1123643183;124,7172; Value-0C;0x43243048;1126445128;164,1886; Value-0D;0x43CE005B;1137573979;412,0028; Value-0E;0x442E5062;1143885922;697,256; Value-0F;0x44AAFA2B;1152055851;1367,818; Value-10;0x451E3CD6;1159609558;2531,802; Value-11;0x458E1675;1166939765;4546,807; Value-12;0x4613B219;1175695897;9452,524; Value-13;0x40306FF4;1076916212;2,756833; Value-14;0xBFA3FEB1;-1079771471;-1,28121; Value-15;0x3F25175A;1059395418;0,6448876; Value-16;0x3B33DF0B;993255179;0,002744618; Value-17;0xBE970AF5;-1097397515;-0,2950055; Value-18;0xBEC86F14;-1094160620;-0,3914725; Value-19;0xBFB1E044;-1078861756;-1,389657; Value-1A;0xC129742D;-1054247891;-10,59086; Value-1B;0xC1DA0A3E;-1042675138;-27,255; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4265C68F;1113966223;57,4439; Value-1F;0x43001B4E;1124080462;128,1067; Value-20;0x432E7401;1127117825;174,4531; Value-21;0x43CD7743;1137538883;410,9317; Value-22;0x4438A50C;1144562956;738,5789; Value-23;0x44B88073;1152942195;1476,014; Value-24;0x455854CC;1163416780;3461,3; Value-25;0x4562B2C8;1164096200;3627,174; Value-26;0x46240349;1176765257;10496,82;
2023-10-18_17:05:07.08; Value-01;0xC0A0BA2A;-1063208406;-5,022725; Value-02;0x3BEAA3B4;1005233076;0,007160628; Value-03;0x3F6FA940;1064282432;0,9361763; Value-04;0x3EB13BFA;1051802618;0,3461607; Value-05;0x3EB3D521;1051972897;0,3512354; Value-06;0xBE33306E;-1103941522;-0,1749894; Value-07;0xBE1EECD7;-1105269545;-0,1552003; Value-08;0xC0EAFC3C;-1058341828;-7,34329; Value-09;0xC1F02A97;-1041225065;-30,0208; Value-0A;0x4261C3D9;1113703385;56,44126; Value-0B;0x42F96F2F;1123643183;124,7172; Value-0C;0x43243048;1126445128;164,1886; Value-0D;0x43CE005B;1137573979;412,0028; Value-0E;0x442E5062;1143885922;697,256; Value-0F;0x44AAFA2B;1152055851;1367,818; Value-10;0x451E3CD6;1159609558;2531,802; Value-11;0x458E1675;1166939765;4546,807; Value-12;0x4613B219;1175695897;9452,524; Value-13;0x40306FF4;1076916212;2,756833; Value-14;0xBFA3FEB1;-1079771471;-1,28121; Value-15;0x3F25175A;1059395418;0,6448876; Value-16;0x3B33DF0B;993255179;0,002744618; Value-17;0xBE970AF5;-1097397515;-0,2950055; Value-18;0xBEC86F14;-1094160620;-0,3914725; Value-19;0xBFB1E044;-1078861756;-1,389657; Value-1A;0xC129742D;-1054247891;-10,59086; Value-1B;0xC1DA0A3E;-1042675138;-27,255; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4265C68F;1113966223;57,4439; Value-1F;0x43001B4E;1124080462;128,1067; Value-20;0x432E7401;1127117825;174,4531; Value-21;0x43CD7743;1137538883;410,9317; Value-22;0x4438A50C;1144562956;738,5789; Value-23;0x44B88073;1152942195;1476,014; Value-24;0x455854CC;1163416780;3461,3; Value-25;0x4562B2C8;1164096200;3627,174; Value-26;0x46240349;1176765257;10496,82;
2023-10-18_17:05:07.08; Value-01;0xC0A0BA2A;-1063208406;-5,022725; Value-02;0x3BEAA3B4;1005233076;0,007160628; Value-03;0x3F6FA940;1064282432;0,9361763; Value-04;0x3EB13BFA;1051802618;0,3461607; Value-05;0x3EB3D521;1051972897;0,3512354; Value-06;0xBE33306E;-1103941522;-0,1749894; Value-07;0xBE1EECD7;-1105269545;-0,1552003; Value-08;0xC0EAFC3C;-1058341828;-7,34329; Value-09;0xC1F02A97;-1041225065;-30,0208; Value-0A;0x4261C3D9;1113703385;56,44126; Value-0B;0x42F96F2F;1123643183;124,7172; Value-0C;0x43243048;1126445128;164,1886; Value-0D;0x43CE005B;1137573979;412,0028; Value-0E;0x442E5062;1143885922;697,256; Value-0F;0x44AAFA2B;1152055851;1367,818; Value-10;0x451E3CD6;1159609558;2531,802; Value-11;0x458E1675;1166939765;4546,807; Value-12;0x4613B219;1175695897;9452,524; Value-13;0x40306FF4;1076916212;2,756833; Value-14;0xBFA3FEB1;-1079771471;-1,28121; Value-15;0x3F25175A;1059395418;0,6448876; Value-16;0x3B33DF0B;993255179;0,002744618; Value-17;0xBE970AF5;-1097397515;-0,2950055; Value-18;0xBEC86F14;-1094160620;-0,3914725; Value-19;0xBFB1E044;-1078861756;-1,389657; Value-1A;0xC129742D;-1054247891;-10,59086; Value-1B;0xC1DA0A3E;-1042675138;-27,255; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4265C68F;1113966223;57,4439; Value-1F;0x43001B4E;1124080462;128,1067; Value-20;0x432E7401;1127117825;174,4531; Value-21;0x43CD7743;1137538883;410,9317; Value-22;0x4438A50C;1144562956;738,5789; Value-23;0x44B88073;1152942195;1476,014; Value-24;0x455854CC;1163416780;3461,3; Value-25;0x4562B2C8;1164096200;3627,174; Value-26;0x46240349;1176765257;10496,82;
2023-10-18_17:05:07.17; Value-01;0xC171692D;-1049532115;-15,08818; Value-02;0x3F2FBF5E;1060093790;0,6865138; Value-03;0x3F137F0E;1058242318;0,5761575; Value-04;0x3CD594B6;1020630198;0,02607189; Value-05;0x3E0D0935;1041041717;0,1377304; Value-06;0xBED80608;-1093138936;-0,421921; Value-07;0xBFA5FCD5;-1079640875;-1,296778; Value-08;0xC112155F;-1055779489;-9,130218; Value-09;0xC23FF6A2;-1035995486;-47,99085; Value-0A;0x42671D86;1114054022;57,77883; Value-0B;0x42E211B3;1122111923;113,0346; Value-0C;0x43269182;1126601090;166,5684; Value-0D;0x43C25337;1136808759;388,6501; Value-0E;0x4437DFC0;1144512448;735,4961; Value-0F;0x44B862F5;1152934645;1475,092; Value-10;0x4539366C;1161377388;2963,401; Value-11;0x458A2CDF;1166683359;4421,609; Value-12;0x462FF9D2;1177549266;11262,46; Value-13;0x3E83BDAA;1048821162;0,2573064; Value-14;0x3FCAAED7;1070247639;1,583461; Value-15;0x3ED02411;1053828113;0,4065252; Value-16;0xBE13FBD4;-1105986604;-0,1445153; Value-17;0xBE8AA993;-1098208877;-0,270825; Value-18;0xBEDBB36F;-1092897937;-0,4291033; Value-19;0xBE1237DC;-1106102308;-0,1427912; Value-1A;0xC103341F;-1056754657;-8,200225; Value-1B;0xC2156476;-1038785418;-37,34811; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4268BC3C;1114160188;58,18382; Value-1F;0x42D6D94A;1121376586;107,4244; Value-20;0x433294E3;1127388387;178,5816; Value-21;0x43C578FA;1137015034;394,9451; Value-22;0x4445FF13;1145437971;791,9855; Value-23;0x44B9F7E7;1153038311;1487,747; Value-24;0x454B75BA;1162573242;3255,358; Value-25;0x4589E3A2;1166664610;4412,454; Value-26;0x462C3C7D;1177304189;11023,12;
2023-10-18_17:05:07.17; Value-01;0xC171692D;-1049532115;-15,08818; Value-02;0x3F2FBF5E;1060093790;0,6865138; Value-03;0x3F137F0E;1058242318;0,5761575; Value-04;0x3CD594B6;1020630198;0,02607189; Value-05;0x3E0D0935;1041041717;0,1377304; Value-06;0xBED80608;-1093138936;-0,421921; Value-07;0xBFA5FCD5;-1079640875;-1,296778; Value-08;0xC112155F;-1055779489;-9,130218; Value-09;0xC23FF6A2;-1035995486;-47,99085; Value-0A;0x42671D86;1114054022;57,77883; Value-0B;0x42E211B3;1122111923;113,0346; Value-0C;0x43269182;1126601090;166,5684; Value-0D;0x43C25337;1136808759;388,6501; Value-0E;0x4437DFC0;1144512448;735,4961; Value-0F;0x44B862F5;1152934645;1475,092; Value-10;0x4539366C;1161377388;2963,401; Value-11;0x458A2CDF;1166683359;4421,609; Value-12;0x462FF9D2;1177549266;11262,46; Value-13;0x3E83BDAA;1048821162;0,2573064; Value-14;0x3FCAAED7;1070247639;1,583461; Value-15;0x3ED02411;1053828113;0,4065252; Value-16;0xBE13FBD4;-1105986604;-0,1445153; Value-17;0xBE8AA993;-1098208877;-0,270825; Value-18;0xBEDBB36F;-1092897937;-0,4291033; Value-19;0xBE1237DC;-1106102308;-0,1427912; Value-1A;0xC103341F;-1056754657;-8,200225; Value-1B;0xC2156476;-1038785418;-37,34811; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4268BC3C;1114160188;58,18382; Value-1F;0x42D6D94A;1121376586;107,4244; Value-20;0x433294E3;1127388387;178,5816; Value-21;0x43C578FA;1137015034;394,9451; Value-22;0x4445FF13;1145437971;791,9855; Value-23;0x44B9F7E7;1153038311;1487,747; Value-24;0x454B75BA;1162573242;3255,358; Value-25;0x4589E3A2;1166664610;4412,454; Value-26;0x462C3C7D;1177304189;11023,12;
