Timestamp;Data
2023-10-19_10:17:02.34; Value-01;0x3EDDE3F2;1054729202;0,4333797; Value-02;0x42D8CB19;1121504025;108,3967; Value-03;0x40C67C8B;1086749835;6,202703; Value-04;0x419AAB05;1100655365;19,33351; Value-05;0x423FCA81;1111476865;47,94776; Value-06;0x429D85A0;1117619616;78,76099; Value-07;0x42B197B8;1118934968;88,79633; Value-08;0x42B973A6;1119450022;92,72588; Value-09;0x42BE6249;1119773257;95,19196; Value-0A;0x426DFC05;1114504197;59,49611; Value-0B;0x4295777F;1117091711;74,73339; Value-0C;0x42BE5B5A;1119771482;95,17842; Value-0D;0x42C87BD5;1120435157;100,2419; Value-0E;0x42CC4FFF;1120686079;102,1562; Value-0F;0x42CD2E85;1120743045;102,5909; Value-10;0x42CB90AF;1120637103;101,7826; Value-11;0x42CF7D8C;1120894348;103,7452; Value-12;0x42D81D4C;1121459532;108,0572; Value-13;0xBE33DE0E;-1103897074;-0,1756518; Value-14;0xC009B383;-1073106045;-2,151582; Value-15;0x40C3D285;1086575237;6,119448; Value-16;0x419A2C43;1100622915;19,27161; Value-17;0x42431C15;1111694357;48,77742; Value-18;0x42A01360;1117786976;80,03784; Value-19;0x42B3CF1F;1119080223;89,90453; Value-1A;0x42BB4EB2;1119571634;93,6537; Value-1B;0x42C122B1;1119953585;96,56776; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42732133;1114841395;60,78242; Value-1F;0x4297C2C8;1117242056;75,88043; Value-20;0x42C2677A;1120036730;97,2021; Value-21;0x42CC1A07;1120672263;102,0508; Value-22;0x42CF85FD;1120896509;103,7617; Value-23;0x42D032E5;1120940773;104,0994; Value-24;0x42CE830D;1120830221;103,256; Value-25;0x42D2A3AA;1121100714;105,3197; Value-26;0x42DB372B;1121662763;109,6077;
2023-10-19_10:17:02.55; Value-01;0x3EDDE3F2;1054729202;0,4333797; Value-02;0x42D8CB19;1121504025;108,3967; Value-03;0x40C67C8B;1086749835;6,202703; Value-04;0x419AAB05;1100655365;19,33351; Value-05;0x423FCA81;1111476865;47,94776; Value-06;0x429D85A0;1117619616;78,76099; Value-07;0x42B197B8;1118934968;88,79633; Value-08;0x42B973A6;1119450022;92,72588; Value-09;0x42BE6249;1119773257;95,19196; Value-0A;0x426DFC05;1114504197;59,49611; Value-0B;0x4295777F;1117091711;74,73339; Value-0C;0x42BE5B5A;1119771482;95,17842; Value-0D;0x42C87BD5;1120435157;100,2419; Value-0E;0x42CC4FFF;1120686079;102,1562; Value-0F;0x42CD2E85;1120743045;102,5909; Value-10;0x42CB90AF;1120637103;101,7826; Value-11;0x42CF7D8C;1120894348;103,7452; Value-12;0x42D81D4C;1121459532;108,0572; Value-13;0xBE33DE0E;-1103897074;-0,1756518; Value-14;0xC009B383;-1073106045;-2,151582; Value-15;0x40C3D285;1086575237;6,119448; Value-16;0x419A2C43;1100622915;19,27161; Value-17;0x42431C15;1111694357;48,77742; Value-18;0x42A01360;1117786976;80,03784; Value-19;0x42B3CF1F;1119080223;89,90453; Value-1A;0x42BB4EB2;1119571634;93,6537; Value-1B;0x42C122B1;1119953585;96,56776; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42732133;1114841395;60,78242; Value-1F;0x4297C2C8;1117242056;75,88043; Value-20;0x42C2677A;1120036730;97,2021; Value-21;0x42CC1A07;1120672263;102,0508; Value-22;0x42CF85FD;1120896509;103,7617; Value-23;0x42D032E5;1120940773;104,0994; Value-24;0x42CE830D;1120830221;103,256; Value-25;0x42D2A3AA;1121100714;105,3197; Value-26;0x42DB372B;1121662763;109,6077;
2023-10-19_10:17:02.55; Value-01;0x3EDDE3F2;1054729202;0,4333797; Value-02;0x42D8CB19;1121504025;108,3967; Value-03;0x40C67C8B;1086749835;6,202703; Value-04;0x419AAB05;1100655365;19,33351; Value-05;0x423FCA81;1111476865;47,94776; Value-06;0x429D85A0;1117619616;78,76099; Value-07;0x42B197B8;1118934968;88,79633; Value-08;0x42B973A6;1119450022;92,72588; Value-09;0x42BE6249;1119773257;95,19196; Value-0A;0x426DFC05;1114504197;59,49611; Value-0B;0x4295777F;1117091711;74,73339; Value-0C;0x42BE5B5A;1119771482;95,17842; Value-0D;0x42C87BD5;1120435157;100,2419; Value-0E;0x42CC4FFF;1120686079;102,1562; Value-0F;0x42CD2E85;1120743045;102,5909; Value-10;0x42CB90AF;1120637103;101,7826; Value-11;0x42CF7D8C;1120894348;103,7452; Value-12;0x42D81D4C;1121459532;108,0572; Value-13;0xBE33DE0E;-1103897074;-0,1756518; Value-14;0xC009B383;-1073106045;-2,151582; Value-15;0x40C3D285;1086575237;6,119448; Value-16;0x419A2C43;1100622915;19,27161; Value-17;0x42431C15;1111694357;48,77742; Value-18;0x42A01360;1117786976;80,03784; Value-19;0x42B3CF1F;1119080223;89,90453; Value-1A;0x42BB4EB2;1119571634;93,6537; Value-1B;0x42C122B1;1119953585;96,56776; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42732133;1114841395;60,78242; Value-1F;0x4297C2C8;1117242056;75,88043; Value-20;0x42C2677A;1120036730;97,2021; Value-21;0x42CC1A07;1120672263;102,0508; Value-22;0x42CF85FD;1120896509;103,7617; Value-23;0x42D032E5;1120940773;104,0994; Value-24;0x42CE830D;1120830221;103,256; Value-25;0x42D2A3AA;1121100714;105,3197; Value-26;0x42DB372B;1121662763;109,6077;
2023-10-19_10:17:02.55; Value-01;0x3EDDE3F2;1054729202;0,4333797; Value-02;0x42D8CB19;1121504025;108,3967; Value-03;0x40C67C8B;1086749835;6,202703; Value-04;0x419AAB05;1100655365;19,33351; Value-05;0x423FCA81;1111476865;47,94776; Value-06;0x429D85A0;1117619616;78,76099; Value-07;0x42B197B8;1118934968;88,79633; Value-08;0x42B973A6;1119450022;92,72588; Value-09;0x42BE6249;1119773257;95,19196; Value-0A;0x426DFC05;1114504197;59,49611; Value-0B;0x4295777F;1117091711;74,73339; Value-0C;0x42BE5B5A;1119771482;95,17842; Value-0D;0x42C87BD5;1120435157;100,2419; Value-0E;0x42CC4FFF;1120686079;102,1562; Value-0F;0x42CD2E85;1120743045;102,5909; Value-10;0x42CB90AF;1120637103;101,7826; Value-11;0x42CF7D8C;1120894348;103,7452; Value-12;0x42D81D4C;1121459532;108,0572; Value-13;0xBE33DE0E;-1103897074;-0,1756518; Value-14;0xC009B383;-1073106045;-2,151582; Value-15;0x40C3D285;1086575237;6,119448; Value-16;0x419A2C43;1100622915;19,27161; Value-17;0x42431C15;1111694357;48,77742; Value-18;0x42A01360;1117786976;80,03784; Value-19;0x42B3CF1F;1119080223;89,90453; Value-1A;0x42BB4EB2;1119571634;93,6537; Value-1B;0x42C122B1;1119953585;96,56776; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42732133;1114841395;60,78242; Value-1F;0x4297C2C8;1117242056;75,88043; Value-20;0x42C2677A;1120036730;97,2021; Value-21;0x42CC1A07;1120672263;102,0508; Value-22;0x42CF85FD;1120896509;103,7617; Value-23;0x42D032E5;1120940773;104,0994; Value-24;0x42CE830D;1120830221;103,256; Value-25;0x42D2A3AA;1121100714;105,3197; Value-26;0x42DB372B;1121662763;109,6077;
2023-10-19_10:17:02.55; Value-01;0x3EDDE3F2;1054729202;0,4333797; Value-02;0x42D8CB19;1121504025;108,3967; Value-03;0x40C67C8B;1086749835;6,202703; Value-04;0x419AAB05;1100655365;19,33351; Value-05;0x423FCA81;1111476865;47,94776; Value-06;0x429D85A0;1117619616;78,76099; Value-07;0x42B197B8;1118934968;88,79633; Value-08;0x42B973A6;1119450022;92,72588; Value-09;0x42BE6249;1119773257;95,19196; Value-0A;0x426DFC05;1114504197;59,49611; Value-0B;0x4295777F;1117091711;74,73339; Value-0C;0x42BE5B5A;1119771482;95,17842; Value-0D;0x42C87BD5;1120435157;100,2419; Value-0E;0x42CC4FFF;1120686079;102,1562; Value-0F;0x42CD2E85;1120743045;102,5909; Value-10;0x42CB90AF;1120637103;101,7826; Value-11;0x42CF7D8C;1120894348;103,7452; Value-12;0x42D81D4C;1121459532;108,0572; Value-13;0xBE33DE0E;-1103897074;-0,1756518; Value-14;0xC009B383;-1073106045;-2,151582; Value-15;0x40C3D285;1086575237;6,119448; Value-16;0x419A2C43;1100622915;19,27161; Value-17;0x42431C15;1111694357;48,77742; Value-18;0x42A01360;1117786976;80,03784; Value-19;0x42B3CF1F;1119080223;89,90453; Value-1A;0x42BB4EB2;1119571634;93,6537; Value-1B;0x42C122B1;1119953585;96,56776; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42732133;1114841395;60,78242; Value-1F;0x4297C2C8;1117242056;75,88043; Value-20;0x42C2677A;1120036730;97,2021; Value-21;0x42CC1A07;1120672263;102,0508; Value-22;0x42CF85FD;1120896509;103,7617; Value-23;0x42D032E5;1120940773;104,0994; Value-24;0x42CE830D;1120830221;103,256; Value-25;0x42D2A3AA;1121100714;105,3197; Value-26;0x42DB372B;1121662763;109,6077;
2023-10-19_10:17:02.64; Value-01;0x3E418DD5;1044483541;0,1890176; Value-02;0x3FA6D093;1067896979;1,30324; Value-03;0x40C53898;1086666904;6,163158; Value-04;0x4198E2FB;1100538619;19,11083; Value-05;0x423F0025;1111425061;47,75014; Value-06;0x429DE05F;1117642847;78,93822; Value-07;0x42B1A373;1118937971;88,81924; Value-08;0x42B921CB;1119429067;92,566; Value-09;0x42BE64CD;1119773901;95,19688; Value-0A;0x426EA909;1114548489;59,66507; Value-0B;0x4294512B;1117016363;74,15853; Value-0C;0x42BF8D2A;1119849770;95,77571; Value-0D;0x42C9660D;1120495117;100,6993; Value-0E;0x42CC918F;1120702863;102,2843; Value-0F;0x42CD2B6A;1120742250;102,5848; Value-10;0x42CBDF53;1120657235;101,9362; Value-11;0x42CFF673;1120925299;103,9813; Value-12;0x42D8449D;1121469597;108,134; Value-13;0x3E270BE5;1042746341;0,1631313; Value-14;0xBFE3436F;-1075625105;-1,775495; Value-15;0x40C0599C;1086347676;6,010939; Value-16;0x419A0FB6;1100615606;19,25767; Value-17;0x42463B8D;1111899021;49,55816; Value-18;0x429FEF64;1117777764;79,96756; Value-19;0x42B43574;1119106420;90,1044; Value-1A;0x42BAC73E;1119536958;93,38914; Value-1B;0x42C133F7;1119958007;96,60149; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426F2BDD;1114581981;59,79284; Value-1F;0x429786D4;1117226708;75,76334; Value-20;0x42C236D1;1120024273;97,10706; Value-21;0x42CC1474;1120670836;102,0399; Value-22;0x42CF7B52;1120893778;103,7409; Value-23;0x42D03B60;1120942944;104,116; Value-24;0x42CE9BE1;1120836577;103,3045; Value-25;0x42D2BC9E;1121107102;105,3684; Value-26;0x42DB0EBE;1121652414;109,5288;
2023-10-19_10:17:02.84; Value-01;0x3E418DD5;1044483541;0,1890176; Value-02;0x3FA6D093;1067896979;1,30324; Value-03;0x40C53898;1086666904;6,163158; Value-04;0x4198E2FB;1100538619;19,11083; Value-05;0x423F0025;1111425061;47,75014; Value-06;0x429DE05F;1117642847;78,93822; Value-07;0x42B1A373;1118937971;88,81924; Value-08;0x42B921CB;1119429067;92,566; Value-09;0x42BE64CD;1119773901;95,19688; Value-0A;0x426EA909;1114548489;59,66507; Value-0B;0x4294512B;1117016363;74,15853; Value-0C;0x42BF8D2A;1119849770;95,77571; Value-0D;0x42C9660D;1120495117;100,6993; Value-0E;0x42CC918F;1120702863;102,2843; Value-0F;0x42CD2B6A;1120742250;102,5848; Value-10;0x42CBDF53;1120657235;101,9362; Value-11;0x42CFF673;1120925299;103,9813; Value-12;0x42D8449D;1121469597;108,134; Value-13;0x3E270BE5;1042746341;0,1631313; Value-14;0xBFE3436F;-1075625105;-1,775495; Value-15;0x40C0599C;1086347676;6,010939; Value-16;0x419A0FB6;1100615606;19,25767; Value-17;0x42463B8D;1111899021;49,55816; Value-18;0x429FEF64;1117777764;79,96756; Value-19;0x42B43574;1119106420;90,1044; Value-1A;0x42BAC73E;1119536958;93,38914; Value-1B;0x42C133F7;1119958007;96,60149; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426F2BDD;1114581981;59,79284; Value-1F;0x429786D4;1117226708;75,76334; Value-20;0x42C236D1;1120024273;97,10706; Value-21;0x42CC1474;1120670836;102,0399; Value-22;0x42CF7B52;1120893778;103,7409; Value-23;0x42D03B60;1120942944;104,116; Value-24;0x42CE9BE1;1120836577;103,3045; Value-25;0x42D2BC9E;1121107102;105,3684; Value-26;0x42DB0EBE;1121652414;109,5288;
2023-10-19_10:17:02.84; Value-01;0x3E418DD5;1044483541;0,1890176; Value-02;0x3FA6D093;1067896979;1,30324; Value-03;0x40C53898;1086666904;6,163158; Value-04;0x4198E2FB;1100538619;19,11083; Value-05;0x423F0025;1111425061;47,75014; Value-06;0x429DE05F;1117642847;78,93822; Value-07;0x42B1A373;1118937971;88,81924; Value-08;0x42B921CB;1119429067;92,566; Value-09;0x42BE64CD;1119773901;95,19688; Value-0A;0x426EA909;1114548489;59,66507; Value-0B;0x4294512B;1117016363;74,15853; Value-0C;0x42BF8D2A;1119849770;95,77571; Value-0D;0x42C9660D;1120495117;100,6993; Value-0E;0x42CC918F;1120702863;102,2843; Value-0F;0x42CD2B6A;1120742250;102,5848; Value-10;0x42CBDF53;1120657235;101,9362; Value-11;0x42CFF673;1120925299;103,9813; Value-12;0x42D8449D;1121469597;108,134; Value-13;0x3E270BE5;1042746341;0,1631313; Value-14;0xBFE3436F;-1075625105;-1,775495; Value-15;0x40C0599C;1086347676;6,010939; Value-16;0x419A0FB6;1100615606;19,25767; Value-17;0x42463B8D;1111899021;49,55816; Value-18;0x429FEF64;1117777764;79,96756; Value-19;0x42B43574;1119106420;90,1044; Value-1A;0x42BAC73E;1119536958;93,38914; Value-1B;0x42C133F7;1119958007;96,60149; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426F2BDD;1114581981;59,79284; Value-1F;0x429786D4;1117226708;75,76334; Value-20;0x42C236D1;1120024273;97,10706; Value-21;0x42CC1474;1120670836;102,0399; Value-22;0x42CF7B52;1120893778;103,7409; Value-23;0x42D03B60;1120942944;104,116; Value-24;0x42CE9BE1;1120836577;103,3045; Value-25;0x42D2BC9E;1121107102;105,3684; Value-26;0x42DB0EBE;1121652414;109,5288;
2023-10-19_10:17:02.84; Value-01;0x3E418DD5;1044483541;0,1890176; Value-02;0x3FA6D093;1067896979;1,30324; Value-03;0x40C53898;1086666904;6,163158; Value-04;0x4198E2FB;1100538619;19,11083; Value-05;0x423F0025;1111425061;47,75014; Value-06;0x429DE05F;1117642847;78,93822; Value-07;0x42B1A373;1118937971;88,81924; Value-08;0x42B921CB;1119429067;92,566; Value-09;0x42BE64CD;1119773901;95,19688; Value-0A;0x426EA909;1114548489;59,66507; Value-0B;0x4294512B;1117016363;74,15853; Value-0C;0x42BF8D2A;1119849770;95,77571; Value-0D;0x42C9660D;1120495117;100,6993; Value-0E;0x42CC918F;1120702863;102,2843; Value-0F;0x42CD2B6A;1120742250;102,5848; Value-10;0x42CBDF53;1120657235;101,9362; Value-11;0x42CFF673;1120925299;103,9813; Value-12;0x42D8449D;1121469597;108,134; Value-13;0x3E270BE5;1042746341;0,1631313; Value-14;0xBFE3436F;-1075625105;-1,775495; Value-15;0x40C0599C;1086347676;6,010939; Value-16;0x419A0FB6;1100615606;19,25767; Value-17;0x42463B8D;1111899021;49,55816; Value-18;0x429FEF64;1117777764;79,96756; Value-19;0x42B43574;1119106420;90,1044; Value-1A;0x42BAC73E;1119536958;93,38914; Value-1B;0x42C133F7;1119958007;96,60149; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426F2BDD;1114581981;59,79284; Value-1F;0x429786D4;1117226708;75,76334; Value-20;0x42C236D1;1120024273;97,10706; Value-21;0x42CC1474;1120670836;102,0399; Value-22;0x42CF7B52;1120893778;103,7409; Value-23;0x42D03B60;1120942944;104,116; Value-24;0x42CE9BE1;1120836577;103,3045; Value-25;0x42D2BC9E;1121107102;105,3684; Value-26;0x42DB0EBE;1121652414;109,5288;
2023-10-19_10:17:02.84; Value-01;0x3E418DD5;1044483541;0,1890176; Value-02;0x3FA6D093;1067896979;1,30324; Value-03;0x40C53898;1086666904;6,163158; Value-04;0x4198E2FB;1100538619;19,11083; Value-05;0x423F0025;1111425061;47,75014; Value-06;0x429DE05F;1117642847;78,93822; Value-07;0x42B1A373;1118937971;88,81924; Value-08;0x42B921CB;1119429067;92,566; Value-09;0x42BE64CD;1119773901;95,19688; Value-0A;0x426EA909;1114548489;59,66507; Value-0B;0x4294512B;1117016363;74,15853; Value-0C;0x42BF8D2A;1119849770;95,77571; Value-0D;0x42C9660D;1120495117;100,6993; Value-0E;0x42CC918F;1120702863;102,2843; Value-0F;0x42CD2B6A;1120742250;102,5848; Value-10;0x42CBDF53;1120657235;101,9362; Value-11;0x42CFF673;1120925299;103,9813; Value-12;0x42D8449D;1121469597;108,134; Value-13;0x3E270BE5;1042746341;0,1631313; Value-14;0xBFE3436F;-1075625105;-1,775495; Value-15;0x40C0599C;1086347676;6,010939; Value-16;0x419A0FB6;1100615606;19,25767; Value-17;0x42463B8D;1111899021;49,55816; Value-18;0x429FEF64;1117777764;79,96756; Value-19;0x42B43574;1119106420;90,1044; Value-1A;0x42BAC73E;1119536958;93,38914; Value-1B;0x42C133F7;1119958007;96,60149; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x426F2BDD;1114581981;59,79284; Value-1F;0x429786D4;1117226708;75,76334; Value-20;0x42C236D1;1120024273;97,10706; Value-21;0x42CC1474;1120670836;102,0399; Value-22;0x42CF7B52;1120893778;103,7409; Value-23;0x42D03B60;1120942944;104,116; Value-24;0x42CE9BE1;1120836577;103,3045; Value-25;0x42D2BC9E;1121107102;105,3684; Value-26;0x42DB0EBE;1121652414;109,5288;
2023-10-19_10:17:02.92; Value-01;0x3EA52789;1051010953;0,3225673; Value-02;0x40010B3E;1073810238;2,016311; Value-03;0x40C63C11;1086733329;6,194832; Value-04;0x419B926C;1100714604;19,4465; Value-05;0x4241BB9F;1111604127;48,43322; Value-06;0x429E81F6;1117684214;79,25383; Value-07;0x42B16E9F;1118924447;88,71606; Value-08;0x42B99F42;1119461186;92,81105; Value-09;0x42BE5EF8;1119772408;95,18549; Value-0A;0x426F0438;1114571832;59,75412; Value-0B;0x4295C02E;1117110318;74,87535; Value-0C;0x42BF69AB;1119840683;95,70638; Value-0D;0x42C9A8C7;1120512199;100,8296; Value-0E;0x42CC48E5;1120684261;102,1424; Value-0F;0x42CD2772;1120741234;102,577; Value-10;0x42CBBA96;1120647830;101,8644; Value-11;0x42CFC7DE;1120913374;103,8904; Value-12;0x42D83112;1121464594;108,0958; Value-13;0x3E8D7EF8;1049460472;0,2763593; Value-14;0x408C5BDE;1082940382;4,386214; Value-15;0x40C095B3;1086363059;6,018274; Value-16;0x419E136C;1100878700;19,75948; Value-17;0x4242BF37;1111670583;48,68673; Value-18;0x42A0114F;1117786447;80,03381; Value-19;0x42B3C16D;1119076717;89,87778; Value-1A;0x42BC250C;1119626508;94,07236; Value-1B;0x42C12E31;1119956529;96,59022; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4272A20A;1114808842;60,65824; Value-1F;0x4298020A;1117258250;76,00398; Value-20;0x42C1DC52;1120001106;96,93031; Value-21;0x42CC36EE;1120679662;102,1073; Value-22;0x42CF9D2F;1120902447;103,807; Value-23;0x42D00C5F;1120930911;104,0242; Value-24;0x42CEDFEB;1120853995;103,4373; Value-25;0x42D25AB4;1121082036;105,1772; Value-26;0x42DB400D;1121665037;109,6251;
