Timestamp;Data
2023-10-18_16:39:41.55; Value-01;0xC09F27FE;-1063311362;-4,973632; Value-02;0x418A105F;1099567199;17,25799; Value-03;0x42DE3500;1121858816;111,1035; Value-04;0x42DC875A;1121748826;110,2644; Value-05;0x42DB6961;1121675617;109,7058; Value-06;0x42DA008E;1121583246;109,0011; Value-07;0x42D87AE4;1121483492;108,24; Value-08;0x42CF3185;1120874885;103,5967; Value-09;0x42BD1BE6;1119689702;94,55449; Value-0A;0x42E0F558;1122039128;112,4792; Value-0B;0x42D45936;1121212726;106,1742; Value-0C;0x42D4FBC2;1121254338;106,4917; Value-0D;0x42D82D48;1121463624;108,0884; Value-0E;0x42E11E05;1122049541;112,5586; Value-0F;0x43095848;1124685896;137,3448; Value-10;0x430C9B2E;1124899630;140,6062; Value-11;0x43AC6624;1135371812;344,798; Value-12;0x44042AE0;1141123808;528,6699; Value-13;0xC090D024;-1064251356;-4,525408; Value-14;0x42BEB8B0;1119795376;95,36072; Value-15;0x42DEBB69;1121893225;111,366; Value-16;0x42DD60ED;1121804525;110,6893; Value-17;0x42DCBD01;1121762561;110,3691; Value-18;0x42D9A28D;1121559181;108,8175; Value-19;0x42DCB2B5;1121759925;110,349; Value-1A;0x42D24F82;1121079170;105,1553; Value-1B;0x42C741CC;1120354764;99,62851; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E222DB;1122116315;113,0681; Value-1F;0x42D5AC92;1121299602;106,8371; Value-20;0x42D66001;1121345537;107,1875; Value-21;0x42D87E13;1121484307;108,2462; Value-22;0x42E15FD6;1122066390;112,6872; Value-23;0x42F8025C;1123549788;124,0046; Value-24;0x43161D17;1125522711;150,1136; Value-25;0x43A06E3D;1134587453;320,8612; Value-26;0x43FDE1EC;1140711916;507,765;
2023-10-18_16:39:41.75; Value-01;0xC09F27FE;-1063311362;-4,973632; Value-02;0x418A105F;1099567199;17,25799; Value-03;0x42DE3500;1121858816;111,1035; Value-04;0x42DC875A;1121748826;110,2644; Value-05;0x42DB6961;1121675617;109,7058; Value-06;0x42DA008E;1121583246;109,0011; Value-07;0x42D87AE4;1121483492;108,24; Value-08;0x42CF3185;1120874885;103,5967; Value-09;0x42BD1BE6;1119689702;94,55449; Value-0A;0x42E0F558;1122039128;112,4792; Value-0B;0x42D45936;1121212726;106,1742; Value-0C;0x42D4FBC2;1121254338;106,4917; Value-0D;0x42D82D48;1121463624;108,0884; Value-0E;0x42E11E05;1122049541;112,5586; Value-0F;0x43095848;1124685896;137,3448; Value-10;0x430C9B2E;1124899630;140,6062; Value-11;0x43AC6624;1135371812;344,798; Value-12;0x44042AE0;1141123808;528,6699; Value-13;0xC090D024;-1064251356;-4,525408; Value-14;0x42BEB8B0;1119795376;95,36072; Value-15;0x42DEBB69;1121893225;111,366; Value-16;0x42DD60ED;1121804525;110,6893; Value-17;0x42DCBD01;1121762561;110,3691; Value-18;0x42D9A28D;1121559181;108,8175; Value-19;0x42DCB2B5;1121759925;110,349; Value-1A;0x42D24F82;1121079170;105,1553; Value-1B;0x42C741CC;1120354764;99,62851; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E222DB;1122116315;113,0681; Value-1F;0x42D5AC92;1121299602;106,8371; Value-20;0x42D66001;1121345537;107,1875; Value-21;0x42D87E13;1121484307;108,2462; Value-22;0x42E15FD6;1122066390;112,6872; Value-23;0x42F8025C;1123549788;124,0046; Value-24;0x43161D17;1125522711;150,1136; Value-25;0x43A06E3D;1134587453;320,8612; Value-26;0x43FDE1EC;1140711916;507,765;
2023-10-18_16:39:41.75; Value-01;0xC09F27FE;-1063311362;-4,973632; Value-02;0x418A105F;1099567199;17,25799; Value-03;0x42DE3500;1121858816;111,1035; Value-04;0x42DC875A;1121748826;110,2644; Value-05;0x42DB6961;1121675617;109,7058; Value-06;0x42DA008E;1121583246;109,0011; Value-07;0x42D87AE4;1121483492;108,24; Value-08;0x42CF3185;1120874885;103,5967; Value-09;0x42BD1BE6;1119689702;94,55449; Value-0A;0x42E0F558;1122039128;112,4792; Value-0B;0x42D45936;1121212726;106,1742; Value-0C;0x42D4FBC2;1121254338;106,4917; Value-0D;0x42D82D48;1121463624;108,0884; Value-0E;0x42E11E05;1122049541;112,5586; Value-0F;0x43095848;1124685896;137,3448; Value-10;0x430C9B2E;1124899630;140,6062; Value-11;0x43AC6624;1135371812;344,798; Value-12;0x44042AE0;1141123808;528,6699; Value-13;0xC090D024;-1064251356;-4,525408; Value-14;0x42BEB8B0;1119795376;95,36072; Value-15;0x42DEBB69;1121893225;111,366; Value-16;0x42DD60ED;1121804525;110,6893; Value-17;0x42DCBD01;1121762561;110,3691; Value-18;0x42D9A28D;1121559181;108,8175; Value-19;0x42DCB2B5;1121759925;110,349; Value-1A;0x42D24F82;1121079170;105,1553; Value-1B;0x42C741CC;1120354764;99,62851; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E222DB;1122116315;113,0681; Value-1F;0x42D5AC92;1121299602;106,8371; Value-20;0x42D66001;1121345537;107,1875; Value-21;0x42D87E13;1121484307;108,2462; Value-22;0x42E15FD6;1122066390;112,6872; Value-23;0x42F8025C;1123549788;124,0046; Value-24;0x43161D17;1125522711;150,1136; Value-25;0x43A06E3D;1134587453;320,8612; Value-26;0x43FDE1EC;1140711916;507,765;
2023-10-18_16:39:41.75; Value-01;0xC09F27FE;-1063311362;-4,973632; Value-02;0x418A105F;1099567199;17,25799; Value-03;0x42DE3500;1121858816;111,1035; Value-04;0x42DC875A;1121748826;110,2644; Value-05;0x42DB6961;1121675617;109,7058; Value-06;0x42DA008E;1121583246;109,0011; Value-07;0x42D87AE4;1121483492;108,24; Value-08;0x42CF3185;1120874885;103,5967; Value-09;0x42BD1BE6;1119689702;94,55449; Value-0A;0x42E0F558;1122039128;112,4792; Value-0B;0x42D45936;1121212726;106,1742; Value-0C;0x42D4FBC2;1121254338;106,4917; Value-0D;0x42D82D48;1121463624;108,0884; Value-0E;0x42E11E05;1122049541;112,5586; Value-0F;0x43095848;1124685896;137,3448; Value-10;0x430C9B2E;1124899630;140,6062; Value-11;0x43AC6624;1135371812;344,798; Value-12;0x44042AE0;1141123808;528,6699; Value-13;0xC090D024;-1064251356;-4,525408; Value-14;0x42BEB8B0;1119795376;95,36072; Value-15;0x42DEBB69;1121893225;111,366; Value-16;0x42DD60ED;1121804525;110,6893; Value-17;0x42DCBD01;1121762561;110,3691; Value-18;0x42D9A28D;1121559181;108,8175; Value-19;0x42DCB2B5;1121759925;110,349; Value-1A;0x42D24F82;1121079170;105,1553; Value-1B;0x42C741CC;1120354764;99,62851; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E222DB;1122116315;113,0681; Value-1F;0x42D5AC92;1121299602;106,8371; Value-20;0x42D66001;1121345537;107,1875; Value-21;0x42D87E13;1121484307;108,2462; Value-22;0x42E15FD6;1122066390;112,6872; Value-23;0x42F8025C;1123549788;124,0046; Value-24;0x43161D17;1125522711;150,1136; Value-25;0x43A06E3D;1134587453;320,8612; Value-26;0x43FDE1EC;1140711916;507,765;
2023-10-18_16:39:41.84; Value-01;0xC064137F;-1067183233;-3,56369; Value-02;0x41BD7C06;1102937094;23,68556; Value-03;0x42DE2E89;1121857161;111,0909; Value-04;0x42DC724F;1121743439;110,2233; Value-05;0x42DB167B;1121654395;109,5439; Value-06;0x42DB82AE;1121682094;109,7552; Value-07;0x42DD135C;1121784668;110,5378; Value-08;0x42CC7936;1120696630;102,2367; Value-09;0x42CE772A;1120827178;103,2327; Value-0A;0x42E0CF5D;1122029405;112,405; Value-0B;0x42D44991;1121208721;106,1437; Value-0C;0x42D50A4F;1121258063;106,5201; Value-0D;0x42D79E76;1121427062;107,8095; Value-0E;0x42DBB126;1121693990;109,846; Value-0F;0x430445D4;1124353492;132,2728; Value-10;0x431B7A52;1125874258;155,4778; Value-11;0x4397251E;1133978910;302,29; Value-12;0x43AB8DCF;1135316431;343,1079; Value-13;0xC13FB11B;-1052790501;-11,98074; Value-14;0x434286C0;1128433344;194,5264; Value-15;0x42DEBB1C;1121893148;111,3654; Value-16;0x42DD13C9;1121784777;110,5386; Value-17;0x42DCF507;1121776903;110,4786; Value-18;0x42D982CF;1121551055;108,7555; Value-19;0x42DD5048;1121800264;110,6568; Value-1A;0x42D285BA;1121093050;105,2612; Value-1B;0x42CF0A9C;1120864924;103,5207; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E242F3;1122124531;113,1308; Value-1F;0x42D5A18E;1121296782;106,8155; Value-20;0x42D635E1;1121334753;107,1052; Value-21;0x42D915ED;1121523181;108,5428; Value-22;0x42E43B66;1122253670;114,116; Value-23;0x43001C3E;1124080702;128,1103; Value-24;0x42D1233A;1121002298;104,5688; Value-25;0x43B36C3A;1135832122;358,8455; Value-26;0x43C89D57;1137220951;401,2292;
2023-10-18_16:39:42.03; Value-01;0xC064137F;-1067183233;-3,56369; Value-02;0x41BD7C06;1102937094;23,68556; Value-03;0x42DE2E89;1121857161;111,0909; Value-04;0x42DC724F;1121743439;110,2233; Value-05;0x42DB167B;1121654395;109,5439; Value-06;0x42DB82AE;1121682094;109,7552; Value-07;0x42DD135C;1121784668;110,5378; Value-08;0x42CC7936;1120696630;102,2367; Value-09;0x42CE772A;1120827178;103,2327; Value-0A;0x42E0CF5D;1122029405;112,405; Value-0B;0x42D44991;1121208721;106,1437; Value-0C;0x42D50A4F;1121258063;106,5201; Value-0D;0x42D79E76;1121427062;107,8095; Value-0E;0x42DBB126;1121693990;109,846; Value-0F;0x430445D4;1124353492;132,2728; Value-10;0x431B7A52;1125874258;155,4778; Value-11;0x4397251E;1133978910;302,29; Value-12;0x43AB8DCF;1135316431;343,1079; Value-13;0xC13FB11B;-1052790501;-11,98074; Value-14;0x434286C0;1128433344;194,5264; Value-15;0x42DEBB1C;1121893148;111,3654; Value-16;0x42DD13C9;1121784777;110,5386; Value-17;0x42DCF507;1121776903;110,4786; Value-18;0x42D982CF;1121551055;108,7555; Value-19;0x42DD5048;1121800264;110,6568; Value-1A;0x42D285BA;1121093050;105,2612; Value-1B;0x42CF0A9C;1120864924;103,5207; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E242F3;1122124531;113,1308; Value-1F;0x42D5A18E;1121296782;106,8155; Value-20;0x42D635E1;1121334753;107,1052; Value-21;0x42D915ED;1121523181;108,5428; Value-22;0x42E43B66;1122253670;114,116; Value-23;0x43001C3E;1124080702;128,1103; Value-24;0x42D1233A;1121002298;104,5688; Value-25;0x43B36C3A;1135832122;358,8455; Value-26;0x43C89D57;1137220951;401,2292;
2023-10-18_16:39:42.03; Value-01;0xC064137F;-1067183233;-3,56369; Value-02;0x41BD7C06;1102937094;23,68556; Value-03;0x42DE2E89;1121857161;111,0909; Value-04;0x42DC724F;1121743439;110,2233; Value-05;0x42DB167B;1121654395;109,5439; Value-06;0x42DB82AE;1121682094;109,7552; Value-07;0x42DD135C;1121784668;110,5378; Value-08;0x42CC7936;1120696630;102,2367; Value-09;0x42CE772A;1120827178;103,2327; Value-0A;0x42E0CF5D;1122029405;112,405; Value-0B;0x42D44991;1121208721;106,1437; Value-0C;0x42D50A4F;1121258063;106,5201; Value-0D;0x42D79E76;1121427062;107,8095; Value-0E;0x42DBB126;1121693990;109,846; Value-0F;0x430445D4;1124353492;132,2728; Value-10;0x431B7A52;1125874258;155,4778; Value-11;0x4397251E;1133978910;302,29; Value-12;0x43AB8DCF;1135316431;343,1079; Value-13;0xC13FB11B;-1052790501;-11,98074; Value-14;0x434286C0;1128433344;194,5264; Value-15;0x42DEBB1C;1121893148;111,3654; Value-16;0x42DD13C9;1121784777;110,5386; Value-17;0x42DCF507;1121776903;110,4786; Value-18;0x42D982CF;1121551055;108,7555; Value-19;0x42DD5048;1121800264;110,6568; Value-1A;0x42D285BA;1121093050;105,2612; Value-1B;0x42CF0A9C;1120864924;103,5207; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E242F3;1122124531;113,1308; Value-1F;0x42D5A18E;1121296782;106,8155; Value-20;0x42D635E1;1121334753;107,1052; Value-21;0x42D915ED;1121523181;108,5428; Value-22;0x42E43B66;1122253670;114,116; Value-23;0x43001C3E;1124080702;128,1103; Value-24;0x42D1233A;1121002298;104,5688; Value-25;0x43B36C3A;1135832122;358,8455; Value-26;0x43C89D57;1137220951;401,2292;
2023-10-18_16:39:42.03; Value-01;0xC064137F;-1067183233;-3,56369; Value-02;0x41BD7C06;1102937094;23,68556; Value-03;0x42DE2E89;1121857161;111,0909; Value-04;0x42DC724F;1121743439;110,2233; Value-05;0x42DB167B;1121654395;109,5439; Value-06;0x42DB82AE;1121682094;109,7552; Value-07;0x42DD135C;1121784668;110,5378; Value-08;0x42CC7936;1120696630;102,2367; Value-09;0x42CE772A;1120827178;103,2327; Value-0A;0x42E0CF5D;1122029405;112,405; Value-0B;0x42D44991;1121208721;106,1437; Value-0C;0x42D50A4F;1121258063;106,5201; Value-0D;0x42D79E76;1121427062;107,8095; Value-0E;0x42DBB126;1121693990;109,846; Value-0F;0x430445D4;1124353492;132,2728; Value-10;0x431B7A52;1125874258;155,4778; Value-11;0x4397251E;1133978910;302,29; Value-12;0x43AB8DCF;1135316431;343,1079; Value-13;0xC13FB11B;-1052790501;-11,98074; Value-14;0x434286C0;1128433344;194,5264; Value-15;0x42DEBB1C;1121893148;111,3654; Value-16;0x42DD13C9;1121784777;110,5386; Value-17;0x42DCF507;1121776903;110,4786; Value-18;0x42D982CF;1121551055;108,7555; Value-19;0x42DD5048;1121800264;110,6568; Value-1A;0x42D285BA;1121093050;105,2612; Value-1B;0x42CF0A9C;1120864924;103,5207; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E242F3;1122124531;113,1308; Value-1F;0x42D5A18E;1121296782;106,8155; Value-20;0x42D635E1;1121334753;107,1052; Value-21;0x42D915ED;1121523181;108,5428; Value-22;0x42E43B66;1122253670;114,116; Value-23;0x43001C3E;1124080702;128,1103; Value-24;0x42D1233A;1121002298;104,5688; Value-25;0x43B36C3A;1135832122;358,8455; Value-26;0x43C89D57;1137220951;401,2292;
2023-10-18_16:39:42.03; Value-01;0xC064137F;-1067183233;-3,56369; Value-02;0x41BD7C06;1102937094;23,68556; Value-03;0x42DE2E89;1121857161;111,0909; Value-04;0x42DC724F;1121743439;110,2233; Value-05;0x42DB167B;1121654395;109,5439; Value-06;0x42DB82AE;1121682094;109,7552; Value-07;0x42DD135C;1121784668;110,5378; Value-08;0x42CC7936;1120696630;102,2367; Value-09;0x42CE772A;1120827178;103,2327; Value-0A;0x42E0CF5D;1122029405;112,405; Value-0B;0x42D44991;1121208721;106,1437; Value-0C;0x42D50A4F;1121258063;106,5201; Value-0D;0x42D79E76;1121427062;107,8095; Value-0E;0x42DBB126;1121693990;109,846; Value-0F;0x430445D4;1124353492;132,2728; Value-10;0x431B7A52;1125874258;155,4778; Value-11;0x4397251E;1133978910;302,29; Value-12;0x43AB8DCF;1135316431;343,1079; Value-13;0xC13FB11B;-1052790501;-11,98074; Value-14;0x434286C0;1128433344;194,5264; Value-15;0x42DEBB1C;1121893148;111,3654; Value-16;0x42DD13C9;1121784777;110,5386; Value-17;0x42DCF507;1121776903;110,4786; Value-18;0x42D982CF;1121551055;108,7555; Value-19;0x42DD5048;1121800264;110,6568; Value-1A;0x42D285BA;1121093050;105,2612; Value-1B;0x42CF0A9C;1120864924;103,5207; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E242F3;1122124531;113,1308; Value-1F;0x42D5A18E;1121296782;106,8155; Value-20;0x42D635E1;1121334753;107,1052; Value-21;0x42D915ED;1121523181;108,5428; Value-22;0x42E43B66;1122253670;114,116; Value-23;0x43001C3E;1124080702;128,1103; Value-24;0x42D1233A;1121002298;104,5688; Value-25;0x43B36C3A;1135832122;358,8455; Value-26;0x43C89D57;1137220951;401,2292;
2023-10-18_16:39:42.13; Value-01;0x3F5AA0FD;1062904061;0,854019; Value-02;0x423D33E1;1111307233;47,30066; Value-03;0x42DE5767;1121867623;111,1707; Value-04;0x42DCA6AB;1121756843;110,3255; Value-05;0x42DB0F7A;1121652602;109,5302; Value-06;0x42DB3D5D;1121664349;109,6199; Value-07;0x42DE486A;1121863786;111,1414; Value-08;0x42CA673A;1120560954;101,2016; Value-09;0x42C1C139;1119994169;96,87739; Value-0A;0x42E0E44B;1122034763;112,4459; Value-0B;0x42D434EE;1121203438;106,1034; Value-0C;0x42D4D820;1121245216;106,4221; Value-0D;0x42D656EA;1121343210;107,1698; Value-0E;0x42DA10D7;1121587415;109,0329; Value-0F;0x4306AED1;1124511441;134,6829; Value-10;0x42E63C3F;1122384959;115,1177; Value-11;0x4382C970;1132644720;261,5737; Value-12;0x43ABC2F3;1135330035;343,523; Value-13;0xC04408BE;-1069283138;-3,063034; Value-14;0x42993C1B;1117338651;76,61739; Value-15;0x42DEC03E;1121894462;111,3755; Value-16;0x42DD403B;1121796155;110,6255; Value-17;0x42DC802E;1121746990;110,2504; Value-18;0x42DAD18E;1121636750;109,4093; Value-19;0x42DAD6F6;1121638134;109,4198; Value-1A;0x42D048AB;1120946347;104,1419; Value-1B;0x42BDD6B6;1119737526;94,91936; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E21E85;1122115205;113,0596; Value-1F;0x42D59B0E;1121295118;106,8028; Value-20;0x42D631B9;1121333689;107,0971; Value-21;0x42D9C33F;1121567551;108,8813; Value-22;0x42E42D81;1122250113;114,0889; Value-23;0x430160A5;1124163749;129,3775; Value-24;0x42FF00C0;1124008128;127,5015; Value-25;0x43BBA8C7;1136371911;375,3186; Value-26;0x440E014A;1141768522;568,0201;
2023-10-18_16:39:42.33; Value-01;0xC121862A;-1054767574;-10,09525; Value-02;0x40DF8B20;1088391968;6,985733; Value-03;0x42DE4D1D;1121864989;111,1506; Value-04;0x42DC94CD;1121752269;110,2906; Value-05;0x42DB0F7A;1121652602;109,5302; Value-06;0x42DAB7A3;1121630115;109,3587; Value-07;0x42DE486A;1121863786;111,1414; Value-08;0x42CA60D8;1120559320;101,1891; Value-09;0x42C1C139;1119994169;96,87739; Value-0A;0x42E0B0E8;1122021608;112,3455; Value-0B;0x42D46DD0;1121218000;106,2145; Value-0C;0x42D4B535;1121236277;106,3539; Value-0D;0x42D65201;1121341953;107,1602; Value-0E;0x42DE8788;1121879944;111,2647; Value-0F;0x4303121C;1124274716;131,0707; Value-10;0x42E63C3F;1122384959;115,1177; Value-11;0x439EC8B3;1134479539;317,568; Value-12;0x43ABC2F3;1135330035;343,523; Value-13;0xC166B2AB;-1050234197;-14,41862; Value-14;0x42913916;1116813590;72,6115; Value-15;0x42DEC571;1121895793;111,3856; Value-16;0x42DD2196;1121788310;110,5656; Value-17;0x42DCDFCD;1121771469;110,4371; Value-18;0x42DAD18E;1121636750;109,4093; Value-19;0x42DBAEF8;1121693432;109,8417; Value-1A;0x42D048AB;1120946347;104,1419; Value-1B;0x42BE2F00;1119760128;95,0918; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42E221FA;1122116090;113,0664; Value-1F;0x42D588F2;1121290482;106,7675; Value-20;0x42D60EFA;1121324794;107,0293; Value-21;0x42D9CA7D;1121569405;108,8955; Value-22;0x42E5977C;1122342780;114,7959; Value-23;0x42F7576E;1123506030;123,6708; Value-24;0x42DB2745;1121658693;109,5767; Value-25;0x43BBA8C7;1136371911;375,3186; Value-26;0x43F1AA9F;1139911327;483,333;
