Timestamp;Data
2023-10-19_10:58:48.11; Value-01;0x415097FD;1095800829;13,03711; Value-02;0xC0F615C8;-1057614392;-7,690159; Value-03;0x42BDEA48;1119742536;94,95758; Value-04;0x42BBB461;1119597665;93,8523; Value-05;0x42B14F7F;1118916479;88,65527; Value-06;0x42DAB0AE;1121628334;109,3451; Value-07;0x42F7B237;1123529271;123,8481; Value-08;0x42F02203;1123033603;120,0664; Value-09;0x4300ADA3;1124117923;128,6783; Value-0A;0x42B0D41B;1118884891;88,41427; Value-0B;0x42CF268B;1120872075;103,5753; Value-0C;0x42E6B502;1122415874;115,3535; Value-0D;0x4308EF69;1124659049;136,9352; Value-0E;0x43164001;1125531649;150,25; Value-0F;0x42364CC6;1110854854;45,57497; Value-10;0x42CA1683;1120540291;101,044; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x411A7D5D;1092255069;9,655606; Value-14;0xBEC00606;-1094711802;-0,375046; Value-15;0x42C0C3F0;1119929328;96,38269; Value-16;0x42BE4A69;1119767145;95,14533; Value-17;0x42B3E32C;1119085356;89,9437; Value-18;0x42DC75CB;1121744331;110,2301; Value-19;0x42FE0C4F;1123945551;127,024; Value-1A;0x42F67357;1123447639;123,2253; Value-1B;0x42E514BC;1122309308;114,5405; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F96A;1119091050;89,98714; Value-1F;0x42D2400E;1121075214;105,1251; Value-20;0x42EA1523;1122637091;117,0413; Value-21;0x430A94E4;1124766948;138,5816; Value-22;0x4317C390;1125630864;151,7639; Value-23;0x424CE7DA;1112336346;51,22642; Value-24;0x4310AD28;1125166376;144,6764; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.22; Value-01;0x415097FD;1095800829;13,03711; Value-02;0xC0F615C8;-1057614392;-7,690159; Value-03;0x42BDEA48;1119742536;94,95758; Value-04;0x42BBB461;1119597665;93,8523; Value-05;0x42B14F7F;1118916479;88,65527; Value-06;0x42DAB0AE;1121628334;109,3451; Value-07;0x42F7B237;1123529271;123,8481; Value-08;0x42F02203;1123033603;120,0664; Value-09;0x4300ADA3;1124117923;128,6783; Value-0A;0x42B0D41B;1118884891;88,41427; Value-0B;0x42CF268B;1120872075;103,5753; Value-0C;0x42E6B502;1122415874;115,3535; Value-0D;0x4308EF69;1124659049;136,9352; Value-0E;0x43164001;1125531649;150,25; Value-0F;0x42364CC6;1110854854;45,57497; Value-10;0x42CA1683;1120540291;101,044; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x411A7D5D;1092255069;9,655606; Value-14;0xBEC00606;-1094711802;-0,375046; Value-15;0x42C0C3F0;1119929328;96,38269; Value-16;0x42BE4A69;1119767145;95,14533; Value-17;0x42B3E32C;1119085356;89,9437; Value-18;0x42DC75CB;1121744331;110,2301; Value-19;0x42FE0C4F;1123945551;127,024; Value-1A;0x42F67357;1123447639;123,2253; Value-1B;0x42E514BC;1122309308;114,5405; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B3F96A;1119091050;89,98714; Value-1F;0x42D2400E;1121075214;105,1251; Value-20;0x42EA1523;1122637091;117,0413; Value-21;0x430A94E4;1124766948;138,5816; Value-22;0x4317C390;1125630864;151,7639; Value-23;0x424CE7DA;1112336346;51,22642; Value-24;0x4310AD28;1125166376;144,6764; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.26; Value-01;0xC00D7704;-1072859388;-2,210389; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BE00BE;1119748286;95,00145; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0F40F;1118893071;88,47668; Value-06;0x42DAB0AE;1121628334;109,3451; Value-07;0x42F57965;1123383653;122,7371; Value-08;0x42F02203;1123033603;120,0664; Value-09;0x42EDF0B0;1122889904;118,9701; Value-0A;0x42B0F73E;1118893886;88,48289; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E6EC66;1122430054;115,4617; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x4315BD2A;1125498154;149,7389; Value-0F;0x42364CC6;1110854854;45,57497; Value-10;0x42EF4F5B;1122979675;119,655; Value-11;0x00000000;0;0; Value-12;0x4274B3F4;1114944500;61,17574; Value-13;0x42263324;1109799716;41,54994; Value-14;0xBFF727AF;-1074321489;-1,930899; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BE2C5E;1119759454;95,08665; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DCD622;1121768994;110,4182; Value-19;0x42FE0C4F;1123945551;127,024; Value-1A;0x42F084CC;1123058892;120,2594; Value-1B;0x42E514BC;1122309308;114,5405; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B405B6;1119094198;90,01115; Value-1F;0x42D2A003;1121099779;105,3125; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AD2FC;1124782844;138,8242; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x4263A23D;1113825853;56,90844; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.36; Value-01;0xC00D7704;-1072859388;-2,210389; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BE00BE;1119748286;95,00145; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0F40F;1118893071;88,47668; Value-06;0x42DAB0AE;1121628334;109,3451; Value-07;0x42F57965;1123383653;122,7371; Value-08;0x42F02203;1123033603;120,0664; Value-09;0x42EDF0B0;1122889904;118,9701; Value-0A;0x42B0F73E;1118893886;88,48289; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E6EC66;1122430054;115,4617; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x4315BD2A;1125498154;149,7389; Value-0F;0x42364CC6;1110854854;45,57497; Value-10;0x42EF4F5B;1122979675;119,655; Value-11;0x00000000;0;0; Value-12;0x4274B3F4;1114944500;61,17574; Value-13;0x42263324;1109799716;41,54994; Value-14;0xBFF727AF;-1074321489;-1,930899; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BE2C5E;1119759454;95,08665; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DCD622;1121768994;110,4182; Value-19;0x42FE0C4F;1123945551;127,024; Value-1A;0x42F084CC;1123058892;120,2594; Value-1B;0x42E514BC;1122309308;114,5405; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B405B6;1119094198;90,01115; Value-1F;0x42D2A003;1121099779;105,3125; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AD2FC;1124782844;138,8242; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x4263A23D;1113825853;56,90844; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.36; Value-01;0xC00D7704;-1072859388;-2,210389; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BE00BE;1119748286;95,00145; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0F40F;1118893071;88,47668; Value-06;0x42DAB0AE;1121628334;109,3451; Value-07;0x42F57965;1123383653;122,7371; Value-08;0x42F02203;1123033603;120,0664; Value-09;0x42EDF0B0;1122889904;118,9701; Value-0A;0x42B0F73E;1118893886;88,48289; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E6EC66;1122430054;115,4617; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x4315BD2A;1125498154;149,7389; Value-0F;0x42364CC6;1110854854;45,57497; Value-10;0x42EF4F5B;1122979675;119,655; Value-11;0x00000000;0;0; Value-12;0x4274B3F4;1114944500;61,17574; Value-13;0x42263324;1109799716;41,54994; Value-14;0xBFF727AF;-1074321489;-1,930899; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BE2C5E;1119759454;95,08665; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DCD622;1121768994;110,4182; Value-19;0x42FE0C4F;1123945551;127,024; Value-1A;0x42F084CC;1123058892;120,2594; Value-1B;0x42E514BC;1122309308;114,5405; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B405B6;1119094198;90,01115; Value-1F;0x42D2A003;1121099779;105,3125; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AD2FC;1124782844;138,8242; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x4263A23D;1113825853;56,90844; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.42; Value-01;0xC2970005;-1030291451;-75,50004; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BDDB6B;1119738731;94,92855; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0FB61;1118894945;88,49097; Value-06;0x42DA9447;1121621063;109,2896; Value-07;0x42FC1685;1123817093;126,044; Value-08;0x42F1860D;1123124749;120,7618; Value-09;0x42FBF658;1123808856;125,9811; Value-0A;0x42B10826;1118898214;88,51591; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E70138;1122435384;115,5024; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x43164E71;1125535345;150,3064; Value-0F;0x4241F859;1111619673;48,49253; Value-10;0x42FCF0B5;1123872949;126,4701; Value-11;0x00000000;0;0; Value-12;0x43498759;1128892249;201,5287; Value-13;0x42263324;1109799716;41,54994; Value-14;0xC0531A68;-1068295576;-3,298487; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BDC413;1119732755;94,88296; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DC0392;1121715090;110,007; Value-19;0x42FA9DBE;1123720638;125,3081; Value-1A;0x42EC9CE3;1122802915;118,3064; Value-1B;0x42E1AC2D;1122085933;112,8363; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D27655;1121089109;105,2311; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AFBB6;1124793270;138,9832; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x42543A2F;1112816175;53,05682; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.51; Value-01;0xC2970005;-1030291451;-75,50004; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BDDB6B;1119738731;94,92855; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0FB61;1118894945;88,49097; Value-06;0x42DA9447;1121621063;109,2896; Value-07;0x42FC1685;1123817093;126,044; Value-08;0x42F1860D;1123124749;120,7618; Value-09;0x42FBF658;1123808856;125,9811; Value-0A;0x42B10826;1118898214;88,51591; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E70138;1122435384;115,5024; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x43164E71;1125535345;150,3064; Value-0F;0x4241F859;1111619673;48,49253; Value-10;0x42FCF0B5;1123872949;126,4701; Value-11;0x00000000;0;0; Value-12;0x43498759;1128892249;201,5287; Value-13;0x42263324;1109799716;41,54994; Value-14;0xC0531A68;-1068295576;-3,298487; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BDC413;1119732755;94,88296; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DC0392;1121715090;110,007; Value-19;0x42FA9DBE;1123720638;125,3081; Value-1A;0x42EC9CE3;1122802915;118,3064; Value-1B;0x42E1AC2D;1122085933;112,8363; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D27655;1121089109;105,2311; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AFBB6;1124793270;138,9832; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x42543A2F;1112816175;53,05682; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.55; Value-01;0xC2970005;-1030291451;-75,50004; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BDDB6B;1119738731;94,92855; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0FB61;1118894945;88,49097; Value-06;0x42DA9447;1121621063;109,2896; Value-07;0x42FC1685;1123817093;126,044; Value-08;0x42F1860D;1123124749;120,7618; Value-09;0x42FBF658;1123808856;125,9811; Value-0A;0x42B10826;1118898214;88,51591; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E70138;1122435384;115,5024; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x43164E71;1125535345;150,3064; Value-0F;0x4241F859;1111619673;48,49253; Value-10;0x42FCF0B5;1123872949;126,4701; Value-11;0x00000000;0;0; Value-12;0x43498759;1128892249;201,5287; Value-13;0x42263324;1109799716;41,54994; Value-14;0xC0531A68;-1068295576;-3,298487; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BDC413;1119732755;94,88296; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DC0392;1121715090;110,007; Value-19;0x42FA9DBE;1123720638;125,3081; Value-1A;0x42EC9CE3;1122802915;118,3064; Value-1B;0x42E1AC2D;1122085933;112,8363; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D27655;1121089109;105,2311; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AFBB6;1124793270;138,9832; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x42543A2F;1112816175;53,05682; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.60; Value-01;0xC2970005;-1030291451;-75,50004; Value-02;0x3FAC12FF;1068241663;1,34433; Value-03;0x42BDDB6B;1119738731;94,92855; Value-04;0x42BBBF24;1119600420;93,87332; Value-05;0x42B0FB61;1118894945;88,49097; Value-06;0x42DA9447;1121621063;109,2896; Value-07;0x42FC1685;1123817093;126,044; Value-08;0x42F1860D;1123124749;120,7618; Value-09;0x42FBF658;1123808856;125,9811; Value-0A;0x42B10826;1118898214;88,51591; Value-0B;0x42CF132F;1120867119;103,5375; Value-0C;0x42E70138;1122435384;115,5024; Value-0D;0x4308CBED;1124649965;136,7966; Value-0E;0x43164E71;1125535345;150,3064; Value-0F;0x4241F859;1111619673;48,49253; Value-10;0x42FCF0B5;1123872949;126,4701; Value-11;0x00000000;0;0; Value-12;0x43498759;1128892249;201,5287; Value-13;0x42263324;1109799716;41,54994; Value-14;0xC0531A68;-1068295576;-3,298487; Value-15;0x42C0B977;1119926647;96,36224; Value-16;0x42BDC413;1119732755;94,88296; Value-17;0x42B41FEA;1119100906;90,06233; Value-18;0x42DC0392;1121715090;110,007; Value-19;0x42FA9DBE;1123720638;125,3081; Value-1A;0x42EC9CE3;1122802915;118,3064; Value-1B;0x42E1AC2D;1122085933;112,8363; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D27655;1121089109;105,2311; Value-20;0x42EA8254;1122665044;117,2545; Value-21;0x430AFBB6;1124793270;138,9832; Value-22;0x43170E2C;1125584428;151,0554; Value-23;0x42543A2F;1112816175;53,05682; Value-24;0x430AF1F7;1124790775;138,9452; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.65; Value-01;0x3FE190C8;1071747272;1,762231; Value-02;0x3F170127;1058472231;0,5898613; Value-03;0x42BDDBB1;1119738801;94,92908; Value-04;0x42BB8455;1119585365;93,75846; Value-05;0x42B0DC9E;1118887070;88,43089; Value-06;0x42DA9C91;1121623185;109,3058; Value-07;0x42FBAB4F;1123789647;125,8346; Value-08;0x42EC3BFD;1122778109;118,1172; Value-09;0x42E212AB;1122112171;113,0365; Value-0A;0x42B0E433;1118889011;88,4457; Value-0B;0x42CED4C0;1120851136;103,4155; Value-0C;0x42E71047;1122439239;115,5318; Value-0D;0x43090BE6;1124666342;137,0465; Value-0E;0x43162BDE;1125526494;150,1714; Value-0F;0x42503207;1112551943;52,04885; Value-10;0x42EE76D5;1122924245;119,2321; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC08387D3;-1065121837;-4,11033; Value-14;0xC137250A;-1053350646;-11,44654; Value-15;0x42C0CD35;1119931701;96,40079; Value-16;0x42BE3F41;1119764289;95,12354; Value-17;0x42B3E24C;1119085132;89,94199; Value-18;0x42DCB776;1121761142;110,3583; Value-19;0x42FBC899;1123797145;125,8918; Value-1A;0x42F64AEB;1123437291;123,1463; Value-1B;0x42F9D8E1;1123670241;124,9236; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D242F6;1121075958;105,1308; Value-20;0x42E9EFBA;1122627514;116,9682; Value-21;0x430AE27F;1124786815;138,8848; Value-22;0x43169ABD;1125554877;150,6044; Value-23;0x42443EBE;1111768766;49,06127; Value-24;0x431CDBC1;1125964737;156,8584; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_10:58:48.74; Value-01;0x3FE190C8;1071747272;1,762231; Value-02;0x3F170127;1058472231;0,5898613; Value-03;0x42BDDBB1;1119738801;94,92908; Value-04;0x42BB8455;1119585365;93,75846; Value-05;0x42B0DC9E;1118887070;88,43089; Value-06;0x42DA9C91;1121623185;109,3058; Value-07;0x42FBAB4F;1123789647;125,8346; Value-08;0x42EC3BFD;1122778109;118,1172; Value-09;0x42E212AB;1122112171;113,0365; Value-0A;0x42B0E433;1118889011;88,4457; Value-0B;0x42CED4C0;1120851136;103,4155; Value-0C;0x42E71047;1122439239;115,5318; Value-0D;0x43090BE6;1124666342;137,0465; Value-0E;0x43162BDE;1125526494;150,1714; Value-0F;0x42503207;1112551943;52,04885; Value-10;0x42EE76D5;1122924245;119,2321; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC08387D3;-1065121837;-4,11033; Value-14;0xC137250A;-1053350646;-11,44654; Value-15;0x42C0CD35;1119931701;96,40079; Value-16;0x42BE3F41;1119764289;95,12354; Value-17;0x42B3E24C;1119085132;89,94199; Value-18;0x42DCB776;1121761142;110,3583; Value-19;0x42FBC899;1123797145;125,8918; Value-1A;0x42F64AEB;1123437291;123,1463; Value-1B;0x42F9D8E1;1123670241;124,9236; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42B417EE;1119098862;90,04674; Value-1F;0x42D242F6;1121075958;105,1308; Value-20;0x42E9EFBA;1122627514;116,9682; Value-21;0x430AE27F;1124786815;138,8848; Value-22;0x43169ABD;1125554877;150,6044; Value-23;0x42443EBE;1111768766;49,06127; Value-24;0x431CDBC1;1125964737;156,8584; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
