Timestamp;Data
2023-10-19_13:28:13.99; Value-01;0xBE7050C9;-1099935543;-0,2346832; Value-02;0x3F565CEE;1062624494;0,8373555; Value-03;0x41673408;1097282568;14,4502; Value-04;0x418A44C5;1099580613;17,28358; Value-05;0x42262ADE;1109797598;41,54186; Value-06;0x42A8C60D;1118357005;84,38682; Value-07;0x42A87721;1118336801;84,23267; Value-08;0x42B1B4FD;1118942461;88,85349; Value-09;0x42BD60BA;1119707322;94,68892; Value-0A;0x41F31BCA;1106451402;30,38857; Value-0B;0x429FC7F3;1117767667;79,89053; Value-0C;0x42B5B158;1119203672;90,84637; Value-0D;0x42CDCD39;1120783673;102,9008; Value-0E;0x42D621B4;1121329588;107,0658; Value-0F;0x42D30CF6;1121127670;105,5253; Value-10;0x42D1F07E;1121054846;104,9697; Value-11;0x42D5ADBF;1121299903;106,8393; Value-12;0x42DE1CFE;1121852670;111,0566; Value-13;0xBC6C066C;-1133771156;-0,01440583; Value-14;0xC0C728DB;-1060689701;-6,223737; Value-15;0x41674F30;1097289520;14,45683; Value-16;0x418CD134;1099747636;17,60215; Value-17;0x422516A3;1109726883;41,27211; Value-18;0x42AB9F7F;1118543743;85,81152; Value-19;0x42AACB69;1118489449;85,39729; Value-1A;0x42B3EE7B;1119088251;89,96578; Value-1B;0x42C01E86;1119886982;96,05962; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41F1C029;1106362409;30,21883; Value-1F;0x42A4DB1A;1118100250;82,42793; Value-20;0x42B67B8E;1119255438;91,24132; Value-21;0x42D12DAE;1121004974;104,5892; Value-22;0x42D97C10;1121549328;108,7423; Value-23;0x42D5ED1D;1121316125;106,9631; Value-24;0x42D4F4C2;1121252546;106,478; Value-25;0x42D8D1AD;1121505709;108,4095; Value-26;0x42E0D992;1122032018;112,4249;
2023-10-19_13:28:14.09; Value-01;0xBE7050C9;-1099935543;-0,2346832; Value-02;0x3F565CEE;1062624494;0,8373555; Value-03;0x41673408;1097282568;14,4502; Value-04;0x418A44C5;1099580613;17,28358; Value-05;0x42262ADE;1109797598;41,54186; Value-06;0x42A8C60D;1118357005;84,38682; Value-07;0x42A87721;1118336801;84,23267; Value-08;0x42B1B4FD;1118942461;88,85349; Value-09;0x42BD60BA;1119707322;94,68892; Value-0A;0x41F31BCA;1106451402;30,38857; Value-0B;0x429FC7F3;1117767667;79,89053; Value-0C;0x42B5B158;1119203672;90,84637; Value-0D;0x42CDCD39;1120783673;102,9008; Value-0E;0x42D621B4;1121329588;107,0658; Value-0F;0x42D30CF6;1121127670;105,5253; Value-10;0x42D1F07E;1121054846;104,9697; Value-11;0x42D5ADBF;1121299903;106,8393; Value-12;0x42DE1CFE;1121852670;111,0566; Value-13;0xBC6C066C;-1133771156;-0,01440583; Value-14;0xC0C728DB;-1060689701;-6,223737; Value-15;0x41674F30;1097289520;14,45683; Value-16;0x418CD134;1099747636;17,60215; Value-17;0x422516A3;1109726883;41,27211; Value-18;0x42AB9F7F;1118543743;85,81152; Value-19;0x42AACB69;1118489449;85,39729; Value-1A;0x42B3EE7B;1119088251;89,96578; Value-1B;0x42C01E86;1119886982;96,05962; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41F1C029;1106362409;30,21883; Value-1F;0x42A4DB1A;1118100250;82,42793; Value-20;0x42B67B8E;1119255438;91,24132; Value-21;0x42D12DAE;1121004974;104,5892; Value-22;0x42D97C10;1121549328;108,7423; Value-23;0x42D5ED1D;1121316125;106,9631; Value-24;0x42D4F4C2;1121252546;106,478; Value-25;0x42D8D1AD;1121505709;108,4095; Value-26;0x42E0D992;1122032018;112,4249;
2023-10-19_13:28:14.13; Value-01;0x3E68936A;1047040874;0,2271248; Value-02;0x3F84C021;1065664545;1,037113; Value-03;0x4150DAE5;1095817957;13,05344; Value-04;0x418A7561;1099593057;17,30731; Value-05;0x42249EFC;1109696252;41,15526; Value-06;0x42A930C6;1118384326;84,59526; Value-07;0x42A860A7;1118331047;84,18877; Value-08;0x42B1C1FC;1118945788;88,87888; Value-09;0x42BD5391;1119703953;94,66322; Value-0A;0x41F75913;1106729235;30,91849; Value-0B;0x42A280CB;1117946059;81,25155; Value-0C;0x42B1D1B0;1118949808;88,90955; Value-0D;0x42CCB0E9;1120710889;102,3455; Value-0E;0x42D6266D;1121330797;107,0751; Value-0F;0x42D2E229;1121116713;105,4417; Value-10;0x42D1D5DE;1121048030;104,9177; Value-11;0x42D5AB68;1121299304;106,8348; Value-12;0x42DE1201;1121849857;111,0352; Value-13;0x3DD2B0E4;1037218020;0,1028765; Value-14;0xC0EAD725;-1058351323;-7,338763; Value-15;0x4157EB93;1096280979;13,49501; Value-16;0x418A71BF;1099592127;17,30554; Value-17;0x422734E0;1109865696;41,80164; Value-18;0x42ABC6B0;1118553776;85,88806; Value-19;0x42AA7541;1118467393;85,22901; Value-1A;0x42B41060;1119096928;90,03198; Value-1B;0x42C013F2;1119884274;96,03896; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EFDA70;1106238064;29,98166; Value-1F;0x42A4DB1A;1118100250;82,42793; Value-20;0x42B77E7B;1119321723;91,74703; Value-21;0x42D017CB;1120933835;104,0465; Value-22;0x42D96C1D;1121545245;108,7112; Value-23;0x42D5BCB9;1121303737;106,8686; Value-24;0x42D4B28F;1121235599;106,3487; Value-25;0x42D89714;1121490708;108,2951; Value-26;0x42E1023D;1122042429;112,5044;
2023-10-19_13:28:14.22; Value-01;0x3E68936A;1047040874;0,2271248; Value-02;0x3F84C021;1065664545;1,037113; Value-03;0x4150DAE5;1095817957;13,05344; Value-04;0x418A7561;1099593057;17,30731; Value-05;0x42249EFC;1109696252;41,15526; Value-06;0x42A930C6;1118384326;84,59526; Value-07;0x42A860A7;1118331047;84,18877; Value-08;0x42B1C1FC;1118945788;88,87888; Value-09;0x42BD5391;1119703953;94,66322; Value-0A;0x41F75913;1106729235;30,91849; Value-0B;0x42A280CB;1117946059;81,25155; Value-0C;0x42B1D1B0;1118949808;88,90955; Value-0D;0x42CCB0E9;1120710889;102,3455; Value-0E;0x42D6266D;1121330797;107,0751; Value-0F;0x42D2E229;1121116713;105,4417; Value-10;0x42D1D5DE;1121048030;104,9177; Value-11;0x42D5AB68;1121299304;106,8348; Value-12;0x42DE1201;1121849857;111,0352; Value-13;0x3DD2B0E4;1037218020;0,1028765; Value-14;0xC0EAD725;-1058351323;-7,338763; Value-15;0x4157EB93;1096280979;13,49501; Value-16;0x418A71BF;1099592127;17,30554; Value-17;0x422734E0;1109865696;41,80164; Value-18;0x42ABC6B0;1118553776;85,88806; Value-19;0x42AA7541;1118467393;85,22901; Value-1A;0x42B41060;1119096928;90,03198; Value-1B;0x42C013F2;1119884274;96,03896; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EFDA70;1106238064;29,98166; Value-1F;0x42A4DB1A;1118100250;82,42793; Value-20;0x42B77E7B;1119321723;91,74703; Value-21;0x42D017CB;1120933835;104,0465; Value-22;0x42D96C1D;1121545245;108,7112; Value-23;0x42D5BCB9;1121303737;106,8686; Value-24;0x42D4B28F;1121235599;106,3487; Value-25;0x42D89714;1121490708;108,2951; Value-26;0x42E1023D;1122042429;112,5044;
2023-10-19_13:28:14.26; Value-01;0x3E6EA60B;1047438859;0,2330553; Value-02;0xBFB3BBF8;-1078739976;-1,404174; Value-03;0x415C6DE6;1096576486;13,77683; Value-04;0x418A045A;1099564122;17,25212; Value-05;0x4224932C;1109693228;41,14372; Value-06;0x42A8B747;1118353223;84,35796; Value-07;0x42A85D6E;1118330222;84,18248; Value-08;0x42B1AD0A;1118940426;88,83797; Value-09;0x42BD4767;1119700839;94,63946; Value-0A;0x41F2FA22;1106442786;30,37214; Value-0B;0x429F65D5;1117742549;79,69889; Value-0C;0x42B7750D;1119319309;91,72861; Value-0D;0x42CCFE6B;1120730731;102,4969; Value-0E;0x42D66397;1121346455;107,1945; Value-0F;0x42D2E14B;1121116491;105,44; Value-10;0x42D1DF7D;1121050493;104,9365; Value-11;0x42D591F7;1121292791;106,7851; Value-12;0x42DDF83D;1121843261;110,9848; Value-13;0x3E20E420;1042342944;0,1571202; Value-14;0xBF2C0026;-1087635418;-0,6718773; Value-15;0x41516A8C;1095854732;13,08851; Value-16;0x418B9974;1099667828;17,44993; Value-17;0x4225E7A3;1109780387;41,47621; Value-18;0x42ABCECA;1118555850;85,90388; Value-19;0x42AA013D;1118437693;85,00242; Value-1A;0x42B40A4E;1119095374;90,02013; Value-1B;0x42C00490;1119880336;96,00891; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EE3C00;1106131968;29,7793; Value-1F;0x42A36F95;1118007189;81,71793; Value-20;0x42B8CBFD;1119407101;92,39841; Value-21;0x42D056E9;1120949993;104,1697; Value-22;0x42D9B8C7;1121564871;108,8609; Value-23;0x42D5C267;1121305191;106,8797; Value-24;0x42D4AAB3;1121233587;106,3334; Value-25;0x42D8A38A;1121493898;108,3194; Value-26;0x42E11C17;1122049047;112,5549;
2023-10-19_13:28:14.35; Value-01;0x3E6EA60B;1047438859;0,2330553; Value-02;0xBFB3BBF8;-1078739976;-1,404174; Value-03;0x415C6DE6;1096576486;13,77683; Value-04;0x418A045A;1099564122;17,25212; Value-05;0x4224932C;1109693228;41,14372; Value-06;0x42A8B747;1118353223;84,35796; Value-07;0x42A85D6E;1118330222;84,18248; Value-08;0x42B1AD0A;1118940426;88,83797; Value-09;0x42BD4767;1119700839;94,63946; Value-0A;0x41F2FA22;1106442786;30,37214; Value-0B;0x429F65D5;1117742549;79,69889; Value-0C;0x42B7750D;1119319309;91,72861; Value-0D;0x42CCFE6B;1120730731;102,4969; Value-0E;0x42D66397;1121346455;107,1945; Value-0F;0x42D2E14B;1121116491;105,44; Value-10;0x42D1DF7D;1121050493;104,9365; Value-11;0x42D591F7;1121292791;106,7851; Value-12;0x42DDF83D;1121843261;110,9848; Value-13;0x3E20E420;1042342944;0,1571202; Value-14;0xBF2C0026;-1087635418;-0,6718773; Value-15;0x41516A8C;1095854732;13,08851; Value-16;0x418B9974;1099667828;17,44993; Value-17;0x4225E7A3;1109780387;41,47621; Value-18;0x42ABCECA;1118555850;85,90388; Value-19;0x42AA013D;1118437693;85,00242; Value-1A;0x42B40A4E;1119095374;90,02013; Value-1B;0x42C00490;1119880336;96,00891; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EE3C00;1106131968;29,7793; Value-1F;0x42A36F95;1118007189;81,71793; Value-20;0x42B8CBFD;1119407101;92,39841; Value-21;0x42D056E9;1120949993;104,1697; Value-22;0x42D9B8C7;1121564871;108,8609; Value-23;0x42D5C267;1121305191;106,8797; Value-24;0x42D4AAB3;1121233587;106,3334; Value-25;0x42D8A38A;1121493898;108,3194; Value-26;0x42E11C17;1122049047;112,5549;
2023-10-19_13:28:14.40; Value-01;0x3E6EA60B;1047438859;0,2330553; Value-02;0xBFB3BBF8;-1078739976;-1,404174; Value-03;0x415C6DE6;1096576486;13,77683; Value-04;0x418A045A;1099564122;17,25212; Value-05;0x4224932C;1109693228;41,14372; Value-06;0x42A8B747;1118353223;84,35796; Value-07;0x42A85D6E;1118330222;84,18248; Value-08;0x42B1AD0A;1118940426;88,83797; Value-09;0x42BD4767;1119700839;94,63946; Value-0A;0x41F2FA22;1106442786;30,37214; Value-0B;0x429F65D5;1117742549;79,69889; Value-0C;0x42B7750D;1119319309;91,72861; Value-0D;0x42CCFE6B;1120730731;102,4969; Value-0E;0x42D66397;1121346455;107,1945; Value-0F;0x42D2E14B;1121116491;105,44; Value-10;0x42D1DF7D;1121050493;104,9365; Value-11;0x42D591F7;1121292791;106,7851; Value-12;0x42DDF83D;1121843261;110,9848; Value-13;0x3E20E420;1042342944;0,1571202; Value-14;0xBF2C0026;-1087635418;-0,6718773; Value-15;0x41516A8C;1095854732;13,08851; Value-16;0x418B9974;1099667828;17,44993; Value-17;0x4225E7A3;1109780387;41,47621; Value-18;0x42ABCECA;1118555850;85,90388; Value-19;0x42AA013D;1118437693;85,00242; Value-1A;0x42B40A4E;1119095374;90,02013; Value-1B;0x42C00490;1119880336;96,00891; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EE3C00;1106131968;29,7793; Value-1F;0x42A36F95;1118007189;81,71793; Value-20;0x42B8CBFD;1119407101;92,39841; Value-21;0x42D056E9;1120949993;104,1697; Value-22;0x42D9B8C7;1121564871;108,8609; Value-23;0x42D5C267;1121305191;106,8797; Value-24;0x42D4AAB3;1121233587;106,3334; Value-25;0x42D8A38A;1121493898;108,3194; Value-26;0x42E11C17;1122049047;112,5549;
2023-10-19_13:28:14.43; Value-01;0x3E6EA60B;1047438859;0,2330553; Value-02;0xBFB3BBF8;-1078739976;-1,404174; Value-03;0x415C6DE6;1096576486;13,77683; Value-04;0x418A045A;1099564122;17,25212; Value-05;0x4224932C;1109693228;41,14372; Value-06;0x42A8B747;1118353223;84,35796; Value-07;0x42A85D6E;1118330222;84,18248; Value-08;0x42B1AD0A;1118940426;88,83797; Value-09;0x42BD4767;1119700839;94,63946; Value-0A;0x41F2FA22;1106442786;30,37214; Value-0B;0x429F65D5;1117742549;79,69889; Value-0C;0x42B7750D;1119319309;91,72861; Value-0D;0x42CCFE6B;1120730731;102,4969; Value-0E;0x42D66397;1121346455;107,1945; Value-0F;0x42D2E14B;1121116491;105,44; Value-10;0x42D1DF7D;1121050493;104,9365; Value-11;0x42D591F7;1121292791;106,7851; Value-12;0x42DDF83D;1121843261;110,9848; Value-13;0x3E20E420;1042342944;0,1571202; Value-14;0xBF2C0026;-1087635418;-0,6718773; Value-15;0x41516A8C;1095854732;13,08851; Value-16;0x418B9974;1099667828;17,44993; Value-17;0x4225E7A3;1109780387;41,47621; Value-18;0x42ABCECA;1118555850;85,90388; Value-19;0x42AA013D;1118437693;85,00242; Value-1A;0x42B40A4E;1119095374;90,02013; Value-1B;0x42C00490;1119880336;96,00891; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41EE3C00;1106131968;29,7793; Value-1F;0x42A36F95;1118007189;81,71793; Value-20;0x42B8CBFD;1119407101;92,39841; Value-21;0x42D056E9;1120949993;104,1697; Value-22;0x42D9B8C7;1121564871;108,8609; Value-23;0x42D5C267;1121305191;106,8797; Value-24;0x42D4AAB3;1121233587;106,3334; Value-25;0x42D8A38A;1121493898;108,3194; Value-26;0x42E11C17;1122049047;112,5549;
2023-10-19_13:28:14.49; Value-01;0xBD4CB6F8;-1119045896;-0,04997918; Value-02;0x4070482D;1081100333;3,754405; Value-03;0x415A625E;1096442462;13,64902; Value-04;0x418993FF;1099535359;17,19726; Value-05;0x42250050;1109721168;41,25031; Value-06;0x42A8C1F5;1118355957;84,37882; Value-07;0x42A83F22;1118322466;84,12331; Value-08;0x42B18149;1118929225;88,75251; Value-09;0x42BD55A9;1119704489;94,6673; Value-0A;0x41F3B562;1106490722;30,46357; Value-0B;0x429E222A;1117659690;79,06673; Value-0C;0x42B6DAD5;1119279829;91,42741; Value-0D;0x42CDA789;1120774025;102,8272; Value-0E;0x42D6645E;1121346654;107,196; Value-0F;0x42D2E09A;1121116314;105,4387; Value-10;0x42D1CD9C;1121045916;104,9016; Value-11;0x42D5A246;1121296966;106,8169; Value-12;0x42DE0B37;1121848119;111,0219; Value-13;0xBE154738;-1105901768;-0,1457795; Value-14;0xBFB24BFE;-1078834178;-1,392944; Value-15;0x415A6DA3;1096445347;13,65177; Value-16;0x418AA6C8;1099605704;17,33144; Value-17;0x4224EBBD;1109715901;41,23021; Value-18;0x42ABA6A0;1118545568;85,82544; Value-19;0x42AA9766;1118476134;85,2957; Value-1A;0x42B41E25;1119100453;90,05888; Value-1B;0x42C002F4;1119879924;96,00577; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41F3AB02;1106488066;30,4585; Value-1F;0x42A17ED0;1117880016;80,74768; Value-20;0x42B77335;1119318837;91,72501; Value-21;0x42D0814A;1120960842;104,2525; Value-22;0x42D9C6C5;1121568453;108,8882; Value-23;0x42D5C466;1121305702;106,8836; Value-24;0x42D4E3F3;1121248243;106,4452; Value-25;0x42D8BAC5;1121499845;108,3648; Value-26;0x42E0F476;1122038902;112,4775;
2023-10-19_13:28:14.61; Value-01;0xBD4CB6F8;-1119045896;-0,04997918; Value-02;0x4070482D;1081100333;3,754405; Value-03;0x415A625E;1096442462;13,64902; Value-04;0x418993FF;1099535359;17,19726; Value-05;0x42250050;1109721168;41,25031; Value-06;0x42A8C1F5;1118355957;84,37882; Value-07;0x42A83F22;1118322466;84,12331; Value-08;0x42B18149;1118929225;88,75251; Value-09;0x42BD55A9;1119704489;94,6673; Value-0A;0x41F3B562;1106490722;30,46357; Value-0B;0x429E222A;1117659690;79,06673; Value-0C;0x42B6DAD5;1119279829;91,42741; Value-0D;0x42CDA789;1120774025;102,8272; Value-0E;0x42D6645E;1121346654;107,196; Value-0F;0x42D2E09A;1121116314;105,4387; Value-10;0x42D1CD9C;1121045916;104,9016; Value-11;0x42D5A246;1121296966;106,8169; Value-12;0x42DE0B37;1121848119;111,0219; Value-13;0xBE154738;-1105901768;-0,1457795; Value-14;0xBFB24BFE;-1078834178;-1,392944; Value-15;0x415A6DA3;1096445347;13,65177; Value-16;0x418AA6C8;1099605704;17,33144; Value-17;0x4224EBBD;1109715901;41,23021; Value-18;0x42ABA6A0;1118545568;85,82544; Value-19;0x42AA9766;1118476134;85,2957; Value-1A;0x42B41E25;1119100453;90,05888; Value-1B;0x42C002F4;1119879924;96,00577; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41F3AB02;1106488066;30,4585; Value-1F;0x42A17ED0;1117880016;80,74768; Value-20;0x42B77335;1119318837;91,72501; Value-21;0x42D0814A;1120960842;104,2525; Value-22;0x42D9C6C5;1121568453;108,8882; Value-23;0x42D5C466;1121305702;106,8836; Value-24;0x42D4E3F3;1121248243;106,4452; Value-25;0x42D8BAC5;1121499845;108,3648; Value-26;0x42E0F476;1122038902;112,4775;
2023-10-19_13:28:14.66; Value-01;0xBD4CB6F8;-1119045896;-0,04997918; Value-02;0x4070482D;1081100333;3,754405; Value-03;0x415A625E;1096442462;13,64902; Value-04;0x418993FF;1099535359;17,19726; Value-05;0x42250050;1109721168;41,25031; Value-06;0x42A8C1F5;1118355957;84,37882; Value-07;0x42A83F22;1118322466;84,12331; Value-08;0x42B18149;1118929225;88,75251; Value-09;0x42BD55A9;1119704489;94,6673; Value-0A;0x41F3B562;1106490722;30,46357; Value-0B;0x429E222A;1117659690;79,06673; Value-0C;0x42B6DAD5;1119279829;91,42741; Value-0D;0x42CDA789;1120774025;102,8272; Value-0E;0x42D6645E;1121346654;107,196; Value-0F;0x42D2E09A;1121116314;105,4387; Value-10;0x42D1CD9C;1121045916;104,9016; Value-11;0x42D5A246;1121296966;106,8169; Value-12;0x42DE0B37;1121848119;111,0219; Value-13;0xBE154738;-1105901768;-0,1457795; Value-14;0xBFB24BFE;-1078834178;-1,392944; Value-15;0x415A6DA3;1096445347;13,65177; Value-16;0x418AA6C8;1099605704;17,33144; Value-17;0x4224EBBD;1109715901;41,23021; Value-18;0x42ABA6A0;1118545568;85,82544; Value-19;0x42AA9766;1118476134;85,2957; Value-1A;0x42B41E25;1119100453;90,05888; Value-1B;0x42C002F4;1119879924;96,00577; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x41F3AB02;1106488066;30,4585; Value-1F;0x42A17ED0;1117880016;80,74768; Value-20;0x42B77335;1119318837;91,72501; Value-21;0x42D0814A;1120960842;104,2525; Value-22;0x42D9C6C5;1121568453;108,8882; Value-23;0x42D5C466;1121305702;106,8836; Value-24;0x42D4E3F3;1121248243;106,4452; Value-25;0x42D8BAC5;1121499845;108,3648; Value-26;0x42E0F476;1122038902;112,4775;
