Timestamp;Data
2023-10-19_11:42:35.24; Value-01;0xC2BBFFE2;-1027866654;-93,99977; Value-02;0x42832979;1115892089;65,581; Value-03;0x42A019BC;1117788604;80,05026; Value-04;0x42B21A01;1118968321;89,05079; Value-05;0x4297EFDA;1117253594;75,96846; Value-06;0x42C51F9B;1120214939;98,56173; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F7ABCB;1123527627;123,8355; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ED512;1116656914;71,41615; Value-0B;0x42DA5779;1121605497;109,1708; Value-0C;0x42FD1FF4;1123885044;126,5624; Value-0D;0x42FA1432;1123685426;125,0394; Value-0E;0x43055E6D;1124425325;133,3689; Value-0F;0x42793538;1115239736;62,30197; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC2396351;-1036426415;-46,34699; Value-14;0x42C0D7E8;1119934440;96,42169; Value-15;0x42A2746A;1117942890;81,22737; Value-16;0x42B4DF4B;1119149899;90,43612; Value-17;0x429A832A;1117422378;77,25618; Value-18;0x42C68D3F;1120308543;99,27587; Value-19;0x42FDAD7F;1123921279;126,8389; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FF059F;1124009375;127,511; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291468C;1116817036;72,63779; Value-1F;0x42DE3920;1121859872;111,1116; Value-20;0x43004D7C;1124093308;128,3027; Value-21;0x42FEFDED;1124007405;127,4959; Value-22;0x4307054F;1124533583;135,0207; Value-23;0x427B9B97;1115397015;62,90194; Value-24;0x4280B790;1115731856;64,35852; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.34; Value-01;0xC2BBFFE2;-1027866654;-93,99977; Value-02;0x42832979;1115892089;65,581; Value-03;0x42A019BC;1117788604;80,05026; Value-04;0x42B21A01;1118968321;89,05079; Value-05;0x4297EFDA;1117253594;75,96846; Value-06;0x42C51F9B;1120214939;98,56173; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F7ABCB;1123527627;123,8355; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ED512;1116656914;71,41615; Value-0B;0x42DA5779;1121605497;109,1708; Value-0C;0x42FD1FF4;1123885044;126,5624; Value-0D;0x42FA1432;1123685426;125,0394; Value-0E;0x43055E6D;1124425325;133,3689; Value-0F;0x42793538;1115239736;62,30197; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC2396351;-1036426415;-46,34699; Value-14;0x42C0D7E8;1119934440;96,42169; Value-15;0x42A2746A;1117942890;81,22737; Value-16;0x42B4DF4B;1119149899;90,43612; Value-17;0x429A832A;1117422378;77,25618; Value-18;0x42C68D3F;1120308543;99,27587; Value-19;0x42FDAD7F;1123921279;126,8389; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FF059F;1124009375;127,511; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291468C;1116817036;72,63779; Value-1F;0x42DE3920;1121859872;111,1116; Value-20;0x43004D7C;1124093308;128,3027; Value-21;0x42FEFDED;1124007405;127,4959; Value-22;0x4307054F;1124533583;135,0207; Value-23;0x427B9B97;1115397015;62,90194; Value-24;0x4280B790;1115731856;64,35852; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.39; Value-01;0xC2BBFFE2;-1027866654;-93,99977; Value-02;0x42832979;1115892089;65,581; Value-03;0x42A019BC;1117788604;80,05026; Value-04;0x42B21A01;1118968321;89,05079; Value-05;0x4297EFDA;1117253594;75,96846; Value-06;0x42C51F9B;1120214939;98,56173; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F7ABCB;1123527627;123,8355; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ED512;1116656914;71,41615; Value-0B;0x42DA5779;1121605497;109,1708; Value-0C;0x42FD1FF4;1123885044;126,5624; Value-0D;0x42FA1432;1123685426;125,0394; Value-0E;0x43055E6D;1124425325;133,3689; Value-0F;0x42793538;1115239736;62,30197; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC2396351;-1036426415;-46,34699; Value-14;0x42C0D7E8;1119934440;96,42169; Value-15;0x42A2746A;1117942890;81,22737; Value-16;0x42B4DF4B;1119149899;90,43612; Value-17;0x429A832A;1117422378;77,25618; Value-18;0x42C68D3F;1120308543;99,27587; Value-19;0x42FDAD7F;1123921279;126,8389; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FF059F;1124009375;127,511; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291468C;1116817036;72,63779; Value-1F;0x42DE3920;1121859872;111,1116; Value-20;0x43004D7C;1124093308;128,3027; Value-21;0x42FEFDED;1124007405;127,4959; Value-22;0x4307054F;1124533583;135,0207; Value-23;0x427B9B97;1115397015;62,90194; Value-24;0x4280B790;1115731856;64,35852; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.43; Value-01;0xC2BBFFE2;-1027866654;-93,99977; Value-02;0x42832979;1115892089;65,581; Value-03;0x42A019BC;1117788604;80,05026; Value-04;0x42B21A01;1118968321;89,05079; Value-05;0x4297EFDA;1117253594;75,96846; Value-06;0x42C51F9B;1120214939;98,56173; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F7ABCB;1123527627;123,8355; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ED512;1116656914;71,41615; Value-0B;0x42DA5779;1121605497;109,1708; Value-0C;0x42FD1FF4;1123885044;126,5624; Value-0D;0x42FA1432;1123685426;125,0394; Value-0E;0x43055E6D;1124425325;133,3689; Value-0F;0x42793538;1115239736;62,30197; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC2396351;-1036426415;-46,34699; Value-14;0x42C0D7E8;1119934440;96,42169; Value-15;0x42A2746A;1117942890;81,22737; Value-16;0x42B4DF4B;1119149899;90,43612; Value-17;0x429A832A;1117422378;77,25618; Value-18;0x42C68D3F;1120308543;99,27587; Value-19;0x42FDAD7F;1123921279;126,8389; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FF059F;1124009375;127,511; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291468C;1116817036;72,63779; Value-1F;0x42DE3920;1121859872;111,1116; Value-20;0x43004D7C;1124093308;128,3027; Value-21;0x42FEFDED;1124007405;127,4959; Value-22;0x4307054F;1124533583;135,0207; Value-23;0x427B9B97;1115397015;62,90194; Value-24;0x4280B790;1115731856;64,35852; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.49; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430B00DB;1124794587;139,0033; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B24032;1118978098;89,12538; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C4FFFD;1120206845;98,49998; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F608B3;1123420339;123,017; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DADF78;1121640312;109,4365; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FABB37;1123728183;125,3657; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x42791730;1115232048;62,27264; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x40CAAFF6;1087025142;6,33398; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A29AB2;1117952690;81,30214; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A77F7;1117419511;77,23431; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FEA7B5;1123985333;127,3276; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FBC4D3;1123796179;125,8844; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42916ED7;1116827351;72,71648; Value-1F;0x42DDA1AB;1121821099;110,8158; Value-20;0x430035B7;1124087223;128,2098; Value-21;0x42FF494B;1124026699;127,6432; Value-22;0x4308141D;1124602909;136,0786; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A954A3;1118393507;84,66531; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.58; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430B00DB;1124794587;139,0033; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B24032;1118978098;89,12538; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C4FFFD;1120206845;98,49998; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F608B3;1123420339;123,017; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DADF78;1121640312;109,4365; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FABB37;1123728183;125,3657; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x42791730;1115232048;62,27264; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x40CAAFF6;1087025142;6,33398; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A29AB2;1117952690;81,30214; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A77F7;1117419511;77,23431; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FEA7B5;1123985333;127,3276; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FBC4D3;1123796179;125,8844; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42916ED7;1116827351;72,71648; Value-1F;0x42DDA1AB;1121821099;110,8158; Value-20;0x430035B7;1124087223;128,2098; Value-21;0x42FF494B;1124026699;127,6432; Value-22;0x4308141D;1124602909;136,0786; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A954A3;1118393507;84,66531; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.62; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430B00DB;1124794587;139,0033; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B24032;1118978098;89,12538; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C4FFFD;1120206845;98,49998; Value-07;0x42F99503;1123652867;124,791; Value-08;0x42F608B3;1123420339;123,017; Value-09;0x42FD5019;1123897369;126,6564; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DADF78;1121640312;109,4365; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FABB37;1123728183;125,3657; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x42791730;1115232048;62,27264; Value-10;0x4224B5AC;1109702060;41,17741; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x40CAAFF6;1087025142;6,33398; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A29AB2;1117952690;81,30214; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A77F7;1117419511;77,23431; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FEA7B5;1123985333;127,3276; Value-1A;0x42F7BCF0;1123532016;123,869; Value-1B;0x42FBC4D3;1123796179;125,8844; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42916ED7;1116827351;72,71648; Value-1F;0x42DDA1AB;1121821099;110,8158; Value-20;0x430035B7;1124087223;128,2098; Value-21;0x42FF494B;1124026699;127,6432; Value-22;0x4308141D;1124602909;136,0786; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A954A3;1118393507;84,66531; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.67; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430D10CD;1124929741;141,0656; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B21BF5;1118968821;89,0546; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C461F1;1120166385;98,19129; Value-07;0x42F8FDC3;1123614147;124,4956; Value-08;0x42F0C7E8;1123076072;120,3904; Value-09;0x42F29B59;1123195737;121,3034; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DB476C;1121666924;109,6395; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FAE4D5;1123738837;125,4469; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x428546F8;1116030712;66,63861; Value-10;0x42881299;1116213913;68,03632; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x3FA105CE;1067517390;1,25799; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A25601;1117935105;81,16798; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A7CEE;1117420782;77,244; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FC4DF0;1123831280;126,1522; Value-1A;0x42F3663E;1123247678;121,6997; Value-1B;0x42F36D6B;1123249515;121,7137; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291873C;1116833596;72,76413; Value-1F;0x42DE2344;1121854276;111,0689; Value-20;0x430042B3;1124090547;128,2605; Value-21;0x42FE63A2;1123967906;127,1946; Value-22;0x43079692;1124570770;135,5882; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A7F880;1118304384;83,98535; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.77; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430D10CD;1124929741;141,0656; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B21BF5;1118968821;89,0546; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C461F1;1120166385;98,19129; Value-07;0x42F8FDC3;1123614147;124,4956; Value-08;0x42F0C7E8;1123076072;120,3904; Value-09;0x42F29B59;1123195737;121,3034; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DB476C;1121666924;109,6395; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FAE4D5;1123738837;125,4469; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x428546F8;1116030712;66,63861; Value-10;0x42881299;1116213913;68,03632; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x3FA105CE;1067517390;1,25799; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A25601;1117935105;81,16798; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A7CEE;1117420782;77,244; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FC4DF0;1123831280;126,1522; Value-1A;0x42F3663E;1123247678;121,6997; Value-1B;0x42F36D6B;1123249515;121,7137; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291873C;1116833596;72,76413; Value-1F;0x42DE2344;1121854276;111,0689; Value-20;0x430042B3;1124090547;128,2605; Value-21;0x42FE63A2;1123967906;127,1946; Value-22;0x43079692;1124570770;135,5882; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A7F880;1118304384;83,98535; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.80; Value-01;0x415BD585;1096537477;13,73963; Value-02;0x430D10CD;1124929741;141,0656; Value-03;0x429FF292;1117778578;79,97377; Value-04;0x42B21BF5;1118968821;89,0546; Value-05;0x42979D79;1117232505;75,80756; Value-06;0x42C461F1;1120166385;98,19129; Value-07;0x42F8FDC3;1123614147;124,4956; Value-08;0x42F0C7E8;1123076072;120,3904; Value-09;0x42F29B59;1123195737;121,3034; Value-0A;0x428ECFB6;1116655542;71,40569; Value-0B;0x42DB476C;1121666924;109,6395; Value-0C;0x42FD30C0;1123889344;126,5952; Value-0D;0x42FAE4D5;1123738837;125,4469; Value-0E;0x4305D9A2;1124456866;133,8501; Value-0F;0x428546F8;1116030712;66,63861; Value-10;0x42881299;1116213913;68,03632; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0x3FA105CE;1067517390;1,25799; Value-14;0x4301F660;1124202080;129,9624; Value-15;0x42A25601;1117935105;81,16798; Value-16;0x42B4ADD5;1119137237;90,33952; Value-17;0x429A7CEE;1117420782;77,244; Value-18;0x42C71249;1120342601;99,53571; Value-19;0x42FC4DF0;1123831280;126,1522; Value-1A;0x42F3663E;1123247678;121,6997; Value-1B;0x42F36D6B;1123249515;121,7137; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4291873C;1116833596;72,76413; Value-1F;0x42DE2344;1121854276;111,0689; Value-20;0x430042B3;1124090547;128,2605; Value-21;0x42FE63A2;1123967906;127,1946; Value-22;0x43079692;1124570770;135,5882; Value-23;0x429957A6;1117345702;76,67119; Value-24;0x42A7F880;1118304384;83,98535; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:42:35.86; Value-01;0x412798CD;1093114061;10,4748; Value-02;0x426D8370;1114473328;59,37836; Value-03;0x42A0229C;1117790876;80,0676; Value-04;0x42B22537;1118971191;89,07269; Value-05;0x4297CB6B;1117244267;75,8973; Value-06;0x42C518A0;1120213152;98,5481; Value-07;0x42FA73E0;1123709920;125,2263; Value-08;0x42F189B5;1123125685;120,769; Value-09;0x42F5E999;1123412377;122,9562; Value-0A;0x428E92F8;1116639992;71,28705; Value-0B;0x42DA765D;1121613405;109,2312; Value-0C;0x42FD6B44;1123904324;126,7095; Value-0D;0x42FA8269;1123713641;125,2547; Value-0E;0x430634FE;1124480254;134,207; Value-0F;0x427F23E7;1115628519;63,78506; Value-10;0x429D12AD;1117590189;78,53648; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1BD4591;-1044560495;-23,65897; Value-14;0x43175E53;1125604947;151,3685; Value-15;0x42A29EA0;1117953696;81,30981; Value-16;0x42B4D47F;1119147135;90,41503; Value-17;0x429AA74B;1117431627;77,32674; Value-18;0x42C7B4F0;1120384240;99,85339; Value-19;0x42FC9157;1123848535;126,2839; Value-1A;0x42F66662;1123444322;123,2; Value-1B;0x42F614D3;1123423443;123,0407; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42912F6B;1116811115;72,59261; Value-1F;0x42DE2344;1121854276;111,0689; Value-20;0x4300297E;1124084094;128,1621; Value-21;0x42FE63A2;1123967906;127,1946; Value-22;0x4307C81C;1124583452;135,7817; Value-23;0x428CF42D;1116533805;70,47691; Value-24;0x4293EAE8;1116990184;73,9588; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
