Timestamp;Data
2023-10-19_13:20:10.23; Value-01;0x3F198DB4;1058639284;0,5998185; Value-02;0x3FA0FDDA;1067515354;1,257747; Value-03;0x4109513A;1091129658;8,582331; Value-04;0x41CAE833;1103816755;25,36338; Value-05;0x425EEE16;1113517590;55,73251; Value-06;0x42A88A65;1118341733;84,2703; Value-07;0x42B573D9;1119187929;90,72626; Value-08;0x42BAF9ED;1119549933;93,48814; Value-09;0x42BF3656;1119827542;95,60612; Value-0A;0x4254CF37;1112854327;53,20236; Value-0B;0x42B54458;1119175768;90,63348; Value-0C;0x42C34CE6;1120095462;97,65019; Value-0D;0x42CC670F;1120691983;102,2013; Value-0E;0x42CF1F32;1120870194;103,5609; Value-0F;0x42CFCBB4;1120914356;103,8979; Value-10;0x42CDFA77;1120795255;102,9892; Value-11;0x42D07AB2;1120959154;104,2396; Value-12;0x42D864B2;1121477810;108,1967; Value-13;0x3E82FC08;1048771592;0,2558291; Value-14;0x3F0F04FE;1057948926;0,5586699; Value-15;0x4104E3DD;1090839517;8,305631; Value-16;0x41CB1B10;1103829776;25,38821; Value-17;0x4264A411;1113891857;57,16022; Value-18;0x42AA8A5B;1118472795;85,27023; Value-19;0x42B792BA;1119326906;91,78658; Value-1A;0x42BDC0A4;1119731876;94,87625; Value-1B;0x42C20B04;1120013060;97,02151; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425BDB72;1113316210;54,9643; Value-1F;0x42BA35DA;1119499738;93,10518; Value-20;0x42C5DFD7;1120264151;98,93719; Value-21;0x42CEA546;1120838982;103,3228; Value-22;0x42D221D0;1121067472;105,066; Value-23;0x42D2831D;1121092381;105,2561; Value-24;0x42D0F10A;1120989450;104,4708; Value-25;0x42D378AB;1121155243;105,7357; Value-26;0x42DB711F;1121677599;109,7209;
2023-10-19_13:20:10.39; Value-01;0x3F198DB4;1058639284;0,5998185; Value-02;0x3FA0FDDA;1067515354;1,257747; Value-03;0x4109513A;1091129658;8,582331; Value-04;0x41CAE833;1103816755;25,36338; Value-05;0x425EEE16;1113517590;55,73251; Value-06;0x42A88A65;1118341733;84,2703; Value-07;0x42B573D9;1119187929;90,72626; Value-08;0x42BAF9ED;1119549933;93,48814; Value-09;0x42BF3656;1119827542;95,60612; Value-0A;0x4254CF37;1112854327;53,20236; Value-0B;0x42B54458;1119175768;90,63348; Value-0C;0x42C34CE6;1120095462;97,65019; Value-0D;0x42CC670F;1120691983;102,2013; Value-0E;0x42CF1F32;1120870194;103,5609; Value-0F;0x42CFCBB4;1120914356;103,8979; Value-10;0x42CDFA77;1120795255;102,9892; Value-11;0x42D07AB2;1120959154;104,2396; Value-12;0x42D864B2;1121477810;108,1967; Value-13;0x3E82FC08;1048771592;0,2558291; Value-14;0x3F0F04FE;1057948926;0,5586699; Value-15;0x4104E3DD;1090839517;8,305631; Value-16;0x41CB1B10;1103829776;25,38821; Value-17;0x4264A411;1113891857;57,16022; Value-18;0x42AA8A5B;1118472795;85,27023; Value-19;0x42B792BA;1119326906;91,78658; Value-1A;0x42BDC0A4;1119731876;94,87625; Value-1B;0x42C20B04;1120013060;97,02151; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425BDB72;1113316210;54,9643; Value-1F;0x42BA35DA;1119499738;93,10518; Value-20;0x42C5DFD7;1120264151;98,93719; Value-21;0x42CEA546;1120838982;103,3228; Value-22;0x42D221D0;1121067472;105,066; Value-23;0x42D2831D;1121092381;105,2561; Value-24;0x42D0F10A;1120989450;104,4708; Value-25;0x42D378AB;1121155243;105,7357; Value-26;0x42DB711F;1121677599;109,7209;
2023-10-19_13:20:10.39; Value-01;0x3F198DB4;1058639284;0,5998185; Value-02;0x3FA0FDDA;1067515354;1,257747; Value-03;0x4109513A;1091129658;8,582331; Value-04;0x41CAE833;1103816755;25,36338; Value-05;0x425EEE16;1113517590;55,73251; Value-06;0x42A88A65;1118341733;84,2703; Value-07;0x42B573D9;1119187929;90,72626; Value-08;0x42BAF9ED;1119549933;93,48814; Value-09;0x42BF3656;1119827542;95,60612; Value-0A;0x4254CF37;1112854327;53,20236; Value-0B;0x42B54458;1119175768;90,63348; Value-0C;0x42C34CE6;1120095462;97,65019; Value-0D;0x42CC670F;1120691983;102,2013; Value-0E;0x42CF1F32;1120870194;103,5609; Value-0F;0x42CFCBB4;1120914356;103,8979; Value-10;0x42CDFA77;1120795255;102,9892; Value-11;0x42D07AB2;1120959154;104,2396; Value-12;0x42D864B2;1121477810;108,1967; Value-13;0x3E82FC08;1048771592;0,2558291; Value-14;0x3F0F04FE;1057948926;0,5586699; Value-15;0x4104E3DD;1090839517;8,305631; Value-16;0x41CB1B10;1103829776;25,38821; Value-17;0x4264A411;1113891857;57,16022; Value-18;0x42AA8A5B;1118472795;85,27023; Value-19;0x42B792BA;1119326906;91,78658; Value-1A;0x42BDC0A4;1119731876;94,87625; Value-1B;0x42C20B04;1120013060;97,02151; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425BDB72;1113316210;54,9643; Value-1F;0x42BA35DA;1119499738;93,10518; Value-20;0x42C5DFD7;1120264151;98,93719; Value-21;0x42CEA546;1120838982;103,3228; Value-22;0x42D221D0;1121067472;105,066; Value-23;0x42D2831D;1121092381;105,2561; Value-24;0x42D0F10A;1120989450;104,4708; Value-25;0x42D378AB;1121155243;105,7357; Value-26;0x42DB711F;1121677599;109,7209;
2023-10-19_13:20:10.45; Value-01;0x3F0938AC;1057568940;0,536021; Value-02;0x3F024F94;1057116052;0,5090268; Value-03;0x4107C36B;1091027819;8,485209; Value-04;0x41C76DD0;1103588816;24,92862; Value-05;0x4260CAF1;1113639665;56,19818; Value-06;0x42A8C6D3;1118357203;84,38833; Value-07;0x42B538DB;1119172827;90,61105; Value-08;0x42BAFB58;1119550296;93,49091; Value-09;0x42BF44F8;1119831288;95,6347; Value-0A;0x425648FA;1112951034;53,57127; Value-0B;0x42B4CA14;1119144468;90,39468; Value-0C;0x42C356B8;1120097976;97,66937; Value-0D;0x42CC28CA;1120676042;102,0797; Value-0E;0x42CF3FA1;1120878497;103,6243; Value-0F;0x42CF9648;1120900680;103,7935; Value-10;0x42CDED59;1120791897;102,9636; Value-11;0x42D079BE;1120958910;104,2378; Value-12;0x42D887F4;1121486836;108,2655; Value-13;0x3E808ECE;1048612558;0,2510895; Value-14;0x3F24CAAD;1059375789;0,6437176; Value-15;0x41056DCB;1090874827;8,339305; Value-16;0x41CD0042;1103953986;25,62513; Value-17;0x426478E9;1113880809;57,11808; Value-18;0x42AAEC6C;1118497900;85,46176; Value-19;0x42B79114;1119326484;91,78336; Value-1A;0x42BD7A5D;1119713885;94,73899; Value-1B;0x42C21643;1120015939;97,04348; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42681363;1114116963;58,01893; Value-1F;0x42B924E2;1119429858;92,57204; Value-20;0x42C5E65F;1120265823;98,94994; Value-21;0x42CF12F0;1120867056;103,537; Value-22;0x42D22FCD;1121071053;105,0934; Value-23;0x42D2900F;1121095695;105,2814; Value-24;0x42D0E0DB;1120985307;104,4392; Value-25;0x42D36999;1121151385;105,7062; Value-26;0x42DB8AA5;1121684133;109,7708;
2023-10-19_13:20:10.59; Value-01;0x3F0938AC;1057568940;0,536021; Value-02;0x3F024F94;1057116052;0,5090268; Value-03;0x4107C36B;1091027819;8,485209; Value-04;0x41C76DD0;1103588816;24,92862; Value-05;0x4260CAF1;1113639665;56,19818; Value-06;0x42A8C6D3;1118357203;84,38833; Value-07;0x42B538DB;1119172827;90,61105; Value-08;0x42BAFB58;1119550296;93,49091; Value-09;0x42BF44F8;1119831288;95,6347; Value-0A;0x425648FA;1112951034;53,57127; Value-0B;0x42B4CA14;1119144468;90,39468; Value-0C;0x42C356B8;1120097976;97,66937; Value-0D;0x42CC28CA;1120676042;102,0797; Value-0E;0x42CF3FA1;1120878497;103,6243; Value-0F;0x42CF9648;1120900680;103,7935; Value-10;0x42CDED59;1120791897;102,9636; Value-11;0x42D079BE;1120958910;104,2378; Value-12;0x42D887F4;1121486836;108,2655; Value-13;0x3E808ECE;1048612558;0,2510895; Value-14;0x3F24CAAD;1059375789;0,6437176; Value-15;0x41056DCB;1090874827;8,339305; Value-16;0x41CD0042;1103953986;25,62513; Value-17;0x426478E9;1113880809;57,11808; Value-18;0x42AAEC6C;1118497900;85,46176; Value-19;0x42B79114;1119326484;91,78336; Value-1A;0x42BD7A5D;1119713885;94,73899; Value-1B;0x42C21643;1120015939;97,04348; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42681363;1114116963;58,01893; Value-1F;0x42B924E2;1119429858;92,57204; Value-20;0x42C5E65F;1120265823;98,94994; Value-21;0x42CF12F0;1120867056;103,537; Value-22;0x42D22FCD;1121071053;105,0934; Value-23;0x42D2900F;1121095695;105,2814; Value-24;0x42D0E0DB;1120985307;104,4392; Value-25;0x42D36999;1121151385;105,7062; Value-26;0x42DB8AA5;1121684133;109,7708;
2023-10-19_13:20:10.59; Value-01;0x3F0938AC;1057568940;0,536021; Value-02;0x3F024F94;1057116052;0,5090268; Value-03;0x4107C36B;1091027819;8,485209; Value-04;0x41C76DD0;1103588816;24,92862; Value-05;0x4260CAF1;1113639665;56,19818; Value-06;0x42A8C6D3;1118357203;84,38833; Value-07;0x42B538DB;1119172827;90,61105; Value-08;0x42BAFB58;1119550296;93,49091; Value-09;0x42BF44F8;1119831288;95,6347; Value-0A;0x425648FA;1112951034;53,57127; Value-0B;0x42B4CA14;1119144468;90,39468; Value-0C;0x42C356B8;1120097976;97,66937; Value-0D;0x42CC28CA;1120676042;102,0797; Value-0E;0x42CF3FA1;1120878497;103,6243; Value-0F;0x42CF9648;1120900680;103,7935; Value-10;0x42CDED59;1120791897;102,9636; Value-11;0x42D079BE;1120958910;104,2378; Value-12;0x42D887F4;1121486836;108,2655; Value-13;0x3E808ECE;1048612558;0,2510895; Value-14;0x3F24CAAD;1059375789;0,6437176; Value-15;0x41056DCB;1090874827;8,339305; Value-16;0x41CD0042;1103953986;25,62513; Value-17;0x426478E9;1113880809;57,11808; Value-18;0x42AAEC6C;1118497900;85,46176; Value-19;0x42B79114;1119326484;91,78336; Value-1A;0x42BD7A5D;1119713885;94,73899; Value-1B;0x42C21643;1120015939;97,04348; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42681363;1114116963;58,01893; Value-1F;0x42B924E2;1119429858;92,57204; Value-20;0x42C5E65F;1120265823;98,94994; Value-21;0x42CF12F0;1120867056;103,537; Value-22;0x42D22FCD;1121071053;105,0934; Value-23;0x42D2900F;1121095695;105,2814; Value-24;0x42D0E0DB;1120985307;104,4392; Value-25;0x42D36999;1121151385;105,7062; Value-26;0x42DB8AA5;1121684133;109,7708;
2023-10-19_13:20:10.59; Value-01;0x3F0938AC;1057568940;0,536021; Value-02;0x3F024F94;1057116052;0,5090268; Value-03;0x4107C36B;1091027819;8,485209; Value-04;0x41C76DD0;1103588816;24,92862; Value-05;0x4260CAF1;1113639665;56,19818; Value-06;0x42A8C6D3;1118357203;84,38833; Value-07;0x42B538DB;1119172827;90,61105; Value-08;0x42BAFB58;1119550296;93,49091; Value-09;0x42BF44F8;1119831288;95,6347; Value-0A;0x425648FA;1112951034;53,57127; Value-0B;0x42B4CA14;1119144468;90,39468; Value-0C;0x42C356B8;1120097976;97,66937; Value-0D;0x42CC28CA;1120676042;102,0797; Value-0E;0x42CF3FA1;1120878497;103,6243; Value-0F;0x42CF9648;1120900680;103,7935; Value-10;0x42CDED59;1120791897;102,9636; Value-11;0x42D079BE;1120958910;104,2378; Value-12;0x42D887F4;1121486836;108,2655; Value-13;0x3E808ECE;1048612558;0,2510895; Value-14;0x3F24CAAD;1059375789;0,6437176; Value-15;0x41056DCB;1090874827;8,339305; Value-16;0x41CD0042;1103953986;25,62513; Value-17;0x426478E9;1113880809;57,11808; Value-18;0x42AAEC6C;1118497900;85,46176; Value-19;0x42B79114;1119326484;91,78336; Value-1A;0x42BD7A5D;1119713885;94,73899; Value-1B;0x42C21643;1120015939;97,04348; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42681363;1114116963;58,01893; Value-1F;0x42B924E2;1119429858;92,57204; Value-20;0x42C5E65F;1120265823;98,94994; Value-21;0x42CF12F0;1120867056;103,537; Value-22;0x42D22FCD;1121071053;105,0934; Value-23;0x42D2900F;1121095695;105,2814; Value-24;0x42D0E0DB;1120985307;104,4392; Value-25;0x42D36999;1121151385;105,7062; Value-26;0x42DB8AA5;1121684133;109,7708;
2023-10-19_13:20:10.65; Value-01;0x3E7400C6;1047789766;0,2382842; Value-02;0x3FA2B27F;1067627135;1,271072; Value-03;0x4105E45C;1090905180;8,368252; Value-04;0x41C7CE06;1103613446;24,9756; Value-05;0x4261EC34;1113713716;56,48067; Value-06;0x42A8E193;1118364051;84,44057; Value-07;0x42B54490;1119175824;90,63391; Value-08;0x42BADCDD;1119542493;93,43137; Value-09;0x42BF43C2;1119830978;95,63234; Value-0A;0x425757FC;1113020412;53,83592; Value-0B;0x42B54134;1119174964;90,62735; Value-0C;0x42C35624;1120097828;97,66824; Value-0D;0x42CC38A4;1120680100;102,1106; Value-0E;0x42CF5295;1120883349;103,6613; Value-0F;0x42CF8BCD;1120897997;103,773; Value-10;0x42CDF8C8;1120794824;102,9859; Value-11;0x42D07F25;1120960293;104,2483; Value-12;0x42D8A416;1121494038;108,3205; Value-13;0x3E881D3C;1049107772;0,265848; Value-14;0x401B6F99;1075539865;2,428686; Value-15;0x410335DB;1090729435;8,200648; Value-16;0x41CB302F;1103835183;25,39853; Value-17;0x42639E53;1113824851;56,90461; Value-18;0x42AA758E;1118467470;85,2296; Value-19;0x42B77D2E;1119321390;91,74449; Value-1A;0x42BD83DF;1119716319;94,75756; Value-1B;0x42C21A8C;1120017036;97,05185; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42617BE8;1113684968;56,371; Value-1F;0x42B8AF6B;1119399787;92,34261; Value-20;0x42C56DD5;1120234965;98,71452; Value-21;0x42CFCFBB;1120915387;103,9057; Value-22;0x42D2488D;1121077389;105,1417; Value-23;0x42D28BCA;1121094602;105,273; Value-24;0x42D0FD25;1120992549;104,4944; Value-25;0x42D37E6D;1121156717;105,7469; Value-26;0x42DB6F4F;1121677135;109,7174;
2023-10-19_13:20:10.80; Value-01;0x3E7400C6;1047789766;0,2382842; Value-02;0x3FA2B27F;1067627135;1,271072; Value-03;0x4105E45C;1090905180;8,368252; Value-04;0x41C7CE06;1103613446;24,9756; Value-05;0x4261EC34;1113713716;56,48067; Value-06;0x42A8E193;1118364051;84,44057; Value-07;0x42B54490;1119175824;90,63391; Value-08;0x42BADCDD;1119542493;93,43137; Value-09;0x42BF43C2;1119830978;95,63234; Value-0A;0x425757FC;1113020412;53,83592; Value-0B;0x42B54134;1119174964;90,62735; Value-0C;0x42C35624;1120097828;97,66824; Value-0D;0x42CC38A4;1120680100;102,1106; Value-0E;0x42CF5295;1120883349;103,6613; Value-0F;0x42CF8BCD;1120897997;103,773; Value-10;0x42CDF8C8;1120794824;102,9859; Value-11;0x42D07F25;1120960293;104,2483; Value-12;0x42D8A416;1121494038;108,3205; Value-13;0x3E881D3C;1049107772;0,265848; Value-14;0x401B6F99;1075539865;2,428686; Value-15;0x410335DB;1090729435;8,200648; Value-16;0x41CB302F;1103835183;25,39853; Value-17;0x42639E53;1113824851;56,90461; Value-18;0x42AA758E;1118467470;85,2296; Value-19;0x42B77D2E;1119321390;91,74449; Value-1A;0x42BD83DF;1119716319;94,75756; Value-1B;0x42C21A8C;1120017036;97,05185; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42617BE8;1113684968;56,371; Value-1F;0x42B8AF6B;1119399787;92,34261; Value-20;0x42C56DD5;1120234965;98,71452; Value-21;0x42CFCFBB;1120915387;103,9057; Value-22;0x42D2488D;1121077389;105,1417; Value-23;0x42D28BCA;1121094602;105,273; Value-24;0x42D0FD25;1120992549;104,4944; Value-25;0x42D37E6D;1121156717;105,7469; Value-26;0x42DB6F4F;1121677135;109,7174;
2023-10-19_13:20:10.80; Value-01;0x3E7400C6;1047789766;0,2382842; Value-02;0x3FA2B27F;1067627135;1,271072; Value-03;0x4105E45C;1090905180;8,368252; Value-04;0x41C7CE06;1103613446;24,9756; Value-05;0x4261EC34;1113713716;56,48067; Value-06;0x42A8E193;1118364051;84,44057; Value-07;0x42B54490;1119175824;90,63391; Value-08;0x42BADCDD;1119542493;93,43137; Value-09;0x42BF43C2;1119830978;95,63234; Value-0A;0x425757FC;1113020412;53,83592; Value-0B;0x42B54134;1119174964;90,62735; Value-0C;0x42C35624;1120097828;97,66824; Value-0D;0x42CC38A4;1120680100;102,1106; Value-0E;0x42CF5295;1120883349;103,6613; Value-0F;0x42CF8BCD;1120897997;103,773; Value-10;0x42CDF8C8;1120794824;102,9859; Value-11;0x42D07F25;1120960293;104,2483; Value-12;0x42D8A416;1121494038;108,3205; Value-13;0x3E881D3C;1049107772;0,265848; Value-14;0x401B6F99;1075539865;2,428686; Value-15;0x410335DB;1090729435;8,200648; Value-16;0x41CB302F;1103835183;25,39853; Value-17;0x42639E53;1113824851;56,90461; Value-18;0x42AA758E;1118467470;85,2296; Value-19;0x42B77D2E;1119321390;91,74449; Value-1A;0x42BD83DF;1119716319;94,75756; Value-1B;0x42C21A8C;1120017036;97,05185; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42617BE8;1113684968;56,371; Value-1F;0x42B8AF6B;1119399787;92,34261; Value-20;0x42C56DD5;1120234965;98,71452; Value-21;0x42CFCFBB;1120915387;103,9057; Value-22;0x42D2488D;1121077389;105,1417; Value-23;0x42D28BCA;1121094602;105,273; Value-24;0x42D0FD25;1120992549;104,4944; Value-25;0x42D37E6D;1121156717;105,7469; Value-26;0x42DB6F4F;1121677135;109,7174;
2023-10-19_13:20:10.86; Value-01;0x3F176FED;1058500589;0,5915516; Value-02;0x3F9B9399;1067160473;1,215442; Value-03;0x4107B61C;1091024412;8,48196; Value-04;0x41C6EFEF;1103556591;24,86716; Value-05;0x4261318E;1113665934;56,29839; Value-06;0x42A821D6;1118314966;84,06609; Value-07;0x42B5444C;1119175756;90,63339; Value-08;0x42BADCDD;1119542493;93,43137; Value-09;0x42BF4193;1119830419;95,62807; Value-0A;0x4253D452;1112790098;52,95734; Value-0B;0x42B534F1;1119171825;90,6034; Value-0C;0x42C3B8B6;1120123062;97,86076; Value-0D;0x42CC20A0;1120673952;102,0637; Value-0E;0x42CF05C8;1120863688;103,5113; Value-0F;0x42CF8FBB;1120899003;103,7807; Value-10;0x42CE0D7D;1120800125;103,0263; Value-11;0x42D066E1;1120954081;104,2009; Value-12;0x42D87FB9;1121484729;108,2495; Value-13;0x3DB0676D;1034970989;0,08613477; Value-14;0x3F90E75C;1066461020;1,132061; Value-15;0x4103B5E9;1090762217;8,231912; Value-16;0x41CB5D76;1103846774;25,42064; Value-17;0x4261EB44;1113713476;56,47975; Value-18;0x42AA5244;1118458436;85,16068; Value-19;0x42B78E86;1119325830;91,77837; Value-1A;0x42BDA573;1119724915;94,82314; Value-1B;0x42C21A8C;1120017036;97,05185; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425D8591;1113425297;55,38044; Value-1F;0x42B8567C;1119377020;92,16891; Value-20;0x42C5C2A6;1120256678;98,88017; Value-21;0x42CEE245;1120854597;103,4419; Value-22;0x42D26CD9;1121086681;105,2126; Value-23;0x42D296C9;1121097417;105,2945; Value-24;0x42D106BE;1120995006;104,5132; Value-25;0x42D38C55;1121160277;105,7741; Value-26;0x42DB75DD;1121678813;109,7302;
