Timestamp;Data
2023-10-19_10:50:15.18; Value-01;0x4022999D;1076009373;2,540626; Value-02;0xBECC591B;-1093904101;-0,3991173; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBE6AB;1119610539;93,95052; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CF03B0;1120863152;103,5072; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB1BBA;1120607162;101,5542; Value-09;0x42DB8255;1121682005;109,7546; Value-0A;0x42C2B77D;1120057213;97,35838; Value-0B;0x42D0402E;1120944174;104,1254; Value-0C;0x42DAAFA2;1121628066;109,343; Value-0D;0x42DA9FD3;1121624019;109,3122; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D29760;1121097568;105,2957; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42DF1C91;1121918097;111,5558; Value-12;0x42534429;1112753193;52,81656; Value-13;0x3F0E0769;1057884009;0,5548006; Value-14;0xBE065E24;-1106878940;-0,1312185; Value-15;0x42AA617A;1118462330;85,19038; Value-16;0x42BEBC06;1119796230;95,36723; Value-17;0x42C8AC24;1120447524;100,3362; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D1C2A3;1121043107;104,8801; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DE048B;1121846411;111,0089; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5AF65;1120251749;98,84257; Value-1F;0x42D617BB;1121327035;107,0463; Value-20;0x42DDE69C;1121838748;110,9504; Value-21;0x42DDD233;1121833523;110,9105; Value-22;0x42D7CF9A;1121439642;107,9055; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DD76C4;1121810116;110,732; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x422E0FBD;1110314941;43,51537;
2023-10-19_10:50:15.32; Value-01;0x4022999D;1076009373;2,540626; Value-02;0xBECC591B;-1093904101;-0,3991173; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBE6AB;1119610539;93,95052; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CF03B0;1120863152;103,5072; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB1BBA;1120607162;101,5542; Value-09;0x42DB8255;1121682005;109,7546; Value-0A;0x42C2B77D;1120057213;97,35838; Value-0B;0x42D0402E;1120944174;104,1254; Value-0C;0x42DAAFA2;1121628066;109,343; Value-0D;0x42DA9FD3;1121624019;109,3122; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D29760;1121097568;105,2957; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42DF1C91;1121918097;111,5558; Value-12;0x42534429;1112753193;52,81656; Value-13;0x3F0E0769;1057884009;0,5548006; Value-14;0xBE065E24;-1106878940;-0,1312185; Value-15;0x42AA617A;1118462330;85,19038; Value-16;0x42BEBC06;1119796230;95,36723; Value-17;0x42C8AC24;1120447524;100,3362; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D1C2A3;1121043107;104,8801; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DE048B;1121846411;111,0089; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5AF65;1120251749;98,84257; Value-1F;0x42D617BB;1121327035;107,0463; Value-20;0x42DDE69C;1121838748;110,9504; Value-21;0x42DDD233;1121833523;110,9105; Value-22;0x42D7CF9A;1121439642;107,9055; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DD76C4;1121810116;110,732; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x422E0FBD;1110314941;43,51537;
2023-10-19_10:50:15.32; Value-01;0x4022999D;1076009373;2,540626; Value-02;0xBECC591B;-1093904101;-0,3991173; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBE6AB;1119610539;93,95052; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CF03B0;1120863152;103,5072; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB1BBA;1120607162;101,5542; Value-09;0x42DB8255;1121682005;109,7546; Value-0A;0x42C2B77D;1120057213;97,35838; Value-0B;0x42D0402E;1120944174;104,1254; Value-0C;0x42DAAFA2;1121628066;109,343; Value-0D;0x42DA9FD3;1121624019;109,3122; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D29760;1121097568;105,2957; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42DF1C91;1121918097;111,5558; Value-12;0x42534429;1112753193;52,81656; Value-13;0x3F0E0769;1057884009;0,5548006; Value-14;0xBE065E24;-1106878940;-0,1312185; Value-15;0x42AA617A;1118462330;85,19038; Value-16;0x42BEBC06;1119796230;95,36723; Value-17;0x42C8AC24;1120447524;100,3362; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D1C2A3;1121043107;104,8801; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DE048B;1121846411;111,0089; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5AF65;1120251749;98,84257; Value-1F;0x42D617BB;1121327035;107,0463; Value-20;0x42DDE69C;1121838748;110,9504; Value-21;0x42DDD233;1121833523;110,9105; Value-22;0x42D7CF9A;1121439642;107,9055; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DD76C4;1121810116;110,732; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x422E0FBD;1110314941;43,51537;
2023-10-19_10:50:15.38; Value-01;0x4022999D;1076009373;2,540626; Value-02;0xBECC591B;-1093904101;-0,3991173; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBE6AB;1119610539;93,95052; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CF03B0;1120863152;103,5072; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB1BBA;1120607162;101,5542; Value-09;0x42DB8255;1121682005;109,7546; Value-0A;0x42C2B77D;1120057213;97,35838; Value-0B;0x42D0402E;1120944174;104,1254; Value-0C;0x42DAAFA2;1121628066;109,343; Value-0D;0x42DA9FD3;1121624019;109,3122; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D29760;1121097568;105,2957; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42DF1C91;1121918097;111,5558; Value-12;0x42534429;1112753193;52,81656; Value-13;0x3F0E0769;1057884009;0,5548006; Value-14;0xBE065E24;-1106878940;-0,1312185; Value-15;0x42AA617A;1118462330;85,19038; Value-16;0x42BEBC06;1119796230;95,36723; Value-17;0x42C8AC24;1120447524;100,3362; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D1C2A3;1121043107;104,8801; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DE048B;1121846411;111,0089; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5AF65;1120251749;98,84257; Value-1F;0x42D617BB;1121327035;107,0463; Value-20;0x42DDE69C;1121838748;110,9504; Value-21;0x42DDD233;1121833523;110,9105; Value-22;0x42D7CF9A;1121439642;107,9055; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DD76C4;1121810116;110,732; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x422E0FBD;1110314941;43,51537;
2023-10-19_10:50:15.43; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF912D90;-1081004656;-1,134203; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBC7FC;1119602684;93,89059; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CED2F6;1120850678;103,412; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB6146;1120624966;101,69; Value-09;0x42DB20A9;1121657001;109,5638; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D20F3A;1121062714;105,0297; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA6AD3;1121610451;109,2086; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D28D71;1121095025;105,2763; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42E0B37A;1122022266;112,3505; Value-12;0x425C80CE;1113358542;55,12579; Value-13;0x3F661CB8;1063656632;0,8988757; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42AA01C0;1118437824;85,00342; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8CE58;1120456280;100,403; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D17392;1121022866;104,7257; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DF0B00;1121913600;111,5215; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5BDC3;1120255427;98,87063; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE2939;1121855801;111,0805; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F620;1121449504;107,9807; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DE0B13;1121848083;111,0216; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x426500D6;1113915606;57,25082;
2023-10-19_10:50:15.56; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF912D90;-1081004656;-1,134203; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBC7FC;1119602684;93,89059; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CED2F6;1120850678;103,412; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB6146;1120624966;101,69; Value-09;0x42DB20A9;1121657001;109,5638; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D20F3A;1121062714;105,0297; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA6AD3;1121610451;109,2086; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D28D71;1121095025;105,2763; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42E0B37A;1122022266;112,3505; Value-12;0x425C80CE;1113358542;55,12579; Value-13;0x3F661CB8;1063656632;0,8988757; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42AA01C0;1118437824;85,00342; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8CE58;1120456280;100,403; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D17392;1121022866;104,7257; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DF0B00;1121913600;111,5215; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5BDC3;1120255427;98,87063; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE2939;1121855801;111,0805; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F620;1121449504;107,9807; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DE0B13;1121848083;111,0216; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x426500D6;1113915606;57,25082;
2023-10-19_10:50:15.56; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF912D90;-1081004656;-1,134203; Value-03;0x42AD092F;1118636335;86,51794; Value-04;0x42BBC7FC;1119602684;93,89059; Value-05;0x42C5FA30;1120270896;98,98865; Value-06;0x42CED2F6;1120850678;103,412; Value-07;0x42CEEF7F;1120857983;103,4678; Value-08;0x42CB6146;1120624966;101,69; Value-09;0x42DB20A9;1121657001;109,5638; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D20F3A;1121062714;105,0297; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA6AD3;1121610451;109,2086; Value-0E;0x42D4EF7D;1121251197;106,4678; Value-0F;0x42D28D71;1121095025;105,2763; Value-10;0x42DBC973;1121700211;109,8935; Value-11;0x42E0B37A;1122022266;112,3505; Value-12;0x425C80CE;1113358542;55,12579; Value-13;0x3F661CB8;1063656632;0,8988757; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42AA01C0;1118437824;85,00342; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8CE58;1120456280;100,403; Value-18;0x42D20B9F;1121061791;105,0227; Value-19;0x42D17392;1121022866;104,7257; Value-1A;0x42CCEE04;1120726532;102,4649; Value-1B;0x42DF0B00;1121913600;111,5215; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C5BDC3;1120255427;98,87063; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE2939;1121855801;111,0805; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F620;1121449504;107,9807; Value-23;0x42D57BEA;1121287146;106,742; Value-24;0x42DE0B13;1121848083;111,0216; Value-25;0x42E3BB80;1122220928;113,8662; Value-26;0x426500D6;1113915606;57,25082;
2023-10-19_10:50:15.62; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF244647;-1088141753;-0,6416973; Value-03;0x42A9FADC;1118436060;84,98996; Value-04;0x42BB85FD;1119585789;93,7617; Value-05;0x42C5F16B;1120268651;98,97152; Value-06;0x42CF46B7;1120880311;103,6381; Value-07;0x42CF2D51;1120873809;103,5885; Value-08;0x42CAA358;1120576344;101,319; Value-09;0x42DBB6DC;1121695452;109,8571; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D1FEBE;1121058494;104,9975; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA1D13;1121590547;109,0568; Value-0E;0x42D4EC63;1121250403;106,4617; Value-0F;0x42D29276;1121096310;105,2861; Value-10;0x42DBDDB6;1121705398;109,933; Value-11;0x42DFAA60;1121954400;111,8328; Value-12;0x425AF5E2;1113257442;54,74012; Value-13;0xC0341533;-1070328525;-2,813794; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42A924B3;1118381235;84,57168; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8D5AF;1120458159;100,4174; Value-18;0x42D1BD90;1121041808;104,8702; Value-19;0x42D1D6F1;1121048305;104,9198; Value-1A;0x42CD2843;1120741443;102,5786; Value-1B;0x42DE4FEC;1121865708;111,1561; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C3CEA9;1120128681;97,90363; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE46B8;1121863352;111,1381; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F712;1121449746;107,9826; Value-23;0x42D5736C;1121284972;106,7254; Value-24;0x42DDDEBC;1121836732;110,935; Value-25;0x42E26ABA;1122134714;113,2085; Value-26;0x4229C586;1110033798;42,44289;
2023-10-19_10:50:15.75; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF244647;-1088141753;-0,6416973; Value-03;0x42A9FADC;1118436060;84,98996; Value-04;0x42BB85FD;1119585789;93,7617; Value-05;0x42C5F16B;1120268651;98,97152; Value-06;0x42CF46B7;1120880311;103,6381; Value-07;0x42CF2D51;1120873809;103,5885; Value-08;0x42CAA358;1120576344;101,319; Value-09;0x42DBB6DC;1121695452;109,8571; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D1FEBE;1121058494;104,9975; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA1D13;1121590547;109,0568; Value-0E;0x42D4EC63;1121250403;106,4617; Value-0F;0x42D29276;1121096310;105,2861; Value-10;0x42DBDDB6;1121705398;109,933; Value-11;0x42DFAA60;1121954400;111,8328; Value-12;0x425AF5E2;1113257442;54,74012; Value-13;0xC0341533;-1070328525;-2,813794; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42A924B3;1118381235;84,57168; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8D5AF;1120458159;100,4174; Value-18;0x42D1BD90;1121041808;104,8702; Value-19;0x42D1D6F1;1121048305;104,9198; Value-1A;0x42CD2843;1120741443;102,5786; Value-1B;0x42DE4FEC;1121865708;111,1561; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C3CEA9;1120128681;97,90363; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE46B8;1121863352;111,1381; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F712;1121449746;107,9826; Value-23;0x42D5736C;1121284972;106,7254; Value-24;0x42DDDEBC;1121836732;110,935; Value-25;0x42E26ABA;1122134714;113,2085; Value-26;0x4229C586;1110033798;42,44289;
2023-10-19_10:50:15.75; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF244647;-1088141753;-0,6416973; Value-03;0x42A9FADC;1118436060;84,98996; Value-04;0x42BB85FD;1119585789;93,7617; Value-05;0x42C5F16B;1120268651;98,97152; Value-06;0x42CF46B7;1120880311;103,6381; Value-07;0x42CF2D51;1120873809;103,5885; Value-08;0x42CAA358;1120576344;101,319; Value-09;0x42DBB6DC;1121695452;109,8571; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D1FEBE;1121058494;104,9975; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA1D13;1121590547;109,0568; Value-0E;0x42D4EC63;1121250403;106,4617; Value-0F;0x42D29276;1121096310;105,2861; Value-10;0x42DBDDB6;1121705398;109,933; Value-11;0x42DFAA60;1121954400;111,8328; Value-12;0x425AF5E2;1113257442;54,74012; Value-13;0xC0341533;-1070328525;-2,813794; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42A924B3;1118381235;84,57168; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8D5AF;1120458159;100,4174; Value-18;0x42D1BD90;1121041808;104,8702; Value-19;0x42D1D6F1;1121048305;104,9198; Value-1A;0x42CD2843;1120741443;102,5786; Value-1B;0x42DE4FEC;1121865708;111,1561; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C3CEA9;1120128681;97,90363; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE46B8;1121863352;111,1381; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F712;1121449746;107,9826; Value-23;0x42D5736C;1121284972;106,7254; Value-24;0x42DDDEBC;1121836732;110,935; Value-25;0x42E26ABA;1122134714;113,2085; Value-26;0x4229C586;1110033798;42,44289;
2023-10-19_10:50:15.81; Value-01;0x3FB643CE;1068909518;1,423944; Value-02;0xBF244647;-1088141753;-0,6416973; Value-03;0x42A9FADC;1118436060;84,98996; Value-04;0x42BB85FD;1119585789;93,7617; Value-05;0x42C5F16B;1120268651;98,97152; Value-06;0x42CF46B7;1120880311;103,6381; Value-07;0x42CF2D51;1120873809;103,5885; Value-08;0x42CAA358;1120576344;101,319; Value-09;0x42DBB6DC;1121695452;109,8571; Value-0A;0x42C202F1;1120010993;97,00574; Value-0B;0x42D1FEBE;1121058494;104,9975; Value-0C;0x42DB9AEF;1121688303;109,8026; Value-0D;0x42DA1D13;1121590547;109,0568; Value-0E;0x42D4EC63;1121250403;106,4617; Value-0F;0x42D29276;1121096310;105,2861; Value-10;0x42DBDDB6;1121705398;109,933; Value-11;0x42DFAA60;1121954400;111,8328; Value-12;0x425AF5E2;1113257442;54,74012; Value-13;0xC0341533;-1070328525;-2,813794; Value-14;0xBF3369CF;-1087149617;-0,7008333; Value-15;0x42A924B3;1118381235;84,57168; Value-16;0x42BE1758;1119754072;95,04559; Value-17;0x42C8D5AF;1120458159;100,4174; Value-18;0x42D1BD90;1121041808;104,8702; Value-19;0x42D1D6F1;1121048305;104,9198; Value-1A;0x42CD2843;1120741443;102,5786; Value-1B;0x42DE4FEC;1121865708;111,1561; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C3CEA9;1120128681;97,90363; Value-1F;0x42D64951;1121339729;107,1432; Value-20;0x42DE46B8;1121863352;111,1381; Value-21;0x42DD7721;1121810209;110,7327; Value-22;0x42D7F712;1121449746;107,9826; Value-23;0x42D5736C;1121284972;106,7254; Value-24;0x42DDDEBC;1121836732;110,935; Value-25;0x42E26ABA;1122134714;113,2085; Value-26;0x4229C586;1110033798;42,44289;
