Timestamp;Data
2023-10-31_17:07:35.12; Value-01;0x423BB54D;1111209293;46,92705; Value-02;0x4241E6EA;1111615210;48,4755; Value-03;0x42B61289;1119228553;91,0362; Value-04;0x433F52D8;1128223448;191,3236; Value-05;0x430528B2;1124411570;133,159; Value-06;0x42CD652C;1120757036;102,6976; Value-07;0x42AFAAC0;1118808768;87,8335; Value-08;0x42A5C87B;1118161019;82,89156; Value-09;0x42B5CDF0;1119210992;90,90222; Value-0A;0x4393C08F;1133756559;295,5044; Value-0B;0x43BE8079;1136558201;381,0037; Value-0C;0x43D173A1;1137800097;418,9034; Value-0D;0x43FBA73D;1140565821;503,3065; Value-0E;0x43C494D3;1136956627;393,1627; Value-0F;0x43852389;1132798857;266,2776; Value-10;0x43BE964D;1136563789;381,1742; Value-11;0x43E57A7A;1139112570;458,9568; Value-12;0x43C1EF17;1136783127;387,8679; Value-13;0x405BC1E7;1079755239;3,43371; Value-14;0x42947092;1117024402;74,21986; Value-15;0x42B510F6;1119162614;90,53313; Value-16;0x433FAF88;1128247176;191,6857; Value-17;0x4305DEF9;1124458233;133,871; Value-18;0x42CFBDC9;1120910793;103,8707; Value-19;0x42B1233D;1118905149;88,56882; Value-1A;0x42A82178;1118314872;84,06537; Value-1B;0x42B83382;1119368066;92,1006; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4391312D;1133588781;290,3842; Value-1F;0x43C6C315;1137099541;397,5241; Value-20;0x43D331CE;1137914318;422,3891; Value-21;0x43FD7766;1140684646;506,9328; Value-22;0x43C7451B;1137132827;398,5399; Value-23;0x43886EE5;1133014757;272,8664; Value-24;0x43C1D6C2;1136776898;387,6778; Value-25;0x43E22C34;1138895924;452,3453; Value-26;0x43C08A31;1136691761;385,0796;
2023-10-31_17:07:35.26; Value-01;0x423BB54D;1111209293;46,92705; Value-02;0x4241E6EA;1111615210;48,4755; Value-03;0x42B61289;1119228553;91,0362; Value-04;0x433F52D8;1128223448;191,3236; Value-05;0x430528B2;1124411570;133,159; Value-06;0x42CD652C;1120757036;102,6976; Value-07;0x42AFAAC0;1118808768;87,8335; Value-08;0x42A5C87B;1118161019;82,89156; Value-09;0x42B5CDF0;1119210992;90,90222; Value-0A;0x4393C08F;1133756559;295,5044; Value-0B;0x43BE8079;1136558201;381,0037; Value-0C;0x43D173A1;1137800097;418,9034; Value-0D;0x43FBA73D;1140565821;503,3065; Value-0E;0x43C494D3;1136956627;393,1627; Value-0F;0x43852389;1132798857;266,2776; Value-10;0x43BE964D;1136563789;381,1742; Value-11;0x43E57A7A;1139112570;458,9568; Value-12;0x43C1EF17;1136783127;387,8679; Value-13;0x405BC1E7;1079755239;3,43371; Value-14;0x42947092;1117024402;74,21986; Value-15;0x42B510F6;1119162614;90,53313; Value-16;0x433FAF88;1128247176;191,6857; Value-17;0x4305DEF9;1124458233;133,871; Value-18;0x42CFBDC9;1120910793;103,8707; Value-19;0x42B1233D;1118905149;88,56882; Value-1A;0x42A82178;1118314872;84,06537; Value-1B;0x42B83382;1119368066;92,1006; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4391312D;1133588781;290,3842; Value-1F;0x43C6C315;1137099541;397,5241; Value-20;0x43D331CE;1137914318;422,3891; Value-21;0x43FD7766;1140684646;506,9328; Value-22;0x43C7451B;1137132827;398,5399; Value-23;0x43886EE5;1133014757;272,8664; Value-24;0x43C1D6C2;1136776898;387,6778; Value-25;0x43E22C34;1138895924;452,3453; Value-26;0x43C08A31;1136691761;385,0796;
2023-10-31_17:07:35.26; Value-01;0x423BB54D;1111209293;46,92705; Value-02;0x4241E6EA;1111615210;48,4755; Value-03;0x42B61289;1119228553;91,0362; Value-04;0x433F52D8;1128223448;191,3236; Value-05;0x430528B2;1124411570;133,159; Value-06;0x42CD652C;1120757036;102,6976; Value-07;0x42AFAAC0;1118808768;87,8335; Value-08;0x42A5C87B;1118161019;82,89156; Value-09;0x42B5CDF0;1119210992;90,90222; Value-0A;0x4393C08F;1133756559;295,5044; Value-0B;0x43BE8079;1136558201;381,0037; Value-0C;0x43D173A1;1137800097;418,9034; Value-0D;0x43FBA73D;1140565821;503,3065; Value-0E;0x43C494D3;1136956627;393,1627; Value-0F;0x43852389;1132798857;266,2776; Value-10;0x43BE964D;1136563789;381,1742; Value-11;0x43E57A7A;1139112570;458,9568; Value-12;0x43C1EF17;1136783127;387,8679; Value-13;0x405BC1E7;1079755239;3,43371; Value-14;0x42947092;1117024402;74,21986; Value-15;0x42B510F6;1119162614;90,53313; Value-16;0x433FAF88;1128247176;191,6857; Value-17;0x4305DEF9;1124458233;133,871; Value-18;0x42CFBDC9;1120910793;103,8707; Value-19;0x42B1233D;1118905149;88,56882; Value-1A;0x42A82178;1118314872;84,06537; Value-1B;0x42B83382;1119368066;92,1006; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4391312D;1133588781;290,3842; Value-1F;0x43C6C315;1137099541;397,5241; Value-20;0x43D331CE;1137914318;422,3891; Value-21;0x43FD7766;1140684646;506,9328; Value-22;0x43C7451B;1137132827;398,5399; Value-23;0x43886EE5;1133014757;272,8664; Value-24;0x43C1D6C2;1136776898;387,6778; Value-25;0x43E22C34;1138895924;452,3453; Value-26;0x43C08A31;1136691761;385,0796;
2023-10-31_17:07:35.31; Value-01;0x423BB54D;1111209293;46,92705; Value-02;0x4241E6EA;1111615210;48,4755; Value-03;0x42B61289;1119228553;91,0362; Value-04;0x433F52D8;1128223448;191,3236; Value-05;0x430528B2;1124411570;133,159; Value-06;0x42CD652C;1120757036;102,6976; Value-07;0x42AFAAC0;1118808768;87,8335; Value-08;0x42A5C87B;1118161019;82,89156; Value-09;0x42B5CDF0;1119210992;90,90222; Value-0A;0x4393C08F;1133756559;295,5044; Value-0B;0x43BE8079;1136558201;381,0037; Value-0C;0x43D173A1;1137800097;418,9034; Value-0D;0x43FBA73D;1140565821;503,3065; Value-0E;0x43C494D3;1136956627;393,1627; Value-0F;0x43852389;1132798857;266,2776; Value-10;0x43BE964D;1136563789;381,1742; Value-11;0x43E57A7A;1139112570;458,9568; Value-12;0x43C1EF17;1136783127;387,8679; Value-13;0x405BC1E7;1079755239;3,43371; Value-14;0x42947092;1117024402;74,21986; Value-15;0x42B510F6;1119162614;90,53313; Value-16;0x433FAF88;1128247176;191,6857; Value-17;0x4305DEF9;1124458233;133,871; Value-18;0x42CFBDC9;1120910793;103,8707; Value-19;0x42B1233D;1118905149;88,56882; Value-1A;0x42A82178;1118314872;84,06537; Value-1B;0x42B83382;1119368066;92,1006; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4391312D;1133588781;290,3842; Value-1F;0x43C6C315;1137099541;397,5241; Value-20;0x43D331CE;1137914318;422,3891; Value-21;0x43FD7766;1140684646;506,9328; Value-22;0x43C7451B;1137132827;398,5399; Value-23;0x43886EE5;1133014757;272,8664; Value-24;0x43C1D6C2;1136776898;387,6778; Value-25;0x43E22C34;1138895924;452,3453; Value-26;0x43C08A31;1136691761;385,0796;
2023-10-31_17:07:35.38; Value-01;0x423AAA90;1111141008;46,66656; Value-02;0x423CA73E;1111271230;47,16332; Value-03;0x42B64AF2;1119242994;91,14638; Value-04;0x433F7438;1128231992;191,454; Value-05;0x430548D0;1124419792;133,2844; Value-06;0x42CDBAC4;1120778948;102,8648; Value-07;0x42AF84FA;1118799098;87,75972; Value-08;0x42A6EF3D;1118236477;83,46726; Value-09;0x42B68916;1119258902;91,26775; Value-0A;0x43947DAF;1133804975;296,9819; Value-0B;0x43BEB2A6;1136571046;381,3957; Value-0C;0x43D16CA5;1137798309;418,8488; Value-0D;0x43FBB460;1140569184;503,4092; Value-0E;0x43C50C0C;1136987148;394,0941; Value-0F;0x43865F6F;1132879727;268,7456; Value-10;0x43BD4969;1136478569;378,5735; Value-11;0x43D7F102;1138225410;431,8829; Value-12;0x43D5AC2D;1138076717;427,3451; Value-13;0x4082277A;1082271610;4,067319; Value-14;0x4294479A;1117013914;74,13985; Value-15;0x42B4B200;1119138304;90,34766; Value-16;0x433FBD9A;1128250778;191,7406; Value-17;0x4305F004;1124462596;133,9376; Value-18;0x42CF0B05;1120865029;103,5215; Value-19;0x42B21515;1118967061;89,04118; Value-1A;0x42A6F2D1;1118237393;83,47425; Value-1B;0x42B5E17A;1119215994;90,94038; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4390371E;1133524766;288,4306; Value-1F;0x43C6FB8A;1137113994;397,9651; Value-20;0x43D34270;1137918576;422,519; Value-21;0x43FDA206;1140695558;507,2658; Value-22;0x43C774AC;1137145004;398,9115; Value-23;0x438935A7;1133065639;274,4192; Value-24;0x43C223C6;1136796614;388,2795; Value-25;0x43E9B57D;1139389821;467,4179; Value-26;0x43BDE72B;1136518955;379,806;
2023-10-31_17:07:35.48; Value-01;0x423AAA90;1111141008;46,66656; Value-02;0x423CA73E;1111271230;47,16332; Value-03;0x42B64AF2;1119242994;91,14638; Value-04;0x433F7438;1128231992;191,454; Value-05;0x430548D0;1124419792;133,2844; Value-06;0x42CDBAC4;1120778948;102,8648; Value-07;0x42AF84FA;1118799098;87,75972; Value-08;0x42A6EF3D;1118236477;83,46726; Value-09;0x42B68916;1119258902;91,26775; Value-0A;0x43947DAF;1133804975;296,9819; Value-0B;0x43BEB2A6;1136571046;381,3957; Value-0C;0x43D16CA5;1137798309;418,8488; Value-0D;0x43FBB460;1140569184;503,4092; Value-0E;0x43C50C0C;1136987148;394,0941; Value-0F;0x43865F6F;1132879727;268,7456; Value-10;0x43BD4969;1136478569;378,5735; Value-11;0x43D7F102;1138225410;431,8829; Value-12;0x43D5AC2D;1138076717;427,3451; Value-13;0x4082277A;1082271610;4,067319; Value-14;0x4294479A;1117013914;74,13985; Value-15;0x42B4B200;1119138304;90,34766; Value-16;0x433FBD9A;1128250778;191,7406; Value-17;0x4305F004;1124462596;133,9376; Value-18;0x42CF0B05;1120865029;103,5215; Value-19;0x42B21515;1118967061;89,04118; Value-1A;0x42A6F2D1;1118237393;83,47425; Value-1B;0x42B5E17A;1119215994;90,94038; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4390371E;1133524766;288,4306; Value-1F;0x43C6FB8A;1137113994;397,9651; Value-20;0x43D34270;1137918576;422,519; Value-21;0x43FDA206;1140695558;507,2658; Value-22;0x43C774AC;1137145004;398,9115; Value-23;0x438935A7;1133065639;274,4192; Value-24;0x43C223C6;1136796614;388,2795; Value-25;0x43E9B57D;1139389821;467,4179; Value-26;0x43BDE72B;1136518955;379,806;
2023-10-31_17:07:35.52; Value-01;0x423AAA90;1111141008;46,66656; Value-02;0x423CA73E;1111271230;47,16332; Value-03;0x42B64AF2;1119242994;91,14638; Value-04;0x433F7438;1128231992;191,454; Value-05;0x430548D0;1124419792;133,2844; Value-06;0x42CDBAC4;1120778948;102,8648; Value-07;0x42B06758;1118857048;88,20184; Value-08;0x42A627E6;1118185446;83,07793; Value-09;0x42B5800B;1119191051;90,75008; Value-0A;0x43947DAF;1133804975;296,9819; Value-0B;0x43BEB2A6;1136571046;381,3957; Value-0C;0x43D16CA5;1137798309;418,8488; Value-0D;0x43FBB460;1140569184;503,4092; Value-0E;0x43C50C0C;1136987148;394,0941; Value-0F;0x43865F6F;1132879727;268,7456; Value-10;0x43BC2A5F;1136405087;376,331; Value-11;0x43D1CB0C;1137822476;419,5863; Value-12;0x43C1D70F;1136776975;387,6801; Value-13;0x4082277A;1082271610;4,067319; Value-14;0x4294479A;1117013914;74,13985; Value-15;0x42B4B200;1119138304;90,34766; Value-16;0x433FBD9A;1128250778;191,7406; Value-17;0x4305F004;1124462596;133,9376; Value-18;0x42CF0B05;1120865029;103,5215; Value-19;0x42B21515;1118967061;89,04118; Value-1A;0x42A7DC55;1118297173;83,93034; Value-1B;0x42B5728E;1119187598;90,72374; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4390371E;1133524766;288,4306; Value-1F;0x43C6FB8A;1137113994;397,9651; Value-20;0x43D34270;1137918576;422,519; Value-21;0x43FDA206;1140695558;507,2658; Value-22;0x43C774AC;1137145004;398,9115; Value-23;0x438935A7;1133065639;274,4192; Value-24;0x43C223C6;1136796614;388,2795; Value-25;0x43E2B592;1138931090;453,4185; Value-26;0x43BAAF0F;1136307983;373,3676;
2023-10-31_17:07:35.64; Value-01;0x4238FF57;1111031639;46,24936; Value-02;0x4238AC21;1111010337;46,16809; Value-03;0x42B5D53E;1119212862;90,91649; Value-04;0x433F6008;1128226824;191,3751; Value-05;0x43052B05;1124412165;133,168; Value-06;0x42CD90E6;1120768230;102,783; Value-07;0x42B01531;1118836017;88,04139; Value-08;0x42A627E6;1118185446;83,07793; Value-09;0x42B5800B;1119191051;90,75008; Value-0A;0x4393DD3F;1133763903;295,7285; Value-0B;0x43BE76DB;1136555739;380,9286; Value-0C;0x43D16D49;1137798473;418,8538; Value-0D;0x43FBC7D4;1140574164;503,5612; Value-0E;0x43C4AF01;1136963329;393,3672; Value-0F;0x4386335D;1132868445;268,4013; Value-10;0x43BD6918;1136486680;378,821; Value-11;0x43D7F3B5;1138226101;431,904; Value-12;0x43C1D70F;1136776975;387,6801; Value-13;0x40DB1856;1088100438;6,846721; Value-14;0x429BF6AA;1117517482;77,98177; Value-15;0x42B502E5;1119159013;90,50565; Value-16;0x433FA303;1128243971;191,6368; Value-17;0x4305C574;1124451700;133,7713; Value-18;0x42CED778;1120851832;103,4208; Value-19;0x42B1978F;1118934927;88,79601; Value-1A;0x42A82331;1118315313;84,06873; Value-1B;0x42B5728E;1119187598;90,72374; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43904436;1133528118;288,5329; Value-1F;0x43C6FB98;1137114008;397,9656; Value-20;0x43D30AD1;1137904337;422,0845; Value-21;0x43FD9EBF;1140694719;507,2402; Value-22;0x43C72A87;1137126023;398,3322; Value-23;0x43883EFC;1133002492;272,4921; Value-24;0x43BED81F;1136580639;381,6884; Value-25;0x43DD1FDD;1138565085;442,2489; Value-26;0x43BAAF0F;1136307983;373,3676;
2023-10-31_17:07:35.64; Value-01;0x4238FF57;1111031639;46,24936; Value-02;0x4238AC21;1111010337;46,16809; Value-03;0x42B5D53E;1119212862;90,91649; Value-04;0x433F6008;1128226824;191,3751; Value-05;0x43052B05;1124412165;133,168; Value-06;0x42CD90E6;1120768230;102,783; Value-07;0x42B01531;1118836017;88,04139; Value-08;0x42A627E6;1118185446;83,07793; Value-09;0x42B5800B;1119191051;90,75008; Value-0A;0x4393DD3F;1133763903;295,7285; Value-0B;0x43BE76DB;1136555739;380,9286; Value-0C;0x43D16D49;1137798473;418,8538; Value-0D;0x43FBC7D4;1140574164;503,5612; Value-0E;0x43C4AF01;1136963329;393,3672; Value-0F;0x4386335D;1132868445;268,4013; Value-10;0x43BD6918;1136486680;378,821; Value-11;0x43D7F3B5;1138226101;431,904; Value-12;0x43C1D70F;1136776975;387,6801; Value-13;0x40DB1856;1088100438;6,846721; Value-14;0x429BF6AA;1117517482;77,98177; Value-15;0x42B502E5;1119159013;90,50565; Value-16;0x433FA303;1128243971;191,6368; Value-17;0x4305C574;1124451700;133,7713; Value-18;0x42CED778;1120851832;103,4208; Value-19;0x42B1978F;1118934927;88,79601; Value-1A;0x42A82331;1118315313;84,06873; Value-1B;0x42B5728E;1119187598;90,72374; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43904436;1133528118;288,5329; Value-1F;0x43C6FB98;1137114008;397,9656; Value-20;0x43D30AD1;1137904337;422,0845; Value-21;0x43FD9EBF;1140694719;507,2402; Value-22;0x43C72A87;1137126023;398,3322; Value-23;0x43883EFC;1133002492;272,4921; Value-24;0x43BED81F;1136580639;381,6884; Value-25;0x43DD1FDD;1138565085;442,2489; Value-26;0x43BAAF0F;1136307983;373,3676;
2023-10-31_17:07:35.75; Value-01;0x4238FF57;1111031639;46,24936; Value-02;0x4238AC21;1111010337;46,16809; Value-03;0x42B5D53E;1119212862;90,91649; Value-04;0x433F6008;1128226824;191,3751; Value-05;0x43052B05;1124412165;133,168; Value-06;0x42CD90E6;1120768230;102,783; Value-07;0x42B01531;1118836017;88,04139; Value-08;0x42A6BFEF;1118224367;83,37487; Value-09;0x42B98EA2;1119456930;92,77858; Value-0A;0x4393DD3F;1133763903;295,7285; Value-0B;0x43BE76DB;1136555739;380,9286; Value-0C;0x43D16D49;1137798473;418,8538; Value-0D;0x43FBC7D4;1140574164;503,5612; Value-0E;0x43C4AF01;1136963329;393,3672; Value-0F;0x4386335D;1132868445;268,4013; Value-10;0x43BD6918;1136486680;378,821; Value-11;0x43D7F3B5;1138226101;431,904; Value-12;0x43C1F64C;1136784972;387,9242; Value-13;0x40DB1856;1088100438;6,846721; Value-14;0x429BF6AA;1117517482;77,98177; Value-15;0x42B502E5;1119159013;90,50565; Value-16;0x433FA303;1128243971;191,6368; Value-17;0x4305C574;1124451700;133,7713; Value-18;0x42CED778;1120851832;103,4208; Value-19;0x42B1978F;1118934927;88,79601; Value-1A;0x42A82331;1118315313;84,06873; Value-1B;0x42B5FE90;1119223440;90,99719; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43904436;1133528118;288,5329; Value-1F;0x43C6FB98;1137114008;397,9656; Value-20;0x43D30AD1;1137904337;422,0845; Value-21;0x43FD9EBF;1140694719;507,2402; Value-22;0x43C72A87;1137126023;398,3322; Value-23;0x43883EFC;1133002492;272,4921; Value-24;0x43BED81F;1136580639;381,6884; Value-25;0x43DD1FDD;1138565085;442,2489; Value-26;0x43C79ACB;1137154763;399,2093;
2023-10-31_17:07:35.75; Value-01;0x4238FF57;1111031639;46,24936; Value-02;0x4238AC21;1111010337;46,16809; Value-03;0x42B5D53E;1119212862;90,91649; Value-04;0x433F6008;1128226824;191,3751; Value-05;0x43052B05;1124412165;133,168; Value-06;0x42CD90E6;1120768230;102,783; Value-07;0x42B01531;1118836017;88,04139; Value-08;0x42A6BFEF;1118224367;83,37487; Value-09;0x42B98EA2;1119456930;92,77858; Value-0A;0x4393DD3F;1133763903;295,7285; Value-0B;0x43BE76DB;1136555739;380,9286; Value-0C;0x43D16D49;1137798473;418,8538; Value-0D;0x43FBC7D4;1140574164;503,5612; Value-0E;0x43C4AF01;1136963329;393,3672; Value-0F;0x4386335D;1132868445;268,4013; Value-10;0x43BD6918;1136486680;378,821; Value-11;0x43D7F3B5;1138226101;431,904; Value-12;0x43C1F64C;1136784972;387,9242; Value-13;0x40DB1856;1088100438;6,846721; Value-14;0x429BF6AA;1117517482;77,98177; Value-15;0x42B502E5;1119159013;90,50565; Value-16;0x433FA303;1128243971;191,6368; Value-17;0x4305C574;1124451700;133,7713; Value-18;0x42CED778;1120851832;103,4208; Value-19;0x42B1978F;1118934927;88,79601; Value-1A;0x42A82331;1118315313;84,06873; Value-1B;0x42B5FE90;1119223440;90,99719; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x43904436;1133528118;288,5329; Value-1F;0x43C6FB98;1137114008;397,9656; Value-20;0x43D30AD1;1137904337;422,0845; Value-21;0x43FD9EBF;1140694719;507,2402; Value-22;0x43C72A87;1137126023;398,3322; Value-23;0x43883EFC;1133002492;272,4921; Value-24;0x43BED81F;1136580639;381,6884; Value-25;0x43DD1FDD;1138565085;442,2489; Value-26;0x43C79ACB;1137154763;399,2093;
