Timestamp;Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-09-25_16:08:27.61; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x400569D0;1074096592;2,084583; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429FCFC5;1117769669;79,9058; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCCCF4;1120718068;102,4003; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B79AE;1124825518;139,4753; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43321FD8;1127358424;178,1244; Value-0B;0x42F83A3F;1123564095;124,1138; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFBD83;1123007875;119,8701; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x4329261B;1126770203;169,1488; Value-10;0x43339817;1127454743;179,5941; Value-11;0x43294644;1126778436;169,2745; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x4349F3D1;1128920017;201,9524; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x401B274E;1075521358;2,424274; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426FD2EB;1114624747;59,95597; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43197C0C;1125743628;153,4846; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335DEED;1127603949;181,8708; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9B018;1121562648;108,8439; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CDAFCF;1120776143;102,8434; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43338DFB;1127452155;179,5546; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339B349;1127854921;185,7003
2023-09-25_16:08:27.86; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x400569D0;1074096592;2,084583; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429FCFC5;1117769669;79,9058; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCCCF4;1120718068;102,4003; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B79AE;1124825518;139,4753; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43321FD8;1127358424;178,1244; Value-0B;0x42F83A3F;1123564095;124,1138; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFBD83;1123007875;119,8701; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x4329261B;1126770203;169,1488; Value-10;0x43339817;1127454743;179,5941; Value-11;0x43294644;1126778436;169,2745; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x4349F3D1;1128920017;201,9524; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426FD2EB;1114624747;59,95597; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43197C0C;1125743628;153,4846; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335DEED;1127603949;181,8708; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43338DFB;1127452155;179,5546; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339B349;1127854921;185,7003
2023-09-25_16:08:27.86; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x400569D0;1074096592;2,084583; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429FCFC5;1117769669;79,9058; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCCCF4;1120718068;102,4003; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B79AE;1124825518;139,4753; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43321FD8;1127358424;178,1244; Value-0B;0x42F83A3F;1123564095;124,1138; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFBD83;1123007875;119,8701; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x4329261B;1126770203;169,1488; Value-10;0x43339817;1127454743;179,5941; Value-11;0x43294644;1126778436;169,2745; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x4349F3D1;1128920017;201,9524; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426FD2EB;1114624747;59,95597; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43197C0C;1125743628;153,4846; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335DEED;1127603949;181,8708; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43338DFB;1127452155;179,5546; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339B349;1127854921;185,7003
2023-09-25_16:08:27.86; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x400569D0;1074096592;2,084583; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429FCFC5;1117769669;79,9058; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCCCF4;1120718068;102,4003; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B79AE;1124825518;139,4753; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43321FD8;1127358424;178,1244; Value-0B;0x42F83A3F;1123564095;124,1138; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFBD83;1123007875;119,8701; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x4329261B;1126770203;169,1488; Value-10;0x43339817;1127454743;179,5941; Value-11;0x43294644;1126778436;169,2745; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x4349F3D1;1128920017;201,9524; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426FD2EB;1114624747;59,95597; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43197C0C;1125743628;153,4846; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335DEED;1127603949;181,8708; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43338DFB;1127452155;179,5546; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339B349;1127854921;185,7003
2023-09-25_16:08:27.87; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x400569D0;1074096592;2,084583; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429FCFC5;1117769669;79,9058; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCCCF4;1120718068;102,4003; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B79AE;1124825518;139,4753; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43321FD8;1127358424;178,1244; Value-0B;0x42F83A3F;1123564095;124,1138; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFBD83;1123007875;119,8701; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x4329261B;1126770203;169,1488; Value-10;0x43339817;1127454743;179,5941; Value-11;0x43294644;1126778436;169,2745; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x4349F3D1;1128920017;201,9524; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426FD2EB;1114624747;59,95597; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43197C0C;1125743628;153,4846; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335DEED;1127603949;181,8708; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43338DFB;1127452155;179,5546; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339B349;1127854921;185,7003
2023-09-25_16:08:27.97; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x401C1B23;1075583779;2,439156; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429F903C;1117753404;79,78171; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCDF8F;1120722831;102,4366; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B88DB;1124829403;139,5346; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43322BF7;1127361527;178,1717; Value-0B;0x42F893B7;1123586999;124,2885; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFDE75;1123016309;119,9345; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x43290872;1126762610;169,033; Value-10;0x43339817;1127454743;179,5941; Value-11;0x4329A097;1126801559;169,6273; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x434A8F62;1128959842;202,5601; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426F899A;1114605978;59,88438; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43198713;1125746451;153,5276; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335D9F2;1127602674;181,8513; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43337B25;1127447333;179,481; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339960A;1127847434;185,5861
2023-09-25_16:08:27.97; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x401C1B23;1075583779;2,439156; Value-03;0x4154AF3A;1096068922;13,29278; Value-04;0x429F903C;1117753404;79,78171; Value-05;0x426F9020;1114607648;59,89075; Value-06;0x42CCDF8F;1120722831;102,4366; Value-07;0x431999BA;1125751226;153,6005; Value-08;0x430B88DB;1124829403;139,5346; Value-09;0x4335BF61;1127595873;181,7476; Value-0A;0x43322BF7;1127361527;178,1717; Value-0B;0x42F893B7;1123586999;124,2885; Value-0C;0x42D9CFBE;1121570750;108,9057; Value-0D;0x42EFDE75;1123016309;119,9345; Value-0E;0x42CDDF54;1120788308;102,9362; Value-0F;0x43290872;1126762610;169,033; Value-10;0x43339817;1127454743;179,5941; Value-11;0x4329A097;1126801559;169,6273; Value-12;0x43391A77;1127815799;185,1034; Value-13;0x434A8F62;1128959842;202,5601; Value-14;0x40305BFA;1076911098;2,755614; Value-15;0x405FEFC1;1080029121;3,499008; Value-16;0x42A06123;1117806883;80,18972; Value-17;0x426F899A;1114605978;59,88438; Value-18;0x42CCBD5C;1120714076;102,3698; Value-19;0x43198713;1125746451;153,5276; Value-1A;0x430B7E5E;1124826718;139,4936; Value-1B;0x4335D9F2;1127602674;181,8513; Value-1C;0x43322328;1127359272;178,1373; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F4F20D;1123349005;122,4728; Value-20;0x42D9D61C;1121572380;108,9182; Value-21;0x42F002E1;1123025633;120,0056; Value-22;0x42CE0537;1120798007;103,0102; Value-23;0x4328DC54;1126751316;168,8607; Value-24;0x43337B25;1127447333;179,481; Value-25;0x4329B96B;1126807915;169,7243; Value-26;0x4339960A;1127847434;185,5861
2023-09-25_16:08:28.20; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x402171EF;1075933679;2,522579; Value-03;0x40867520;1082553632;4,201797; Value-04;0x429FA977;1117759863;79,83099; Value-05;0x426FCA46;1114622534;59,94753; Value-06;0x42CCD4AB;1120720043;102,4154; Value-07;0x43199576;1125750134;153,5838; Value-08;0x430B592F;1124817199;139,3484; Value-09;0x4335DD3C;1127603516;181,8642; Value-0A;0x433244F3;1127367923;178,2693; Value-0B;0x42F9D55F;1123669343;124,9167; Value-0C;0x42D99D8C;1121557900;108,8077; Value-0D;0x42EFF234;1123021364;119,9731; Value-0E;0x42CD98F0;1120770288;102,7987; Value-0F;0x4328FCED;1126759661;168,988; Value-10;0x4333939A;1127453594;179,5766; Value-11;0x4329B2EA;1126806250;169,6989; Value-12;0x4339A1E3;1127850467;185,6324; Value-13;0x434A4C88;1128942728;202,299; Value-14;0x40221699;1075975833;2,532629; Value-15;0x40B61E88;1085677192;5,691227; Value-16;0x429F827A;1117749882;79,75484; Value-17;0x426FB4E7;1114617063;59,92666; Value-18;0x42CCC821;1120716833;102,3909; Value-19;0x431999DB;1125751259;153,601; Value-1A;0x430B82B3;1124827827;139,5105; Value-1B;0x4335EA0D;1127606797;181,9143; Value-1C;0x433256AD;1127372461;178,3386; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F5F614;1123415572;122,9806; Value-20;0x42D9F7CA;1121581002;108,984; Value-21;0x42EF9554;1122997588;119,7917; Value-22;0x42CDB734;1120778036;102,8578; Value-23;0x4328D2EC;1126748908;168,8239; Value-24;0x4333902E;1127452718;179,5632; Value-25;0x43298650;1126794832;169,5247; Value-26;0x4339FF0E;1127874318;185,9963
2023-09-25_16:08:28.20; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x402171EF;1075933679;2,522579; Value-03;0x40867520;1082553632;4,201797; Value-04;0x429FA977;1117759863;79,83099; Value-05;0x426FCA46;1114622534;59,94753; Value-06;0x42CCD4AB;1120720043;102,4154; Value-07;0x43199576;1125750134;153,5838; Value-08;0x430B592F;1124817199;139,3484; Value-09;0x4335DD3C;1127603516;181,8642; Value-0A;0x433244F3;1127367923;178,2693; Value-0B;0x42F9D55F;1123669343;124,9167; Value-0C;0x42D99D8C;1121557900;108,8077; Value-0D;0x42EFF234;1123021364;119,9731; Value-0E;0x42CD98F0;1120770288;102,7987; Value-0F;0x4328FCED;1126759661;168,988; Value-10;0x4333939A;1127453594;179,5766; Value-11;0x4329B2EA;1126806250;169,6989; Value-12;0x4339A1E3;1127850467;185,6324; Value-13;0x434A4C88;1128942728;202,299; Value-14;0x40221699;1075975833;2,532629; Value-15;0x40B61E88;1085677192;5,691227; Value-16;0x429F827A;1117749882;79,75484; Value-17;0x426FB4E7;1114617063;59,92666; Value-18;0x42CCC821;1120716833;102,3909; Value-19;0x431999DB;1125751259;153,601; Value-1A;0x430B82B3;1124827827;139,5105; Value-1B;0x4335EA0D;1127606797;181,9143; Value-1C;0x433256AD;1127372461;178,3386; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F5F614;1123415572;122,9806; Value-20;0x42D9F7CA;1121581002;108,984; Value-21;0x42EF9554;1122997588;119,7917; Value-22;0x42CDB734;1120778036;102,8578; Value-23;0x4328D2EC;1126748908;168,8239; Value-24;0x4333902E;1127452718;179,5632; Value-25;0x43298650;1126794832;169,5247; Value-26;0x4339FF0E;1127874318;185,9963
2023-09-25_16:08:28.20; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x402171EF;1075933679;2,522579; Value-03;0x40867520;1082553632;4,201797; Value-04;0x429FA977;1117759863;79,83099; Value-05;0x426FCA46;1114622534;59,94753; Value-06;0x42CCD4AB;1120720043;102,4154; Value-07;0x43199576;1125750134;153,5838; Value-08;0x430B592F;1124817199;139,3484; Value-09;0x4335DD3C;1127603516;181,8642; Value-0A;0x433244F3;1127367923;178,2693; Value-0B;0x42F9D55F;1123669343;124,9167; Value-0C;0x42D99D8C;1121557900;108,8077; Value-0D;0x42EFF234;1123021364;119,9731; Value-0E;0x42CD98F0;1120770288;102,7987; Value-0F;0x4328FCED;1126759661;168,988; Value-10;0x4333939A;1127453594;179,5766; Value-11;0x4329B2EA;1126806250;169,6989; Value-12;0x4339A1E3;1127850467;185,6324; Value-13;0x434A4C88;1128942728;202,299; Value-14;0x40221699;1075975833;2,532629; Value-15;0x40B61E88;1085677192;5,691227; Value-16;0x429F827A;1117749882;79,75484; Value-17;0x426FB4E7;1114617063;59,92666; Value-18;0x42CCC821;1120716833;102,3909; Value-19;0x431999DB;1125751259;153,601; Value-1A;0x430B82B3;1124827827;139,5105; Value-1B;0x4335EA0D;1127606797;181,9143; Value-1C;0x433256AD;1127372461;178,3386; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F5F614;1123415572;122,9806; Value-20;0x42D9F7CA;1121581002;108,984; Value-21;0x42EF9554;1122997588;119,7917; Value-22;0x42CDB734;1120778036;102,8578; Value-23;0x4328D2EC;1126748908;168,8239; Value-24;0x4333902E;1127452718;179,5632; Value-25;0x43298650;1126794832;169,5247; Value-26;0x4339FF0E;1127874318;185,9963
2023-09-25_16:08:28.20; Value-01;0x3A1E87A1;975079329;0,000604743; Value-02;0x402171EF;1075933679;2,522579; Value-03;0x40867520;1082553632;4,201797; Value-04;0x429FA977;1117759863;79,83099; Value-05;0x426FCA46;1114622534;59,94753; Value-06;0x42CCD4AB;1120720043;102,4154; Value-07;0x43199576;1125750134;153,5838; Value-08;0x430B592F;1124817199;139,3484; Value-09;0x4335DD3C;1127603516;181,8642; Value-0A;0x433244F3;1127367923;178,2693; Value-0B;0x42F9D55F;1123669343;124,9167; Value-0C;0x42D99D8C;1121557900;108,8077; Value-0D;0x42EFF234;1123021364;119,9731; Value-0E;0x42CD98F0;1120770288;102,7987; Value-0F;0x4328FCED;1126759661;168,988; Value-10;0x4333939A;1127453594;179,5766; Value-11;0x4329B2EA;1126806250;169,6989; Value-12;0x4339A1E3;1127850467;185,6324; Value-13;0x434A4C88;1128942728;202,299; Value-14;0x40221699;1075975833;2,532629; Value-15;0x40B61E88;1085677192;5,691227; Value-16;0x429F827A;1117749882;79,75484; Value-17;0x426FB4E7;1114617063;59,92666; Value-18;0x42CCC821;1120716833;102,3909; Value-19;0x431999DB;1125751259;153,601; Value-1A;0x430B82B3;1124827827;139,5105; Value-1B;0x4335EA0D;1127606797;181,9143; Value-1C;0x433256AD;1127372461;178,3386; Value-1D;0x3F800000;1065353216;1; Value-1E;0x00000000;0;0; Value-1F;0x42F5F614;1123415572;122,9806; Value-20;0x42D9F7CA;1121581002;108,984; Value-21;0x42EF9554;1122997588;119,7917; Value-22;0x42CDB734;1120778036;102,8578; Value-23;0x4328D2EC;1126748908;168,8239; Value-24;0x4333902E;1127452718;179,5632; Value-25;0x43298650;1126794832;169,5247; Value-26;0x4339FF0E;1127874318;185,9963
