Timestamp;Data
2023-09-27_11:54:08.60; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3E64DFB4;1046798260;0,2235096; Value-04;0x411044F5;1091585269;9,016835; Value-05;0x4289526A;1116295786;68,66096; Value-06;0x425B1D6C;1113267564;54,77873; Value-07;0x4296262C;1117136428;75,07455; Value-08;0x42F9E3FF;1123673087;124,9453; Value-09;0x42BE94F2;1119786226;95,29091; Value-0A;0x42FBC2A0;1123795616;125,8801; Value-0B;0x431A5CCC;1125801164;154,3625; Value-0C;0x42A4DCF9;1118100729;82,43159; Value-0D;0x42955881;1117083777;74,67286; Value-0E;0x429F785A;1117747290;79,73506; Value-0F;0x42949726;1117034278;74,29521; Value-10;0x42F34538;1123239224;121,6352; Value-11;0x430F4373;1125073779;143,2635; Value-12;0x42FDCEEE;1123929838;126,9042; Value-13;0x430F6E0A;1125084682;143,4298; Value-14;0x43297109;1126789385;169,4415; Value-15;0x3FA33087;1067659399;1,274918; Value-16;0x40089EE2;1074306786;2,134697; Value-17;0x42893B01;1116289793;68,61524; Value-18;0x425B3811;1113274385;54,80475; Value-19;0x42963E8D;1117142669;75,12217; Value-1A;0x42F9DCA9;1123671209;124,931; Value-1B;0x42BEBF60;1119797088;95,37378; Value-1C;0x42FBD793;1123800979;125,921; Value-1D;0x431A481F;1125795871;154,2817; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A441FD;1118061053;82,12888; Value-21;0x42954D16;1117080854;74,65056; Value-22;0x429F7FC1;1117749185;79,74952; Value-23;0x42948764;1117030244;74,26443; Value-24;0x42F327E0;1123231712;121,5779; Value-25;0x430F4B3F;1125075775;143,2939; Value-26;0x42FE1E0E;1123950094;127,0587;
2023-09-27_11:54:08.69; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F20F169;1059123561;0,6286836; Value-04;0x411044F5;1091585269;9,016835; Value-05;0x42894405;1116292101;68,63285; Value-06;0x425B1D6C;1113267564;54,77873; Value-07;0x42962A15;1117137429;75,08219; Value-08;0x42F9E3FF;1123673087;124,9453; Value-09;0x42BEABDB;1119792091;95,33566; Value-0A;0x42FBC2A0;1123795616;125,8801; Value-0B;0x431A6A34;1125804596;154,4149; Value-0C;0x42A510CA;1118113994;82,53279; Value-0D;0x42955881;1117083777;74,67286; Value-0E;0x429F7047;1117745223;79,71929; Value-0F;0x42949726;1117034278;74,29521; Value-10;0x42F33E29;1123237417;121,6214; Value-11;0x430F4373;1125073779;143,2635; Value-12;0x42FDEF84;1123938180;126,9678; Value-13;0x430F6E0A;1125084682;143,4298; Value-14;0x432CE199;1127014809;172,8812; Value-15;0x3FA33087;1067659399;1,274918; Value-16;0x40089EE2;1074306786;2,134697; Value-17;0x42893B01;1116289793;68,61524; Value-18;0x425B4223;1113276963;54,81459; Value-19;0x42963E8D;1117142669;75,12217; Value-1A;0x42F9DA7E;1123670654;124,9267; Value-1B;0x42BEBF60;1119797088;95,37378; Value-1C;0x42FBE4BB;1123804347;125,9467; Value-1D;0x431A481F;1125795871;154,2817; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A441FD;1118061053;82,12888; Value-21;0x42954D16;1117080854;74,65056; Value-22;0x429F7FC1;1117749185;79,74952; Value-23;0x42948764;1117030244;74,26443; Value-24;0x42F327E0;1123231712;121,5779; Value-25;0x430F4C73;1125076083;143,2986; Value-26;0x42FE1E0E;1123950094;127,0587;
2023-09-27_11:54:08.77; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F20F169;1059123561;0,6286836; Value-04;0x418AFD52;1099627858;17,37369; Value-05;0x42894405;1116292101;68,63285; Value-06;0x425B2B31;1113271089;54,79218; Value-07;0x42962A15;1117137429;75,08219; Value-08;0x42F9F0FE;1123676414;124,9707; Value-09;0x42BEABDB;1119792091;95,33566; Value-0A;0x42FBD96C;1123801452;125,9247; Value-0B;0x431A6A34;1125804596;154,4149; Value-0C;0x42A510CA;1118113994;82,53279; Value-0D;0x42955825;1117083685;74,67216; Value-0E;0x429F7047;1117745223;79,71929; Value-0F;0x42949BBE;1117035454;74,30418; Value-10;0x42F33E29;1123237417;121,6214; Value-11;0x430F64F2;1125082354;143,3943; Value-12;0x42FDEF84;1123938180;126,9678; Value-13;0x430FA9EF;1125100015;143,6638; Value-14;0x432CE199;1127014809;172,8812; Value-15;0x3F7847E8;1064847336;0,9698472; Value-16;0x40089EE2;1074306786;2,134697; Value-17;0x42894A60;1116293728;68,64526; Value-18;0x425B4223;1113276963;54,81459; Value-19;0x4296309A;1117139098;75,09492; Value-1A;0x42F9DA7E;1123670654;124,9267; Value-1B;0x42BE97A9;1119786921;95,29621; Value-1C;0x42FBE4BB;1123804347;125,9467; Value-1D;0x431A5122;1125798178;154,3169; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A42F22;1118056226;82,09206; Value-21;0x42954D16;1117080854;74,65056; Value-22;0x429F64D0;1117742288;79,6969; Value-23;0x42948764;1117030244;74,26443; Value-24;0x42F33929;1123236137;121,6116; Value-25;0x430F4C73;1125076083;143,2986; Value-26;0x42FE5453;1123963987;127,1647;
2023-09-27_11:54:08.84; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x418AFD52;1099627858;17,37369; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B31;1113271089;54,79218; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9F0FE;1123676414;124,9707; Value-09;0x42BEABDB;1119792091;95,33566; Value-0A;0x42FBD96C;1123801452;125,9247; Value-0B;0x431A6A34;1125804596;154,4149; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955825;1117083685;74,67216; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949BBE;1117035454;74,30418; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F64F2;1125082354;143,3943; Value-12;0x42FDEF84;1123938180;126,9678; Value-13;0x430FA9EF;1125100015;143,6638; Value-14;0x432CE199;1127014809;172,8812; Value-15;0x3F7847E8;1064847336;0,9698472; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42894A60;1116293728;68,64526; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296309A;1117139098;75,09492; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BE97A9;1119786921;95,29621; Value-1C;0x42FBE4BB;1123804347;125,9467; Value-1D;0x431A5122;1125798178;154,3169; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A42F22;1118056226;82,09206; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F64D0;1117742288;79,6969; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F33929;1123236137;121,6116; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FE5453;1123963987;127,1647;
2023-09-27_11:54:08.91; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x418AFD52;1099627858;17,37369; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B31;1113271089;54,79218; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9F0FE;1123676414;124,9707; Value-09;0x42BEA64F;1119790671;95,32482; Value-0A;0x42FBD96C;1123801452;125,9247; Value-0B;0x431A759D;1125807517;154,4594; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955825;1117083685;74,67216; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949BBE;1117035454;74,30418; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F64F2;1125082354;143,3943; Value-12;0x42FDF1FD;1123938813;126,9726; Value-13;0x430FA9EF;1125100015;143,6638; Value-14;0x4327972E;1126668078;167,5905; Value-15;0x3F7847E8;1064847336;0,9698472; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42894A60;1116293728;68,64526; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296309A;1117139098;75,09492; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BE97A9;1119786921;95,29621; Value-1C;0x42FBB9D2;1123793362;125,8629; Value-1D;0x431A5122;1125798178;154,3169; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A42F22;1118056226;82,09206; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F64D0;1117742288;79,6969; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F33929;1123236137;121,6116; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FE5453;1123963987;127,1647;
2023-09-27_11:54:08.91; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x418AFD52;1099627858;17,37369; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B31;1113271089;54,79218; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9F0FE;1123676414;124,9707; Value-09;0x42BEA64F;1119790671;95,32482; Value-0A;0x42FBD96C;1123801452;125,9247; Value-0B;0x431A759D;1125807517;154,4594; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955825;1117083685;74,67216; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949BBE;1117035454;74,30418; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F64F2;1125082354;143,3943; Value-12;0x42FDF1FD;1123938813;126,9726; Value-13;0x430FA9EF;1125100015;143,6638; Value-14;0x4327972E;1126668078;167,5905; Value-15;0x3F7847E8;1064847336;0,9698472; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42894A60;1116293728;68,64526; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296309A;1117139098;75,09492; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BE97A9;1119786921;95,29621; Value-1C;0x42FBB9D2;1123793362;125,8629; Value-1D;0x431A5122;1125798178;154,3169; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A42F22;1118056226;82,09206; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F64D0;1117742288;79,6969; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F33929;1123236137;121,6116; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FE5453;1123963987;127,1647;
2023-09-27_11:54:08.98; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x418AFD52;1099627858;17,37369; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B31;1113271089;54,79218; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9F0FE;1123676414;124,9707; Value-09;0x42BEA64F;1119790671;95,32482; Value-0A;0x42FBD96C;1123801452;125,9247; Value-0B;0x431A759D;1125807517;154,4594; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955825;1117083685;74,67216; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949BBE;1117035454;74,30418; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F64F2;1125082354;143,3943; Value-12;0x42FDF1FD;1123938813;126,9726; Value-13;0x430FA9EF;1125100015;143,6638; Value-14;0x4327972E;1126668078;167,5905; Value-15;0x3F7847E8;1064847336;0,9698472; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42894A60;1116293728;68,64526; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296309A;1117139098;75,09492; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BE97A9;1119786921;95,29621; Value-1C;0x42FBB9D2;1123793362;125,8629; Value-1D;0x431A5122;1125798178;154,3169; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A42F22;1118056226;82,09206; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F64D0;1117742288;79,6969; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F33929;1123236137;121,6116; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FE5453;1123963987;127,1647;
2023-09-27_11:54:09.04; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x410561FC;1090871804;8,336422; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B90;1113271184;54,79254; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9D282;1123668610;124,9111; Value-09;0x42BEA64F;1119790671;95,32482; Value-0A;0x42FBE602;1123804674;125,9492; Value-0B;0x431A759D;1125807517;154,4594; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955149;1117081929;74,65876; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949E4A;1117036106;74,30916; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F4DC9;1125076425;143,3038; Value-12;0x42FDF1FD;1123938813;126,9726; Value-13;0x430F8ED7;1125093079;143,558; Value-14;0x4327972E;1126668078;167,5905; Value-15;0x3FC2C52E;1069729070;1,521642; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42896036;1116299318;68,68791; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296161C;1117132316;75,04318; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BEAD9A;1119792538;95,33907; Value-1C;0x42FBB9D2;1123793362;125,8629; Value-1D;0x431A702E;1125806126;154,4382; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A3EC18;1118039064;81,96112; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F8AEE;1117752046;79,77135; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F351F1;1123242481;121,66; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FDF188;1123938696;126,9717;
2023-09-27_11:54:09.11; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F29819A;1059684762;0,6621338; Value-04;0x410561FC;1090871804;8,336422; Value-05;0x4288B84A;1116256330;68,35994; Value-06;0x425B2B90;1113271184;54,79254; Value-07;0x42961D20;1117134112;75,05688; Value-08;0x42F9D282;1123668610;124,9111; Value-09;0x42BEA64F;1119790671;95,32482; Value-0A;0x42FBE602;1123804674;125,9492; Value-0B;0x431A759D;1125807517;154,4594; Value-0C;0x42A4B32B;1118090027;82,34994; Value-0D;0x42955149;1117081929;74,65876; Value-0E;0x429F8170;1117749616;79,75281; Value-0F;0x42949E4A;1117036106;74,30916; Value-10;0x42F32C0F;1123232783;121,5861; Value-11;0x430F4DC9;1125076425;143,3038; Value-12;0x42FDF1FD;1123938813;126,9726; Value-13;0x430F8ED7;1125093079;143,558; Value-14;0x4327972E;1126668078;167,5905; Value-15;0x3FC2C52E;1069729070;1,521642; Value-16;0x40079548;1074238792;2,118486; Value-17;0x42896036;1116299318;68,68791; Value-18;0x425B2DFB;1113271803;54,7949; Value-19;0x4296161C;1117132316;75,04318; Value-1A;0x42F9F819;1123678233;124,9846; Value-1B;0x42BEAD9A;1119792538;95,33907; Value-1C;0x42FBB9D2;1123793362;125,8629; Value-1D;0x431A702E;1125806126;154,4382; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A3EC18;1118039064;81,96112; Value-21;0x429534DD;1117074653;74,60325; Value-22;0x429F8AEE;1117752046;79,77135; Value-23;0x42948CAB;1117031595;74,27474; Value-24;0x42F351F1;1123242481;121,66; Value-25;0x430F62A7;1125081767;143,3854; Value-26;0x42FDF188;1123938696;126,9717;
2023-09-27_11:54:09.16; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F41666C;1061250668;0,7554691; Value-04;0x409D95E5;1084069349;4,924548; Value-05;0x42897374;1116304244;68,72549; Value-06;0x425B2B90;1113271184;54,79254; Value-07;0x4296206D;1117134957;75,06333; Value-08;0x42F9D282;1123668610;124,9111; Value-09;0x42BEBBDE;1119796190;95,36693; Value-0A;0x42FBE602;1123804674;125,9492; Value-0B;0x431A5E55;1125801557;154,3685; Value-0C;0x42A4C002;1118093314;82,37502; Value-0D;0x42954C47;1117080647;74,64898; Value-0E;0x429F7F91;1117749137;79,74915; Value-0F;0x4294957E;1117033854;74,29198; Value-10;0x42F32CA1;1123232929;121,5872; Value-11;0x430F4DC9;1125076425;143,3038; Value-12;0x42FE3611;1123956241;127,1056; Value-13;0x430F8ED7;1125093079;143,558; Value-14;0x432B1B85;1126898565;171,1075; Value-15;0x3F97719A;1066889626;1,183154; Value-16;0x403096B1;1076926129;2,759197; Value-17;0x42897EB6;1116307126;68,74748; Value-18;0x425B1A1A;1113266714;54,77549; Value-19;0x429620E2;1117135074;75,06422; Value-1A;0x42F9D9E3;1123670499;124,9256; Value-1B;0x42BEAD9A;1119792538;95,33907; Value-1C;0x42FBB36D;1123791725;125,8504; Value-1D;0x431A702E;1125806126;154,4382; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A46C89;1118071945;82,21198; Value-21;0x429545D0;1117078992;74,63635; Value-22;0x429F774F;1117747023;79,73302; Value-23;0x42948E3C;1117031996;74,2778; Value-24;0x42F3371E;1123235614;121,6077; Value-25;0x430F5163;1125077347;143,3179; Value-26;0x42FDF188;1123938696;126,9717;
2023-09-27_11:54:09.23; Value-01;0x3A1E87A1;975079329;0,0006047432; Value-02;0x3A1E87A1;975079329;0,0006047432; Value-03;0x3F41666C;1061250668;0,7554691; Value-04;0x409D95E5;1084069349;4,924548; Value-05;0x42897374;1116304244;68,72549; Value-06;0x425B2FC9;1113272265;54,79667; Value-07;0x4296206D;1117134957;75,06333; Value-08;0x42F9E71D;1123673885;124,9514; Value-09;0x42BEBBDE;1119796190;95,36693; Value-0A;0x42FBAB9C;1123789724;125,8352; Value-0B;0x431A5E55;1125801557;154,3685; Value-0C;0x42A4C002;1118093314;82,37502; Value-0D;0x42954C47;1117080647;74,64898; Value-0E;0x429F7F91;1117749137;79,74915; Value-0F;0x4294957E;1117033854;74,29198; Value-10;0x42F32CA1;1123232929;121,5872; Value-11;0x430F5AD2;1125079762;143,3548; Value-12;0x42FE3611;1123956241;127,1056; Value-13;0x430FF972;1125120370;143,9744; Value-14;0x432B1B85;1126898565;171,1075; Value-15;0x3F97719A;1066889626;1,183154; Value-16;0x403096B1;1076926129;2,759197; Value-17;0x42897EB6;1116307126;68,74748; Value-18;0x425B1A1A;1113266714;54,77549; Value-19;0x429620E2;1117135074;75,06422; Value-1A;0x42F9D9E3;1123670499;124,9256; Value-1B;0x42BEAE58;1119792728;95,34052; Value-1C;0x42FBB36D;1123791725;125,8504; Value-1D;0x431A6577;1125803383;154,3963; Value-1E;0x3F800000;1065353216;1; Value-1F;0x00000000;0;0; Value-20;0x42A46C89;1118071945;82,21198; Value-21;0x429545D0;1117078992;74,63635; Value-22;0x429F774F;1117747023;79,73302; Value-23;0x42948E3C;1117031996;74,2778; Value-24;0x42F3371E;1123235614;121,6077; Value-25;0x430F5163;1125077347;143,3179; Value-26;0x42FE120A;1123947018;127,0352;
