Timestamp;Data
2023-11-02_14:07:33.89; Value-01;0x42597DC2;1113161154;54,37281; Value-02;0x424B405A;1112227930;50,81284; Value-03;0x42B634A0;1119237280;91,10278; Value-04;0x434007BF;1128269759;192,0303; Value-05;0x4305E076;1124458614;133,8768; Value-06;0x42CE1E32;1120804402;103,059; Value-07;0x42B18C55;1118932053;88,77409; Value-08;0x42A6B79A;1118222234;83,3586; Value-09;0x42B1B61D;1118942749;88,85569; Value-0A;0x438E4796;1133397910;284,5593; Value-0B;0x43BF9CE8;1136631016;383,2258; Value-0C;0x43D4B55F;1138013535;425,417; Value-0D;0x43FC718C;1140617612;504,8871; Value-0E;0x43C465BE;1136944574;392,7949; Value-0F;0x4370AB2F;1131457327;240,6687; Value-10;0x43ABCEF8;1135333112;343,6169; Value-11;0x43CA4DD2;1137331666;404,608; Value-12;0x435477CD;1129609165;212,468; Value-13;0x40AAE6F7;1084942071;5,340694; Value-14;0x425EBC1A;1113504794;55,68369; Value-15;0x42B495F0;1119131120;90,29285; Value-16;0x43407447;1128297543;192,4542; Value-17;0x4306973B;1124505403;134,5907; Value-18;0x42CF3AF5;1120877301;103,6152; Value-19;0x42B48D42;1119128898;90,27589; Value-1A;0x42A8B867;1118353511;84,36016; Value-1B;0x42B52020;1119166496;90,56274; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A232F;1133126447;276,2749; Value-1F;0x43C7D92C;1137170732;399,6967; Value-20;0x43D5C8A1;1138084001;427,5674; Value-21;0x43FE34BD;1140733117;508,412; Value-22;0x43C727CD;1137125325;398,3109; Value-23;0x43768FE1;1131843553;246,562; Value-24;0x43B2FFDD;1135804381;357,9989; Value-25;0x43C8EA76;1137240694;401,8317; Value-26;0x43A685EE;1134986734;333,0463;
2023-11-02_14:07:34.04; Value-01;0x42597DC2;1113161154;54,37281; Value-02;0x424B405A;1112227930;50,81284; Value-03;0x42B634A0;1119237280;91,10278; Value-04;0x434007BF;1128269759;192,0303; Value-05;0x4305E076;1124458614;133,8768; Value-06;0x42CE1E32;1120804402;103,059; Value-07;0x42B18C55;1118932053;88,77409; Value-08;0x42A6B79A;1118222234;83,3586; Value-09;0x42B1B61D;1118942749;88,85569; Value-0A;0x438E4796;1133397910;284,5593; Value-0B;0x43BF9CE8;1136631016;383,2258; Value-0C;0x43D4B55F;1138013535;425,417; Value-0D;0x43FC718C;1140617612;504,8871; Value-0E;0x43C465BE;1136944574;392,7949; Value-0F;0x4370AB2F;1131457327;240,6687; Value-10;0x43ABCEF8;1135333112;343,6169; Value-11;0x43CA4DD2;1137331666;404,608; Value-12;0x435477CD;1129609165;212,468; Value-13;0x40AAE6F7;1084942071;5,340694; Value-14;0x425EBC1A;1113504794;55,68369; Value-15;0x42B495F0;1119131120;90,29285; Value-16;0x43407447;1128297543;192,4542; Value-17;0x4306973B;1124505403;134,5907; Value-18;0x42CF3AF5;1120877301;103,6152; Value-19;0x42B48D42;1119128898;90,27589; Value-1A;0x42A8B867;1118353511;84,36016; Value-1B;0x42B52020;1119166496;90,56274; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A232F;1133126447;276,2749; Value-1F;0x43C7D92C;1137170732;399,6967; Value-20;0x43D5C8A1;1138084001;427,5674; Value-21;0x43FE34BD;1140733117;508,412; Value-22;0x43C727CD;1137125325;398,3109; Value-23;0x43768FE1;1131843553;246,562; Value-24;0x43B2FFDD;1135804381;357,9989; Value-25;0x43C8EA76;1137240694;401,8317; Value-26;0x43A685EE;1134986734;333,0463;
2023-11-02_14:07:34.04; Value-01;0x42597DC2;1113161154;54,37281; Value-02;0x424B405A;1112227930;50,81284; Value-03;0x42B634A0;1119237280;91,10278; Value-04;0x434007BF;1128269759;192,0303; Value-05;0x4305E076;1124458614;133,8768; Value-06;0x42CE1E32;1120804402;103,059; Value-07;0x42B18C55;1118932053;88,77409; Value-08;0x42A6B79A;1118222234;83,3586; Value-09;0x42B1B61D;1118942749;88,85569; Value-0A;0x438E4796;1133397910;284,5593; Value-0B;0x43BF9CE8;1136631016;383,2258; Value-0C;0x43D4B55F;1138013535;425,417; Value-0D;0x43FC718C;1140617612;504,8871; Value-0E;0x43C465BE;1136944574;392,7949; Value-0F;0x4370AB2F;1131457327;240,6687; Value-10;0x43ABCEF8;1135333112;343,6169; Value-11;0x43CA4DD2;1137331666;404,608; Value-12;0x435477CD;1129609165;212,468; Value-13;0x40AAE6F7;1084942071;5,340694; Value-14;0x425EBC1A;1113504794;55,68369; Value-15;0x42B495F0;1119131120;90,29285; Value-16;0x43407447;1128297543;192,4542; Value-17;0x4306973B;1124505403;134,5907; Value-18;0x42CF3AF5;1120877301;103,6152; Value-19;0x42B48D42;1119128898;90,27589; Value-1A;0x42A8B867;1118353511;84,36016; Value-1B;0x42B52020;1119166496;90,56274; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A232F;1133126447;276,2749; Value-1F;0x43C7D92C;1137170732;399,6967; Value-20;0x43D5C8A1;1138084001;427,5674; Value-21;0x43FE34BD;1140733117;508,412; Value-22;0x43C727CD;1137125325;398,3109; Value-23;0x43768FE1;1131843553;246,562; Value-24;0x43B2FFDD;1135804381;357,9989; Value-25;0x43C8EA76;1137240694;401,8317; Value-26;0x43A685EE;1134986734;333,0463;
2023-11-02_14:07:34.09; Value-01;0x42597DC2;1113161154;54,37281; Value-02;0x424B405A;1112227930;50,81284; Value-03;0x42B634A0;1119237280;91,10278; Value-04;0x434007BF;1128269759;192,0303; Value-05;0x4305E076;1124458614;133,8768; Value-06;0x42CE1E32;1120804402;103,059; Value-07;0x42B18C55;1118932053;88,77409; Value-08;0x42A6B79A;1118222234;83,3586; Value-09;0x42B1B61D;1118942749;88,85569; Value-0A;0x438E4796;1133397910;284,5593; Value-0B;0x43BF9CE8;1136631016;383,2258; Value-0C;0x43D4B55F;1138013535;425,417; Value-0D;0x43FC718C;1140617612;504,8871; Value-0E;0x43C465BE;1136944574;392,7949; Value-0F;0x4370AB2F;1131457327;240,6687; Value-10;0x43ABCEF8;1135333112;343,6169; Value-11;0x43CA4DD2;1137331666;404,608; Value-12;0x435477CD;1129609165;212,468; Value-13;0x40AAE6F7;1084942071;5,340694; Value-14;0x425EBC1A;1113504794;55,68369; Value-15;0x42B495F0;1119131120;90,29285; Value-16;0x43407447;1128297543;192,4542; Value-17;0x4306973B;1124505403;134,5907; Value-18;0x42CF3AF5;1120877301;103,6152; Value-19;0x42B48D42;1119128898;90,27589; Value-1A;0x42A8B867;1118353511;84,36016; Value-1B;0x42B52020;1119166496;90,56274; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A232F;1133126447;276,2749; Value-1F;0x43C7D92C;1137170732;399,6967; Value-20;0x43D5C8A1;1138084001;427,5674; Value-21;0x43FE34BD;1140733117;508,412; Value-22;0x43C727CD;1137125325;398,3109; Value-23;0x43768FE1;1131843553;246,562; Value-24;0x43B2FFDD;1135804381;357,9989; Value-25;0x43C8EA76;1137240694;401,8317; Value-26;0x43A685EE;1134986734;333,0463;
2023-11-02_14:07:34.16; Value-01;0x42536438;1112761400;52,84787; Value-02;0x422D6D5A;1110273370;43,35679; Value-03;0x42B5F366;1119220582;90,97539; Value-04;0x434014E8;1128273128;192,0817; Value-05;0x4305B25A;1124446810;133,6967; Value-06;0x42CDAE1A;1120775706;102,84; Value-07;0x42B1C0F0;1118945520;88,87683; Value-08;0x42A6808C;1118208140;83,25107; Value-09;0x42B0A6C5;1118873285;88,32572; Value-0A;0x438DCD87;1133366663;283,6057; Value-0B;0x43BFA41D;1136632861;383,2821; Value-0C;0x43D4926C;1138004588;425,1439; Value-0D;0x43FC41B1;1140605361;504,5132; Value-0E;0x43C3F7CA;1136916426;391,9359; Value-0F;0x4372470B;1131562763;242,2775; Value-10;0x43AF00E8;1135542504;350,0071; Value-11;0x43CB28C2;1137387714;406,3184; Value-12;0x4371FAEB;1131543275;241,9801; Value-13;0xC0412914;-1069471468;-3,018132; Value-14;0x42772E06;1115106822;61,79494; Value-15;0x42B51939;1119164729;90,54926; Value-16;0x4340713A;1128296762;192,4423; Value-17;0x4306C7D3;1124517843;134,7806; Value-18;0x42CF6E28;1120890408;103,7151; Value-19;0x42B5A6C3;1119200963;90,82571; Value-1A;0x42A95440;1118393408;84,66455; Value-1B;0x42B32852;1119037522;89,57875; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389DA0B;1133107723;275,7035; Value-1F;0x43C7F273;1137177203;399,8941; Value-20;0x43D5CB95;1138084757;427,5905; Value-21;0x43FE30EA;1140732138;508,3821; Value-22;0x43C6DA15;1137105429;397,7038; Value-23;0x43776B9D;1131899805;247,4204; Value-24;0x43B28143;1135771971;357,0099; Value-25;0x43CEB499;1137620121;413,4109; Value-26;0x43B54FDF;1135955935;362,624;
2023-11-02_14:07:34.29; Value-01;0x425DE3B4;1113449396;55,47237; Value-02;0x4228C094;1109966996;42,18806; Value-03;0x42B62623;1119233571;91,07449; Value-04;0x43403E5A;1128283738;192,2436; Value-05;0x4305B4BF;1124447423;133,706; Value-06;0x42CDAE1A;1120775706;102,84; Value-07;0x42B1C0F0;1118945520;88,87683; Value-08;0x42A6808C;1118208140;83,25107; Value-09;0x42B0A6C5;1118873285;88,32572; Value-0A;0x438DDD5C;1133370716;283,7294; Value-0B;0x43BF4F34;1136611124;382,6188; Value-0C;0x43D4C88F;1138018447;425,5669; Value-0D;0x43FC43E1;1140605921;504,5303; Value-0E;0x43C4200A;1136926730;392,2503; Value-0F;0x4372470B;1131562763;242,2775; Value-10;0x43AF00E8;1135542504;350,0071; Value-11;0x43CB28C2;1137387714;406,3184; Value-12;0x4371FAEB;1131543275;241,9801; Value-13;0x40630D9A;1080233370;3,547705; Value-14;0x424AF667;1112208999;50,74063; Value-15;0x42B50CCD;1119161549;90,525; Value-16;0x43409381;1128305537;192,5762; Value-17;0x43067139;1124495673;134,4423; Value-18;0x42CF6E28;1120890408;103,7151; Value-19;0x42B5A6C3;1119200963;90,82571; Value-1A;0x42A95440;1118393408;84,66455; Value-1B;0x42B32852;1119037522;89,57875; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389E9BB;1133111739;275,826; Value-1F;0x43C7EE32;1137176114;399,8609; Value-20;0x43D59BF7;1138072567;427,2185; Value-21;0x43FE27C2;1140729794;508,3106; Value-22;0x43C6B50C;1137095948;397,4144; Value-23;0x43776B9D;1131899805;247,4204; Value-24;0x43B28143;1135771971;357,0099; Value-25;0x43CEB499;1137620121;413,4109; Value-26;0x43B54FDF;1135955935;362,624;
2023-11-02_14:07:34.29; Value-01;0x425DE3B4;1113449396;55,47237; Value-02;0x4228C094;1109966996;42,18806; Value-03;0x42B62623;1119233571;91,07449; Value-04;0x43403E5A;1128283738;192,2436; Value-05;0x4305B4BF;1124447423;133,706; Value-06;0x42CDAE1A;1120775706;102,84; Value-07;0x42B1C0F0;1118945520;88,87683; Value-08;0x42A6808C;1118208140;83,25107; Value-09;0x42B0A6C5;1118873285;88,32572; Value-0A;0x438DDD5C;1133370716;283,7294; Value-0B;0x43BF4F34;1136611124;382,6188; Value-0C;0x43D4C88F;1138018447;425,5669; Value-0D;0x43FC43E1;1140605921;504,5303; Value-0E;0x43C4200A;1136926730;392,2503; Value-0F;0x4372470B;1131562763;242,2775; Value-10;0x43AF00E8;1135542504;350,0071; Value-11;0x43CB28C2;1137387714;406,3184; Value-12;0x4371FAEB;1131543275;241,9801; Value-13;0x40630D9A;1080233370;3,547705; Value-14;0x424AF667;1112208999;50,74063; Value-15;0x42B50CCD;1119161549;90,525; Value-16;0x43409381;1128305537;192,5762; Value-17;0x43067139;1124495673;134,4423; Value-18;0x42CF6E28;1120890408;103,7151; Value-19;0x42B5A6C3;1119200963;90,82571; Value-1A;0x42A95440;1118393408;84,66455; Value-1B;0x42B32852;1119037522;89,57875; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389E9BB;1133111739;275,826; Value-1F;0x43C7EE32;1137176114;399,8609; Value-20;0x43D59BF7;1138072567;427,2185; Value-21;0x43FE27C2;1140729794;508,3106; Value-22;0x43C6B50C;1137095948;397,4144; Value-23;0x43776B9D;1131899805;247,4204; Value-24;0x43B28143;1135771971;357,0099; Value-25;0x43CEB499;1137620121;413,4109; Value-26;0x43B54FDF;1135955935;362,624;
2023-11-02_14:07:34.42; Value-01;0x425DE3B4;1113449396;55,47237; Value-02;0x4228C094;1109966996;42,18806; Value-03;0x42B62623;1119233571;91,07449; Value-04;0x43403E5A;1128283738;192,2436; Value-05;0x4305B4BF;1124447423;133,706; Value-06;0x42CD61F7;1120756215;102,6913; Value-07;0x42B0B48A;1118876810;88,35262; Value-08;0x42A6AA26;1118218790;83,33232; Value-09;0x42B5F0E5;1119219941;90,9705; Value-0A;0x438DDD5C;1133370716;283,7294; Value-0B;0x43BF4F34;1136611124;382,6188; Value-0C;0x43D4C88F;1138018447;425,5669; Value-0D;0x43FC43E1;1140605921;504,5303; Value-0E;0x43C4200A;1136926730;392,2503; Value-0F;0x4370D56C;1131468140;240,8337; Value-10;0x43B3FA8F;1135868559;359,9575; Value-11;0x43C2C8AB;1136838827;389,5677; Value-12;0x438E7A0D;1133410829;284,9535; Value-13;0x40630D9A;1080233370;3,547705; Value-14;0x424AF667;1112208999;50,74063; Value-15;0x42B50CCD;1119161549;90,525; Value-16;0x43409381;1128305537;192,5762; Value-17;0x43067139;1124495673;134,4423; Value-18;0x42CFCCD4;1120914644;103,9001; Value-19;0x42B4B634;1119139380;90,35587; Value-1A;0x42AA73F4;1118467060;85,22647; Value-1B;0x42B38113;1119060243;89,7521; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389E9BB;1133111739;275,826; Value-1F;0x43C7EE32;1137176114;399,8609; Value-20;0x43D59BF7;1138072567;427,2185; Value-21;0x43FE27C2;1140729794;508,3106; Value-22;0x43C6B50C;1137095948;397,4144; Value-23;0x437C44BA;1132217530;252,2685; Value-24;0x43B1E3B6;1135731638;355,779; Value-25;0x43C696FE;1137088254;397,1796; Value-26;0x43B2078E;1135740814;356,059;
2023-11-02_14:07:34.42; Value-01;0x425DE3B4;1113449396;55,47237; Value-02;0x4228C094;1109966996;42,18806; Value-03;0x42B62623;1119233571;91,07449; Value-04;0x43403E5A;1128283738;192,2436; Value-05;0x4305B4BF;1124447423;133,706; Value-06;0x42CD61F7;1120756215;102,6913; Value-07;0x42B0B48A;1118876810;88,35262; Value-08;0x42A6AA26;1118218790;83,33232; Value-09;0x42B5F0E5;1119219941;90,9705; Value-0A;0x438DDD5C;1133370716;283,7294; Value-0B;0x43BF4F34;1136611124;382,6188; Value-0C;0x43D4C88F;1138018447;425,5669; Value-0D;0x43FC43E1;1140605921;504,5303; Value-0E;0x43C4200A;1136926730;392,2503; Value-0F;0x4370D56C;1131468140;240,8337; Value-10;0x43B3FA8F;1135868559;359,9575; Value-11;0x43C2C8AB;1136838827;389,5677; Value-12;0x438E7A0D;1133410829;284,9535; Value-13;0x40630D9A;1080233370;3,547705; Value-14;0x424AF667;1112208999;50,74063; Value-15;0x42B50CCD;1119161549;90,525; Value-16;0x43409381;1128305537;192,5762; Value-17;0x43067139;1124495673;134,4423; Value-18;0x42CFCCD4;1120914644;103,9001; Value-19;0x42B4B634;1119139380;90,35587; Value-1A;0x42AA73F4;1118467060;85,22647; Value-1B;0x42B38113;1119060243;89,7521; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389E9BB;1133111739;275,826; Value-1F;0x43C7EE32;1137176114;399,8609; Value-20;0x43D59BF7;1138072567;427,2185; Value-21;0x43FE27C2;1140729794;508,3106; Value-22;0x43C6B50C;1137095948;397,4144; Value-23;0x437C44BA;1132217530;252,2685; Value-24;0x43B1E3B6;1135731638;355,779; Value-25;0x43C696FE;1137088254;397,1796; Value-26;0x43B2078E;1135740814;356,059;
2023-11-02_14:07:34.54; Value-01;0x424B75F9;1112241657;50,86521; Value-02;0x4235EAAA;1110829738;45,47916; Value-03;0x42B5E6F0;1119217392;90,95105; Value-04;0x43402F55;1128279893;192,1849; Value-05;0x4305A2F8;1124442872;133,6366; Value-06;0x42CDD826;1120786470;102,9222; Value-07;0x42B121F5;1118904821;88,56632; Value-08;0x42A84162;1118323042;84,1277; Value-09;0x42B0AD39;1118874937;88,33833; Value-0A;0x438D7D12;1133346066;282,9771; Value-0B;0x43BF921E;1136628254;383,1415; Value-0C;0x43D49E19;1138007577;425,2351; Value-0D;0x43FC4FB2;1140608946;504,6226; Value-0E;0x43C4059C;1136919964;392,0438; Value-0F;0x436FABC2;1131391938;239,6709; Value-10;0x43B148E5;1135692005;354,5695; Value-11;0x43DF9280;1138725504;447,1445; Value-12;0x00000000;0;0; Value-13;0x3F5CB431;1063040049;0,8621245; Value-14;0x424CC0A3;1112326307;51,18812; Value-15;0x42B53375;1119171445;90,6005; Value-16;0x43409663;1128306275;192,5874; Value-17;0x43068086;1124499590;134,502; Value-18;0x42CF435B;1120879451;103,6316; Value-19;0x42B5859A;1119192474;90,76094; Value-1A;0x42A785BF;1118275007;83,76122; Value-1B;0x42B4FB2A;1119157034;90,49055; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B0AFB;1133185787;278,0858; Value-1F;0x43C84179;1137197433;400,5115; Value-20;0x43D5BF65;1138081637;427,4953; Value-21;0x43FE3449;1140733001;508,4085; Value-22;0x43C6B1CE;1137095118;397,3891; Value-23;0x437DD456;1132319830;253,8294; Value-24;0x43AFAB29;1135586089;351,3372; Value-25;0x43CE36C6;1137587910;412,4279; Value-26;0x43CDF807;1137571847;411,9377;
2023-11-02_14:07:34.54; Value-01;0x424B75F9;1112241657;50,86521; Value-02;0x4235EAAA;1110829738;45,47916; Value-03;0x42B5E6F0;1119217392;90,95105; Value-04;0x43402F55;1128279893;192,1849; Value-05;0x4305A2F8;1124442872;133,6366; Value-06;0x42CDD826;1120786470;102,9222; Value-07;0x42B121F5;1118904821;88,56632; Value-08;0x42A84162;1118323042;84,1277; Value-09;0x42B0AD39;1118874937;88,33833; Value-0A;0x438D7D12;1133346066;282,9771; Value-0B;0x43BF921E;1136628254;383,1415; Value-0C;0x43D49E19;1138007577;425,2351; Value-0D;0x43FC4FB2;1140608946;504,6226; Value-0E;0x43C4059C;1136919964;392,0438; Value-0F;0x436FABC2;1131391938;239,6709; Value-10;0x43B148E5;1135692005;354,5695; Value-11;0x43DF9280;1138725504;447,1445; Value-12;0x00000000;0;0; Value-13;0x3F5CB431;1063040049;0,8621245; Value-14;0x424CC0A3;1112326307;51,18812; Value-15;0x42B53375;1119171445;90,6005; Value-16;0x43409663;1128306275;192,5874; Value-17;0x43068086;1124499590;134,502; Value-18;0x42CF435B;1120879451;103,6316; Value-19;0x42B5859A;1119192474;90,76094; Value-1A;0x42A785BF;1118275007;83,76122; Value-1B;0x42B4FB2A;1119157034;90,49055; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438B0AFB;1133185787;278,0858; Value-1F;0x43C84179;1137197433;400,5115; Value-20;0x43D5BF65;1138081637;427,4953; Value-21;0x43FE3449;1140733001;508,4085; Value-22;0x43C6B1CE;1137095118;397,3891; Value-23;0x437DD456;1132319830;253,8294; Value-24;0x43AFAB29;1135586089;351,3372; Value-25;0x43CE36C6;1137587910;412,4279; Value-26;0x43CDF807;1137571847;411,9377;
