Timestamp;Data
2023-11-02_13:50:52.17; Value-01;0x42461DB1;1111891377;49,529; Value-02;0x422FB9E8;1110424040;43,93155; Value-03;0x42B69700;1119262464;91,29492; Value-04;0x433FE383;1128260483;191,8887; Value-05;0x430504D1;1124402385;133,0188; Value-06;0x42CDECDC;1120791772;102,9626; Value-07;0x42B3A2FF;1119068927;89,81835; Value-08;0x42A56FDE;1118138334;82,71849; Value-09;0x42B39916;1119066390;89,799; Value-0A;0x438BF1F4;1133244916;279,8903; Value-0B;0x43C0750D;1136686349;384,9145; Value-0C;0x43D4E000;1138024448;425,75; Value-0D;0x43FC0A64;1140591204;504,0812; Value-0E;0x43C4B6B2;1136965298;393,4273; Value-0F;0x436BF8C7;1131149511;235,9718; Value-10;0x43AD1CA9;1135418537;346,2239; Value-11;0x43C7FDEC;1137180140;399,9838; Value-12;0x438F57C8;1133467592;286,6858; Value-13;0x3FE479A4;1071937956;1,784962; Value-14;0x42652894;1113925780;57,28963; Value-15;0x42B50FC3;1119162307;90,53078; Value-16;0x4340145B;1128272987;192,0795; Value-17;0x43063DD7;1124482519;134,2416; Value-18;0x42CF76AF;1120892591;103,7318; Value-19;0x42B5B141;1119203649;90,8462; Value-1A;0x42A8F87C;1118369916;84,48532; Value-1B;0x42B6093C;1119226172;91,01804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A0186;1133117830;276,0119; Value-1F;0x43C87615;1137210901;400,9225; Value-20;0x43D60839;1138100281;428,0642; Value-21;0x43FDE8FE;1140713726;507,8203; Value-22;0x43C6AF67;1137094503;397,3703; Value-23;0x4375CA36;1131792950;245,7899; Value-24;0x43B195B7;1135711671;355,1696; Value-25;0x43CF8FF2;1137676274;415,1246; Value-26;0x43D1D8EE;1137826030;419,6948;
2023-11-02_13:50:52.32; Value-01;0x42461DB1;1111891377;49,529; Value-02;0x422FB9E8;1110424040;43,93155; Value-03;0x42B69700;1119262464;91,29492; Value-04;0x433FE383;1128260483;191,8887; Value-05;0x430504D1;1124402385;133,0188; Value-06;0x42CDECDC;1120791772;102,9626; Value-07;0x42B3A2FF;1119068927;89,81835; Value-08;0x42A56FDE;1118138334;82,71849; Value-09;0x42B39916;1119066390;89,799; Value-0A;0x438BF1F4;1133244916;279,8903; Value-0B;0x43C0750D;1136686349;384,9145; Value-0C;0x43D4E000;1138024448;425,75; Value-0D;0x43FC0A64;1140591204;504,0812; Value-0E;0x43C4B6B2;1136965298;393,4273; Value-0F;0x436BF8C7;1131149511;235,9718; Value-10;0x43AD1CA9;1135418537;346,2239; Value-11;0x43C7FDEC;1137180140;399,9838; Value-12;0x438F57C8;1133467592;286,6858; Value-13;0x3FE479A4;1071937956;1,784962; Value-14;0x42652894;1113925780;57,28963; Value-15;0x42B50FC3;1119162307;90,53078; Value-16;0x4340145B;1128272987;192,0795; Value-17;0x43063DD7;1124482519;134,2416; Value-18;0x42CF76AF;1120892591;103,7318; Value-19;0x42B5B141;1119203649;90,8462; Value-1A;0x42A8F87C;1118369916;84,48532; Value-1B;0x42B6093C;1119226172;91,01804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A0186;1133117830;276,0119; Value-1F;0x43C87615;1137210901;400,9225; Value-20;0x43D60839;1138100281;428,0642; Value-21;0x43FDE8FE;1140713726;507,8203; Value-22;0x43C6AF67;1137094503;397,3703; Value-23;0x4375CA36;1131792950;245,7899; Value-24;0x43B195B7;1135711671;355,1696; Value-25;0x43CF8FF2;1137676274;415,1246; Value-26;0x43D1D8EE;1137826030;419,6948;
2023-11-02_13:50:52.32; Value-01;0x42461DB1;1111891377;49,529; Value-02;0x422FB9E8;1110424040;43,93155; Value-03;0x42B69700;1119262464;91,29492; Value-04;0x433FE383;1128260483;191,8887; Value-05;0x430504D1;1124402385;133,0188; Value-06;0x42CDECDC;1120791772;102,9626; Value-07;0x42B3A2FF;1119068927;89,81835; Value-08;0x42A56FDE;1118138334;82,71849; Value-09;0x42B39916;1119066390;89,799; Value-0A;0x438BF1F4;1133244916;279,8903; Value-0B;0x43C0750D;1136686349;384,9145; Value-0C;0x43D4E000;1138024448;425,75; Value-0D;0x43FC0A64;1140591204;504,0812; Value-0E;0x43C4B6B2;1136965298;393,4273; Value-0F;0x436BF8C7;1131149511;235,9718; Value-10;0x43AD1CA9;1135418537;346,2239; Value-11;0x43C7FDEC;1137180140;399,9838; Value-12;0x438F57C8;1133467592;286,6858; Value-13;0x3FE479A4;1071937956;1,784962; Value-14;0x42652894;1113925780;57,28963; Value-15;0x42B50FC3;1119162307;90,53078; Value-16;0x4340145B;1128272987;192,0795; Value-17;0x43063DD7;1124482519;134,2416; Value-18;0x42CF76AF;1120892591;103,7318; Value-19;0x42B5B141;1119203649;90,8462; Value-1A;0x42A8F87C;1118369916;84,48532; Value-1B;0x42B6093C;1119226172;91,01804; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A0186;1133117830;276,0119; Value-1F;0x43C87615;1137210901;400,9225; Value-20;0x43D60839;1138100281;428,0642; Value-21;0x43FDE8FE;1140713726;507,8203; Value-22;0x43C6AF67;1137094503;397,3703; Value-23;0x4375CA36;1131792950;245,7899; Value-24;0x43B195B7;1135711671;355,1696; Value-25;0x43CF8FF2;1137676274;415,1246; Value-26;0x43D1D8EE;1137826030;419,6948;
2023-11-02_13:50:52.37; Value-01;0x42461DB1;1111891377;49,529; Value-02;0x422FB9E8;1110424040;43,93155; Value-03;0x42B69700;1119262464;91,29492; Value-04;0x433FE383;1128260483;191,8887; Value-05;0x430504D1;1124402385;133,0188; Value-06;0x42CD3312;1120744210;102,5997; Value-07;0x42B4374D;1119106893;90,10801; Value-08;0x42A5F8D6;1118173398;82,98601; Value-09;0x42B4BB29;1119140649;90,36555; Value-0A;0x438BF1F4;1133244916;279,8903; Value-0B;0x43C0750D;1136686349;384,9145; Value-0C;0x43D4E000;1138024448;425,75; Value-0D;0x43FC0A64;1140591204;504,0812; Value-0E;0x43C4B6B2;1136965298;393,4273; Value-0F;0x437166C2;1131505346;241,4014; Value-10;0x43AEB5F3;1135523315;349,4215; Value-11;0x43BCD079;1136447609;377,6287; Value-12;0x43D920FC;1138303228;434,2577; Value-13;0x3FE479A4;1071937956;1,784962; Value-14;0x42652894;1113925780;57,28963; Value-15;0x42B50FC3;1119162307;90,53078; Value-16;0x4340145B;1128272987;192,0795; Value-17;0x43063DD7;1124482519;134,2416; Value-18;0x42CF5B51;1120885585;103,6784; Value-19;0x42B5ED0B;1119218955;90,96297; Value-1A;0x42A8047F;1118307455;84,00878; Value-1B;0x42B97D68;1119452520;92,74493; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A0186;1133117830;276,0119; Value-1F;0x43C87615;1137210901;400,9225; Value-20;0x43D60839;1138100281;428,0642; Value-21;0x43FDE8FE;1140713726;507,8203; Value-22;0x43C6AF67;1137094503;397,3703; Value-23;0x437463A4;1131701156;244,3892; Value-24;0x43B11AE0;1135680224;354,21; Value-25;0x43BECDE5;1136578021;381,6086; Value-26;0x43BB91AC;1136365996;375,1381;
2023-11-02_13:50:52.49; Value-01;0x42579096;1113034902;53,8912; Value-02;0x422BD877;1110169719;42,96139; Value-03;0x42B62924;1119234340;91,08035; Value-04;0x433FA3A3;1128244131;191,6392; Value-05;0x43055BFF;1124424703;133,3594; Value-06;0x42CDC85A;1120782426;102,8913; Value-07;0x42B3B81B;1119074331;89,85958; Value-08;0x42A5E810;1118169104;82,95325; Value-09;0x42B2A52E;1119003950;89,32262; Value-0A;0x438C85E1;1133282785;281,0459; Value-0B;0x43C0A977;1136699767;385,3239; Value-0C;0x43D4D017;1138020375;425,6257; Value-0D;0x43FC3F24;1140604708;504,4933; Value-0E;0x43C3AB24;1136896804;391,337; Value-0F;0x4372AA9B;1131588251;242,6664; Value-10;0x43ABAFC4;1135325124;343,3732; Value-11;0x43C2551B;1136809243;388,6649; Value-12;0x43A471B7;1134850487;328,8884; Value-13;0x408C9643;1082955331;4,393342; Value-14;0x4296010A;1117126922;75,00203; Value-15;0x42B53095;1119170709;90,59489; Value-16;0x43401419;1128272921;192,0785; Value-17;0x43060BAB;1124469675;134,0456; Value-18;0x42CF1AD2;1120869074;103,5524; Value-19;0x42B5A826;1119201318;90,82841; Value-1A;0x42A7D65C;1118295644;83,91867; Value-1B;0x42B8728A;1119384202;92,22371; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389F46D;1133114477;275,9096; Value-1F;0x43C8A27E;1137222270;401,2695; Value-20;0x43D5E465;1138091109;427,7843; Value-21;0x43FDEDE4;1140714980;507,8585; Value-22;0x43C61E4B;1137057355;396,2367; Value-23;0x4379C1E9;1132052969;249,7575; Value-24;0x43B422AD;1135878829;360,2709; Value-25;0x43C35A64;1136876132;390,7062; Value-26;0x43B3841D;1135838237;359,0321;
2023-11-02_13:50:52.60; Value-01;0x42579096;1113034902;53,8912; Value-02;0x422BD877;1110169719;42,96139; Value-03;0x42B62924;1119234340;91,08035; Value-04;0x433FA3A3;1128244131;191,6392; Value-05;0x43055BFF;1124424703;133,3594; Value-06;0x42CDC85A;1120782426;102,8913; Value-07;0x42B3B81B;1119074331;89,85958; Value-08;0x42A5E810;1118169104;82,95325; Value-09;0x42B2A52E;1119003950;89,32262; Value-0A;0x438C85E1;1133282785;281,0459; Value-0B;0x43C0A977;1136699767;385,3239; Value-0C;0x43D4D017;1138020375;425,6257; Value-0D;0x43FC3F24;1140604708;504,4933; Value-0E;0x43C3AB24;1136896804;391,337; Value-0F;0x4372AA9B;1131588251;242,6664; Value-10;0x43ABAFC4;1135325124;343,3732; Value-11;0x43C2551B;1136809243;388,6649; Value-12;0x43A471B7;1134850487;328,8884; Value-13;0x408C9643;1082955331;4,393342; Value-14;0x4296010A;1117126922;75,00203; Value-15;0x42B53095;1119170709;90,59489; Value-16;0x43401419;1128272921;192,0785; Value-17;0x43060BAB;1124469675;134,0456; Value-18;0x42CF1AD2;1120869074;103,5524; Value-19;0x42B5A826;1119201318;90,82841; Value-1A;0x42A7D65C;1118295644;83,91867; Value-1B;0x42B8728A;1119384202;92,22371; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389F46D;1133114477;275,9096; Value-1F;0x43C8A27E;1137222270;401,2695; Value-20;0x43D5E465;1138091109;427,7843; Value-21;0x43FDEDE4;1140714980;507,8585; Value-22;0x43C61E4B;1137057355;396,2367; Value-23;0x4379C1E9;1132052969;249,7575; Value-24;0x43B422AD;1135878829;360,2709; Value-25;0x43C35A64;1136876132;390,7062; Value-26;0x43B3841D;1135838237;359,0321;
2023-11-02_13:50:52.60; Value-01;0x42579096;1113034902;53,8912; Value-02;0x422BD877;1110169719;42,96139; Value-03;0x42B62924;1119234340;91,08035; Value-04;0x433FA3A3;1128244131;191,6392; Value-05;0x43055BFF;1124424703;133,3594; Value-06;0x42CDC85A;1120782426;102,8913; Value-07;0x42B3B81B;1119074331;89,85958; Value-08;0x42A5E810;1118169104;82,95325; Value-09;0x42B2A52E;1119003950;89,32262; Value-0A;0x438C85E1;1133282785;281,0459; Value-0B;0x43C0A977;1136699767;385,3239; Value-0C;0x43D4D017;1138020375;425,6257; Value-0D;0x43FC3F24;1140604708;504,4933; Value-0E;0x43C3AB24;1136896804;391,337; Value-0F;0x4372AA9B;1131588251;242,6664; Value-10;0x43ABAFC4;1135325124;343,3732; Value-11;0x43C2551B;1136809243;388,6649; Value-12;0x43A471B7;1134850487;328,8884; Value-13;0x408C9643;1082955331;4,393342; Value-14;0x4296010A;1117126922;75,00203; Value-15;0x42B53095;1119170709;90,59489; Value-16;0x43401419;1128272921;192,0785; Value-17;0x43060BAB;1124469675;134,0456; Value-18;0x42CF1AD2;1120869074;103,5524; Value-19;0x42B5A826;1119201318;90,82841; Value-1A;0x42A7D65C;1118295644;83,91867; Value-1B;0x42B8728A;1119384202;92,22371; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389F46D;1133114477;275,9096; Value-1F;0x43C8A27E;1137222270;401,2695; Value-20;0x43D5E465;1138091109;427,7843; Value-21;0x43FDEDE4;1140714980;507,8585; Value-22;0x43C61E4B;1137057355;396,2367; Value-23;0x4379C1E9;1132052969;249,7575; Value-24;0x43B422AD;1135878829;360,2709; Value-25;0x43C35A64;1136876132;390,7062; Value-26;0x43B3841D;1135838237;359,0321;
2023-11-02_13:50:52.65; Value-01;0x425DADAE;1113435566;55,41961; Value-02;0x423BD032;1111216178;46,95332; Value-03;0x42B62ADF;1119234783;91,08373; Value-04;0x433FFDB7;1128267191;191,9911; Value-05;0x430560A9;1124425897;133,3776; Value-06;0x42CE2882;1120807042;103,0791; Value-07;0x42B3CF88;1119080328;89,90533; Value-08;0x42A76F60;1118269280;83,71753; Value-09;0x42B23BC0;1118976960;89,1167; Value-0A;0x438D4410;1133331472;282,5317; Value-0B;0x43C04EBC;1136676540;384,6151; Value-0C;0x43D4AD10;1138011408;425,3521; Value-0D;0x43FC50C7;1140609223;504,6311; Value-0E;0x43C3CB79;1136905081;391,5896; Value-0F;0x436FF0BE;1131409598;239,9404; Value-10;0x43BECAB1;1136577201;381,5835; Value-11;0x43DE929A;1138659994;445,1453; Value-12;0x43965BD1;1133927377;300,7173; Value-13;0x4056069E;1079379614;3,344154; Value-14;0x4264471F;1113868063;57,06945; Value-15;0x42B4FAF1;1119156977;90,49012; Value-16;0x4340002F;1128267823;192,0007; Value-17;0x4305FE15;1124466197;133,9925; Value-18;0x42CF0973;1120864627;103,5185; Value-19;0x42B4F7DF;1119156191;90,48412; Value-1A;0x42A9279D;1118381981;84,57737; Value-1B;0x42B3AB76;1119071094;89,83488; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389FA31;1133115953;275,9546; Value-1F;0x43C8D03E;1137233982;401,6269; Value-20;0x43D60465;1138099301;428,0343; Value-21;0x43FE01CF;1140720079;508,0141; Value-22;0x43C6B264;1137095268;397,3937; Value-23;0x4378547B;1131959419;248,33; Value-24;0x43AE675F;1135503199;348,8076; Value-25;0x43B01775;1135613813;352,1833; Value-26;0x43EF7267;1139765863;478,8938;
2023-11-02_13:50:52.79; Value-01;0x42641F43;1113857859;57,03053; Value-02;0x422B7CAE;1110146222;42,87176; Value-03;0x42B635F4;1119237620;91,10538; Value-04;0x433FB2DD;1128248029;191,6987; Value-05;0x4305515A;1124421978;133,3178; Value-06;0x42CD9729;1120769833;102,7952; Value-07;0x42B39B1C;1119066908;89,80295; Value-08;0x42A67A99;1118206617;83,23945; Value-09;0x42B36D38;1119055160;89,71332; Value-0A;0x438D43C3;1133331395;282,5294; Value-0B;0x43C0E706;1136715526;385,8049; Value-0C;0x43D52535;1138042165;426,2907; Value-0D;0x43FBE935;1140582709;503,8219; Value-0E;0x43C3E72F;1136912175;391,8061; Value-0F;0x436CF7BF;1131214783;236,9678; Value-10;0x43BA4EDD;1136283357;372,6161; Value-11;0x43D6865F;1138132575;429,0498; Value-12;0x00000000;0;0; Value-13;0x4091F9D2;1083308498;4,561746; Value-14;0x42591AB5;1113135797;54,27608; Value-15;0x42B543E8;1119175656;90,63263; Value-16;0x434046BA;1128285882;192,2763; Value-17;0x430638E2;1124481250;134,2222; Value-18;0x42CF3A2E;1120877102;103,6136; Value-19;0x42B4BBAB;1119140779;90,36654; Value-1A;0x42AA6C2A;1118465066;85,21126; Value-1B;0x42B43DE3;1119108579;90,12087; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389FA31;1133115953;275,9546; Value-1F;0x43C7B6C2;1137161922;399,4278; Value-20;0x43D5A68B;1138075275;427,3011; Value-21;0x43FE04C3;1140720835;508,0372; Value-22;0x43C633A3;1137062819;396,4034; Value-23;0x4374CD27;1131728167;244,8014; Value-24;0x43B2F0E4;1135800548;357,882; Value-25;0x43AB8890;1135315088;343,0669; Value-26;0x00000000;0;0;
2023-11-02_13:50:52.79; Value-01;0x42641F43;1113857859;57,03053; Value-02;0x422B7CAE;1110146222;42,87176; Value-03;0x42B635F4;1119237620;91,10538; Value-04;0x433FB2DD;1128248029;191,6987; Value-05;0x4305515A;1124421978;133,3178; Value-06;0x42CD9729;1120769833;102,7952; Value-07;0x42B39B1C;1119066908;89,80295; Value-08;0x42A67A99;1118206617;83,23945; Value-09;0x42B36D38;1119055160;89,71332; Value-0A;0x438D43C3;1133331395;282,5294; Value-0B;0x43C0E706;1136715526;385,8049; Value-0C;0x43D52535;1138042165;426,2907; Value-0D;0x43FBE935;1140582709;503,8219; Value-0E;0x43C3E72F;1136912175;391,8061; Value-0F;0x436CF7BF;1131214783;236,9678; Value-10;0x43BA4EDD;1136283357;372,6161; Value-11;0x43D6865F;1138132575;429,0498; Value-12;0x00000000;0;0; Value-13;0x4091F9D2;1083308498;4,561746; Value-14;0x42591AB5;1113135797;54,27608; Value-15;0x42B543E8;1119175656;90,63263; Value-16;0x434046BA;1128285882;192,2763; Value-17;0x430638E2;1124481250;134,2222; Value-18;0x42CF3A2E;1120877102;103,6136; Value-19;0x42B4BBAB;1119140779;90,36654; Value-1A;0x42AA6C2A;1118465066;85,21126; Value-1B;0x42B43DE3;1119108579;90,12087; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4389FA31;1133115953;275,9546; Value-1F;0x43C7B6C2;1137161922;399,4278; Value-20;0x43D5A68B;1138075275;427,3011; Value-21;0x43FE04C3;1140720835;508,0372; Value-22;0x43C633A3;1137062819;396,4034; Value-23;0x4374CD27;1131728167;244,8014; Value-24;0x43B2F0E4;1135800548;357,882; Value-25;0x43AB8890;1135315088;343,0669; Value-26;0x00000000;0;0;
2023-11-02_13:50:52.90; Value-01;0x425DD9F6;1113446902;55,46285; Value-02;0x422B7CAE;1110146222;42,87176; Value-03;0x42B635F4;1119237620;91,10538; Value-04;0x433FB2DD;1128248029;191,6987; Value-05;0x4305515A;1124421978;133,3178; Value-06;0x42CD9729;1120769833;102,7952; Value-07;0x42B39B1C;1119066908;89,80295; Value-08;0x42A67A99;1118206617;83,23945; Value-09;0x42B36D38;1119055160;89,71332; Value-0A;0x438D3578;1133327736;282,4177; Value-0B;0x43C09723;1136695075;385,1808; Value-0C;0x43D52535;1138042165;426,2907; Value-0D;0x43FBE935;1140582709;503,8219; Value-0E;0x43C3E72F;1136912175;391,8061; Value-0F;0x436CF7BF;1131214783;236,9678; Value-10;0x43BA4EDD;1136283357;372,6161; Value-11;0x43D6865F;1138132575;429,0498; Value-12;0x00000000;0;0; Value-13;0x40140EBC;1075056316;2,313399; Value-14;0x4271AF64;1114746724;60,42128; Value-15;0x42B4E744;1119151940;90,45169; Value-16;0x434046BA;1128285882;192,2763; Value-17;0x430638E2;1124481250;134,2222; Value-18;0x42CF3A2E;1120877102;103,6136; Value-19;0x42B4BBAB;1119140779;90,36654; Value-1A;0x42AA6C2A;1118465066;85,21126; Value-1B;0x42B43DE3;1119108579;90,12087; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x438A430F;1133134607;276,5239; Value-1F;0x43C87882;1137211522;400,9415; Value-20;0x43D64383;1138115459;428,5274; Value-21;0x43FE04C3;1140720835;508,0372; Value-22;0x43C633A3;1137062819;396,4034; Value-23;0x4374CD27;1131728167;244,8014; Value-24;0x43B2F0E4;1135800548;357,882; Value-25;0x43AB8890;1135315088;343,0669; Value-26;0x00000000;0;0;
