Timestamp;Data
2023-11-03_13:14:25.65; Value-01;0x3F761CD8;1064705240;0,9613776; Value-02;0x409A44D9;1083851993;4,820904; Value-03;0x42C260FB;1120035067;97,18941; Value-04;0x42C6752A;1120302378;99,22884; Value-05;0x42C9C583;1120519555;100,8858; Value-06;0x42C9EFD7;1120530391;100,9684; Value-07;0x42C4F5C6;1120204230;98,48003; Value-08;0x42C3F90C;1120139532;97,98642; Value-09;0x42C520CB;1120215243;98,56405; Value-0A;0x428E916E;1116639598;71,28404; Value-0B;0x42CA3DA8;1120550312;101,1204; Value-0C;0x42DE9D56;1121885526;111,3073; Value-0D;0x42D3BA38;1121172024;105,8637; Value-0E;0x42CDFF72;1120796530;102,9989; Value-0F;0x42CB1AF6;1120606966;101,5527; Value-10;0x42D6AA7E;1121364606;107,333; Value-11;0x42EC5917;1122785559;118,174; Value-12;0x4322003C;1126301756;162,0009; Value-13;0xBF21A995;-1088312939;-0,6314939; Value-14;0x402B23D8;1076569048;2,674063; Value-15;0x42C0EA74;1119939188;96,45792; Value-16;0x42C75E6C;1120362092;99,68442; Value-17;0x42CB353D;1120613693;101,604; Value-18;0x42CBBA20;1120647712;101,8635; Value-19;0x42C6A783;1120315267;99,32717; Value-1A;0x42C5B07B;1120252027;98,84469; Value-1B;0x42C66131;1120297265;99,18983; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C0F5EC;1119942124;96,48032; Value-1F;0x42EE51DD;1122914781;119,1599; Value-20;0x42E05385;1121997701;112,1631; Value-21;0x42D5A20F;1121296911;106,8165; Value-22;0x42CFD093;1120915603;103,9074; Value-23;0x42CD095E;1120733534;102,5183; Value-24;0x42D909E2;1121520098;108,5193; Value-25;0x42EDE564;1122887012;118,948; Value-26;0x43236C19;1126394905;163,4223;
2023-11-03_13:14:25.79; Value-01;0x3F761CD8;1064705240;0,9613776; Value-02;0x409A44D9;1083851993;4,820904; Value-03;0x42C260FB;1120035067;97,18941; Value-04;0x42C6752A;1120302378;99,22884; Value-05;0x42C9C583;1120519555;100,8858; Value-06;0x42C9EFD7;1120530391;100,9684; Value-07;0x42C4F5C6;1120204230;98,48003; Value-08;0x42C3F90C;1120139532;97,98642; Value-09;0x42C520CB;1120215243;98,56405; Value-0A;0x428E916E;1116639598;71,28404; Value-0B;0x42CA3DA8;1120550312;101,1204; Value-0C;0x42DE9D56;1121885526;111,3073; Value-0D;0x42D3BA38;1121172024;105,8637; Value-0E;0x42CDFF72;1120796530;102,9989; Value-0F;0x42CB1AF6;1120606966;101,5527; Value-10;0x42D6AA7E;1121364606;107,333; Value-11;0x42EC5917;1122785559;118,174; Value-12;0x4322003C;1126301756;162,0009; Value-13;0xBF21A995;-1088312939;-0,6314939; Value-14;0x402B23D8;1076569048;2,674063; Value-15;0x42C0EA74;1119939188;96,45792; Value-16;0x42C75E6C;1120362092;99,68442; Value-17;0x42CB353D;1120613693;101,604; Value-18;0x42CBBA20;1120647712;101,8635; Value-19;0x42C6A783;1120315267;99,32717; Value-1A;0x42C5B07B;1120252027;98,84469; Value-1B;0x42C66131;1120297265;99,18983; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C0F5EC;1119942124;96,48032; Value-1F;0x42EE51DD;1122914781;119,1599; Value-20;0x42E05385;1121997701;112,1631; Value-21;0x42D5A20F;1121296911;106,8165; Value-22;0x42CFD093;1120915603;103,9074; Value-23;0x42CD095E;1120733534;102,5183; Value-24;0x42D909E2;1121520098;108,5193; Value-25;0x42EDE564;1122887012;118,948; Value-26;0x43236C19;1126394905;163,4223;
2023-11-03_13:14:25.79; Value-01;0x3F761CD8;1064705240;0,9613776; Value-02;0x409A44D9;1083851993;4,820904; Value-03;0x42C260FB;1120035067;97,18941; Value-04;0x42C6752A;1120302378;99,22884; Value-05;0x42C9C583;1120519555;100,8858; Value-06;0x42C9EFD7;1120530391;100,9684; Value-07;0x42C4F5C6;1120204230;98,48003; Value-08;0x42C3F90C;1120139532;97,98642; Value-09;0x42C520CB;1120215243;98,56405; Value-0A;0x428E916E;1116639598;71,28404; Value-0B;0x42CA3DA8;1120550312;101,1204; Value-0C;0x42DE9D56;1121885526;111,3073; Value-0D;0x42D3BA38;1121172024;105,8637; Value-0E;0x42CDFF72;1120796530;102,9989; Value-0F;0x42CB1AF6;1120606966;101,5527; Value-10;0x42D6AA7E;1121364606;107,333; Value-11;0x42EC5917;1122785559;118,174; Value-12;0x4322003C;1126301756;162,0009; Value-13;0xBF21A995;-1088312939;-0,6314939; Value-14;0x402B23D8;1076569048;2,674063; Value-15;0x42C0EA74;1119939188;96,45792; Value-16;0x42C75E6C;1120362092;99,68442; Value-17;0x42CB353D;1120613693;101,604; Value-18;0x42CBBA20;1120647712;101,8635; Value-19;0x42C6A783;1120315267;99,32717; Value-1A;0x42C5B07B;1120252027;98,84469; Value-1B;0x42C66131;1120297265;99,18983; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C0F5EC;1119942124;96,48032; Value-1F;0x42EE51DD;1122914781;119,1599; Value-20;0x42E05385;1121997701;112,1631; Value-21;0x42D5A20F;1121296911;106,8165; Value-22;0x42CFD093;1120915603;103,9074; Value-23;0x42CD095E;1120733534;102,5183; Value-24;0x42D909E2;1121520098;108,5193; Value-25;0x42EDE564;1122887012;118,948; Value-26;0x43236C19;1126394905;163,4223;
2023-11-03_13:14:25.85; Value-01;0x3FEB50E2;1072386274;1,838406; Value-02;0x40771B90;1081547664;3,861057; Value-03;0x42C248BA;1120028858;97,14204; Value-04;0x42C65AE1;1120295649;99,1775; Value-05;0x42C9A24D;1120510541;100,817; Value-06;0x42CA1474;1120539764;101,0399; Value-07;0x42C4F5C6;1120204230;98,48003; Value-08;0x42C3F90C;1120139532;97,98642; Value-09;0x42C520CB;1120215243;98,56405; Value-0A;0x428EC15E;1116651870;71,37767; Value-0B;0x42C9F479;1120531577;100,9775; Value-0C;0x42DE62B1;1121870513;111,1928; Value-0D;0x42D3E2E0;1121182432;105,9431; Value-0E;0x42CE526A;1120817770;103,161; Value-0F;0x42CB3ECF;1120616143;101,6227; Value-10;0x42D6AA7E;1121364606;107,333; Value-11;0x42EC5917;1122785559;118,174; Value-12;0x4322003C;1126301756;162,0009; Value-13;0x3F3C043C;1060897852;0,7344396; Value-14;0x403CA241;1077715521;2,947403; Value-15;0x42C274DF;1120040159;97,22826; Value-16;0x42C7AC9A;1120382106;99,83711; Value-17;0x42CB193A;1120606522;101,5493; Value-18;0x42CBA77B;1120642939;101,8271; Value-19;0x42C6A783;1120315267;99,32717; Value-1A;0x42C5B07B;1120252027;98,84469; Value-1B;0x42C66131;1120297265;99,18983; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BFC197;1119863191;95,87811; Value-1F;0x42EEA3B3;1122935731;119,3197; Value-20;0x42E06237;1122001463;112,1918; Value-21;0x42D5AAF6;1121299190;106,8339; Value-22;0x42CFF709;1120925449;103,9825; Value-23;0x42CD0A44;1120733764;102,5201; Value-24;0x42D90992;1121520018;108,5187; Value-25;0x42EDE564;1122887012;118,948; Value-26;0x43236C19;1126394905;163,4223;
2023-11-03_13:14:25.97; Value-01;0xBED8D7F4;-1093085196;-0,4235226; Value-02;0x408FF398;1083175832;4,498486; Value-03;0x42C2592C;1120033068;97,17416; Value-04;0x42C69930;1120311600;99,29919; Value-05;0x42C9A0C8;1120510152;100,814; Value-06;0x42CA094A;1120536906;101,0181; Value-07;0x42C51835;1120213045;98,54728; Value-08;0x42C3D710;1120130832;97,92004; Value-09;0x42C35D5B;1120099675;97,68233; Value-0A;0x428E798B;1116633483;71,23739; Value-0B;0x42CA0768;1120536424;101,0145; Value-0C;0x42DECB2D;1121897261;111,3968; Value-0D;0x42D3BC04;1121172484;105,8672; Value-0E;0x42CE4939;1120815417;103,143; Value-0F;0x42CB3AB3;1120615091;101,6146; Value-10;0x42D6A696;1121363606;107,3254; Value-11;0x42E9E5F3;1122625011;116,9491; Value-12;0x431C357D;1125922173;156,2089; Value-13;0x3FD2DE86;1070784134;1,647416; Value-14;0x4021ACF9;1075948793;2,526182; Value-15;0x42C1A1B6;1119986102;96,81584; Value-16;0x42C737D4;1120352212;99,60904; Value-17;0x42CB56DF;1120622303;101,6697; Value-18;0x42CBAF38;1120644920;101,8422; Value-19;0x42C6A272;1120313970;99,31728; Value-1A;0x42C5DFA7;1120264103;98,93682; Value-1B;0x42C571BC;1120235964;98,72214; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C07808;1119909896;96,23444; Value-1F;0x42EE33DC;1122907100;119,1013; Value-20;0x42E06A9B;1122003611;112,2082; Value-21;0x42D57BBE;1121287102;106,7417; Value-22;0x42CFBE9C;1120911004;103,8723; Value-23;0x42CD030F;1120731919;102,506; Value-24;0x42D8E069;1121509481;108,4383; Value-25;0x42EDA7D5;1122871253;118,8278; Value-26;0x431E6DD1;1126067665;158,429;
2023-11-03_13:14:25.97; Value-01;0xBED8D7F4;-1093085196;-0,4235226; Value-02;0x408FF398;1083175832;4,498486; Value-03;0x42C2592C;1120033068;97,17416; Value-04;0x42C69930;1120311600;99,29919; Value-05;0x42C9A0C8;1120510152;100,814; Value-06;0x42CA094A;1120536906;101,0181; Value-07;0x42C51835;1120213045;98,54728; Value-08;0x42C3D710;1120130832;97,92004; Value-09;0x42C35D5B;1120099675;97,68233; Value-0A;0x428E798B;1116633483;71,23739; Value-0B;0x42CA0768;1120536424;101,0145; Value-0C;0x42DECB2D;1121897261;111,3968; Value-0D;0x42D3BC04;1121172484;105,8672; Value-0E;0x42CE4939;1120815417;103,143; Value-0F;0x42CB3AB3;1120615091;101,6146; Value-10;0x42D6A696;1121363606;107,3254; Value-11;0x42E9E5F3;1122625011;116,9491; Value-12;0x431C357D;1125922173;156,2089; Value-13;0x3FD2DE86;1070784134;1,647416; Value-14;0x4021ACF9;1075948793;2,526182; Value-15;0x42C1A1B6;1119986102;96,81584; Value-16;0x42C737D4;1120352212;99,60904; Value-17;0x42CB56DF;1120622303;101,6697; Value-18;0x42CBAF38;1120644920;101,8422; Value-19;0x42C6A272;1120313970;99,31728; Value-1A;0x42C5DFA7;1120264103;98,93682; Value-1B;0x42C571BC;1120235964;98,72214; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C07808;1119909896;96,23444; Value-1F;0x42EE33DC;1122907100;119,1013; Value-20;0x42E06A9B;1122003611;112,2082; Value-21;0x42D57BBE;1121287102;106,7417; Value-22;0x42CFBE9C;1120911004;103,8723; Value-23;0x42CD030F;1120731919;102,506; Value-24;0x42D8E069;1121509481;108,4383; Value-25;0x42EDA7D5;1122871253;118,8278; Value-26;0x431E6DD1;1126067665;158,429;
2023-11-03_13:14:26.09; Value-01;0xBED8D7F4;-1093085196;-0,4235226; Value-02;0x408FF398;1083175832;4,498486; Value-03;0x42C2592C;1120033068;97,17416; Value-04;0x42C69930;1120311600;99,29919; Value-05;0x42C9A0C8;1120510152;100,814; Value-06;0x42CA094A;1120536906;101,0181; Value-07;0x42C51835;1120213045;98,54728; Value-08;0x42C3F80B;1120139275;97,98446; Value-09;0x42C35597;1120097687;97,66717; Value-0A;0x428E798B;1116633483;71,23739; Value-0B;0x42CA0768;1120536424;101,0145; Value-0C;0x42DECB2D;1121897261;111,3968; Value-0D;0x42D3BC04;1121172484;105,8672; Value-0E;0x42CE4939;1120815417;103,143; Value-0F;0x42CB3AB3;1120615091;101,6146; Value-10;0x42D6A696;1121363606;107,3254; Value-11;0x42E9E5F3;1122625011;116,9491; Value-12;0x431E7B91;1126071185;158,4827; Value-13;0x3FD2DE86;1070784134;1,647416; Value-14;0x4021ACF9;1075948793;2,526182; Value-15;0x42C1A1B6;1119986102;96,81584; Value-16;0x42C737D4;1120352212;99,60904; Value-17;0x42CB56DF;1120622303;101,6697; Value-18;0x42CBAF38;1120644920;101,8422; Value-19;0x42C6A272;1120313970;99,31728; Value-1A;0x42C5DFA7;1120264103;98,93682; Value-1B;0x42C5C35F;1120256863;98,88158; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C07808;1119909896;96,23444; Value-1F;0x42EE33DC;1122907100;119,1013; Value-20;0x42E06A9B;1122003611;112,2082; Value-21;0x42D57BBE;1121287102;106,7417; Value-22;0x42CFBE9C;1120911004;103,8723; Value-23;0x42CD030F;1120731919;102,506; Value-24;0x42D8E069;1121509481;108,4383; Value-25;0x42EDA7D5;1122871253;118,8278; Value-26;0x4324D0D5;1126486229;164,8158;
2023-11-03_13:14:26.09; Value-01;0xBED8D7F4;-1093085196;-0,4235226; Value-02;0x408FF398;1083175832;4,498486; Value-03;0x42C2592C;1120033068;97,17416; Value-04;0x42C69930;1120311600;99,29919; Value-05;0x42C9A0C8;1120510152;100,814; Value-06;0x42CA094A;1120536906;101,0181; Value-07;0x42C51835;1120213045;98,54728; Value-08;0x42C3F80B;1120139275;97,98446; Value-09;0x42C35597;1120097687;97,66717; Value-0A;0x428E798B;1116633483;71,23739; Value-0B;0x42CA0768;1120536424;101,0145; Value-0C;0x42DECB2D;1121897261;111,3968; Value-0D;0x42D3BC04;1121172484;105,8672; Value-0E;0x42CE4939;1120815417;103,143; Value-0F;0x42CB3AB3;1120615091;101,6146; Value-10;0x42D6A696;1121363606;107,3254; Value-11;0x42E9E5F3;1122625011;116,9491; Value-12;0x431E7B91;1126071185;158,4827; Value-13;0x3FD2DE86;1070784134;1,647416; Value-14;0x4021ACF9;1075948793;2,526182; Value-15;0x42C1A1B6;1119986102;96,81584; Value-16;0x42C737D4;1120352212;99,60904; Value-17;0x42CB56DF;1120622303;101,6697; Value-18;0x42CBAF38;1120644920;101,8422; Value-19;0x42C6A272;1120313970;99,31728; Value-1A;0x42C5DFA7;1120264103;98,93682; Value-1B;0x42C5C35F;1120256863;98,88158; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C07808;1119909896;96,23444; Value-1F;0x42EE33DC;1122907100;119,1013; Value-20;0x42E06A9B;1122003611;112,2082; Value-21;0x42D57BBE;1121287102;106,7417; Value-22;0x42CFBE9C;1120911004;103,8723; Value-23;0x42CD030F;1120731919;102,506; Value-24;0x42D8E069;1121509481;108,4383; Value-25;0x42EDA7D5;1122871253;118,8278; Value-26;0x4324D0D5;1126486229;164,8158;
2023-11-03_13:14:26.20; Value-01;0x3FC52DEF;1069886959;1,540464; Value-02;0x40927E0B;1083342347;4,577886; Value-03;0x42C2E91F;1120069919;97,45531; Value-04;0x42C609F7;1120274935;99,01946; Value-05;0x42C9AE39;1120513593;100,8403; Value-06;0x42C9F4AB;1120531627;100,9779; Value-07;0x42C4FFF4;1120206836;98,49991; Value-08;0x42C43491;1120154769;98,10267; Value-09;0x42C35597;1120097687;97,66717; Value-0A;0x428E60A4;1116627108;71,18875; Value-0B;0x42CA36D4;1120548564;101,1071; Value-0C;0x42DE5C37;1121868855;111,1801; Value-0D;0x42D3C61F;1121175071;105,887; Value-0E;0x42CE1C9F;1120803999;103,0559; Value-0F;0x42CB65DB;1120626139;101,6989; Value-10;0x42D76205;1121411589;107,6914; Value-11;0x42EC051F;1122764063;118,01; Value-12;0x4325B4A3;1126544547;165,7056; Value-13;0x3F8EE836;1066330166;1,116462; Value-14;0x4015562E;1075140142;2,333385; Value-15;0x42C182C5;1119978181;96,75541; Value-16;0x42C6D40B;1120326667;99,41415; Value-17;0x42CB0AF3;1120602867;101,5214; Value-18;0x42CB9FE0;1120640992;101,8123; Value-19;0x42C6B154;1120317780;99,34634; Value-1A;0x42C5D8C0;1120262336;98,92334; Value-1B;0x42C5C35F;1120256863;98,88158; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C06526;1119905062;96,19756; Value-1F;0x42EE29A3;1122904483;119,0813; Value-20;0x42E06B11;1122003729;112,2091; Value-21;0x42D5B4CC;1121301708;106,8531; Value-22;0x42CFFCC2;1120926914;103,9937; Value-23;0x42CCFBAD;1120730029;102,4916; Value-24;0x42D8EE2C;1121513004;108,4652; Value-25;0x42EE36CB;1122907851;119,107; Value-26;0x4320DBFC;1126226940;160,8593;
2023-11-03_13:14:26.20; Value-01;0x3FC52DEF;1069886959;1,540464; Value-02;0x40927E0B;1083342347;4,577886; Value-03;0x42C2E91F;1120069919;97,45531; Value-04;0x42C609F7;1120274935;99,01946; Value-05;0x42C9AE39;1120513593;100,8403; Value-06;0x42C9F4AB;1120531627;100,9779; Value-07;0x42C4FFF4;1120206836;98,49991; Value-08;0x42C43491;1120154769;98,10267; Value-09;0x42C35597;1120097687;97,66717; Value-0A;0x428E60A4;1116627108;71,18875; Value-0B;0x42CA36D4;1120548564;101,1071; Value-0C;0x42DE5C37;1121868855;111,1801; Value-0D;0x42D3C61F;1121175071;105,887; Value-0E;0x42CE1C9F;1120803999;103,0559; Value-0F;0x42CB65DB;1120626139;101,6989; Value-10;0x42D76205;1121411589;107,6914; Value-11;0x42EC051F;1122764063;118,01; Value-12;0x4325B4A3;1126544547;165,7056; Value-13;0x3F8EE836;1066330166;1,116462; Value-14;0x4015562E;1075140142;2,333385; Value-15;0x42C182C5;1119978181;96,75541; Value-16;0x42C6D40B;1120326667;99,41415; Value-17;0x42CB0AF3;1120602867;101,5214; Value-18;0x42CB9FE0;1120640992;101,8123; Value-19;0x42C6B154;1120317780;99,34634; Value-1A;0x42C5D8C0;1120262336;98,92334; Value-1B;0x42C5C35F;1120256863;98,88158; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C06526;1119905062;96,19756; Value-1F;0x42EE29A3;1122904483;119,0813; Value-20;0x42E06B11;1122003729;112,2091; Value-21;0x42D5B4CC;1121301708;106,8531; Value-22;0x42CFFCC2;1120926914;103,9937; Value-23;0x42CCFBAD;1120730029;102,4916; Value-24;0x42D8EE2C;1121513004;108,4652; Value-25;0x42EE36CB;1122907851;119,107; Value-26;0x4320DBFC;1126226940;160,8593;
2023-11-03_13:14:26.34; Value-01;0x4002B7D1;1073919953;2,042469; Value-02;0x408DBB27;1083030311;4,429096; Value-03;0x42C0E7C2;1119938498;96,45265; Value-04;0x42C65121;1120293153;99,15845; Value-05;0x42C9A1B2;1120510386;100,8158; Value-06;0x42C9F944;1120532804;100,9868; Value-07;0x42C4F7DB;1120204763;98,48409; Value-08;0x42C40AD2;1120144082;98,02113; Value-09;0x42C46D7E;1120169342;98,21385; Value-0A;0x428DF358;1116599128;70,97528; Value-0B;0x42CA09FA;1120537082;101,0195; Value-0C;0x42DE69B1;1121872305;111,2064; Value-0D;0x42D3BF5D;1121173341;105,8738; Value-0E;0x42CE1CB6;1120804022;103,0561; Value-0F;0x42CB1569;1120605545;101,5418; Value-10;0x42D81E29;1121459753;108,0589; Value-11;0x42EBBE05;1122745861;117,8711; Value-12;0x431F9B35;1126144821;159,6063; Value-13;0x3FFEE04F;1073668175;1,99122; Value-14;0x4021A430;1075946544;2,525646; Value-15;0x42C255D0;1120032208;97,1676; Value-16;0x42C71228;1120342568;99,53546; Value-17;0x42CB32A1;1120613025;101,5989; Value-18;0x42CBB7C8;1120647112;101,8589; Value-19;0x42C6B66F;1120319087;99,35632; Value-1A;0x42C5C3B7;1120256951;98,88226; Value-1B;0x42C6A7FA;1120315386;99,32808; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42C0984E;1119918158;96,29747; Value-1F;0x42EE1150;1122898256;119,0338; Value-20;0x42E09122;1122013474;112,2835; Value-21;0x42D5A277;1121297015;106,8173; Value-22;0x42CFEEBC;1120923324;103,9663; Value-23;0x42CD1BBA;1120738234;102,5542; Value-24;0x42D909BA;1121520058;108,519; Value-25;0x42EB65FB;1122723323;117,6992; Value-26;0x43202795;1126180757;160,1546;
