Timestamp;Data
2023-11-03_12:56:05.09; Value-01;0x41557B27;1096121127;13,34257; Value-02;0x41A09B82;1101044610;20,07593; Value-03;0x42C02577;1119888759;96,07317; Value-04;0x42B8E20F;1119412751;92,44152; Value-05;0x42BE9AB2;1119787698;95,30214; Value-06;0x42C0F41F;1119941663;96,4768; Value-07;0x42B1EE34;1118957108;88,96524; Value-08;0x42BDDC98;1119739032;94,93085; Value-09;0x42C61818;1120278552;99,04706; Value-0A;0x4266C0E9;1114030313;57,68839; Value-0B;0x42E01BF7;1121983479;112,0546; Value-0C;0x42E716CF;1122440911;115,5445; Value-0D;0x42DFB88E;1121958030;111,8605; Value-0E;0x42E3E7CA;1122232266;113,9527; Value-0F;0x42CF5F0B;1120886539;103,6856; Value-10;0x43830B5E;1132661598;262,0888; Value-11;0x43AB495A;1135298906;342,5731; Value-12;0x440D50D9;1141723353;565,2632; Value-13;0xC099FA28;-1063650776;-4,811787; Value-14;0xBF9CDF63;-1080238237;-1,225567; Value-15;0x42C17705;1119975173;96,73246; Value-16;0x42BA327B;1119498875;93,09859; Value-17;0x42C02B1C;1119890204;96,0842; Value-18;0x42C27644;1120040516;97,23099; Value-19;0x42B3F3E3;1119089635;89,97634; Value-1A;0x42C1638C;1119970188;96,69443; Value-1B;0x42BD5CB4;1119706292;94,68106; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BFB9FE;1119861246;95,86327; Value-1F;0x42E6210B;1122377995;115,0645; Value-20;0x42E9CD4E;1122618702;116,901; Value-21;0x42E3C35A;1122222938;113,8815; Value-22;0x42E7B26A;1122480746;115,8485; Value-23;0x42C2A505;1120052485;97,3223; Value-24;0x4387D10B;1132974347;271,6331; Value-25;0x43A12495;1134634133;322,2858; Value-26;0x44074ED9;1141329625;541,232;
2023-11-03_12:56:05.23; Value-01;0x41557B27;1096121127;13,34257; Value-02;0x41A09B82;1101044610;20,07593; Value-03;0x42C02577;1119888759;96,07317; Value-04;0x42B8E20F;1119412751;92,44152; Value-05;0x42BE9AB2;1119787698;95,30214; Value-06;0x42C0F41F;1119941663;96,4768; Value-07;0x42B1EE34;1118957108;88,96524; Value-08;0x42BDDC98;1119739032;94,93085; Value-09;0x42C61818;1120278552;99,04706; Value-0A;0x4266C0E9;1114030313;57,68839; Value-0B;0x42E01BF7;1121983479;112,0546; Value-0C;0x42E716CF;1122440911;115,5445; Value-0D;0x42DFB88E;1121958030;111,8605; Value-0E;0x42E3E7CA;1122232266;113,9527; Value-0F;0x42CF5F0B;1120886539;103,6856; Value-10;0x43830B5E;1132661598;262,0888; Value-11;0x43AB495A;1135298906;342,5731; Value-12;0x440D50D9;1141723353;565,2632; Value-13;0xC099FA28;-1063650776;-4,811787; Value-14;0xBF9CDF63;-1080238237;-1,225567; Value-15;0x42C17705;1119975173;96,73246; Value-16;0x42BA327B;1119498875;93,09859; Value-17;0x42C02B1C;1119890204;96,0842; Value-18;0x42C27644;1120040516;97,23099; Value-19;0x42B3F3E3;1119089635;89,97634; Value-1A;0x42C1638C;1119970188;96,69443; Value-1B;0x42BD5CB4;1119706292;94,68106; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BFB9FE;1119861246;95,86327; Value-1F;0x42E6210B;1122377995;115,0645; Value-20;0x42E9CD4E;1122618702;116,901; Value-21;0x42E3C35A;1122222938;113,8815; Value-22;0x42E7B26A;1122480746;115,8485; Value-23;0x42C2A505;1120052485;97,3223; Value-24;0x4387D10B;1132974347;271,6331; Value-25;0x43A12495;1134634133;322,2858; Value-26;0x44074ED9;1141329625;541,232;
2023-11-03_12:56:05.23; Value-01;0x41557B27;1096121127;13,34257; Value-02;0x41A09B82;1101044610;20,07593; Value-03;0x42C02577;1119888759;96,07317; Value-04;0x42B8E20F;1119412751;92,44152; Value-05;0x42BE9AB2;1119787698;95,30214; Value-06;0x42C0F41F;1119941663;96,4768; Value-07;0x42B1EE34;1118957108;88,96524; Value-08;0x42BDDC98;1119739032;94,93085; Value-09;0x42C61818;1120278552;99,04706; Value-0A;0x4266C0E9;1114030313;57,68839; Value-0B;0x42E01BF7;1121983479;112,0546; Value-0C;0x42E716CF;1122440911;115,5445; Value-0D;0x42DFB88E;1121958030;111,8605; Value-0E;0x42E3E7CA;1122232266;113,9527; Value-0F;0x42CF5F0B;1120886539;103,6856; Value-10;0x43830B5E;1132661598;262,0888; Value-11;0x43AB495A;1135298906;342,5731; Value-12;0x440D50D9;1141723353;565,2632; Value-13;0xC099FA28;-1063650776;-4,811787; Value-14;0xBF9CDF63;-1080238237;-1,225567; Value-15;0x42C17705;1119975173;96,73246; Value-16;0x42BA327B;1119498875;93,09859; Value-17;0x42C02B1C;1119890204;96,0842; Value-18;0x42C27644;1120040516;97,23099; Value-19;0x42B3F3E3;1119089635;89,97634; Value-1A;0x42C1638C;1119970188;96,69443; Value-1B;0x42BD5CB4;1119706292;94,68106; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BFB9FE;1119861246;95,86327; Value-1F;0x42E6210B;1122377995;115,0645; Value-20;0x42E9CD4E;1122618702;116,901; Value-21;0x42E3C35A;1122222938;113,8815; Value-22;0x42E7B26A;1122480746;115,8485; Value-23;0x42C2A505;1120052485;97,3223; Value-24;0x4387D10B;1132974347;271,6331; Value-25;0x43A12495;1134634133;322,2858; Value-26;0x44074ED9;1141329625;541,232;
2023-11-03_12:56:05.28; Value-01;0x41557B27;1096121127;13,34257; Value-02;0x41A09B82;1101044610;20,07593; Value-03;0x42C02577;1119888759;96,07317; Value-04;0x42B8E20F;1119412751;92,44152; Value-05;0x42BE9AB2;1119787698;95,30214; Value-06;0x42C0F41F;1119941663;96,4768; Value-07;0x42B1EE34;1118957108;88,96524; Value-08;0x42BDDC98;1119739032;94,93085; Value-09;0x42C61818;1120278552;99,04706; Value-0A;0x4266C0E9;1114030313;57,68839; Value-0B;0x42E01BF7;1121983479;112,0546; Value-0C;0x42E716CF;1122440911;115,5445; Value-0D;0x42DFB88E;1121958030;111,8605; Value-0E;0x42E3E7CA;1122232266;113,9527; Value-0F;0x42CF5F0B;1120886539;103,6856; Value-10;0x43830B5E;1132661598;262,0888; Value-11;0x43AB495A;1135298906;342,5731; Value-12;0x440D50D9;1141723353;565,2632; Value-13;0xC099FA28;-1063650776;-4,811787; Value-14;0xBF9CDF63;-1080238237;-1,225567; Value-15;0x42C17705;1119975173;96,73246; Value-16;0x42BA327B;1119498875;93,09859; Value-17;0x42C02B1C;1119890204;96,0842; Value-18;0x42C27644;1120040516;97,23099; Value-19;0x42B3F3E3;1119089635;89,97634; Value-1A;0x42C1638C;1119970188;96,69443; Value-1B;0x42BD5CB4;1119706292;94,68106; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BFB9FE;1119861246;95,86327; Value-1F;0x42E6210B;1122377995;115,0645; Value-20;0x42E9CD4E;1122618702;116,901; Value-21;0x42E3C35A;1122222938;113,8815; Value-22;0x42E7B26A;1122480746;115,8485; Value-23;0x42C2A505;1120052485;97,3223; Value-24;0x4387D10B;1132974347;271,6331; Value-25;0x43A12495;1134634133;322,2858; Value-26;0x44074ED9;1141329625;541,232;
2023-11-03_12:56:05.35; Value-01;0x41974F86;1100435334;18,91383; Value-02;0x418B105D;1099632733;17,38299; Value-03;0x42C00188;1119879560;96,00299; Value-04;0x42B91F97;1119428503;92,5617; Value-05;0x42BEF004;1119809540;95,46878; Value-06;0x42C11F8D;1119952781;96,56162; Value-07;0x42B26697;1118987927;89,20037; Value-08;0x42B96152;1119445330;92,69008; Value-09;0x42B9A1B1;1119461809;92,8158; Value-0A;0x426709E5;1114048997;57,75966; Value-0B;0x42E03E31;1121992241;112,1215; Value-0C;0x42E76E48;1122463304;115,7154; Value-0D;0x42E081FB;1122009595;112,2539; Value-0E;0x42E61E47;1122377287;115,0591; Value-0F;0x42D24C0A;1121078282;105,1485; Value-10;0x4380361D;1132475933;256,4228; Value-11;0x439925C2;1134110146;306,295; Value-12;0x43DCBED9;1138540249;441,491; Value-13;0xC17FDF32;-1048584398;-15,99199; Value-14;0x41261E55;1093017173;10,38241; Value-15;0x42C19C56;1119984726;96,80534; Value-16;0x42BA596A;1119508842;93,17464; Value-17;0x42C07816;1119909910;96,23454; Value-18;0x42C244DC;1120027868;97,13449; Value-19;0x42B471D8;1119121880;90,22235; Value-1A;0x42BFA563;1119855971;95,82302; Value-1B;0x42C8908B;1120440459;100,2823; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF76BE;1119844030;95,73192; Value-1F;0x42E688BC;1122404540;115,2671; Value-20;0x42EA2C39;1122643001;117,0864; Value-21;0x42E3A6D0;1122215632;113,8258; Value-22;0x42E89E30;1122541104;116,309; Value-23;0x42CE846F;1120830575;103,2587; Value-24;0x43868E88;1132891784;269,1135; Value-25;0x4389A89B;1133095067;275,3172; Value-26;0x440BAEF2;1141616370;558,7335;
2023-11-03_12:56:05.47; Value-01;0x3FEBB40D;1072411661;1,841432; Value-02;0x41AB6902;1101752578;21,42627; Value-03;0x42C00B02;1119881986;96,0215; Value-04;0x42B8E038;1119412280;92,43793; Value-05;0x42BECF40;1119801152;95,40479; Value-06;0x42C11F8D;1119952781;96,56162; Value-07;0x42B26697;1118987927;89,20037; Value-08;0x42B96152;1119445330;92,69008; Value-09;0x42B9A1B1;1119461809;92,8158; Value-0A;0x426728A6;1114056870;57,7897; Value-0B;0x42E0220C;1121985036;112,0665; Value-0C;0x42E77A41;1122466369;115,7388; Value-0D;0x42E12144;1122050372;112,565; Value-0E;0x42E6476A;1122387818;115,1395; Value-0F;0x42D24C0A;1121078282;105,1485; Value-10;0x4380361D;1132475933;256,4228; Value-11;0x439925C2;1134110146;306,295; Value-12;0x43DCBED9;1138540249;441,491; Value-13;0xC10A53A2;-1056287838;-8,645418; Value-14;0x3FF64F8F;1073106831;1,924303; Value-15;0x42C1A015;1119985685;96,81266; Value-16;0x42BA546E;1119507566;93,1649; Value-17;0x42C061AC;1119904172;96,19077; Value-18;0x42C244DC;1120027868;97,13449; Value-19;0x42B471D8;1119121880;90,22235; Value-1A;0x42BFA563;1119855971;95,82302; Value-1B;0x42C8908B;1120440459;100,2823; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF7793;1119844243;95,73354; Value-1F;0x42E65674;1122391668;115,1689; Value-20;0x42E97FBA;1122598842;116,7495; Value-21;0x42E3344E;1122186318;113,6022; Value-22;0x42E88E5D;1122537053;116,2781; Value-23;0x42CE846F;1120830575;103,2587; Value-24;0x43868E88;1132891784;269,1135; Value-25;0x4389A89B;1133095067;275,3172; Value-26;0x440BAEF2;1141616370;558,7335;
2023-11-03_12:56:05.47; Value-01;0x3FEBB40D;1072411661;1,841432; Value-02;0x41AB6902;1101752578;21,42627; Value-03;0x42C00B02;1119881986;96,0215; Value-04;0x42B8E038;1119412280;92,43793; Value-05;0x42BECF40;1119801152;95,40479; Value-06;0x42C11F8D;1119952781;96,56162; Value-07;0x42B26697;1118987927;89,20037; Value-08;0x42B96152;1119445330;92,69008; Value-09;0x42B9A1B1;1119461809;92,8158; Value-0A;0x426728A6;1114056870;57,7897; Value-0B;0x42E0220C;1121985036;112,0665; Value-0C;0x42E77A41;1122466369;115,7388; Value-0D;0x42E12144;1122050372;112,565; Value-0E;0x42E6476A;1122387818;115,1395; Value-0F;0x42D24C0A;1121078282;105,1485; Value-10;0x4380361D;1132475933;256,4228; Value-11;0x439925C2;1134110146;306,295; Value-12;0x43DCBED9;1138540249;441,491; Value-13;0xC10A53A2;-1056287838;-8,645418; Value-14;0x3FF64F8F;1073106831;1,924303; Value-15;0x42C1A015;1119985685;96,81266; Value-16;0x42BA546E;1119507566;93,1649; Value-17;0x42C061AC;1119904172;96,19077; Value-18;0x42C244DC;1120027868;97,13449; Value-19;0x42B471D8;1119121880;90,22235; Value-1A;0x42BFA563;1119855971;95,82302; Value-1B;0x42C8908B;1120440459;100,2823; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF7793;1119844243;95,73354; Value-1F;0x42E65674;1122391668;115,1689; Value-20;0x42E97FBA;1122598842;116,7495; Value-21;0x42E3344E;1122186318;113,6022; Value-22;0x42E88E5D;1122537053;116,2781; Value-23;0x42CE846F;1120830575;103,2587; Value-24;0x43868E88;1132891784;269,1135; Value-25;0x4389A89B;1133095067;275,3172; Value-26;0x440BAEF2;1141616370;558,7335;
2023-11-03_12:56:05.60; Value-01;0x3FEBB40D;1072411661;1,841432; Value-02;0x41AB6902;1101752578;21,42627; Value-03;0x42C00B02;1119881986;96,0215; Value-04;0x42B8E038;1119412280;92,43793; Value-05;0x42BECF40;1119801152;95,40479; Value-06;0x42C0C84B;1119930443;96,3912; Value-07;0x42B32974;1119037812;89,58096; Value-08;0x42BB82FF;1119585023;93,75585; Value-09;0x42C6EE4C;1120333388;99,46542; Value-0A;0x426728A6;1114056870;57,7897; Value-0B;0x42E0220C;1121985036;112,0665; Value-0C;0x42E77A41;1122466369;115,7388; Value-0D;0x42E12144;1122050372;112,565; Value-0E;0x42E6476A;1122387818;115,1395; Value-0F;0x42CC5474;1120687220;102,1649; Value-10;0x4386F6EB;1132918507;269,929; Value-11;0x4399BFDF;1134149599;307,499; Value-12;0x4427088D;1143408781;668,1336; Value-13;0xC10A53A2;-1056287838;-8,645418; Value-14;0x3FF64F8F;1073106831;1,924303; Value-15;0x42C1A015;1119985685;96,81266; Value-16;0x42BA546E;1119507566;93,1649; Value-17;0x42C061AC;1119904172;96,19077; Value-18;0x42C27A17;1120041495;97,23846; Value-19;0x42B37917;1119058199;89,7365; Value-1A;0x42C19992;1119984018;96,79994; Value-1B;0x42C67777;1120302967;99,23333; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF7793;1119844243;95,73354; Value-1F;0x42E65674;1122391668;115,1689; Value-20;0x42E97FBA;1122598842;116,7495; Value-21;0x42E3344E;1122186318;113,6022; Value-22;0x42E88E5D;1122537053;116,2781; Value-23;0x42CE6D36;1120824630;103,2133; Value-24;0x4386F22B;1132917291;269,8919; Value-25;0x43962E14;1133915668;300,36; Value-26;0x440A309A;1141518490;552,7594;
2023-11-03_12:56:05.60; Value-01;0x3FEBB40D;1072411661;1,841432; Value-02;0x41AB6902;1101752578;21,42627; Value-03;0x42C00B02;1119881986;96,0215; Value-04;0x42B8E038;1119412280;92,43793; Value-05;0x42BECF40;1119801152;95,40479; Value-06;0x42C0C84B;1119930443;96,3912; Value-07;0x42B32974;1119037812;89,58096; Value-08;0x42BB82FF;1119585023;93,75585; Value-09;0x42C6EE4C;1120333388;99,46542; Value-0A;0x426728A6;1114056870;57,7897; Value-0B;0x42E0220C;1121985036;112,0665; Value-0C;0x42E77A41;1122466369;115,7388; Value-0D;0x42E12144;1122050372;112,565; Value-0E;0x42E6476A;1122387818;115,1395; Value-0F;0x42CC5474;1120687220;102,1649; Value-10;0x4386F6EB;1132918507;269,929; Value-11;0x4399BFDF;1134149599;307,499; Value-12;0x4427088D;1143408781;668,1336; Value-13;0xC10A53A2;-1056287838;-8,645418; Value-14;0x3FF64F8F;1073106831;1,924303; Value-15;0x42C1A015;1119985685;96,81266; Value-16;0x42BA546E;1119507566;93,1649; Value-17;0x42C061AC;1119904172;96,19077; Value-18;0x42C27A17;1120041495;97,23846; Value-19;0x42B37917;1119058199;89,7365; Value-1A;0x42C19992;1119984018;96,79994; Value-1B;0x42C67777;1120302967;99,23333; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF7793;1119844243;95,73354; Value-1F;0x42E65674;1122391668;115,1689; Value-20;0x42E97FBA;1122598842;116,7495; Value-21;0x42E3344E;1122186318;113,6022; Value-22;0x42E88E5D;1122537053;116,2781; Value-23;0x42CE6D36;1120824630;103,2133; Value-24;0x4386F22B;1132917291;269,8919; Value-25;0x43962E14;1133915668;300,36; Value-26;0x440A309A;1141518490;552,7594;
2023-11-03_12:56:05.72; Value-01;0x40E3313F;1088631103;7,099761; Value-02;0x419ACB41;1100663617;19,34925; Value-03;0x42BFFE83;1119878787;95,99709; Value-04;0x42B8DE79;1119411833;92,43452; Value-05;0x42BEB092;1119793298;95,34486; Value-06;0x42C0C3A8;1119929256;96,38214; Value-07;0x42B2B602;1119008258;89,35548; Value-08;0x42BD4603;1119700483;94,63674; Value-09;0x42C51889;1120213129;98,54792; Value-0A;0x4266FD7C;1114045820;57,74754; Value-0B;0x42E01687;1121982087;112,044; Value-0C;0x42E778FD;1122466045;115,7363; Value-0D;0x42E09FDD;1122017245;112,3122; Value-0E;0x42E3D8E8;1122228456;113,9236; Value-0F;0x42C728F9;1120348409;99,58002; Value-10;0x4386BBBD;1132903357;269,4667; Value-11;0x43A2BDE8;1134738920;325,4836; Value-12;0x4415B351;1142272849;598,8018; Value-13;0x3F9C6678;1067214456;1,221877; Value-14;0x406C3865;1080834149;3,690942; Value-15;0x42C14F2E;1119964974;96,65465; Value-16;0x42BAA2F2;1119527666;93,31825; Value-17;0x42C018F4;1119885556;96,04874; Value-18;0x42C2D4B9;1120064697;97,41547; Value-19;0x42B4CCBA;1119145146;90,39986; Value-1A;0x42B8143B;1119360059;92,03951; Value-1B;0x42C3F5BD;1120138685;97,97996; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF5571;1119835505;95,66688; Value-1F;0x42E64D00;1122389248;115,1504; Value-20;0x42E9A89D;1122609309;116,8293; Value-21;0x42E22B58;1122118488;113,0847; Value-22;0x42E7E14F;1122492751;115,9401; Value-23;0x42CDB445;1120777285;102,8521; Value-24;0x438E3F55;1133395797;284,4948; Value-25;0x4366B463;1130804323;230,7046; Value-26;0x440A39DF;1141520863;552,9042;
2023-11-03_12:56:05.72; Value-01;0x40E3313F;1088631103;7,099761; Value-02;0x419ACB41;1100663617;19,34925; Value-03;0x42BFFE83;1119878787;95,99709; Value-04;0x42B8DE79;1119411833;92,43452; Value-05;0x42BEB092;1119793298;95,34486; Value-06;0x42C0C3A8;1119929256;96,38214; Value-07;0x42B2B602;1119008258;89,35548; Value-08;0x42BD4603;1119700483;94,63674; Value-09;0x42C51889;1120213129;98,54792; Value-0A;0x4266FD7C;1114045820;57,74754; Value-0B;0x42E01687;1121982087;112,044; Value-0C;0x42E778FD;1122466045;115,7363; Value-0D;0x42E09FDD;1122017245;112,3122; Value-0E;0x42E3D8E8;1122228456;113,9236; Value-0F;0x42C728F9;1120348409;99,58002; Value-10;0x4386BBBD;1132903357;269,4667; Value-11;0x43A2BDE8;1134738920;325,4836; Value-12;0x4415B351;1142272849;598,8018; Value-13;0x3F9C6678;1067214456;1,221877; Value-14;0x406C3865;1080834149;3,690942; Value-15;0x42C14F2E;1119964974;96,65465; Value-16;0x42BAA2F2;1119527666;93,31825; Value-17;0x42C018F4;1119885556;96,04874; Value-18;0x42C2D4B9;1120064697;97,41547; Value-19;0x42B4CCBA;1119145146;90,39986; Value-1A;0x42B8143B;1119360059;92,03951; Value-1B;0x42C3F5BD;1120138685;97,97996; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42BF5571;1119835505;95,66688; Value-1F;0x42E64D00;1122389248;115,1504; Value-20;0x42E9A89D;1122609309;116,8293; Value-21;0x42E22B58;1122118488;113,0847; Value-22;0x42E7E14F;1122492751;115,9401; Value-23;0x42CDB445;1120777285;102,8521; Value-24;0x438E3F55;1133395797;284,4948; Value-25;0x4366B463;1130804323;230,7046; Value-26;0x440A39DF;1141520863;552,9042;
