Timestamp;Data
2023-11-03_14:19:24.09; Value-01;0x3F96CCF6;1066847478;1,17813; Value-02;0x4106DFC1;1090969537;8,429627; Value-03;0x42DC7FBE;1121746878;110,2495; Value-04;0x42CC812D;1120698669;102,2523; Value-05;0x42C7D666;1120392806;99,91875; Value-06;0x42C66AE3;1120299747;99,20876; Value-07;0x42C4BD75;1120189813;98,37003; Value-08;0x42C49A74;1120180852;98,30167; Value-09;0x42C41934;1120147764;98,04922; Value-0A;0x428B9442;1116443714;69,78957; Value-0B;0x42B9D315;1119474453;92,91227; Value-0C;0x42CA233B;1120543547;101,0688; Value-0D;0x42C9B57C;1120515452;100,8545; Value-0E;0x42C95361;1120490337;100,6628; Value-0F;0x42C9956B;1120507243;100,7918; Value-10;0x42CB8AA9;1120635561;101,7708; Value-11;0x42E3562D;1122194989;113,6683; Value-12;0x430141D1;1124155857;129,2571; Value-13;0x3F334ADE;1060326110;0,7003611; Value-14;0x3D150F0D;1024790285;0,03639131; Value-15;0x42DABCE7;1121631463;109,3689; Value-16;0x42CD6830;1120757808;102,7035; Value-17;0x42C96E9F;1120497311;100,7161; Value-18;0x42C8182E;1120409646;100,0472; Value-19;0x42C67BFD;1120304125;99,24216; Value-1A;0x42C67170;1120301424;99,22156; Value-1B;0x42C6005D;1120272477;99,00071; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4296A46B;1117168747;75,32113; Value-1F;0x42CF0192;1120862610;103,5031; Value-20;0x42CBC44F;1120650319;101,8834; Value-21;0x42CB6DC3;1120628163;101,7144; Value-22;0x42CB4286;1120617094;101,6299; Value-23;0x42CB9077;1120637047;101,7822; Value-24;0x42CDFE93;1120796307;102,9972; Value-25;0x42E469B9;1122265529;114,2065; Value-26;0x43051896;1124407446;133,096;
2023-11-03_14:19:24.30; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7D666;1120392806;99,91875; Value-06;0x42C66AE3;1120299747;99,20876; Value-07;0x42C4BD75;1120189813;98,37003; Value-08;0x42C49A74;1120180852;98,30167; Value-09;0x42C41934;1120147764;98,04922; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95361;1120490337;100,6628; Value-0F;0x42C9956B;1120507243;100,7918; Value-10;0x42CB8AA9;1120635561;101,7708; Value-11;0x42E3562D;1122194989;113,6683; Value-12;0x430141D1;1124155857;129,2571; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C96E9F;1120497311;100,7161; Value-18;0x42C8182E;1120409646;100,0472; Value-19;0x42C67BFD;1120304125;99,24216; Value-1A;0x42C67170;1120301424;99,22156; Value-1B;0x42C6005D;1120272477;99,00071; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CB9077;1120637047;101,7822; Value-24;0x42CDFE93;1120796307;102,9972; Value-25;0x42E469B9;1122265529;114,2065; Value-26;0x43051896;1124407446;133,096;
2023-11-03_14:19:24.30; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7D666;1120392806;99,91875; Value-06;0x42C66AE3;1120299747;99,20876; Value-07;0x42C4BD75;1120189813;98,37003; Value-08;0x42C49A74;1120180852;98,30167; Value-09;0x42C41934;1120147764;98,04922; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95361;1120490337;100,6628; Value-0F;0x42C9956B;1120507243;100,7918; Value-10;0x42CB8AA9;1120635561;101,7708; Value-11;0x42E3562D;1122194989;113,6683; Value-12;0x430141D1;1124155857;129,2571; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C96E9F;1120497311;100,7161; Value-18;0x42C8182E;1120409646;100,0472; Value-19;0x42C67BFD;1120304125;99,24216; Value-1A;0x42C67170;1120301424;99,22156; Value-1B;0x42C6005D;1120272477;99,00071; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CB9077;1120637047;101,7822; Value-24;0x42CDFE93;1120796307;102,9972; Value-25;0x42E469B9;1122265529;114,2065; Value-26;0x43051896;1124407446;133,096;
2023-11-03_14:19:24.30; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7D666;1120392806;99,91875; Value-06;0x42C66AE3;1120299747;99,20876; Value-07;0x42C4BD75;1120189813;98,37003; Value-08;0x42C49A74;1120180852;98,30167; Value-09;0x42C41934;1120147764;98,04922; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95361;1120490337;100,6628; Value-0F;0x42C9956B;1120507243;100,7918; Value-10;0x42CB8AA9;1120635561;101,7708; Value-11;0x42E3562D;1122194989;113,6683; Value-12;0x430141D1;1124155857;129,2571; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C96E9F;1120497311;100,7161; Value-18;0x42C8182E;1120409646;100,0472; Value-19;0x42C67BFD;1120304125;99,24216; Value-1A;0x42C67170;1120301424;99,22156; Value-1B;0x42C6005D;1120272477;99,00071; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CB9077;1120637047;101,7822; Value-24;0x42CDFE93;1120796307;102,9972; Value-25;0x42E469B9;1122265529;114,2065; Value-26;0x43051896;1124407446;133,096;
2023-11-03_14:19:24.50; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7CAB2;1120389810;99,89589; Value-06;0x42C6731E;1120301854;99,22484; Value-07;0x42C4DBBE;1120197566;98,42918; Value-08;0x42C48479;1120175225;98,25874; Value-09;0x42C42077;1120149623;98,06341; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95213;1120490003;100,6603; Value-0F;0x42C97691;1120499345;100,7316; Value-10;0x42CC1A34;1120672308;102,0512; Value-11;0x42E572E1;1122333409;114,7244; Value-12;0x430091C9;1124110793;128,5695; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C94F5D;1120489309;100,655; Value-18;0x42C80E68;1120407144;100,0281; Value-19;0x42C65DFA;1120296442;99,18355; Value-1A;0x42C68CA8;1120308392;99,27472; Value-1B;0x42C5E3D2;1120265170;98,94496; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CBB194;1120645524;101,8468; Value-24;0x42CDB291;1120776849;102,8488; Value-25;0x42E58236;1122337334;114,7543; Value-26;0x43034AA4;1124289188;131,2916;
2023-11-03_14:19:24.50; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7CAB2;1120389810;99,89589; Value-06;0x42C6731E;1120301854;99,22484; Value-07;0x42C4DBBE;1120197566;98,42918; Value-08;0x42C48479;1120175225;98,25874; Value-09;0x42C42077;1120149623;98,06341; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95213;1120490003;100,6603; Value-0F;0x42C97691;1120499345;100,7316; Value-10;0x42CC1A34;1120672308;102,0512; Value-11;0x42E572E1;1122333409;114,7244; Value-12;0x430091C9;1124110793;128,5695; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C94F5D;1120489309;100,655; Value-18;0x42C80E68;1120407144;100,0281; Value-19;0x42C65DFA;1120296442;99,18355; Value-1A;0x42C68CA8;1120308392;99,27472; Value-1B;0x42C5E3D2;1120265170;98,94496; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CBB194;1120645524;101,8468; Value-24;0x42CDB291;1120776849;102,8488; Value-25;0x42E58236;1122337334;114,7543; Value-26;0x43034AA4;1124289188;131,2916;
2023-11-03_14:19:24.50; Value-01;0x3F949EF2;1066704626;1,161101; Value-02;0xC61E6802;-971085822;-10138; Value-03;0x42DD4DF9;1121799673;110,6523; Value-04;0x42CC7507;1120695559;102,2286; Value-05;0x42C7CAB2;1120389810;99,89589; Value-06;0x42C6731E;1120301854;99,22484; Value-07;0x42C4DBBE;1120197566;98,42918; Value-08;0x42C48479;1120175225;98,25874; Value-09;0x42C42077;1120149623;98,06341; Value-0A;0x428B684B;1116432459;69,7037; Value-0B;0x42BA019B;1119486363;93,00314; Value-0C;0x42CA34C1;1120548033;101,103; Value-0D;0x42C99209;1120506377;100,7852; Value-0E;0x42C95213;1120490003;100,6603; Value-0F;0x42C97691;1120499345;100,7316; Value-10;0x42CC1A34;1120672308;102,0512; Value-11;0x42E572E1;1122333409;114,7244; Value-12;0x430091C9;1124110793;128,5695; Value-13;0x3F7FCEDA;1065340634;0,9992501; Value-14;0xC001D3EB;-1073622037;-2,028559; Value-15;0x42DB8CFD;1121684733;109,7754; Value-16;0x42CD8419;1120764953;102,758; Value-17;0x42C94F5D;1120489309;100,655; Value-18;0x42C80E68;1120407144;100,0281; Value-19;0x42C65DFA;1120296442;99,18355; Value-1A;0x42C68CA8;1120308392;99,27472; Value-1B;0x42C5E3D2;1120265170;98,94496; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x429674ED;1117156589;75,22837; Value-1F;0x42CF1C0C;1120869388;103,5548; Value-20;0x42CBC2CA;1120649930;101,8804; Value-21;0x42CB5EDF;1120624351;101,6853; Value-22;0x42CB4CFE;1120619774;101,6504; Value-23;0x42CBB194;1120645524;101,8468; Value-24;0x42CDB291;1120776849;102,8488; Value-25;0x42E58236;1122337334;114,7543; Value-26;0x43034AA4;1124289188;131,2916;
2023-11-03_14:19:24.70; Value-01;0x3FC9F0D4;1070198996;1,577662; Value-02;0x415C4C95;1096567957;13,7687; Value-03;0x42DCB69A;1121760922;110,3566; Value-04;0x42CC8A6D;1120701037;102,2704; Value-05;0x42C7D788;1120393096;99,92096; Value-06;0x42C662C9;1120297673;99,19294; Value-07;0x42C4B5B6;1120187830;98,3549; Value-08;0x42C4AA99;1120184985;98,3332; Value-09;0x42C411DA;1120145882;98,03487; Value-0A;0x428B8578;1116439928;69,76068; Value-0B;0x42B9EDF2;1119481330;92,96474; Value-0C;0x42CA25FB;1120544251;101,0742; Value-0D;0x42C98A93;1120504467;100,7707; Value-0E;0x42C96CEB;1120496875;100,7127; Value-0F;0x42C9C684;1120519812;100,8877; Value-10;0x42CB7959;1120631129;101,737; Value-11;0x42E38017;1122205719;113,7502; Value-12;0x4302826A;1124237930;130,5094; Value-13;0x3F1BE048;1058791496;0,608891; Value-14;0x40AA65A3;1084908963;5,324907; Value-15;0x42DBAADC;1121692380;109,8337; Value-16;0x42CD6446;1120756806;102,6958; Value-17;0x42C9700F;1120497679;100,7189; Value-18;0x42C811CE;1120408014;100,0348; Value-19;0x42C67B64;1120303972;99,241; Value-1A;0x42C655E7;1120294375;99,16778; Value-1B;0x42C5E9BF;1120266687;98,95654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42970F69;1117196137;75,5301; Value-1F;0x42CEE0C4;1120854212;103,439; Value-20;0x42CBD665;1120654949;101,9187; Value-21;0x42CB57AC;1120622508;101,6712; Value-22;0x42CB347A;1120613498;101,6025; Value-23;0x42CBA525;1120642341;101,8225; Value-24;0x42CE24CB;1120806091;103,0719; Value-25;0x42E68B31;1122405169;115,2719; Value-26;0x43052EE9;1124413161;133,1832;
2023-11-03_14:19:24.70; Value-01;0x3FC9F0D4;1070198996;1,577662; Value-02;0x415C4C95;1096567957;13,7687; Value-03;0x42DCB69A;1121760922;110,3566; Value-04;0x42CC8A6D;1120701037;102,2704; Value-05;0x42C7D788;1120393096;99,92096; Value-06;0x42C662C9;1120297673;99,19294; Value-07;0x42C4B5B6;1120187830;98,3549; Value-08;0x42C4AA99;1120184985;98,3332; Value-09;0x42C411DA;1120145882;98,03487; Value-0A;0x428B8578;1116439928;69,76068; Value-0B;0x42B9EDF2;1119481330;92,96474; Value-0C;0x42CA25FB;1120544251;101,0742; Value-0D;0x42C98A93;1120504467;100,7707; Value-0E;0x42C96CEB;1120496875;100,7127; Value-0F;0x42C9C684;1120519812;100,8877; Value-10;0x42CB7959;1120631129;101,737; Value-11;0x42E38017;1122205719;113,7502; Value-12;0x4302826A;1124237930;130,5094; Value-13;0x3F1BE048;1058791496;0,608891; Value-14;0x40AA65A3;1084908963;5,324907; Value-15;0x42DBAADC;1121692380;109,8337; Value-16;0x42CD6446;1120756806;102,6958; Value-17;0x42C9700F;1120497679;100,7189; Value-18;0x42C811CE;1120408014;100,0348; Value-19;0x42C67B64;1120303972;99,241; Value-1A;0x42C655E7;1120294375;99,16778; Value-1B;0x42C5E9BF;1120266687;98,95654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42970F69;1117196137;75,5301; Value-1F;0x42CEE0C4;1120854212;103,439; Value-20;0x42CBD665;1120654949;101,9187; Value-21;0x42CB57AC;1120622508;101,6712; Value-22;0x42CB347A;1120613498;101,6025; Value-23;0x42CBA525;1120642341;101,8225; Value-24;0x42CE24CB;1120806091;103,0719; Value-25;0x42E68B31;1122405169;115,2719; Value-26;0x43052EE9;1124413161;133,1832;
2023-11-03_14:19:24.70; Value-01;0x3FC9F0D4;1070198996;1,577662; Value-02;0x415C4C95;1096567957;13,7687; Value-03;0x42DCB69A;1121760922;110,3566; Value-04;0x42CC8A6D;1120701037;102,2704; Value-05;0x42C7D788;1120393096;99,92096; Value-06;0x42C662C9;1120297673;99,19294; Value-07;0x42C4B5B6;1120187830;98,3549; Value-08;0x42C4AA99;1120184985;98,3332; Value-09;0x42C411DA;1120145882;98,03487; Value-0A;0x428B8578;1116439928;69,76068; Value-0B;0x42B9EDF2;1119481330;92,96474; Value-0C;0x42CA25FB;1120544251;101,0742; Value-0D;0x42C98A93;1120504467;100,7707; Value-0E;0x42C96CEB;1120496875;100,7127; Value-0F;0x42C9C684;1120519812;100,8877; Value-10;0x42CB7959;1120631129;101,737; Value-11;0x42E38017;1122205719;113,7502; Value-12;0x4302826A;1124237930;130,5094; Value-13;0x3F1BE048;1058791496;0,608891; Value-14;0x40AA65A3;1084908963;5,324907; Value-15;0x42DBAADC;1121692380;109,8337; Value-16;0x42CD6446;1120756806;102,6958; Value-17;0x42C9700F;1120497679;100,7189; Value-18;0x42C811CE;1120408014;100,0348; Value-19;0x42C67B64;1120303972;99,241; Value-1A;0x42C655E7;1120294375;99,16778; Value-1B;0x42C5E9BF;1120266687;98,95654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42970F69;1117196137;75,5301; Value-1F;0x42CEE0C4;1120854212;103,439; Value-20;0x42CBD665;1120654949;101,9187; Value-21;0x42CB57AC;1120622508;101,6712; Value-22;0x42CB347A;1120613498;101,6025; Value-23;0x42CBA525;1120642341;101,8225; Value-24;0x42CE24CB;1120806091;103,0719; Value-25;0x42E68B31;1122405169;115,2719; Value-26;0x43052EE9;1124413161;133,1832;
2023-11-03_14:19:24.71; Value-01;0x3FC9F0D4;1070198996;1,577662; Value-02;0x415C4C95;1096567957;13,7687; Value-03;0x42DCB69A;1121760922;110,3566; Value-04;0x42CC8A6D;1120701037;102,2704; Value-05;0x42C7D788;1120393096;99,92096; Value-06;0x42C662C9;1120297673;99,19294; Value-07;0x42C4B5B6;1120187830;98,3549; Value-08;0x42C4AA99;1120184985;98,3332; Value-09;0x42C411DA;1120145882;98,03487; Value-0A;0x428B8578;1116439928;69,76068; Value-0B;0x42B9EDF2;1119481330;92,96474; Value-0C;0x42CA25FB;1120544251;101,0742; Value-0D;0x42C98A93;1120504467;100,7707; Value-0E;0x42C96CEB;1120496875;100,7127; Value-0F;0x42C9C684;1120519812;100,8877; Value-10;0x42CB7959;1120631129;101,737; Value-11;0x42E38017;1122205719;113,7502; Value-12;0x4302826A;1124237930;130,5094; Value-13;0x3F1BE048;1058791496;0,608891; Value-14;0x40AA65A3;1084908963;5,324907; Value-15;0x42DBAADC;1121692380;109,8337; Value-16;0x42CD6446;1120756806;102,6958; Value-17;0x42C9700F;1120497679;100,7189; Value-18;0x42C811CE;1120408014;100,0348; Value-19;0x42C67B64;1120303972;99,241; Value-1A;0x42C655E7;1120294375;99,16778; Value-1B;0x42C5E9BF;1120266687;98,95654; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42970F69;1117196137;75,5301; Value-1F;0x42CEE0C4;1120854212;103,439; Value-20;0x42CBD665;1120654949;101,9187; Value-21;0x42CB57AC;1120622508;101,6712; Value-22;0x42CB347A;1120613498;101,6025; Value-23;0x42CBA525;1120642341;101,8225; Value-24;0x42CE24CB;1120806091;103,0719; Value-25;0x42E68B31;1122405169;115,2719; Value-26;0x43052EE9;1124413161;133,1832;
