Timestamp;Data
2023-11-03_09:56:06.16; Value-01;0x40661228;1080431144;3,594858; Value-02;0x40975061;1083658337;4,728562; Value-03;0x42CCFA11;1120729617;102,4884; Value-04;0x42D00B95;1120930709;104,0226; Value-05;0x42E43CCC;1122254028;114,1187; Value-06;0x42E672A4;1122398884;115,2239; Value-07;0x42E306E8;1122174696;113,5135; Value-08;0x42E24F03;1122127619;113,1543; Value-09;0x42E2529D;1122128541;113,1614; Value-0A;0x4283F2A1;1115943585;65,97388; Value-0B;0x42D3C093;1121173651;105,8761; Value-0C;0x42F13FD6;1123106774;120,6247; Value-0D;0x42F3A1A2;1123262882;121,8157; Value-0E;0x42F15C0D;1123113997;120,6798; Value-0F;0x42F29AB0;1123195568;121,3021; Value-10;0x42FF7561;1124037985;127,7293; Value-11;0x43158F73;1125486451;149,5603; Value-12;0x43518856;1129416790;209,5326; Value-13;0x3FF6FA99;1073150617;1,929523; Value-14;0x406DAC5B;1080929371;3,713645; Value-15;0x42CCDFFD;1120722941;102,4375; Value-16;0x42D35F11;1121148689;105,6857; Value-17;0x42E99986;1122605446;116,7999; Value-18;0x42ECC393;1122812819;118,382; Value-19;0x42E915AF;1122571695;116,5424; Value-1A;0x42E89063;1122537571;116,282; Value-1B;0x42E8DAB8;1122556600;116,4272; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428D7075;1116565621;70,71964; Value-1F;0x43031B76;1124277110;131,1073; Value-20;0x42F74113;1123500307;123,6271; Value-21;0x42F9BBC3;1123662787;124,8667; Value-22;0x42F85B04;1123572484;124,1778; Value-23;0x42F86E09;1123577353;124,2149; Value-24;0x430327B4;1124280244;131,1551; Value-25;0x431973F8;1125741560;153,453; Value-26;0x4354E797;1129637783;212,9046;
2023-11-03_09:56:06.29; Value-01;0x3F8A4DC6;1066028486;1,080498; Value-02;0x409A79B4;1083865524;4,827356; Value-03;0x42CD4764;1120749412;102,6394; Value-04;0x42CF6D52;1120890194;103,7135; Value-05;0x42E41FAB;1122246571;114,0619; Value-06;0x42E672A4;1122398884;115,2239; Value-07;0x42E306E8;1122174696;113,5135; Value-08;0x42E24F03;1122127619;113,1543; Value-09;0x42E2529D;1122128541;113,1614; Value-0A;0x428268E1;1115842785;65,20484; Value-0B;0x42D359E2;1121147362;105,6756; Value-0C;0x42F0D2F6;1123078902;120,412; Value-0D;0x42F373B4;1123251124;121,726; Value-0E;0x42F1C7A4;1123141540;120,8899; Value-0F;0x42F29AB0;1123195568;121,3021; Value-10;0x42FF7561;1124037985;127,7293; Value-11;0x43158F73;1125486451;149,5603; Value-12;0x43518856;1129416790;209,5326; Value-13;0x3FB6DFEF;1068949487;1,428709; Value-14;0x400C662F;1074554415;2,193737; Value-15;0x42CC3EB5;1120681653;102,1225; Value-16;0x42D37EF5;1121156853;105,748; Value-17;0x42E952D9;1122587353;116,6618; Value-18;0x42ECC393;1122812819;118,382; Value-19;0x42E915AF;1122571695;116,5424; Value-1A;0x42E89063;1122537571;116,282; Value-1B;0x42E8DAB8;1122556600;116,4272; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428CEE99;1116532377;70,46601; Value-1F;0x4302A5A8;1124246952;130,6471; Value-20;0x42F7F43E;1123546174;123,977; Value-21;0x42F9D4F0;1123669232;124,9159; Value-22;0x42F84A55;1123568213;124,1452; Value-23;0x42F86E09;1123577353;124,2149; Value-24;0x430327B4;1124280244;131,1551; Value-25;0x431973F8;1125741560;153,453; Value-26;0x4354E797;1129637783;212,9046;
2023-11-03_09:56:06.29; Value-01;0x3F8A4DC6;1066028486;1,080498; Value-02;0x409A79B4;1083865524;4,827356; Value-03;0x42CD4764;1120749412;102,6394; Value-04;0x42CF6D52;1120890194;103,7135; Value-05;0x42E41FAB;1122246571;114,0619; Value-06;0x42E672A4;1122398884;115,2239; Value-07;0x42E306E8;1122174696;113,5135; Value-08;0x42E24F03;1122127619;113,1543; Value-09;0x42E2529D;1122128541;113,1614; Value-0A;0x428268E1;1115842785;65,20484; Value-0B;0x42D359E2;1121147362;105,6756; Value-0C;0x42F0D2F6;1123078902;120,412; Value-0D;0x42F373B4;1123251124;121,726; Value-0E;0x42F1C7A4;1123141540;120,8899; Value-0F;0x42F29AB0;1123195568;121,3021; Value-10;0x42FF7561;1124037985;127,7293; Value-11;0x43158F73;1125486451;149,5603; Value-12;0x43518856;1129416790;209,5326; Value-13;0x3FB6DFEF;1068949487;1,428709; Value-14;0x400C662F;1074554415;2,193737; Value-15;0x42CC3EB5;1120681653;102,1225; Value-16;0x42D37EF5;1121156853;105,748; Value-17;0x42E952D9;1122587353;116,6618; Value-18;0x42ECC393;1122812819;118,382; Value-19;0x42E915AF;1122571695;116,5424; Value-1A;0x42E89063;1122537571;116,282; Value-1B;0x42E8DAB8;1122556600;116,4272; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428CEE99;1116532377;70,46601; Value-1F;0x4302A5A8;1124246952;130,6471; Value-20;0x42F7F43E;1123546174;123,977; Value-21;0x42F9D4F0;1123669232;124,9159; Value-22;0x42F84A55;1123568213;124,1452; Value-23;0x42F86E09;1123577353;124,2149; Value-24;0x430327B4;1124280244;131,1551; Value-25;0x431973F8;1125741560;153,453; Value-26;0x4354E797;1129637783;212,9046;
2023-11-03_09:56:06.37; Value-01;0x3F8A4DC6;1066028486;1,080498; Value-02;0x409A79B4;1083865524;4,827356; Value-03;0x42CD4764;1120749412;102,6394; Value-04;0x42CF6D52;1120890194;103,7135; Value-05;0x42E41FAB;1122246571;114,0619; Value-06;0x42E6641C;1122395164;115,1955; Value-07;0x42E31F9E;1122181022;113,5618; Value-08;0x42E23D6D;1122123117;113,12; Value-09;0x42E2379E;1122121630;113,1086; Value-0A;0x428268E1;1115842785;65,20484; Value-0B;0x42D359E2;1121147362;105,6756; Value-0C;0x42F0D2F6;1123078902;120,412; Value-0D;0x42F373B4;1123251124;121,726; Value-0E;0x42F1C7A4;1123141540;120,8899; Value-0F;0x42F26134;1123180852;121,1898; Value-10;0x4300502E;1124093998;128,3132; Value-11;0x4315FC8A;1125514378;149,9865; Value-12;0x43504695;1129334421;208,2757; Value-13;0x3FB6DFEF;1068949487;1,428709; Value-14;0x400C662F;1074554415;2,193737; Value-15;0x42CC3EB5;1120681653;102,1225; Value-16;0x42D37EF5;1121156853;105,748; Value-17;0x42E952D9;1122587353;116,6618; Value-18;0x42ECF48A;1122825354;118,4776; Value-19;0x42E8D31B;1122554651;116,4123; Value-1A;0x42E88BE7;1122536423;116,2732; Value-1B;0x42E8ED87;1122561415;116,4639; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428CEE99;1116532377;70,46601; Value-1F;0x4302A5A8;1124246952;130,6471; Value-20;0x42F7F43E;1123546174;123,977; Value-21;0x42F9D4F0;1123669232;124,9159; Value-22;0x42F84A55;1123568213;124,1452; Value-23;0x42F81CEF;1123556591;124,0565; Value-24;0x43034553;1124287827;131,2708; Value-25;0x4318ABB7;1125690295;152,6708; Value-26;0x435256AF;1129469615;210,3386;
2023-11-03_09:56:06.37; Value-01;0x3F8A4DC6;1066028486;1,080498; Value-02;0x409A79B4;1083865524;4,827356; Value-03;0x42CD4764;1120749412;102,6394; Value-04;0x42CF6D52;1120890194;103,7135; Value-05;0x42E41FAB;1122246571;114,0619; Value-06;0x42E6641C;1122395164;115,1955; Value-07;0x42E31F9E;1122181022;113,5618; Value-08;0x42E23D6D;1122123117;113,12; Value-09;0x42E2379E;1122121630;113,1086; Value-0A;0x428268E1;1115842785;65,20484; Value-0B;0x42D359E2;1121147362;105,6756; Value-0C;0x42F0D2F6;1123078902;120,412; Value-0D;0x42F373B4;1123251124;121,726; Value-0E;0x42F1C7A4;1123141540;120,8899; Value-0F;0x42F26134;1123180852;121,1898; Value-10;0x4300502E;1124093998;128,3132; Value-11;0x4315FC8A;1125514378;149,9865; Value-12;0x43504695;1129334421;208,2757; Value-13;0x3FB6DFEF;1068949487;1,428709; Value-14;0x400C662F;1074554415;2,193737; Value-15;0x42CC3EB5;1120681653;102,1225; Value-16;0x42D37EF5;1121156853;105,748; Value-17;0x42E952D9;1122587353;116,6618; Value-18;0x42ECF48A;1122825354;118,4776; Value-19;0x42E8D31B;1122554651;116,4123; Value-1A;0x42E88BE7;1122536423;116,2732; Value-1B;0x42E8ED87;1122561415;116,4639; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428CEE99;1116532377;70,46601; Value-1F;0x4302A5A8;1124246952;130,6471; Value-20;0x42F7F43E;1123546174;123,977; Value-21;0x42F9D4F0;1123669232;124,9159; Value-22;0x42F84A55;1123568213;124,1452; Value-23;0x42F81CEF;1123556591;124,0565; Value-24;0x43034553;1124287827;131,2708; Value-25;0x4318ABB7;1125690295;152,6708; Value-26;0x435256AF;1129469615;210,3386;
2023-11-03_09:56:06.44; Value-01;0x40123A74;1074936436;2,284818; Value-02;0x40A288D4;1084393684;5,079203; Value-03;0x42CBD254;1120653908;101,9108; Value-04;0x42CFDA0A;1120918026;103,9259; Value-05;0x42E42D4C;1122250060;114,0885; Value-06;0x42E6D410;1122423824;115,4142; Value-07;0x42E31F9E;1122181022;113,5618; Value-08;0x42E23D6D;1122123117;113,12; Value-09;0x42E2379E;1122121630;113,1086; Value-0A;0x4283081C;1115883548;65,51584; Value-0B;0x42D3A76A;1121167210;105,827; Value-0C;0x42F128F1;1123100913;120,58; Value-0D;0x42F38EC5;1123258053;121,7788; Value-0E;0x42F1BF35;1123139381;120,8735; Value-0F;0x42F2033D;1123156797;121,0063; Value-10;0x4300502E;1124093998;128,3132; Value-11;0x4315FC8A;1125514378;149,9865; Value-12;0x43504695;1129334421;208,2757; Value-13;0x4037FC01;1077410817;2,874756; Value-14;0x40192F7C;1075392380;2,393523; Value-15;0x42CC606E;1120690286;102,1883; Value-16;0x42D38C50;1121160272;105,774; Value-17;0x42E971D4;1122595284;116,7223; Value-18;0x42ECF48A;1122825354;118,4776; Value-19;0x42E8D31B;1122554651;116,4123; Value-1A;0x42E88BE7;1122536423;116,2732; Value-1B;0x42E8ED87;1122561415;116,4639; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428C2F69;1116483433;70,0926; Value-1F;0x43033B25;1124285221;131,231; Value-20;0x42F6A5E5;1123460581;123,324; Value-21;0x42F9E5ED;1123673581;124,9491; Value-22;0x42F84036;1123565622;124,1254; Value-23;0x42F8DFAA;1123606442;124,4368; Value-24;0x43034553;1124287827;131,2708; Value-25;0x4318ABB7;1125690295;152,6708; Value-26;0x435256AF;1129469615;210,3386;
2023-11-03_09:56:06.52; Value-01;0x40123A74;1074936436;2,284818; Value-02;0x40A288D4;1084393684;5,079203; Value-03;0x42CBD254;1120653908;101,9108; Value-04;0x42CFDA0A;1120918026;103,9259; Value-05;0x42E42D4C;1122250060;114,0885; Value-06;0x42E6D410;1122423824;115,4142; Value-07;0x42E33897;1122187415;113,6105; Value-08;0x42E28A2C;1122142764;113,2699; Value-09;0x42E29146;1122144582;113,2837; Value-0A;0x4283081C;1115883548;65,51584; Value-0B;0x42D3A76A;1121167210;105,827; Value-0C;0x42F128F1;1123100913;120,58; Value-0D;0x42F38EC5;1123258053;121,7788; Value-0E;0x42F1BF35;1123139381;120,8735; Value-0F;0x42F2033D;1123156797;121,0063; Value-10;0x42FE54E7;1123964135;127,1658; Value-11;0x43150867;1125451879;149,0328; Value-12;0x4352DCF2;1129503986;210,8631; Value-13;0x4037FC01;1077410817;2,874756; Value-14;0x40192F7C;1075392380;2,393523; Value-15;0x42CC606E;1120690286;102,1883; Value-16;0x42D38C50;1121160272;105,774; Value-17;0x42E971D4;1122595284;116,7223; Value-18;0x42EC4F37;1122783031;118,1547; Value-19;0x42E90538;1122567480;116,5102; Value-1A;0x42E89218;1122538008;116,2853; Value-1B;0x42E88D61;1122536801;116,2761; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428C2F69;1116483433;70,0926; Value-1F;0x43033B25;1124285221;131,231; Value-20;0x42F6A5E5;1123460581;123,324; Value-21;0x42F9E5ED;1123673581;124,9491; Value-22;0x42F84036;1123565622;124,1254; Value-23;0x42F8DFAA;1123606442;124,4368; Value-24;0x4302F4A2;1124267170;130,9556; Value-25;0x431908F0;1125714160;153,0349; Value-26;0x4354E0A9;1129636009;212,8776;
2023-11-03_09:56:06.59; Value-01;0x400E71DE;1074688478;2,2257; Value-02;0x40989148;1083740488;4,767735; Value-03;0x42C4FFFF;1120206847;98,49999; Value-04;0x42CFF16A;1120924010;103,9715; Value-05;0x42E42A01;1122249217;114,082; Value-06;0x42E6D514;1122424084;115,4162; Value-07;0x42E33897;1122187415;113,6105; Value-08;0x42E28A2C;1122142764;113,2699; Value-09;0x42E29146;1122144582;113,2837; Value-0A;0x428256E1;1115838177;65,16969; Value-0B;0x42D40B17;1121192727;106,0217; Value-0C;0x42F26FD9;1123184601;121,2185; Value-0D;0x42F35DD2;1123245522;121,6832; Value-0E;0x42F1ED6F;1123151215;120,9637; Value-0F;0x42F1FF9C;1123155868;120,9992; Value-10;0x42FDF625;1123939877;126,9808; Value-11;0x43150867;1125451879;149,0328; Value-12;0x4352DCF2;1129503986;210,8631; Value-13;0x3F948614;1066698260;1,160342; Value-14;0x40308C1B;1076923419;2,758551; Value-15;0x42CDB370;1120777072;102,8505; Value-16;0x42D3DA9D;1121180317;105,927; Value-17;0x42E9BAA9;1122613929;116,8646; Value-18;0x42ECCDF6;1122815478;118,4023; Value-19;0x42E8F741;1122563905;116,4829; Value-1A;0x42E89218;1122538008;116,2853; Value-1B;0x42E88D61;1122536801;116,2761; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428D8F73;1116573555;70,78017; Value-1F;0x43036004;1124294660;131,3751; Value-20;0x42F77748;1123514184;123,733; Value-21;0x42F9CD9A;1123667354;124,9016; Value-22;0x42F8351C;1123562780;124,1037; Value-23;0x42F8D4EA;1123603690;124,4158; Value-24;0x4303182E;1124276270;131,0945; Value-25;0x431BA9DC;1125886428;155,6635; Value-26;0x4354E0A9;1129636009;212,8776;
2023-11-03_09:56:06.66; Value-01;0x400E71DE;1074688478;2,2257; Value-02;0x40989148;1083740488;4,767735; Value-03;0x42C4FFFF;1120206847;98,49999; Value-04;0x42CFF16A;1120924010;103,9715; Value-05;0x42E42A01;1122249217;114,082; Value-06;0x42E6D514;1122424084;115,4162; Value-07;0x42E2705B;1122136155;113,2194; Value-08;0x42E2DF9F;1122164639;113,4368; Value-09;0x42E19721;1122080545;112,7952; Value-0A;0x42836631;1115907633;65,69959; Value-0B;0x42D40B17;1121192727;106,0217; Value-0C;0x42F26FD9;1123184601;121,2185; Value-0D;0x42F35DD2;1123245522;121,6832; Value-0E;0x42F1ED6F;1123151215;120,9637; Value-0F;0x42F1FF9C;1123155868;120,9992; Value-10;0x42FDF625;1123939877;126,9808; Value-11;0x431533BC;1125462972;149,2021; Value-12;0x43571CC1;1129782465;215,1123; Value-13;0xBFB184F5;-1078885131;-1,38687; Value-14;0x40849F64;1082433380;4,144457; Value-15;0x42CDB370;1120777072;102,8505; Value-16;0x42D3DA9D;1121180317;105,927; Value-17;0x42E9BAA9;1122613929;116,8646; Value-18;0x42ECCDF6;1122815478;118,4023; Value-19;0x42E8F741;1122563905;116,4829; Value-1A;0x42E868DA;1122527450;116,2048; Value-1B;0x42E8AFDC;1122545628;116,3435; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428D70A9;1116565673;70,72004; Value-1F;0x4301EF9A;1124200346;129,9359; Value-20;0x42F773FD;1123513341;123,7265; Value-21;0x42F9CD9A;1123667354;124,9016; Value-22;0x42F8351C;1123562780;124,1037; Value-23;0x42F8D4EA;1123603690;124,4158; Value-24;0x4303182E;1124276270;131,0945; Value-25;0x431BA9DC;1125886428;155,6635; Value-26;0x4353078B;1129514891;211,0295;
2023-11-03_09:56:06.73; Value-01;0xBCD37EF5;-1126990091;-0,02581737; Value-02;0x4086BA46;1082571334;4,210238; Value-03;0x42D8EEE9;1121513193;108,4666; Value-04;0x42CF9C37;1120902199;103,8051; Value-05;0x42E42B44;1122249540;114,0845; Value-06;0x42E6C562;1122420066;115,3855; Value-07;0x42E2FCFB;1122172155;113,4941; Value-08;0x42E22E55;1122119253;113,0905; Value-09;0x42E19721;1122080545;112,7952; Value-0A;0x42836631;1115907633;65,69959; Value-0B;0x42D1B6B8;1121040056;104,8569; Value-0C;0x42F0F66D;1123087981;120,4813; Value-0D;0x42F3E6A2;1123280546;121,9505; Value-0E;0x42F17F8C;1123123084;120,7491; Value-0F;0x42F1BB9B;1123138459;120,8664; Value-10;0x42FFBAC7;1124055751;127,8648; Value-11;0x4317FFB1;1125646257;151,9988; Value-12;0x43571CC1;1129782465;215,1123; Value-13;0xBFB184F5;-1078885131;-1,38687; Value-14;0x40849F64;1082433380;4,144457; Value-15;0x42CD0A81;1120733825;102,5205; Value-16;0x42D2388F;1121073295;105,1105; Value-17;0x42E94BA5;1122585509;116,6477; Value-18;0x42ECC373;1122812787;118,3817; Value-19;0x42E8FD6D;1122565485;116,495; Value-1A;0x42E88069;1122533481;116,2508; Value-1B;0x42E8AFDC;1122545628;116,3435; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428D70A9;1116565673;70,72004; Value-1F;0x4301EF9A;1124200346;129,9359; Value-20;0x42F773FD;1123513341;123,7265; Value-21;0x42F9FF35;1123680053;124,9985; Value-22;0x42F83BCC;1123564492;124,1168; Value-23;0x42F85966;1123572070;124,1746; Value-24;0x43033C53;1124285523;131,2356; Value-25;0x4318EB76;1125706614;152,9198; Value-26;0x435691DC;1129746908;214,5698;
2023-11-03_09:56:06.73; Value-01;0xBCD37EF5;-1126990091;-0,02581737; Value-02;0x4086BA46;1082571334;4,210238; Value-03;0x42D8EEE9;1121513193;108,4666; Value-04;0x42CF9C37;1120902199;103,8051; Value-05;0x42E42B44;1122249540;114,0845; Value-06;0x42E6C562;1122420066;115,3855; Value-07;0x42E2FCFB;1122172155;113,4941; Value-08;0x42E22E55;1122119253;113,0905; Value-09;0x42E19721;1122080545;112,7952; Value-0A;0x42836631;1115907633;65,69959; Value-0B;0x42D1B6B8;1121040056;104,8569; Value-0C;0x42F0F66D;1123087981;120,4813; Value-0D;0x42F3E6A2;1123280546;121,9505; Value-0E;0x42F17F8C;1123123084;120,7491; Value-0F;0x42F1BB9B;1123138459;120,8664; Value-10;0x42FFBAC7;1124055751;127,8648; Value-11;0x4317FFB1;1125646257;151,9988; Value-12;0x43571CC1;1129782465;215,1123; Value-13;0xBFB184F5;-1078885131;-1,38687; Value-14;0x40849F64;1082433380;4,144457; Value-15;0x42CD0A81;1120733825;102,5205; Value-16;0x42D2388F;1121073295;105,1105; Value-17;0x42E94BA5;1122585509;116,6477; Value-18;0x42ECC373;1122812787;118,3817; Value-19;0x42E8FD6D;1122565485;116,495; Value-1A;0x42E88069;1122533481;116,2508; Value-1B;0x42E8AFDC;1122545628;116,3435; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x428D70A9;1116565673;70,72004; Value-1F;0x4301EF9A;1124200346;129,9359; Value-20;0x42F773FD;1123513341;123,7265; Value-21;0x42F9FF35;1123680053;124,9985; Value-22;0x42F83BCC;1123564492;124,1168; Value-23;0x42F85966;1123572070;124,1746; Value-24;0x43033C53;1124285523;131,2356; Value-25;0x4318EB76;1125706614;152,9198; Value-26;0x435691DC;1129746908;214,5698;
