Timestamp;Data
2023-10-17_16:48:35.28; Value-01;0xC17A42A4;-1048952156;-15,64127; Value-02;0x3FECAF02;1072475906;1,849091; Value-03;0x4235C194;1110819220;45,43904; Value-04;0x423316BF;1110644415;44,77221; Value-05;0x424A110C;1112150284;50,51665; Value-06;0x42807204;1115714052;64,22269; Value-07;0x425F9C68;1113562216;55,90274; Value-08;0x4260A026;1113628710;56,15639; Value-09;0x41F7476B;1106724715;30,90987; Value-0A;0x4256CC0B;1112984587;53,69926; Value-0B;0x424B7E91;1112243857;50,8736; Value-0C;0x4252F960;1112734048;52,74353; Value-0D;0x423F87C4;1111459780;47,88258; Value-0E;0x428848E2;1116227810;68,14235; Value-0F;0x4293CCD7;1116982487;73,90008; Value-10;0x429F5584;1117738372;79,66702; Value-11;0x427EB409;1115599881;63,67582; Value-12;0x00000000;0;0; Value-13;0xC17B3272;-1048890766;-15,69982; Value-14;0xBF9379AF;-1080854097;-1,152151; Value-15;0x4235E9E7;1110829543;45,47842; Value-16;0x423305D1;1110640081;44,75568; Value-17;0x4249FA7A;1112144506;50,49461; Value-18;0x42805EBB;1115709115;64,18502; Value-19;0x425FB862;1113569378;55,93006; Value-1A;0x42611E74;1113661044;56,27974; Value-1B;0x41F59450;1106613328;30,69742; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42557F1E;1112899358;53,37414; Value-1F;0x424B9905;1112250629;50,89943; Value-20;0x4252E1FE;1112728062;52,7207; Value-21;0x423F62FB;1111450363;47,84666; Value-22;0x42885927;1116231975;68,17413; Value-23;0x4293EED3;1116991187;73,96645; Value-24;0x429E7918;1117681944;79,23651; Value-25;0x42818B4B;1115786059;64,77206; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.42; Value-01;0xC17A42A4;-1048952156;-15,64127; Value-02;0x3FECAF02;1072475906;1,849091; Value-03;0x4235C194;1110819220;45,43904; Value-04;0x423316BF;1110644415;44,77221; Value-05;0x424A110C;1112150284;50,51665; Value-06;0x42807204;1115714052;64,22269; Value-07;0x425F9C68;1113562216;55,90274; Value-08;0x4260A026;1113628710;56,15639; Value-09;0x41F7476B;1106724715;30,90987; Value-0A;0x4256CC0B;1112984587;53,69926; Value-0B;0x424B7E91;1112243857;50,8736; Value-0C;0x4252F960;1112734048;52,74353; Value-0D;0x423F87C4;1111459780;47,88258; Value-0E;0x428848E2;1116227810;68,14235; Value-0F;0x4293CCD7;1116982487;73,90008; Value-10;0x429F5584;1117738372;79,66702; Value-11;0x427EB409;1115599881;63,67582; Value-12;0x00000000;0;0; Value-13;0xC17B3272;-1048890766;-15,69982; Value-14;0xBF9379AF;-1080854097;-1,152151; Value-15;0x4235E9E7;1110829543;45,47842; Value-16;0x423305D1;1110640081;44,75568; Value-17;0x4249FA7A;1112144506;50,49461; Value-18;0x42805EBB;1115709115;64,18502; Value-19;0x425FB862;1113569378;55,93006; Value-1A;0x42611E74;1113661044;56,27974; Value-1B;0x41F59450;1106613328;30,69742; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42557F1E;1112899358;53,37414; Value-1F;0x424B9905;1112250629;50,89943; Value-20;0x4252E1FE;1112728062;52,7207; Value-21;0x423F62FB;1111450363;47,84666; Value-22;0x42885927;1116231975;68,17413; Value-23;0x4293EED3;1116991187;73,96645; Value-24;0x429E7918;1117681944;79,23651; Value-25;0x42818B4B;1115786059;64,77206; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.42; Value-01;0xC17A42A4;-1048952156;-15,64127; Value-02;0x3FECAF02;1072475906;1,849091; Value-03;0x4235C194;1110819220;45,43904; Value-04;0x423316BF;1110644415;44,77221; Value-05;0x424A110C;1112150284;50,51665; Value-06;0x42807204;1115714052;64,22269; Value-07;0x425F9C68;1113562216;55,90274; Value-08;0x4260A026;1113628710;56,15639; Value-09;0x41F7476B;1106724715;30,90987; Value-0A;0x4256CC0B;1112984587;53,69926; Value-0B;0x424B7E91;1112243857;50,8736; Value-0C;0x4252F960;1112734048;52,74353; Value-0D;0x423F87C4;1111459780;47,88258; Value-0E;0x428848E2;1116227810;68,14235; Value-0F;0x4293CCD7;1116982487;73,90008; Value-10;0x429F5584;1117738372;79,66702; Value-11;0x427EB409;1115599881;63,67582; Value-12;0x00000000;0;0; Value-13;0xC17B3272;-1048890766;-15,69982; Value-14;0xBF9379AF;-1080854097;-1,152151; Value-15;0x4235E9E7;1110829543;45,47842; Value-16;0x423305D1;1110640081;44,75568; Value-17;0x4249FA7A;1112144506;50,49461; Value-18;0x42805EBB;1115709115;64,18502; Value-19;0x425FB862;1113569378;55,93006; Value-1A;0x42611E74;1113661044;56,27974; Value-1B;0x41F59450;1106613328;30,69742; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42557F1E;1112899358;53,37414; Value-1F;0x424B9905;1112250629;50,89943; Value-20;0x4252E1FE;1112728062;52,7207; Value-21;0x423F62FB;1111450363;47,84666; Value-22;0x42885927;1116231975;68,17413; Value-23;0x4293EED3;1116991187;73,96645; Value-24;0x429E7918;1117681944;79,23651; Value-25;0x42818B4B;1115786059;64,77206; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.47; Value-01;0xC1467F35;-1052344523;-12,40606; Value-02;0x427D7B04;1115519748;63,37013; Value-03;0x4235BD8B;1110818187;45,4351; Value-04;0x4233070E;1110640398;44,75689; Value-05;0x424A0E03;1112149507;50,51368; Value-06;0x42806F8A;1115713418;64,21785; Value-07;0x425FCA4D;1113573965;55,94756; Value-08;0x4260CE6E;1113640558;56,20159; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x4255519C;1112887708;53,3297; Value-0B;0x424B9F47;1112252231;50,90554; Value-0C;0x4252CDA5;1112722853;52,70082; Value-0D;0x423F82A5;1111458469;47,87758; Value-0E;0x428845EA;1116227050;68,13655; Value-0F;0x4293BA14;1116977684;73,86343; Value-10;0x429E4E39;1117670969;79,15278; Value-11;0x42759CB4;1115004084;61,40303; Value-12;0x00000000;0;0; Value-13;0xC17B4BBF;-1048884289;-15,70599; Value-14;0x409E2261;1084105313;4,941697; Value-15;0x4235EC59;1110830169;45,48081; Value-16;0x42330A6C;1110641260;44,76018; Value-17;0x424A0C8E;1112149134;50,51226; Value-18;0x4280721D;1115714077;64,22288; Value-19;0x425FB5AC;1113568684;55,92741; Value-1A;0x42611116;1113657622;56,26669; Value-1B;0x41F3A224;1106485796;30,45417; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4255626D;1112892013;53,34612; Value-1F;0x424B963D;1112249917;50,89672; Value-20;0x4252C996;1112721814;52,69686; Value-21;0x423F7230;1111454256;47,86151; Value-22;0x4288446A;1116226666;68,13362; Value-23;0x4293F3C7;1116992455;73,97613; Value-24;0x429E6998;1117677976;79,20624; Value-25;0x4275CA26;1115015718;61,44741; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.56; Value-01;0xC1467F35;-1052344523;-12,40606; Value-02;0x427D7B04;1115519748;63,37013; Value-03;0x4235BD8B;1110818187;45,4351; Value-04;0x4233070E;1110640398;44,75689; Value-05;0x424A0E03;1112149507;50,51368; Value-06;0x42806F8A;1115713418;64,21785; Value-07;0x425FCA4D;1113573965;55,94756; Value-08;0x4260CE6E;1113640558;56,20159; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x4255519C;1112887708;53,3297; Value-0B;0x424B9F47;1112252231;50,90554; Value-0C;0x4252CDA5;1112722853;52,70082; Value-0D;0x423F82A5;1111458469;47,87758; Value-0E;0x428845EA;1116227050;68,13655; Value-0F;0x4293BA14;1116977684;73,86343; Value-10;0x429E4E39;1117670969;79,15278; Value-11;0x42759CB4;1115004084;61,40303; Value-12;0x00000000;0;0; Value-13;0xC17B4BBF;-1048884289;-15,70599; Value-14;0x409E2261;1084105313;4,941697; Value-15;0x4235EC59;1110830169;45,48081; Value-16;0x42330A6C;1110641260;44,76018; Value-17;0x424A0C8E;1112149134;50,51226; Value-18;0x4280721D;1115714077;64,22288; Value-19;0x425FB5AC;1113568684;55,92741; Value-1A;0x42611116;1113657622;56,26669; Value-1B;0x41F3A224;1106485796;30,45417; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4255626D;1112892013;53,34612; Value-1F;0x424B963D;1112249917;50,89672; Value-20;0x4252C996;1112721814;52,69686; Value-21;0x423F7230;1111454256;47,86151; Value-22;0x4288446A;1116226666;68,13362; Value-23;0x4293F3C7;1116992455;73,97613; Value-24;0x429E6998;1117677976;79,20624; Value-25;0x4275CA26;1115015718;61,44741; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.60; Value-01;0xC1467F35;-1052344523;-12,40606; Value-02;0x427D7B04;1115519748;63,37013; Value-03;0x4235BD8B;1110818187;45,4351; Value-04;0x4233070E;1110640398;44,75689; Value-05;0x424A0E03;1112149507;50,51368; Value-06;0x42806F8A;1115713418;64,21785; Value-07;0x425FCA4D;1113573965;55,94756; Value-08;0x4260CE6E;1113640558;56,20159; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x4255519C;1112887708;53,3297; Value-0B;0x424B9F47;1112252231;50,90554; Value-0C;0x4252CDA5;1112722853;52,70082; Value-0D;0x423F82A5;1111458469;47,87758; Value-0E;0x428845EA;1116227050;68,13655; Value-0F;0x4293BA14;1116977684;73,86343; Value-10;0x429E4E39;1117670969;79,15278; Value-11;0x42759CB4;1115004084;61,40303; Value-12;0x00000000;0;0; Value-13;0xC17B4BBF;-1048884289;-15,70599; Value-14;0x409E2261;1084105313;4,941697; Value-15;0x4235EC59;1110830169;45,48081; Value-16;0x42330A6C;1110641260;44,76018; Value-17;0x424A0C8E;1112149134;50,51226; Value-18;0x4280721D;1115714077;64,22288; Value-19;0x425FB5AC;1113568684;55,92741; Value-1A;0x42611116;1113657622;56,26669; Value-1B;0x41F3A224;1106485796;30,45417; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x4255626D;1112892013;53,34612; Value-1F;0x424B963D;1112249917;50,89672; Value-20;0x4252C996;1112721814;52,69686; Value-21;0x423F7230;1111454256;47,86151; Value-22;0x4288446A;1116226666;68,13362; Value-23;0x4293F3C7;1116992455;73,97613; Value-24;0x429E6998;1117677976;79,20624; Value-25;0x4275CA26;1115015718;61,44741; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.66; Value-01;0xC145A413;-1052400621;-12,35256; Value-02;0xBE57C65A;-1101543846;-0,2107176; Value-03;0x4235C87C;1110820988;45,44579; Value-04;0x423316E6;1110644454;44,77236; Value-05;0x424A0C83;1112149123;50,51222; Value-06;0x428074C7;1115714759;64,22808; Value-07;0x425FBEB0;1113570992;55,93622; Value-08;0x4260BAB0;1113635504;56,18231; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x42554B1E;1112886046;53,32336; Value-0B;0x424B6EE6;1112239846;50,8583; Value-0C;0x4252E57E;1112728958;52,72411; Value-0D;0x423F4D13;1111444755;47,82527; Value-0E;0x4288436C;1116226412;68,13168; Value-0F;0x4293FF3C;1116995388;73,9985; Value-10;0x429E33FC;1117664252;79,10153; Value-11;0x427D3260;1115501152;63,29919; Value-12;0x00000000;0;0; Value-13;0xC16807B1;-1050146895;-14,50188; Value-14;0x4159D961;1096407393;13,61557; Value-15;0x4235F2C6;1110831814;45,48708; Value-16;0x4233079F;1110640543;44,75744; Value-17;0x4249F64D;1112143437;50,49053; Value-18;0x42805F9E;1115709342;64,18675; Value-19;0x425FB961;1113569633;55,93103; Value-1A;0x4260D268;1113641576;56,20547; Value-1B;0x41F3D4D5;1106498773;30,47892; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42552BA6;1112877990;53,29263; Value-1F;0x424B81C7;1112244679;50,87674; Value-20;0x4252F55F;1112733023;52,73962; Value-21;0x423F6DFE;1111453182;47,85741; Value-22;0x42885E12;1116233234;68,18373; Value-23;0x4293B821;1116977185;73,85963; Value-24;0x429D5193;1117606291;78,65932; Value-25;0x427612DD;1115034333;61,51842; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.74; Value-01;0xC145A413;-1052400621;-12,35256; Value-02;0xBE57C65A;-1101543846;-0,2107176; Value-03;0x4235C87C;1110820988;45,44579; Value-04;0x423316E6;1110644454;44,77236; Value-05;0x424A0C83;1112149123;50,51222; Value-06;0x428074C7;1115714759;64,22808; Value-07;0x425FBEB0;1113570992;55,93622; Value-08;0x4260BAB0;1113635504;56,18231; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x42554B1E;1112886046;53,32336; Value-0B;0x424B6EE6;1112239846;50,8583; Value-0C;0x4252E57E;1112728958;52,72411; Value-0D;0x423F4D13;1111444755;47,82527; Value-0E;0x4288436C;1116226412;68,13168; Value-0F;0x4293FF3C;1116995388;73,9985; Value-10;0x429E33FC;1117664252;79,10153; Value-11;0x427D3260;1115501152;63,29919; Value-12;0x00000000;0;0; Value-13;0xC16807B1;-1050146895;-14,50188; Value-14;0x4159D961;1096407393;13,61557; Value-15;0x4235F2C6;1110831814;45,48708; Value-16;0x4233079F;1110640543;44,75744; Value-17;0x4249F64D;1112143437;50,49053; Value-18;0x42805F9E;1115709342;64,18675; Value-19;0x425FB961;1113569633;55,93103; Value-1A;0x4260D268;1113641576;56,20547; Value-1B;0x41F3D4D5;1106498773;30,47892; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42552BA6;1112877990;53,29263; Value-1F;0x424B81C7;1112244679;50,87674; Value-20;0x4252F55F;1112733023;52,73962; Value-21;0x423F6DFE;1111453182;47,85741; Value-22;0x42885E12;1116233234;68,18373; Value-23;0x4293B821;1116977185;73,85963; Value-24;0x429D5193;1117606291;78,65932; Value-25;0x427612DD;1115034333;61,51842; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.80; Value-01;0xC145A413;-1052400621;-12,35256; Value-02;0xBE57C65A;-1101543846;-0,2107176; Value-03;0x4235C87C;1110820988;45,44579; Value-04;0x423316E6;1110644454;44,77236; Value-05;0x424A0C83;1112149123;50,51222; Value-06;0x428074C7;1115714759;64,22808; Value-07;0x425FBEB0;1113570992;55,93622; Value-08;0x4260BAB0;1113635504;56,18231; Value-09;0x41F7A8D2;1106749650;30,95743; Value-0A;0x42554B1E;1112886046;53,32336; Value-0B;0x424B6EE6;1112239846;50,8583; Value-0C;0x4252E57E;1112728958;52,72411; Value-0D;0x423F4D13;1111444755;47,82527; Value-0E;0x4288436C;1116226412;68,13168; Value-0F;0x4293FF3C;1116995388;73,9985; Value-10;0x429E33FC;1117664252;79,10153; Value-11;0x427D3260;1115501152;63,29919; Value-12;0x00000000;0;0; Value-13;0xC16807B1;-1050146895;-14,50188; Value-14;0x4159D961;1096407393;13,61557; Value-15;0x4235F2C6;1110831814;45,48708; Value-16;0x4233079F;1110640543;44,75744; Value-17;0x4249F64D;1112143437;50,49053; Value-18;0x42805F9E;1115709342;64,18675; Value-19;0x425FB961;1113569633;55,93103; Value-1A;0x4260D268;1113641576;56,20547; Value-1B;0x41F3D4D5;1106498773;30,47892; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42552BA6;1112877990;53,29263; Value-1F;0x424B81C7;1112244679;50,87674; Value-20;0x4252F55F;1112733023;52,73962; Value-21;0x423F6DFE;1111453182;47,85741; Value-22;0x42885E12;1116233234;68,18373; Value-23;0x4293B821;1116977185;73,85963; Value-24;0x429D5193;1117606291;78,65932; Value-25;0x427612DD;1115034333;61,51842; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.84; Value-01;0xC187F07E;-1048055682;-16,99243; Value-02;0xC046944F;-1069116337;-3,102802; Value-03;0x4235C87C;1110820988;45,44579; Value-04;0x4233167E;1110644350;44,77197; Value-05;0x424A0C83;1112149123;50,51222; Value-06;0x42806C2B;1115712555;64,21127; Value-07;0x425FBEB0;1113570992;55,93622; Value-08;0x42611ECD;1113661133;56,28008; Value-09;0x41EFF59B;1106245019;29,99492; Value-0A;0x4255B097;1112912023;53,42245; Value-0B;0x424B8007;1112244231;50,87503; Value-0C;0x4252D92E;1112725806;52,71209; Value-0D;0x423F47F3;1111443443;47,82026; Value-0E;0x4288436C;1116226412;68,13168; Value-0F;0x4293D48F;1116984463;73,91515; Value-10;0x429E33FC;1117664252;79,10153; Value-11;0x4278D9BA;1115216314;62,21262; Value-12;0x00000000;0;0; Value-13;0xC18BAFE8;-1047810072;-17,46089; Value-14;0xC1414EF9;-1052684551;-12,08178; Value-15;0x4235D81A;1110824986;45,46104; Value-16;0x42330B6C;1110641516;44,76115; Value-17;0x424A152E;1112151342;50,52068; Value-18;0x42805F9E;1115709342;64,18675; Value-19;0x425F90A4;1113559204;55,89125; Value-1A;0x4260D268;1113641576;56,20547; Value-1B;0x41F4ECBE;1106570430;30,6156; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425511B3;1112871347;53,26728; Value-1F;0x424B8440;1112245312;50,87915; Value-20;0x4252CCA1;1112722593;52,69983; Value-21;0x423F859B;1111459227;47,88047; Value-22;0x42884B2B;1116228395;68,14681; Value-23;0x4293B821;1116977185;73,85963; Value-24;0x429F5518;1117738264;79,6662; Value-25;0x427612DD;1115034333;61,51842; Value-26;0x00000000;0;0;
2023-10-17_16:48:35.93; Value-01;0xC187F07E;-1048055682;-16,99243; Value-02;0xC046944F;-1069116337;-3,102802; Value-03;0x4235C87C;1110820988;45,44579; Value-04;0x4233167E;1110644350;44,77197; Value-05;0x424A0C83;1112149123;50,51222; Value-06;0x42806C2B;1115712555;64,21127; Value-07;0x425FBEB0;1113570992;55,93622; Value-08;0x42611ECD;1113661133;56,28008; Value-09;0x41EFF59B;1106245019;29,99492; Value-0A;0x4255B097;1112912023;53,42245; Value-0B;0x424B8007;1112244231;50,87503; Value-0C;0x4252D92E;1112725806;52,71209; Value-0D;0x423F47F3;1111443443;47,82026; Value-0E;0x4288436C;1116226412;68,13168; Value-0F;0x4293D48F;1116984463;73,91515; Value-10;0x429E33FC;1117664252;79,10153; Value-11;0x4278D9BA;1115216314;62,21262; Value-12;0x00000000;0;0; Value-13;0xC18BAFE8;-1047810072;-17,46089; Value-14;0xC1414EF9;-1052684551;-12,08178; Value-15;0x4235D81A;1110824986;45,46104; Value-16;0x42330B6C;1110641516;44,76115; Value-17;0x424A152E;1112151342;50,52068; Value-18;0x42805F9E;1115709342;64,18675; Value-19;0x425F90A4;1113559204;55,89125; Value-1A;0x4260D268;1113641576;56,20547; Value-1B;0x41F4ECBE;1106570430;30,6156; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x425511B3;1112871347;53,26728; Value-1F;0x424B8440;1112245312;50,87915; Value-20;0x4252CCA1;1112722593;52,69983; Value-21;0x423F859B;1111459227;47,88047; Value-22;0x42884B2B;1116228395;68,14681; Value-23;0x4293B821;1116977185;73,85963; Value-24;0x429F5518;1117738264;79,6662; Value-25;0x427612DD;1115034333;61,51842; Value-26;0x00000000;0;0;
