Timestamp;Data
2023-10-19_13:13:56.49; Value-01;0xBF3E7EA5;-1086423387;-0,7441199; Value-02;0xC09CB8E8;-1063470872;-4,897572; Value-03;0x42BF3583;1119827331;95,60452; Value-04;0x42C6A01F;1120313375;99,31274; Value-05;0x42C86BDF;1120431071;100,2107; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8F9A1;1120467361;100,4876; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CB7C7B;1120631931;101,7431; Value-0A;0x42A7D772;1118295922;83,92079; Value-0B;0x42CF0996;1120864662;103,5187; Value-0C;0x42CA869B;1120568987;101,2629; Value-0D;0x42CC2728;1120675624;102,0765; Value-0E;0x42CD92D0;1120768720;102,7867; Value-0F;0x42CFA1D5;1120903637;103,8161; Value-10;0x42D26EE0;1121087200;105,2166; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x4308B7EB;1124644843;136,7184; Value-13;0xBFFDF5C2;-1073875518;-1,984062; Value-14;0x3DDD7E72;1037926002;0,1081513; Value-15;0x42C019E2;1119885794;96,05055; Value-16;0x42C979C8;1120500168;100,7379; Value-17;0x42CB35A2;1120613794;101,6048; Value-18;0x42CC4A2B;1120684587;102,1449; Value-19;0x42CBD4BB;1120654523;101,9155; Value-1A;0x42CD238C;1120740236;102,5694; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AA4E8C;1118457484;85,15341; Value-1F;0x42D1C395;1121043349;104,882; Value-20;0x42CD9CD4;1120771284;102,8063; Value-21;0x42CF2C65;1120873573;103,5867; Value-22;0x42D094EA;1120965866;104,2908; Value-23;0x42D2AC96;1121102998;105,3371; Value-24;0x42D6BB02;1121368834;107,3652; Value-25;0x42F0C131;1123074353;120,3773; Value-26;0x430C5647;1124881991;140,337;
2023-10-19_13:13:56.65; Value-01;0xBF3E7EA5;-1086423387;-0,7441199; Value-02;0xC09CB8E8;-1063470872;-4,897572; Value-03;0x42BF3583;1119827331;95,60452; Value-04;0x42C6A01F;1120313375;99,31274; Value-05;0x42C86BDF;1120431071;100,2107; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8F9A1;1120467361;100,4876; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CB7C7B;1120631931;101,7431; Value-0A;0x42A7D772;1118295922;83,92079; Value-0B;0x42CF0996;1120864662;103,5187; Value-0C;0x42CA869B;1120568987;101,2629; Value-0D;0x42CC2728;1120675624;102,0765; Value-0E;0x42CD92D0;1120768720;102,7867; Value-0F;0x42CFA1D5;1120903637;103,8161; Value-10;0x42D26EE0;1121087200;105,2166; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x4308B7EB;1124644843;136,7184; Value-13;0xBFFDF5C2;-1073875518;-1,984062; Value-14;0x3DDD7E72;1037926002;0,1081513; Value-15;0x42C019E2;1119885794;96,05055; Value-16;0x42C979C8;1120500168;100,7379; Value-17;0x42CB35A2;1120613794;101,6048; Value-18;0x42CC4A2B;1120684587;102,1449; Value-19;0x42CBD4BB;1120654523;101,9155; Value-1A;0x42CD238C;1120740236;102,5694; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AA4E8C;1118457484;85,15341; Value-1F;0x42D1C395;1121043349;104,882; Value-20;0x42CD9CD4;1120771284;102,8063; Value-21;0x42CF2C65;1120873573;103,5867; Value-22;0x42D094EA;1120965866;104,2908; Value-23;0x42D2AC96;1121102998;105,3371; Value-24;0x42D6BB02;1121368834;107,3652; Value-25;0x42F0C131;1123074353;120,3773; Value-26;0x430C5647;1124881991;140,337;
2023-10-19_13:13:56.65; Value-01;0xBF3E7EA5;-1086423387;-0,7441199; Value-02;0xC09CB8E8;-1063470872;-4,897572; Value-03;0x42BF3583;1119827331;95,60452; Value-04;0x42C6A01F;1120313375;99,31274; Value-05;0x42C86BDF;1120431071;100,2107; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8F9A1;1120467361;100,4876; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CB7C7B;1120631931;101,7431; Value-0A;0x42A7D772;1118295922;83,92079; Value-0B;0x42CF0996;1120864662;103,5187; Value-0C;0x42CA869B;1120568987;101,2629; Value-0D;0x42CC2728;1120675624;102,0765; Value-0E;0x42CD92D0;1120768720;102,7867; Value-0F;0x42CFA1D5;1120903637;103,8161; Value-10;0x42D26EE0;1121087200;105,2166; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x4308B7EB;1124644843;136,7184; Value-13;0xBFFDF5C2;-1073875518;-1,984062; Value-14;0x3DDD7E72;1037926002;0,1081513; Value-15;0x42C019E2;1119885794;96,05055; Value-16;0x42C979C8;1120500168;100,7379; Value-17;0x42CB35A2;1120613794;101,6048; Value-18;0x42CC4A2B;1120684587;102,1449; Value-19;0x42CBD4BB;1120654523;101,9155; Value-1A;0x42CD238C;1120740236;102,5694; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AA4E8C;1118457484;85,15341; Value-1F;0x42D1C395;1121043349;104,882; Value-20;0x42CD9CD4;1120771284;102,8063; Value-21;0x42CF2C65;1120873573;103,5867; Value-22;0x42D094EA;1120965866;104,2908; Value-23;0x42D2AC96;1121102998;105,3371; Value-24;0x42D6BB02;1121368834;107,3652; Value-25;0x42F0C131;1123074353;120,3773; Value-26;0x430C5647;1124881991;140,337;
2023-10-19_13:13:56.71; Value-01;0xBF551E0E;-1084940786;-0,8324898; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEC0ED;1119797485;95,37681; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C874CD;1120433357;100,2281; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8EAED;1120463597;100,4588; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CBAFC9;1120645065;101,8433; Value-0A;0x42A7987B;1118279803;83,79781; Value-0B;0x42CEF6E8;1120859880;103,4822; Value-0C;0x42CAB8E4;1120581860;101,3611; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD620C;1120756236;102,6915; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D20E53;1121062483;105,028; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x430B51F8;1124815352;139,3202; Value-13;0xBF862BC1;-1081726015;-1,04821; Value-14;0xBF6F4726;-1083226330;-0,9346794; Value-15;0x42C00664;1119880804;96,01248; Value-16;0x42C92C62;1120480354;100,5867; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4AFB;1120684795;102,1464; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCAC7A;1120709754;102,3369; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AAFCBE;1118502078;85,49364; Value-1F;0x42D1BF89;1121042313;104,8741; Value-20;0x42CDC42E;1120781358;102,8832; Value-21;0x42CF5B0E;1120885518;103,6778; Value-22;0x42D09136;1120964918;104,2836; Value-23;0x42D28AB2;1121094322;105,2709; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F250F5;1123176693;121,1581; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:56.71; Value-01;0xBF551E0E;-1084940786;-0,8324898; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEC0ED;1119797485;95,37681; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C874CD;1120433357;100,2281; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8EAED;1120463597;100,4588; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CBAFC9;1120645065;101,8433; Value-0A;0x42A7987B;1118279803;83,79781; Value-0B;0x42CEF6E8;1120859880;103,4822; Value-0C;0x42CAB8E4;1120581860;101,3611; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD620C;1120756236;102,6915; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D20E53;1121062483;105,028; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x430B51F8;1124815352;139,3202; Value-13;0xBF862BC1;-1081726015;-1,04821; Value-14;0xBF6F4726;-1083226330;-0,9346794; Value-15;0x42C00664;1119880804;96,01248; Value-16;0x42C92C62;1120480354;100,5867; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4AFB;1120684795;102,1464; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCAC7A;1120709754;102,3369; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AAFCBE;1118502078;85,49364; Value-1F;0x42D1BF89;1121042313;104,8741; Value-20;0x42CDC42E;1120781358;102,8832; Value-21;0x42CF5B0E;1120885518;103,6778; Value-22;0x42D09136;1120964918;104,2836; Value-23;0x42D28AB2;1121094322;105,2709; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F250F5;1123176693;121,1581; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:56.87; Value-01;0xBF551E0E;-1084940786;-0,8324898; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEC0ED;1119797485;95,37681; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C874CD;1120433357;100,2281; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8EAED;1120463597;100,4588; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CBAFC9;1120645065;101,8433; Value-0A;0x42A7987B;1118279803;83,79781; Value-0B;0x42CEF6E8;1120859880;103,4822; Value-0C;0x42CAB8E4;1120581860;101,3611; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD620C;1120756236;102,6915; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D20E53;1121062483;105,028; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x430B51F8;1124815352;139,3202; Value-13;0xBF862BC1;-1081726015;-1,04821; Value-14;0xBF6F4726;-1083226330;-0,9346794; Value-15;0x42C00664;1119880804;96,01248; Value-16;0x42C92C62;1120480354;100,5867; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4AFB;1120684795;102,1464; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCAC7A;1120709754;102,3369; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AAFCBE;1118502078;85,49364; Value-1F;0x42D1BF89;1121042313;104,8741; Value-20;0x42CDC42E;1120781358;102,8832; Value-21;0x42CF5B0E;1120885518;103,6778; Value-22;0x42D09136;1120964918;104,2836; Value-23;0x42D28AB2;1121094322;105,2709; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F250F5;1123176693;121,1581; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:56.87; Value-01;0xBF551E0E;-1084940786;-0,8324898; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEC0ED;1119797485;95,37681; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C874CD;1120433357;100,2281; Value-06;0x42C96268;1120494184;100,6922; Value-07;0x42C8EAED;1120463597;100,4588; Value-08;0x42C9FE12;1120534034;100,9962; Value-09;0x42CBAFC9;1120645065;101,8433; Value-0A;0x42A7987B;1118279803;83,79781; Value-0B;0x42CEF6E8;1120859880;103,4822; Value-0C;0x42CAB8E4;1120581860;101,3611; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD620C;1120756236;102,6915; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D20E53;1121062483;105,028; Value-11;0x42F16BD7;1123118039;120,7106; Value-12;0x430B51F8;1124815352;139,3202; Value-13;0xBF862BC1;-1081726015;-1,04821; Value-14;0xBF6F4726;-1083226330;-0,9346794; Value-15;0x42C00664;1119880804;96,01248; Value-16;0x42C92C62;1120480354;100,5867; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4AFB;1120684795;102,1464; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCAC7A;1120709754;102,3369; Value-1B;0x42CED170;1120850288;103,4091; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AAFCBE;1118502078;85,49364; Value-1F;0x42D1BF89;1121042313;104,8741; Value-20;0x42CDC42E;1120781358;102,8832; Value-21;0x42CF5B0E;1120885518;103,6778; Value-22;0x42D09136;1120964918;104,2836; Value-23;0x42D28AB2;1121094322;105,2709; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F250F5;1123176693;121,1581; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:56.94; Value-01;0xBF3AC5CD;-1086667315;-0,7295807; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEAB70;1119791984;95,33484; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C8647E;1120429182;100,1963; Value-06;0x42C95A06;1120492038;100,6758; Value-07;0x42C8E26C;1120461420;100,4422; Value-08;0x42C9D9F5;1120524789;100,9257; Value-09;0x42CB5E81;1120624257;101,6846; Value-0A;0x42A819B9;1118312889;84,05024; Value-0B;0x42CF227B;1120871035;103,5673; Value-0C;0x42CAAB63;1120578403;101,3347; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD69C5;1120758213;102,7066; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D21988;1121065352;105,0499; Value-11;0x42EDF599;1122891161;118,9797; Value-12;0x430CFD17;1124924695;140,9886; Value-13;0xBFA344AD;-1079819091;-1,275533; Value-14;0xBE1C3584;-1105447548;-0,1525479; Value-15;0x42BF5AAB;1119836843;95,67709; Value-16;0x42C97B01;1120500481;100,7402; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4475;1120683125;102,1337; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCA470;1120707696;102,3212; Value-1B;0x42CE93BF;1120834495;103,2886; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AB221F;1118511647;85,56664; Value-1F;0x42D1E7FC;1121052668;104,9531; Value-20;0x42CDC335;1120781109;102,8813; Value-21;0x42CF4E30;1120882224;103,6527; Value-22;0x42D081C1;1120960961;104,2534; Value-23;0x42D2A8FC;1121102076;105,33; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F35030;1123242032;121,6566; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:57.09; Value-01;0xBF3AC5CD;-1086667315;-0,7295807; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEAB70;1119791984;95,33484; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C8647E;1120429182;100,1963; Value-06;0x42C95A06;1120492038;100,6758; Value-07;0x42C8E26C;1120461420;100,4422; Value-08;0x42C9D9F5;1120524789;100,9257; Value-09;0x42CB5E81;1120624257;101,6846; Value-0A;0x42A819B9;1118312889;84,05024; Value-0B;0x42CF227B;1120871035;103,5673; Value-0C;0x42CAAB63;1120578403;101,3347; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD69C5;1120758213;102,7066; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D21988;1121065352;105,0499; Value-11;0x42EDF599;1122891161;118,9797; Value-12;0x430CFD17;1124924695;140,9886; Value-13;0xBFA344AD;-1079819091;-1,275533; Value-14;0xBE1C3584;-1105447548;-0,1525479; Value-15;0x42BF5AAB;1119836843;95,67709; Value-16;0x42C97B01;1120500481;100,7402; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4475;1120683125;102,1337; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCA470;1120707696;102,3212; Value-1B;0x42CE93BF;1120834495;103,2886; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AB221F;1118511647;85,56664; Value-1F;0x42D1E7FC;1121052668;104,9531; Value-20;0x42CDC335;1120781109;102,8813; Value-21;0x42CF4E30;1120882224;103,6527; Value-22;0x42D081C1;1120960961;104,2534; Value-23;0x42D2A8FC;1121102076;105,33; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F35030;1123242032;121,6566; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:57.09; Value-01;0xBF3AC5CD;-1086667315;-0,7295807; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEAB70;1119791984;95,33484; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C8647E;1120429182;100,1963; Value-06;0x42C95A06;1120492038;100,6758; Value-07;0x42C8E26C;1120461420;100,4422; Value-08;0x42C9D9F5;1120524789;100,9257; Value-09;0x42CB5E81;1120624257;101,6846; Value-0A;0x42A819B9;1118312889;84,05024; Value-0B;0x42CF227B;1120871035;103,5673; Value-0C;0x42CAAB63;1120578403;101,3347; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD69C5;1120758213;102,7066; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D21988;1121065352;105,0499; Value-11;0x42EDF599;1122891161;118,9797; Value-12;0x430CFD17;1124924695;140,9886; Value-13;0xBFA344AD;-1079819091;-1,275533; Value-14;0xBE1C3584;-1105447548;-0,1525479; Value-15;0x42BF5AAB;1119836843;95,67709; Value-16;0x42C97B01;1120500481;100,7402; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4475;1120683125;102,1337; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCA470;1120707696;102,3212; Value-1B;0x42CE93BF;1120834495;103,2886; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AB221F;1118511647;85,56664; Value-1F;0x42D1E7FC;1121052668;104,9531; Value-20;0x42CDC335;1120781109;102,8813; Value-21;0x42CF4E30;1120882224;103,6527; Value-22;0x42D081C1;1120960961;104,2534; Value-23;0x42D2A8FC;1121102076;105,33; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F35030;1123242032;121,6566; Value-26;0x430EDE08;1125047816;142,8673;
2023-10-19_13:13:57.09; Value-01;0xBF3AC5CD;-1086667315;-0,7295807; Value-02;0xBFBCF0D6;-1078136618;-1,4761; Value-03;0x42BEAB70;1119791984;95,33484; Value-04;0x42C6CEC6;1120325318;99,40385; Value-05;0x42C8647E;1120429182;100,1963; Value-06;0x42C95A06;1120492038;100,6758; Value-07;0x42C8E26C;1120461420;100,4422; Value-08;0x42C9D9F5;1120524789;100,9257; Value-09;0x42CB5E81;1120624257;101,6846; Value-0A;0x42A819B9;1118312889;84,05024; Value-0B;0x42CF227B;1120871035;103,5673; Value-0C;0x42CAAB63;1120578403;101,3347; Value-0D;0x42CC213A;1120674106;102,0649; Value-0E;0x42CD69C5;1120758213;102,7066; Value-0F;0x42CF96DB;1120900827;103,7946; Value-10;0x42D21988;1121065352;105,0499; Value-11;0x42EDF599;1122891161;118,9797; Value-12;0x430CFD17;1124924695;140,9886; Value-13;0xBFA344AD;-1079819091;-1,275533; Value-14;0xBE1C3584;-1105447548;-0,1525479; Value-15;0x42BF5AAB;1119836843;95,67709; Value-16;0x42C97B01;1120500481;100,7402; Value-17;0x42CB334F;1120613199;101,6002; Value-18;0x42CC4475;1120683125;102,1337; Value-19;0x42CBE086;1120657542;101,9385; Value-1A;0x42CCA470;1120707696;102,3212; Value-1B;0x42CE93BF;1120834495;103,2886; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AB221F;1118511647;85,56664; Value-1F;0x42D1E7FC;1121052668;104,9531; Value-20;0x42CDC335;1120781109;102,8813; Value-21;0x42CF4E30;1120882224;103,6527; Value-22;0x42D081C1;1120960961;104,2534; Value-23;0x42D2A8FC;1121102076;105,33; Value-24;0x42D64652;1121338962;107,1373; Value-25;0x42F35030;1123242032;121,6566; Value-26;0x430EDE08;1125047816;142,8673;
