Timestamp;Data
2023-10-19_11:36:29.33; Value-01;0xBF20A6B7;-1088379209;-0,6275439; Value-02;0xC12A4B34;-1054192844;-10,64336; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C09280;1119916672;96,28613; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BEEA4E;1119808078;95,45763; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C7AF40;1120382784;99,84229; Value-09;0x42C8F818;1120466968;100,4846; Value-0A;0x42A98360;1118405472;84,75659; Value-0B;0x42D9E068;1121575016;108,9383; Value-0C;0x42B887A0;1119389600;92,26489; Value-0D;0x42B829B7;1119365559;92,08147; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C1BB71;1119992689;96,8661; Value-10;0x00000000;0;0; Value-11;0x42DA9DB3;1121623475;109,308; Value-12;0x00000000;0;0; Value-13;0xC1749B43;-1049322685;-15,28791; Value-14;0x4445DD82;1145429378;791,4611; Value-15;0x42C46F38;1120169784;98,21722; Value-16;0x42C332C0;1120088768;97,59912; Value-17;0x42C3CF2C;1120128812;97,90463; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BDC68B;1119733387;94,88778; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CC656C;1120691564;102,1981; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACD2C7;1118622407;86,41167; Value-1F;0x42DD253F;1121789247;110,5727; Value-20;0x42BC3C2E;1119632430;94,11754; Value-21;0x42BC64AD;1119642797;94,19663; Value-22;0x42BDBACE;1119730382;94,86485; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.43; Value-01;0xBF20A6B7;-1088379209;-0,6275439; Value-02;0xC12A4B34;-1054192844;-10,64336; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C09280;1119916672;96,28613; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BEEA4E;1119808078;95,45763; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C7AF40;1120382784;99,84229; Value-09;0x42C8F818;1120466968;100,4846; Value-0A;0x42A98360;1118405472;84,75659; Value-0B;0x42D9E068;1121575016;108,9383; Value-0C;0x42B887A0;1119389600;92,26489; Value-0D;0x42B829B7;1119365559;92,08147; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C1BB71;1119992689;96,8661; Value-10;0x00000000;0;0; Value-11;0x42DA9DB3;1121623475;109,308; Value-12;0x00000000;0;0; Value-13;0xC1749B43;-1049322685;-15,28791; Value-14;0x4445DD82;1145429378;791,4611; Value-15;0x42C46F38;1120169784;98,21722; Value-16;0x42C332C0;1120088768;97,59912; Value-17;0x42C3CF2C;1120128812;97,90463; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BDC68B;1119733387;94,88778; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CC656C;1120691564;102,1981; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACD2C7;1118622407;86,41167; Value-1F;0x42DD253F;1121789247;110,5727; Value-20;0x42BC3C2E;1119632430;94,11754; Value-21;0x42BC64AD;1119642797;94,19663; Value-22;0x42BDBACE;1119730382;94,86485; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.47; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1D2D150;-1043148464;-26,3522; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C0AF99;1119924121;96,34296; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BF8EB7;1119850167;95,77874; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C3EC7D;1120136317;97,96189; Value-09;0x42CB36AF;1120614063;101,6068; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9C99A;1121569178;108,8938; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B89066;1119391846;92,28203; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C35BDE;1120099294;97,67943; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1471DE2;-1052303902;-12,4448; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C4A364;1120183140;98,31912; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3A3D1;1120117713;97,81995; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BD87EE;1119717358;94,76549; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CBBE83;1120648835;101,8721; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACCD6D;1118621037;86,40122; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBCE77;1119604343;93,90325; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BD22AF;1119691439;94,56774; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.56; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1D2D150;-1043148464;-26,3522; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C0AF99;1119924121;96,34296; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BF8EB7;1119850167;95,77874; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C3EC7D;1120136317;97,96189; Value-09;0x42CB36AF;1120614063;101,6068; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9C99A;1121569178;108,8938; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B89066;1119391846;92,28203; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C35BDE;1120099294;97,67943; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1471DE2;-1052303902;-12,4448; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C4A364;1120183140;98,31912; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3A3D1;1120117713;97,81995; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BD87EE;1119717358;94,76549; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CBBE83;1120648835;101,8721; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACCD6D;1118621037;86,40122; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBCE77;1119604343;93,90325; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BD22AF;1119691439;94,56774; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.60; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1D2D150;-1043148464;-26,3522; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C0AF99;1119924121;96,34296; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BF8EB7;1119850167;95,77874; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C3EC7D;1120136317;97,96189; Value-09;0x42CB36AF;1120614063;101,6068; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9C99A;1121569178;108,8938; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B89066;1119391846;92,28203; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C35BDE;1120099294;97,67943; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1471DE2;-1052303902;-12,4448; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C4A364;1120183140;98,31912; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3A3D1;1120117713;97,81995; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BD87EE;1119717358;94,76549; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CBBE83;1120648835;101,8721; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACCD6D;1118621037;86,40122; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBCE77;1119604343;93,90325; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BD22AF;1119691439;94,56774; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.63; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1D2D150;-1043148464;-26,3522; Value-03;0x42C1FA20;1120008736;96,98853; Value-04;0x42C0AF99;1119924121;96,34296; Value-05;0x42C1158D;1119950221;96,54209; Value-06;0x42BF8EB7;1119850167;95,77874; Value-07;0x42BB689A;1119578266;93,7043; Value-08;0x42C3EC7D;1120136317;97,96189; Value-09;0x42CB36AF;1120614063;101,6068; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9C99A;1121569178;108,8938; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B89066;1119391846;92,28203; Value-0E;0x42B6401B;1119240219;91,12521; Value-0F;0x42C35BDE;1120099294;97,67943; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1471DE2;-1052303902;-12,4448; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C4A364;1120183140;98,31912; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3A3D1;1120117713;97,81995; Value-18;0x42C260F3;1120035059;97,18935; Value-19;0x42BD87EE;1119717358;94,76549; Value-1A;0x42C745CA;1120355786;99,63631; Value-1B;0x42CBBE83;1120648835;101,8721; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACCD6D;1118621037;86,40122; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBCE77;1119604343;93,90325; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BD22AF;1119691439;94,56774; Value-23;0x42C8F032;1120464946;100,4691; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.70; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1F662E0;-1040817440;-30,79828; Value-03;0x42C1F338;1120006968;96,97504; Value-04;0x42C09860;1119918176;96,29761; Value-05;0x42C10AAF;1119947439;96,52087; Value-06;0x42BF5EC7;1119837895;95,68511; Value-07;0x42BAF1B7;1119547831;93,4721; Value-08;0x42C5B310;1120252688;98,84973; Value-09;0x42C7FCB2;1120402610;99,99355; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9D277;1121571447;108,9111; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B92CF2;1119431922;92,58778; Value-0E;0x42B44488;1119110280;90,13385; Value-0F;0x42D0FA1B;1120991771;104,4885; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1717980;-1049527936;-15,09216; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C483B6;1120175030;98,25725; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3C386;1120125830;97,88188; Value-18;0x42C19C2E;1119984686;96,80504; Value-19;0x42BD9BEF;1119722479;94,80456; Value-1A;0x42C7ED99;1120398745;99,96406; Value-1B;0x42CC5FA2;1120690082;102,1868; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AD0611;1118635537;86,51185; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBBF39;1119600441;93,87348; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BE6868;1119774824;95,20392; Value-23;0x42DDC5D3;1121830355;110,8864; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.80; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1F662E0;-1040817440;-30,79828; Value-03;0x42C1F338;1120006968;96,97504; Value-04;0x42C09860;1119918176;96,29761; Value-05;0x42C10AAF;1119947439;96,52087; Value-06;0x42BF5EC7;1119837895;95,68511; Value-07;0x42BAF1B7;1119547831;93,4721; Value-08;0x42C5B310;1120252688;98,84973; Value-09;0x42C7FCB2;1120402610;99,99355; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9D277;1121571447;108,9111; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B92CF2;1119431922;92,58778; Value-0E;0x42B44488;1119110280;90,13385; Value-0F;0x42D0FA1B;1120991771;104,4885; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1717980;-1049527936;-15,09216; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C483B6;1120175030;98,25725; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3C386;1120125830;97,88188; Value-18;0x42C19C2E;1119984686;96,80504; Value-19;0x42BD9BEF;1119722479;94,80456; Value-1A;0x42C7ED99;1120398745;99,96406; Value-1B;0x42CC5FA2;1120690082;102,1868; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AD0611;1118635537;86,51185; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBBF39;1119600441;93,87348; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BE6868;1119774824;95,20392; Value-23;0x42DDC5D3;1121830355;110,8864; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.84; Value-01;0xC059ABD6;-1067865130;-3,401113; Value-02;0xC1F662E0;-1040817440;-30,79828; Value-03;0x42C1F338;1120006968;96,97504; Value-04;0x42C09860;1119918176;96,29761; Value-05;0x42C10AAF;1119947439;96,52087; Value-06;0x42BF5EC7;1119837895;95,68511; Value-07;0x42BAF1B7;1119547831;93,4721; Value-08;0x42C5B310;1120252688;98,84973; Value-09;0x42C7FCB2;1120402610;99,99355; Value-0A;0x42A9832A;1118405418;84,75618; Value-0B;0x42D9D277;1121571447;108,9111; Value-0C;0x42B8CF8F;1119408015;92,40539; Value-0D;0x42B92CF2;1119431922;92,58778; Value-0E;0x42B44488;1119110280;90,13385; Value-0F;0x42D0FA1B;1120991771;104,4885; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC1717980;-1049527936;-15,09216; Value-14;0xC19AF4BD;-1046809411;-19,3695; Value-15;0x42C483B6;1120175030;98,25725; Value-16;0x42C3553D;1120097597;97,66648; Value-17;0x42C3C386;1120125830;97,88188; Value-18;0x42C19C2E;1119984686;96,80504; Value-19;0x42BD9BEF;1119722479;94,80456; Value-1A;0x42C7ED99;1120398745;99,96406; Value-1B;0x42CC5FA2;1120690082;102,1868; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42AD0611;1118635537;86,51185; Value-1F;0x42DD1EEA;1121787626;110,5604; Value-20;0x42BBBF39;1119600441;93,87348; Value-21;0x42BCDF09;1119674121;94,43562; Value-22;0x42BE6868;1119774824;95,20392; Value-23;0x42DDC5D3;1121830355;110,8864; Value-24;0x00000000;0;0; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:29.90; Value-01;0x40677E24;1080524324;3,617074; Value-02;0xC147EA8B;-1052251509;-12,49476; Value-03;0x42C1ECAA;1120005290;96,96223; Value-04;0x42C0CDCD;1119931853;96,40195; Value-05;0x42C112D1;1119949521;96,53675; Value-06;0x42BFCC86;1119865990;95,89946; Value-07;0x42BB01AC;1119551916;93,50327; Value-08;0x42C53E8C;1120222860;98,62216; Value-09;0x42C6683B;1120299067;99,20358; Value-0A;0x42A9E235;1118429749;84,94181; Value-0B;0x42D9BE36;1121566262;108,8715; Value-0C;0x42B8E64C;1119413836;92,4498; Value-0D;0x42B79816;1119328278;91,79704; Value-0E;0x42B94FEF;1119440879;92,65612; Value-0F;0x42C642F2;1120289522;99,13075; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC129EBD7;-1054217257;-10,62008; Value-14;0x402A6254;1076519508;2,662251; Value-15;0x42C48678;1120175736;98,26263; Value-16;0x42C33D58;1120091480;97,61981; Value-17;0x42C3A164;1120117092;97,81522; Value-18;0x42C26DD5;1120038357;97,21452; Value-19;0x42BDA64E;1119725134;94,82481; Value-1A;0x42C934E8;1120482536;100,6033; Value-1B;0x42CB9890;1120639120;101,798; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACB4EE;1118614766;86,35338; Value-1F;0x42DD286F;1121790063;110,579; Value-20;0x42BBDC57;1119607895;93,93035; Value-21;0x42BD4EC8;1119702728;94,65387; Value-22;0x42BAE541;1119544641;93,44776; Value-23;0x42D4CBF6;1121242102;106,3984; Value-24;0x420EE28F;1108271759;35,72125; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
2023-10-19_11:36:30.00; Value-01;0x40677E24;1080524324;3,617074; Value-02;0xC147EA8B;-1052251509;-12,49476; Value-03;0x42C1ECAA;1120005290;96,96223; Value-04;0x42C0CDCD;1119931853;96,40195; Value-05;0x42C112D1;1119949521;96,53675; Value-06;0x42BFCC86;1119865990;95,89946; Value-07;0x42BB01AC;1119551916;93,50327; Value-08;0x42C53E8C;1120222860;98,62216; Value-09;0x42C6683B;1120299067;99,20358; Value-0A;0x42A9E235;1118429749;84,94181; Value-0B;0x42D9BE36;1121566262;108,8715; Value-0C;0x42B8E64C;1119413836;92,4498; Value-0D;0x42B79816;1119328278;91,79704; Value-0E;0x42B94FEF;1119440879;92,65612; Value-0F;0x42C642F2;1120289522;99,13075; Value-10;0x00000000;0;0; Value-11;0x00000000;0;0; Value-12;0x00000000;0;0; Value-13;0xC129EBD7;-1054217257;-10,62008; Value-14;0x402A6254;1076519508;2,662251; Value-15;0x42C48678;1120175736;98,26263; Value-16;0x42C33D58;1120091480;97,61981; Value-17;0x42C3A164;1120117092;97,81522; Value-18;0x42C26DD5;1120038357;97,21452; Value-19;0x42BDA64E;1119725134;94,82481; Value-1A;0x42C934E8;1120482536;100,6033; Value-1B;0x42CB9890;1120639120;101,798; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42ACB4EE;1118614766;86,35338; Value-1F;0x42DD286F;1121790063;110,579; Value-20;0x42BBDC57;1119607895;93,93035; Value-21;0x42BD4EC8;1119702728;94,65387; Value-22;0x42BAE541;1119544641;93,44776; Value-23;0x42D4CBF6;1121242102;106,3984; Value-24;0x420EE28F;1108271759;35,72125; Value-25;0x00000000;0;0; Value-26;0x00000000;0;0;
