Timestamp;Data
2023-10-19_11:53:32.86; Value-01;0xC05B383E;-1067763650;-3,425308; Value-02;0x40EC2434;1089217588;7,379419; Value-03;0x4286B7C9;1116125129;67,35896; Value-04;0x42B8B17C;1119400316;92,34665; Value-05;0x42BCA6FC;1119659772;94,32614; Value-06;0x42CD38D3;1120745683;102,611; Value-07;0x42D1DD14;1121049876;104,9318; Value-08;0x42CBAE25;1120644645;101,8401; Value-09;0x42E00D9A;1121979802;112,0266; Value-0A;0x42A45296;1118065302;82,1613; Value-0B;0x42D62274;1121329780;107,0673; Value-0C;0x42DFA4DB;1121952987;111,822; Value-0D;0x42D91A68;1121524328;108,5516; Value-0E;0x42D4A230;1121231408;106,3168; Value-0F;0x42D2F8B3;1121122483;105,4857; Value-10;0x42D8FF08;1121517320;108,4981; Value-11;0x42CDA17D;1120772477;102,8154; Value-12;0x00000000;0;0; Value-13;0xC12CF206;-1054019066;-10,80909; Value-14;0x41679682;1097307778;14,47425; Value-15;0x4287696D;1116170605;67,70591; Value-16;0x42BB5546;1119573318;93,66655; Value-17;0x42BF4EA3;1119833763;95,65359; Value-18;0x42D02FFB;1120940027;104,0937; Value-19;0x42D49E79;1121230457;106,3095; Value-1A;0x42CE9151;1120833873;103,2838; Value-1B;0x42E2B704;1122154244;113,3575; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5E38D;1118167949;82,94444; Value-1F;0x42D97CFB;1121549563;108,7441; Value-20;0x42E2C7C2;1122158530;113,3902; Value-21;0x42DC4EFA;1121734394;110,1543; Value-22;0x42D7CF4E;1121439566;107,9049; Value-23;0x42D5F1A5;1121317285;106,972; Value-24;0x42DAEFD9;1121644505;109,4685; Value-25;0x42D47349;1121219401;106,2252; Value-26;0x00000000;0;0;
2023-10-19_11:53:32.97; Value-01;0xC05B383E;-1067763650;-3,425308; Value-02;0x40EC2434;1089217588;7,379419; Value-03;0x4286B7C9;1116125129;67,35896; Value-04;0x42B8B17C;1119400316;92,34665; Value-05;0x42BCA6FC;1119659772;94,32614; Value-06;0x42CD38D3;1120745683;102,611; Value-07;0x42D1DD14;1121049876;104,9318; Value-08;0x42CBAE25;1120644645;101,8401; Value-09;0x42E00D9A;1121979802;112,0266; Value-0A;0x42A45296;1118065302;82,1613; Value-0B;0x42D62274;1121329780;107,0673; Value-0C;0x42DFA4DB;1121952987;111,822; Value-0D;0x42D91A68;1121524328;108,5516; Value-0E;0x42D4A230;1121231408;106,3168; Value-0F;0x42D2F8B3;1121122483;105,4857; Value-10;0x42D8FF08;1121517320;108,4981; Value-11;0x42CDA17D;1120772477;102,8154; Value-12;0x00000000;0;0; Value-13;0xC12CF206;-1054019066;-10,80909; Value-14;0x41679682;1097307778;14,47425; Value-15;0x4287696D;1116170605;67,70591; Value-16;0x42BB5546;1119573318;93,66655; Value-17;0x42BF4EA3;1119833763;95,65359; Value-18;0x42D02FFB;1120940027;104,0937; Value-19;0x42D49E79;1121230457;106,3095; Value-1A;0x42CE9151;1120833873;103,2838; Value-1B;0x42E2B704;1122154244;113,3575; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5E38D;1118167949;82,94444; Value-1F;0x42D97CFB;1121549563;108,7441; Value-20;0x42E2C7C2;1122158530;113,3902; Value-21;0x42DC4EFA;1121734394;110,1543; Value-22;0x42D7CF4E;1121439566;107,9049; Value-23;0x42D5F1A5;1121317285;106,972; Value-24;0x42DAEFD9;1121644505;109,4685; Value-25;0x42D47349;1121219401;106,2252; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.02; Value-01;0xC05B383E;-1067763650;-3,425308; Value-02;0x40EC2434;1089217588;7,379419; Value-03;0x4286B7C9;1116125129;67,35896; Value-04;0x42B8B17C;1119400316;92,34665; Value-05;0x42BCA6FC;1119659772;94,32614; Value-06;0x42CD38D3;1120745683;102,611; Value-07;0x42D1DD14;1121049876;104,9318; Value-08;0x42CBAE25;1120644645;101,8401; Value-09;0x42E00D9A;1121979802;112,0266; Value-0A;0x42A45296;1118065302;82,1613; Value-0B;0x42D62274;1121329780;107,0673; Value-0C;0x42DFA4DB;1121952987;111,822; Value-0D;0x42D91A68;1121524328;108,5516; Value-0E;0x42D4A230;1121231408;106,3168; Value-0F;0x42D2F8B3;1121122483;105,4857; Value-10;0x42D8FF08;1121517320;108,4981; Value-11;0x42CDA17D;1120772477;102,8154; Value-12;0x00000000;0;0; Value-13;0xC12CF206;-1054019066;-10,80909; Value-14;0x41679682;1097307778;14,47425; Value-15;0x4287696D;1116170605;67,70591; Value-16;0x42BB5546;1119573318;93,66655; Value-17;0x42BF4EA3;1119833763;95,65359; Value-18;0x42D02FFB;1120940027;104,0937; Value-19;0x42D49E79;1121230457;106,3095; Value-1A;0x42CE9151;1120833873;103,2838; Value-1B;0x42E2B704;1122154244;113,3575; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5E38D;1118167949;82,94444; Value-1F;0x42D97CFB;1121549563;108,7441; Value-20;0x42E2C7C2;1122158530;113,3902; Value-21;0x42DC4EFA;1121734394;110,1543; Value-22;0x42D7CF4E;1121439566;107,9049; Value-23;0x42D5F1A5;1121317285;106,972; Value-24;0x42DAEFD9;1121644505;109,4685; Value-25;0x42D47349;1121219401;106,2252; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.06; Value-01;0xC02975C7;-1071024697;-2,647814; Value-02;0x40E017A4;1088427940;7,002886; Value-03;0x42871FC7;1116151751;67,56207; Value-04;0x42B8CA36;1119406646;92,39494; Value-05;0x42BCACC3;1119661251;94,33743; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D1F289;1121055369;104,9737; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42DFADD6;1121955286;111,8395; Value-0A;0x42A47835;1118074933;82,23478; Value-0B;0x42D65E8A;1121345162;107,1846; Value-0C;0x42DFFDAF;1121975727;111,9955; Value-0D;0x42D91BE8;1121524712;108,5545; Value-0E;0x42D4ACB9;1121234105;106,3373; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D86F66;1121480550;108,2176; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC099CAEB;-1063662869;-4,80602; Value-14;0xC0006F31;-1073713359;-2,006787; Value-15;0x42878480;1116177536;67,75879; Value-16;0x42BAF35B;1119548251;93,4753; Value-17;0x42BF4DB4;1119833524;95,65176; Value-18;0x42D0391B;1120942363;104,1115; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE4E4E;1120816718;103,1529; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5F6E6;1118172902;82,98222; Value-1F;0x42D8EF50;1121513296;108,4674; Value-20;0x42E2A4C5;1122149573;113,3218; Value-21;0x42DC7F99;1121746841;110,2492; Value-22;0x42D7CDB3;1121439155;107,9018; Value-23;0x42D60D9E;1121324446;107,0266; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D4B168;1121235304;106,3465; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.15; Value-01;0xC02975C7;-1071024697;-2,647814; Value-02;0x40E017A4;1088427940;7,002886; Value-03;0x42871FC7;1116151751;67,56207; Value-04;0x42B8CA36;1119406646;92,39494; Value-05;0x42BCACC3;1119661251;94,33743; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D1F289;1121055369;104,9737; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42DFADD6;1121955286;111,8395; Value-0A;0x42A47835;1118074933;82,23478; Value-0B;0x42D65E8A;1121345162;107,1846; Value-0C;0x42DFFDAF;1121975727;111,9955; Value-0D;0x42D91BE8;1121524712;108,5545; Value-0E;0x42D4ACB9;1121234105;106,3373; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D86F66;1121480550;108,2176; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC099CAEB;-1063662869;-4,80602; Value-14;0xC0006F31;-1073713359;-2,006787; Value-15;0x42878480;1116177536;67,75879; Value-16;0x42BAF35B;1119548251;93,4753; Value-17;0x42BF4DB4;1119833524;95,65176; Value-18;0x42D0391B;1120942363;104,1115; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE4E4E;1120816718;103,1529; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5F6E6;1118172902;82,98222; Value-1F;0x42D8EF50;1121513296;108,4674; Value-20;0x42E2A4C5;1122149573;113,3218; Value-21;0x42DC7F99;1121746841;110,2492; Value-22;0x42D7CDB3;1121439155;107,9018; Value-23;0x42D60D9E;1121324446;107,0266; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D4B168;1121235304;106,3465; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.19; Value-01;0xC02975C7;-1071024697;-2,647814; Value-02;0x40E017A4;1088427940;7,002886; Value-03;0x42871FC7;1116151751;67,56207; Value-04;0x42B8CA36;1119406646;92,39494; Value-05;0x42BCACC3;1119661251;94,33743; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D1F289;1121055369;104,9737; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42DFADD6;1121955286;111,8395; Value-0A;0x42A47835;1118074933;82,23478; Value-0B;0x42D65E8A;1121345162;107,1846; Value-0C;0x42DFFDAF;1121975727;111,9955; Value-0D;0x42D91BE8;1121524712;108,5545; Value-0E;0x42D4ACB9;1121234105;106,3373; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D86F66;1121480550;108,2176; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC099CAEB;-1063662869;-4,80602; Value-14;0xC0006F31;-1073713359;-2,006787; Value-15;0x42878480;1116177536;67,75879; Value-16;0x42BAF35B;1119548251;93,4753; Value-17;0x42BF4DB4;1119833524;95,65176; Value-18;0x42D0391B;1120942363;104,1115; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE4E4E;1120816718;103,1529; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5F6E6;1118172902;82,98222; Value-1F;0x42D8EF50;1121513296;108,4674; Value-20;0x42E2A4C5;1122149573;113,3218; Value-21;0x42DC7F99;1121746841;110,2492; Value-22;0x42D7CDB3;1121439155;107,9018; Value-23;0x42D60D9E;1121324446;107,0266; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D4B168;1121235304;106,3465; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.22; Value-01;0xC02975C7;-1071024697;-2,647814; Value-02;0x40E017A4;1088427940;7,002886; Value-03;0x42871FC7;1116151751;67,56207; Value-04;0x42B8CA36;1119406646;92,39494; Value-05;0x42BCACC3;1119661251;94,33743; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D1F289;1121055369;104,9737; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42DFADD6;1121955286;111,8395; Value-0A;0x42A47835;1118074933;82,23478; Value-0B;0x42D65E8A;1121345162;107,1846; Value-0C;0x42DFFDAF;1121975727;111,9955; Value-0D;0x42D91BE8;1121524712;108,5545; Value-0E;0x42D4ACB9;1121234105;106,3373; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D86F66;1121480550;108,2176; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC099CAEB;-1063662869;-4,80602; Value-14;0xC0006F31;-1073713359;-2,006787; Value-15;0x42878480;1116177536;67,75879; Value-16;0x42BAF35B;1119548251;93,4753; Value-17;0x42BF4DB4;1119833524;95,65176; Value-18;0x42D0391B;1120942363;104,1115; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE4E4E;1120816718;103,1529; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5F6E6;1118172902;82,98222; Value-1F;0x42D8EF50;1121513296;108,4674; Value-20;0x42E2A4C5;1122149573;113,3218; Value-21;0x42DC7F99;1121746841;110,2492; Value-22;0x42D7CDB3;1121439155;107,9018; Value-23;0x42D60D9E;1121324446;107,0266; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D4B168;1121235304;106,3465; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.28; Value-01;0xBFBD3592;-1078119022;-1,478197; Value-02;0x41A34059;1101217881;20,40642; Value-03;0x428736F7;1116157687;67,60735; Value-04;0x42B8D61C;1119409692;92,41818; Value-05;0x42BCCFCE;1119670222;94,40587; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D16483;1121019011;104,6963; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42E00222;1121976866;112,0042; Value-0A;0x42A4553D;1118065981;82,16648; Value-0B;0x42D6F48C;1121383564;107,4776; Value-0C;0x42DFF3DE;1121973214;111,9763; Value-0D;0x42D93DE8;1121533416;108,6209; Value-0E;0x42D4AF66;1121234790;106,3426; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D8386E;1121466478;108,1102; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC0ED4F40;-1058189504;-7,415924; Value-14;0xC23728BA;-1036572486;-45,78977; Value-15;0x42877DA0;1116175776;67,74536; Value-16;0x42BB2394;1119560596;93,56949; Value-17;0x42BF57BA;1119836090;95,67134; Value-18;0x42D01D65;1120935269;104,0574; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE8522;1120830754;103,26; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5FAA0;1118173856;82,9895; Value-1F;0x42D9CB3D;1121569597;108,8969; Value-20;0x42E2B4A8;1122153640;113,3528; Value-21;0x42DC6958;1121741144;110,2057; Value-22;0x42D7B7F3;1121433587;107,8593; Value-23;0x42D60ADA;1121323738;107,0212; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D5B294;1121301140;106,8488; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.37; Value-01;0xBFBD3592;-1078119022;-1,478197; Value-02;0x41A34059;1101217881;20,40642; Value-03;0x428736F7;1116157687;67,60735; Value-04;0x42B8D61C;1119409692;92,41818; Value-05;0x42BCCFCE;1119670222;94,40587; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D16483;1121019011;104,6963; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42E00222;1121976866;112,0042; Value-0A;0x42A4553D;1118065981;82,16648; Value-0B;0x42D6F48C;1121383564;107,4776; Value-0C;0x42DFF3DE;1121973214;111,9763; Value-0D;0x42D93DE8;1121533416;108,6209; Value-0E;0x42D4AF66;1121234790;106,3426; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D8386E;1121466478;108,1102; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC0ED4F40;-1058189504;-7,415924; Value-14;0xC23728BA;-1036572486;-45,78977; Value-15;0x42877DA0;1116175776;67,74536; Value-16;0x42BB2394;1119560596;93,56949; Value-17;0x42BF57BA;1119836090;95,67134; Value-18;0x42D01D65;1120935269;104,0574; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE8522;1120830754;103,26; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5FAA0;1118173856;82,9895; Value-1F;0x42D9CB3D;1121569597;108,8969; Value-20;0x42E2B4A8;1122153640;113,3528; Value-21;0x42DC6958;1121741144;110,2057; Value-22;0x42D7B7F3;1121433587;107,8593; Value-23;0x42D60ADA;1121323738;107,0212; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D5B294;1121301140;106,8488; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.41; Value-01;0xBFBD3592;-1078119022;-1,478197; Value-02;0x41A34059;1101217881;20,40642; Value-03;0x428736F7;1116157687;67,60735; Value-04;0x42B8D61C;1119409692;92,41818; Value-05;0x42BCCFCE;1119670222;94,40587; Value-06;0x42CD2114;1120739604;102,5646; Value-07;0x42D16483;1121019011;104,6963; Value-08;0x42CBC9C7;1120651719;101,8941; Value-09;0x42E00222;1121976866;112,0042; Value-0A;0x42A4553D;1118065981;82,16648; Value-0B;0x42D6F48C;1121383564;107,4776; Value-0C;0x42DFF3DE;1121973214;111,9763; Value-0D;0x42D93DE8;1121533416;108,6209; Value-0E;0x42D4AF66;1121234790;106,3426; Value-0F;0x42D2F8E0;1121122528;105,4861; Value-10;0x42D8386E;1121466478;108,1102; Value-11;0x42D0C814;1120978964;104,3908; Value-12;0x00000000;0;0; Value-13;0xC0ED4F40;-1058189504;-7,415924; Value-14;0xC23728BA;-1036572486;-45,78977; Value-15;0x42877DA0;1116175776;67,74536; Value-16;0x42BB2394;1119560596;93,56949; Value-17;0x42BF57BA;1119836090;95,67134; Value-18;0x42D01D65;1120935269;104,0574; Value-19;0x42D480DB;1121222875;106,2517; Value-1A;0x42CE8522;1120830754;103,26; Value-1B;0x42E2AE61;1122152033;113,3406; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5FAA0;1118173856;82,9895; Value-1F;0x42D9CB3D;1121569597;108,8969; Value-20;0x42E2B4A8;1122153640;113,3528; Value-21;0x42DC6958;1121741144;110,2057; Value-22;0x42D7B7F3;1121433587;107,8593; Value-23;0x42D60ADA;1121323738;107,0212; Value-24;0x42DB3007;1121660935;109,5938; Value-25;0x42D5B294;1121301140;106,8488; Value-26;0x00000000;0;0;
2023-10-19_11:53:33.48; Value-01;0xC1230392;-1054669934;-10,18837; Value-02;0x41A34059;1101217881;20,40642; Value-03;0x4287A222;1116185122;67,81667; Value-04;0x42B8D61C;1119409692;92,41818; Value-05;0x42BCBBD9;1119665113;94,36689; Value-06;0x42CD2487;1120740487;102,5713; Value-07;0x42D182EE;1121026798;104,7557; Value-08;0x42CB8D4C;1120636236;101,776; Value-09;0x42DFEED4;1121971924;111,9665; Value-0A;0x42A48481;1118078081;82,2588; Value-0B;0x42D6F48C;1121383564;107,4776; Value-0C;0x42DFC53E;1121961278;111,8852; Value-0D;0x42D93DE8;1121533416;108,6209; Value-0E;0x42D4B8C2;1121237186;106,3609; Value-0F;0x42D2E316;1121116950;105,4435; Value-10;0x42D7DB99;1121442713;107,9289; Value-11;0x42D09779;1120966521;104,2958; Value-12;0x00000000;0;0; Value-13;0xC0ED4F40;-1058189504;-7,415924; Value-14;0x4047FB8D;1078459277;3,124728; Value-15;0x42877DA0;1116175776;67,74536; Value-16;0x42BAB671;1119532657;93,35633; Value-17;0x42BF57BA;1119836090;95,67134; Value-18;0x42D03061;1120940129;104,0945; Value-19;0x42D4BED7;1121238743;106,3727; Value-1A;0x42CEA696;1120839318;103,3254; Value-1B;0x42E310E6;1122177254;113,533; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x42A5FAA0;1118173856;82,9895; Value-1F;0x42D90F61;1121521505;108,53; Value-20;0x42E2B4A8;1122153640;113,3528; Value-21;0x42DC7F02;1121746690;110,2481; Value-22;0x42D7B7F3;1121433587;107,8593; Value-23;0x42D6254E;1121330510;107,0729; Value-24;0x42DB4B32;1121667890;109,6469; Value-25;0x42D3E61C;1121183260;105,9494; Value-26;0x00000000;0;0;
