Timestamp;Data
2023-10-16_15:59:43.67; Value-01;0x3F69C4B4;1063896244;0,9131577; Value-02;0xC10A5562;-1056287390;-8,645845; Value-03;0x4106F104;1090973956;8,433842; Value-04;0x411259E3;1091721699;9,146945; Value-05;0x411D4344;1092436804;9,828922; Value-06;0x4163F7A9;1097070505;14,24796; Value-07;0x40D1DA3F;1087494719;6,557891; Value-08;0x41D5881E;1104513054;26,69146; Value-09;0x41D596C8;1104516808;26,69862; Value-0A;0x40F4274B;1089742667;7,629797; Value-0B;0x410D8AFE;1091406590;8,846434; Value-0C;0x41175D46;1092050246;9,460272; Value-0D;0x414BA778;1095477112;12,72839; Value-0E;0x419394F3;1100190963;18,44773; Value-0F;0x420191B7;1107399095;32,3923; Value-10;0x411D9192;1092456850;9,84804; Value-11;0x4240073A;1111492410;48,00706; Value-12;0x425F08C7;1113524423;55,75857; Value-13;0x3FB7D75B;1069012827;1,43626; Value-14;0xBFDE17D9;-1075963943;-1,735103; Value-15;0x4106E84A;1090971722;8,431711; Value-16;0x41124BEC;1091718124;9,143536; Value-17;0x411D0C71;1092422769;9,815537; Value-18;0x41641196;1097077142;14,25429; Value-19;0x40CEB2E0;1087288032;6,459335; Value-1A;0x41D5046D;1104479341;26,62716; Value-1B;0x41D4DEE5;1104469733;26,60884; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F40158;1089732952;7,625164; Value-1F;0x410D9428;1091408936;8,848671; Value-20;0x4117A7C2;1092069314;9,478456; Value-21;0x414C256A;1095509354;12,75913; Value-22;0x4193F8D9;1100216537;18,49651; Value-23;0x4201E0B2;1107419314;32,46943; Value-24;0x416B0EDA;1097535194;14,69113; Value-25;0x423F89A9;1111460265;47,88443; Value-26;0x426DB45D;1114485853;59,42614;
2023-10-16_15:59:43.81; Value-01;0x3F69C4B4;1063896244;0,9131577; Value-02;0xC10A5562;-1056287390;-8,645845; Value-03;0x4106F104;1090973956;8,433842; Value-04;0x411259E3;1091721699;9,146945; Value-05;0x411D4344;1092436804;9,828922; Value-06;0x4163F7A9;1097070505;14,24796; Value-07;0x40D1DA3F;1087494719;6,557891; Value-08;0x41D5881E;1104513054;26,69146; Value-09;0x41D596C8;1104516808;26,69862; Value-0A;0x40F4274B;1089742667;7,629797; Value-0B;0x410D8AFE;1091406590;8,846434; Value-0C;0x41175D46;1092050246;9,460272; Value-0D;0x414BA778;1095477112;12,72839; Value-0E;0x419394F3;1100190963;18,44773; Value-0F;0x420191B7;1107399095;32,3923; Value-10;0x411D9192;1092456850;9,84804; Value-11;0x4240073A;1111492410;48,00706; Value-12;0x425F08C7;1113524423;55,75857; Value-13;0x3FB7D75B;1069012827;1,43626; Value-14;0xBFDE17D9;-1075963943;-1,735103; Value-15;0x4106E84A;1090971722;8,431711; Value-16;0x41124BEC;1091718124;9,143536; Value-17;0x411D0C71;1092422769;9,815537; Value-18;0x41641196;1097077142;14,25429; Value-19;0x40CEB2E0;1087288032;6,459335; Value-1A;0x41D5046D;1104479341;26,62716; Value-1B;0x41D4DEE5;1104469733;26,60884; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F40158;1089732952;7,625164; Value-1F;0x410D9428;1091408936;8,848671; Value-20;0x4117A7C2;1092069314;9,478456; Value-21;0x414C256A;1095509354;12,75913; Value-22;0x4193F8D9;1100216537;18,49651; Value-23;0x4201E0B2;1107419314;32,46943; Value-24;0x416B0EDA;1097535194;14,69113; Value-25;0x423F89A9;1111460265;47,88443; Value-26;0x426DB45D;1114485853;59,42614;
2023-10-16_15:59:43.81; Value-01;0x3F69C4B4;1063896244;0,9131577; Value-02;0xC10A5562;-1056287390;-8,645845; Value-03;0x4106F104;1090973956;8,433842; Value-04;0x411259E3;1091721699;9,146945; Value-05;0x411D4344;1092436804;9,828922; Value-06;0x4163F7A9;1097070505;14,24796; Value-07;0x40D1DA3F;1087494719;6,557891; Value-08;0x41D5881E;1104513054;26,69146; Value-09;0x41D596C8;1104516808;26,69862; Value-0A;0x40F4274B;1089742667;7,629797; Value-0B;0x410D8AFE;1091406590;8,846434; Value-0C;0x41175D46;1092050246;9,460272; Value-0D;0x414BA778;1095477112;12,72839; Value-0E;0x419394F3;1100190963;18,44773; Value-0F;0x420191B7;1107399095;32,3923; Value-10;0x411D9192;1092456850;9,84804; Value-11;0x4240073A;1111492410;48,00706; Value-12;0x425F08C7;1113524423;55,75857; Value-13;0x3FB7D75B;1069012827;1,43626; Value-14;0xBFDE17D9;-1075963943;-1,735103; Value-15;0x4106E84A;1090971722;8,431711; Value-16;0x41124BEC;1091718124;9,143536; Value-17;0x411D0C71;1092422769;9,815537; Value-18;0x41641196;1097077142;14,25429; Value-19;0x40CEB2E0;1087288032;6,459335; Value-1A;0x41D5046D;1104479341;26,62716; Value-1B;0x41D4DEE5;1104469733;26,60884; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F40158;1089732952;7,625164; Value-1F;0x410D9428;1091408936;8,848671; Value-20;0x4117A7C2;1092069314;9,478456; Value-21;0x414C256A;1095509354;12,75913; Value-22;0x4193F8D9;1100216537;18,49651; Value-23;0x4201E0B2;1107419314;32,46943; Value-24;0x416B0EDA;1097535194;14,69113; Value-25;0x423F89A9;1111460265;47,88443; Value-26;0x426DB45D;1114485853;59,42614;
2023-10-16_15:59:43.86; Value-01;0x3F69C4B4;1063896244;0,9131577; Value-02;0xC055A214;-1068129772;-3,338017; Value-03;0x4106F104;1090973956;8,433842; Value-04;0x411240DF;1091715295;9,140838; Value-05;0x411D4344;1092436804;9,828922; Value-06;0x4163F7A9;1097070505;14,24796; Value-07;0x40D1DA3F;1087494719;6,557891; Value-08;0x41D5881E;1104513054;26,69146; Value-09;0x41D596C8;1104516808;26,69862; Value-0A;0x40F4274B;1089742667;7,629797; Value-0B;0x410DC151;1091420497;8,859696; Value-0C;0x41175D46;1092050246;9,460272; Value-0D;0x414C1376;1095504758;12,75475; Value-0E;0x419394F3;1100190963;18,44773; Value-0F;0x4201EAB3;1107421875;32,4792; Value-10;0x411D9192;1092456850;9,84804; Value-11;0x4240073A;1111492410;48,00706; Value-12;0x425F08C7;1113524423;55,75857; Value-13;0x3FA9F150;1068101968;1,327677; Value-14;0xBFDE17D9;-1075963943;-1,735103; Value-15;0x4106EE01;1090973185;8,433106; Value-16;0x41124BEC;1091718124;9,143536; Value-17;0x411D496E;1092438382;9,830427; Value-18;0x41641196;1097077142;14,25429; Value-19;0x40D0C59E;1087423902;6,524123; Value-1A;0x41D5046D;1104479341;26,62716; Value-1B;0x41D4DEE5;1104469733;26,60884; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F40EEE;1089736430;7,626822; Value-1F;0x410D9428;1091408936;8,848671; Value-20;0x4117C1A7;1092075943;9,484778; Value-21;0x414C256A;1095509354;12,75913; Value-22;0x419395F6;1100191222;18,44822; Value-23;0x4201E0B2;1107419314;32,46943; Value-24;0x41692D56;1097411926;14,57357; Value-25;0x423F89A9;1111460265;47,88443; Value-26;0x4263BB95;1113832341;56,93319;
2023-10-16_15:59:43.96; Value-01;0x3FA7EBB0;1067969456;1,31188; Value-02;0xC055A214;-1068129772;-3,338017; Value-03;0x4106E7AB;1090971563;8,43156; Value-04;0x411240DF;1091715295;9,140838; Value-05;0x411D1433;1092424755;9,817431; Value-06;0x41641E19;1097080345;14,25735; Value-07;0x40D0AA1A;1087416858;6,520764; Value-08;0x41D5D2E2;1104532194;26,72797; Value-09;0x41D6E70C;1104602892;26,86282; Value-0A;0x40F45549;1089754441;7,635411; Value-0B;0x410DC151;1091420497;8,859696; Value-0C;0x4117C622;1092077090;9,485872; Value-0D;0x414C1376;1095504758;12,75475; Value-0E;0x4193CBB9;1100204985;18,47447; Value-0F;0x4201EAB3;1107421875;32,4792; Value-10;0x41589DD4;1096326612;13,53853; Value-11;0x423CCC40;1111280704;47,19946; Value-12;0x427C2FCB;1115434955;63,04667; Value-13;0x3FA9F150;1068101968;1,327677; Value-14;0x40A4701E;1084518430;5,138686; Value-15;0x4106EE01;1090973185;8,433106; Value-16;0x41123E50;1091714640;9,140213; Value-17;0x411D496E;1092438382;9,830427; Value-18;0x4163B8B0;1097054384;14,23259; Value-19;0x40D0C59E;1087423902;6,524123; Value-1A;0x41D60C89;1104546953;26,75612; Value-1B;0x41D6652F;1104569647;26,79941; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F40EEE;1089736430;7,626822; Value-1F;0x410DABF3;1091415027;8,85448; Value-20;0x4117C1A7;1092075943;9,484778; Value-21;0x414C9FFE;1095540734;12,78906; Value-22;0x419395F6;1100191222;18,44822; Value-23;0x42017A93;1107393171;32,3697; Value-24;0x41692D56;1097411926;14,57357; Value-25;0x423C7220;1111257632;47,11145; Value-26;0x4263BB95;1113832341;56,93319;
2023-10-16_15:59:44.05; Value-01;0x3FA7EBB0;1067969456;1,31188; Value-02;0xC055A214;-1068129772;-3,338017; Value-03;0x4106E7AB;1090971563;8,43156; Value-04;0x411240DF;1091715295;9,140838; Value-05;0x411D1433;1092424755;9,817431; Value-06;0x41641E19;1097080345;14,25735; Value-07;0x40D0AA1A;1087416858;6,520764; Value-08;0x41D5D2E2;1104532194;26,72797; Value-09;0x41D6E70C;1104602892;26,86282; Value-0A;0x40F45549;1089754441;7,635411; Value-0B;0x410DC151;1091420497;8,859696; Value-0C;0x4117C622;1092077090;9,485872; Value-0D;0x414C1376;1095504758;12,75475; Value-0E;0x4193CBB9;1100204985;18,47447; Value-0F;0x4201EAB3;1107421875;32,4792; Value-10;0x41589DD4;1096326612;13,53853; Value-11;0x423CCC40;1111280704;47,19946; Value-12;0x427C2FCB;1115434955;63,04667; Value-13;0x3FEA5C39;1072323641;1,830939; Value-14;0x40A4701E;1084518430;5,138686; Value-15;0x4106F870;1090975856;8,435654; Value-16;0x41123E50;1091714640;9,140213; Value-17;0x411D496E;1092438382;9,830427; Value-18;0x4163B8B0;1097054384;14,23259; Value-19;0x40D0C59E;1087423902;6,524123; Value-1A;0x41D60C89;1104546953;26,75612; Value-1B;0x41D6652F;1104569647;26,79941; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3D3ED;1089721325;7,61962; Value-1F;0x410DABF3;1091415027;8,85448; Value-20;0x41179121;1092063521;9,472932; Value-21;0x414C9FFE;1095540734;12,78906; Value-22;0x419395F6;1100191222;18,44822; Value-23;0x42017A93;1107393171;32,3697; Value-24;0x41692D56;1097411926;14,57357; Value-25;0x423C7220;1111257632;47,11145; Value-26;0x4263BB95;1113832341;56,93319;
2023-10-16_15:59:44.05; Value-01;0x3FA7EBB0;1067969456;1,31188; Value-02;0xC055A214;-1068129772;-3,338017; Value-03;0x4106E7AB;1090971563;8,43156; Value-04;0x411240DF;1091715295;9,140838; Value-05;0x411D1433;1092424755;9,817431; Value-06;0x41641E19;1097080345;14,25735; Value-07;0x40D0AA1A;1087416858;6,520764; Value-08;0x41D5D2E2;1104532194;26,72797; Value-09;0x41D6E70C;1104602892;26,86282; Value-0A;0x40F45549;1089754441;7,635411; Value-0B;0x410DC151;1091420497;8,859696; Value-0C;0x4117C622;1092077090;9,485872; Value-0D;0x414C1376;1095504758;12,75475; Value-0E;0x4193CBB9;1100204985;18,47447; Value-0F;0x4201EAB3;1107421875;32,4792; Value-10;0x41589DD4;1096326612;13,53853; Value-11;0x423CCC40;1111280704;47,19946; Value-12;0x427C2FCB;1115434955;63,04667; Value-13;0x3FEA5C39;1072323641;1,830939; Value-14;0x40A4701E;1084518430;5,138686; Value-15;0x4106F870;1090975856;8,435654; Value-16;0x41123E50;1091714640;9,140213; Value-17;0x411D496E;1092438382;9,830427; Value-18;0x4163B8B0;1097054384;14,23259; Value-19;0x40D0C59E;1087423902;6,524123; Value-1A;0x41D60C89;1104546953;26,75612; Value-1B;0x41D6652F;1104569647;26,79941; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3D3ED;1089721325;7,61962; Value-1F;0x410DABF3;1091415027;8,85448; Value-20;0x41179121;1092063521;9,472932; Value-21;0x414C9FFE;1095540734;12,78906; Value-22;0x419395F6;1100191222;18,44822; Value-23;0x42017A93;1107393171;32,3697; Value-24;0x41692D56;1097411926;14,57357; Value-25;0x423C7220;1111257632;47,11145; Value-26;0x4263BB95;1113832341;56,93319;
2023-10-16_15:59:44.13; Value-01;0x3FA7EBB0;1067969456;1,31188; Value-02;0xBFE6462C;-1075427796;-1,799016; Value-03;0x4106E7AB;1090971563;8,43156; Value-04;0x411241E5;1091715557;9,141088; Value-05;0x411D1433;1092424755;9,817431; Value-06;0x41643A90;1097087632;14,2643; Value-07;0x40D0AA1A;1087416858;6,520764; Value-08;0x41D59BC8;1104518088;26,70107; Value-09;0x41D6E70C;1104602892;26,86282; Value-0A;0x40F45549;1089754441;7,635411; Value-0B;0x410DC66A;1091421802;8,860941; Value-0C;0x4117C622;1092077090;9,485872; Value-0D;0x414BF140;1095496000;12,7464; Value-0E;0x4193CBB9;1100204985;18,47447; Value-0F;0x42019090;1107398800;32,39117; Value-10;0x41589DD4;1096326612;13,53853; Value-11;0x4243A1A4;1111728548;48,90785; Value-12;0x427C2FCB;1115434955;63,04667; Value-13;0x3FEA5C39;1072323641;1,830939; Value-14;0x40A4701E;1084518430;5,138686; Value-15;0x4106F870;1090975856;8,435654; Value-16;0x41123E50;1091714640;9,140213; Value-17;0x411D1272;1092424306;9,817003; Value-18;0x4163B8B0;1097054384;14,23259; Value-19;0x40CDC9D7;1087228375;6,430889; Value-1A;0x41D60C89;1104546953;26,75612; Value-1B;0x41D5A740;1104521024;26,70667; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3D3ED;1089721325;7,61962; Value-1F;0x410DABF3;1091415027;8,85448; Value-20;0x41179121;1092063521;9,472932; Value-21;0x414C9FFE;1095540734;12,78906; Value-22;0x4193090E;1100155150;18,37942; Value-23;0x42017A93;1107393171;32,3697; Value-24;0x416A380B;1097480203;14,63868; Value-25;0x423C7220;1111257632;47,11145; Value-26;0x4282506F;1115836527;65,1571;
2023-10-16_15:59:44.26; Value-01;0x3F7C710C;1065120012;0,9861; Value-02;0xBFE6462C;-1075427796;-1,799016; Value-03;0x4106F5DC;1090975196;8,435024; Value-04;0x411241E5;1091715557;9,141088; Value-05;0x411D0A6F;1092422255;9,815047; Value-06;0x41643A90;1097087632;14,2643; Value-07;0x40D0CDF5;1087426037;6,525141; Value-08;0x41D59BC8;1104518088;26,70107; Value-09;0x41D65C59;1104567385;26,79509; Value-0A;0x40F452AC;1089753772;7,635092; Value-0B;0x410DC66A;1091421802;8,860941; Value-0C;0x4117DC60;1092082784;9,491302; Value-0D;0x414BF140;1095496000;12,7464; Value-0E;0x41942B17;1100229399;18,52104; Value-0F;0x42019090;1107398800;32,39117; Value-10;0x4167F093;1097330835;14,49623; Value-11;0x4243A1A4;1111728548;48,90785; Value-12;0x4273B99D;1114880413;60,93126; Value-13;0x3FEA5C39;1072323641;1,830939; Value-14;0xBDDA427C;-1109769604;-0,1065721; Value-15;0x4106F870;1090975856;8,435654; Value-16;0x411230EE;1091711214;9,136946; Value-17;0x411D1272;1092424306;9,817003; Value-18;0x41642D96;1097084310;14,26113; Value-19;0x40CDC9D7;1087228375;6,430889; Value-1A;0x41D5CE78;1104531064;26,72581; Value-1B;0x41D5A740;1104521024;26,70667; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3D3ED;1089721325;7,61962; Value-1F;0x410D9A30;1091410480;8,850143; Value-20;0x41179121;1092063521;9,472932; Value-21;0x414CA8FC;1095543036;12,79126; Value-22;0x4193090E;1100155150;18,37942; Value-23;0x42021643;1107433027;32,52174; Value-24;0x416A380B;1097480203;14,63868; Value-25;0x42467FA0;1111916448;49,62463; Value-26;0x4282506F;1115836527;65,1571;
2023-10-16_15:59:44.26; Value-01;0x3F7C710C;1065120012;0,9861; Value-02;0xBFE6462C;-1075427796;-1,799016; Value-03;0x4106F5DC;1090975196;8,435024; Value-04;0x411241E5;1091715557;9,141088; Value-05;0x411D0A6F;1092422255;9,815047; Value-06;0x41643A90;1097087632;14,2643; Value-07;0x40D0CDF5;1087426037;6,525141; Value-08;0x41D59BC8;1104518088;26,70107; Value-09;0x41D65C59;1104567385;26,79509; Value-0A;0x40F452AC;1089753772;7,635092; Value-0B;0x410DC66A;1091421802;8,860941; Value-0C;0x4117DC60;1092082784;9,491302; Value-0D;0x414BF140;1095496000;12,7464; Value-0E;0x41942B17;1100229399;18,52104; Value-0F;0x42019090;1107398800;32,39117; Value-10;0x4167F093;1097330835;14,49623; Value-11;0x4243A1A4;1111728548;48,90785; Value-12;0x4273B99D;1114880413;60,93126; Value-13;0x3FEA5C39;1072323641;1,830939; Value-14;0xBDDA427C;-1109769604;-0,1065721; Value-15;0x4106F870;1090975856;8,435654; Value-16;0x411230EE;1091711214;9,136946; Value-17;0x411D1272;1092424306;9,817003; Value-18;0x41642D96;1097084310;14,26113; Value-19;0x40CDC9D7;1087228375;6,430889; Value-1A;0x41D5CE78;1104531064;26,72581; Value-1B;0x41D5A740;1104521024;26,70667; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3D3ED;1089721325;7,61962; Value-1F;0x410D9A30;1091410480;8,850143; Value-20;0x41179121;1092063521;9,472932; Value-21;0x414CA8FC;1095543036;12,79126; Value-22;0x4193090E;1100155150;18,37942; Value-23;0x42021643;1107433027;32,52174; Value-24;0x416A380B;1097480203;14,63868; Value-25;0x42467FA0;1111916448;49,62463; Value-26;0x4282506F;1115836527;65,1571;
2023-10-16_15:59:44.35; Value-01;0x3F7C710C;1065120012;0,9861; Value-02;0x40D7AF0A;1087876874;6,740117; Value-03;0x4106F5DC;1090975196;8,435024; Value-04;0x41125025;1091719205;9,144567; Value-05;0x411D0A6F;1092422255;9,815047; Value-06;0x41646122;1097097506;14,27371; Value-07;0x40D0CDF5;1087426037;6,525141; Value-08;0x41D5E622;1104537122;26,73737; Value-09;0x41D65C59;1104567385;26,79509; Value-0A;0x40F452AC;1089753772;7,635092; Value-0B;0x410DA470;1091413104;8,852646; Value-0C;0x4117DC60;1092082784;9,491302; Value-0D;0x414C4D61;1095519585;12,76889; Value-0E;0x41942B17;1100229399;18,52104; Value-0F;0x420123E5;1107370981;32,28505; Value-10;0x4167F093;1097330835;14,49623; Value-11;0x4247CB55;1112001365;49,94857; Value-12;0x4273B99D;1114880413;60,93126; Value-13;0x3FB1714F;1068593487;1,38627; Value-14;0xBDDA427C;-1109769604;-0,1065721; Value-15;0x4106EB06;1090972422;8,432379; Value-16;0x411230EE;1091711214;9,136946; Value-17;0x411D226A;1092428394;9,820902; Value-18;0x41642D96;1097084310;14,26113; Value-19;0x40CEAE33;1087286835;6,458765; Value-1A;0x41D5CE78;1104531064;26,72581; Value-1B;0x41D6F440;1104606272;26,86926; Value-1C;0x3F800000;1065353216;1; Value-1D;0x00000000;0;0; Value-1E;0x40F3E943;1089726787;7,622224; Value-1F;0x410D9A30;1091410480;8,850143; Value-20;0x4117B50F;1092072719;9,481704; Value-21;0x414CA8FC;1095543036;12,79126; Value-22;0x419433D5;1100231637;18,52531; Value-23;0x42021643;1107433027;32,52174; Value-24;0x4177B9F6;1098365430;15,4829; Value-25;0x42467FA0;1111916448;49,62463; Value-26;0x427F85E2;1115653602;63,88074;
