Cp A 2 ms;Cp P 2 ms;Cr A 2 ms;Cr P 2 ms;Cp A 4 ms;Cp P 4 ms;Cr A 4 ms;Cr P 4 ms;Cp A 10 ms;Cp P 10 ms;Cr A 10 ms;Cr P 10 ms;Cp A 20 ms;Cp P 20 ms;Cr A 20 ms;Cr P 20 ms;Cp A 80 ms;Cp P 80 ms;Cr A 80 ms;Cr P 80 ms
90.22367859;84.19042206;91.63867188;85.85018158;90.06851196;84.24015808;91.7321701;85.88866806;90.09555511;84.26764221;91.73505554;84.26764221;90.11732864;84.22861786;91.70962372;85.91727676;90.1312685;84.2288702;91.70933342;85.92422314
90.0752182;84.25365448;91.69493866;86.11720276;90.08343506;84.25349808;91.70248032;85.91833878;90.08629303;84.22407074;91.7257019;84.22407074;90.13553543;84.22717819;91.71442413;85.91354218;90.13550358;84.23435116;91.70690117;85.92016869
90.20928955;84.21196747;91.68862915;85.80080414;90.0684166;84.20943069;91.74020386;85.89828491;90.08209839;84.2533432;91.74640656;84.2533432;90.11430283;84.23154831;91.69835815;85.9188652;90.11947689;84.2410284;91.71453743;85.92450485
90.12974548;84.26239777;91.5732193;86.11556244;90.10226822;84.24976349;91.74657822;85.89002609;90.13629913;84.22060547;91.75517883;84.22060547;90.14706573;84.21543961;91.7298439;85.91117249;90.1434845;84.22356186;91.7001915;85.92334499
90.21539307;84.17571259;91.57910156;85.89581299;90.12388229;84.23963928;91.76128769;85.93920135;90.09648743;84.23532104;91.74750214;84.23532104;90.14235077;84.22415619;91.71811981;85.91894302;90.1422245;84.2284605;91.70508251;85.93072147
90.04580688;84.28420258;91.66313934;85.93401337;90.14400101;84.25630569;91.73316956;85.90285873;90.1237854;84.2295105;91.71593933;84.2295105;90.13975983;84.22981644;91.73242493;85.89183121;90.13152676;84.23693676;91.71707077;85.92523518
90.17433929;84.17958069;91.6412735;85.94011688;90.11869049;84.2121582;91.73836136;85.94131088;90.11172791;84.21187592;91.74640656;84.21187592;90.12190933;84.24706421;91.72085419;85.90591888;90.14467049;84.22824039;91.69825268;85.92434845
90.0945282;84.25645447;91.67077637;85.89595795;90.086483;84.22784042;91.72286224;85.89820099;90.11452332;84.24982452;91.69258575;84.24982452;90.13376923;84.23328018;91.70695877;85.90980682;90.14958687;84.23236237;91.70884705;85.9290205
90.14242554;84.25671387;91.63618469;85.9409256;90.0877037;84.2181015;91.685215;85.86205673;90.08398285;84.24911194;91.76130066;84.24911194;90.13913574;84.23846207;91.69981842;85.92350311;90.15292168;84.23298607;91.69794312;85.92144108
90.09033203;84.23771667;91.70007324;85.93707275;90.09461975;84.25354004;91.71205521;85.90754318;90.11090851;84.25748901;91.7187088;84.25748901;90.10353699;84.24987335;91.73375473;85.89344559;90.15295238;84.23064346;91.68917942;85.92237968
90.1046524;84.29997253;91.68509674;86.01608276;90.11323547;84.22691727;91.74451065;85.90758133;90.11291962;84.19863434;91.74154358;84.19863434;90.10560532;84.24879074;91.73691254;85.90156021;90.1495491;84.22840958;91.70662651;85.91804028
90.09033966;84.19963837;91.74679565;85.87387085;90.101017;84.26180267;91.71170044;85.94717789;90.08861389;84.27456512;91.72967987;84.27456512;90.12381516;84.22429581;91.73528748;85.91805725;90.14388103;84.23433819;91.70398426;85.92162609
90.15310669;84.30406189;91.64905548;85.91876221;90.10826111;84.23710251;91.77252579;85.87037659;90.13765259;84.19211884;91.75855865;84.19211884;90.11151886;84.23982086;91.69686737;85.90845642;90.14530754;84.23499374;91.70640316;85.9169508
90.09049225;84.22475433;91.65210724;85.92788696;90.08314514;84.24401093;91.74560547;85.86583328;90.10207214;84.2034729;91.69656067;84.2034729;90.10970078;84.24206543;91.72429886;85.90122528;90.13088703;84.2348856;91.7205265;85.91028557
90.14772797;84.27185822;91.65169525;85.94114685;90.09069061;84.28771591;91.76712418;85.89918518;90.13816833;84.22783051;91.70787201;84.22783051;90.1161293;84.26017761;91.70255356;85.91933212;90.14297657;84.22768993;91.7058403;85.91830597
90.11660004;84.11573029;91.72440338;85.90619659;90.06049728;84.26970673;91.71203232;85.89339066;90.07992554;84.22762299;91.73835754;84.22762299;90.14762497;84.21755371;91.70878296;85.92276688;90.14406586;84.22729321;91.71427879;85.9184721
90.11031342;84.33469391;91.65555573;85.96115875;90.10370636;84.23205566;91.68618774;85.90956497;90.09394073;84.22410736;91.72427979;84.22410736;90.11860962;84.24898605;91.71374741;85.94461746;90.15515823;84.21960545;91.69792805;85.92415962
